,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,GOLDEN STATE_ACTION,CLEVELAND_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,Turnover by K. Durant (bad pass; steal by J. Crowder),0,0
1,1,11:34.0,K. Love misses 2-pt hook shot from 7 ft (block by K. Durant),,0,0
2,1,11:29.0,Offensive rebound by K. Love,,0,0
3,1,11:28.0,K. Love misses 2-pt hook shot from 5 ft,,0,0
4,1,11:25.0,,Defensive rebound by J. Bell,0,0
5,1,11:20.0,,K. Durant misses 2-pt layup from 1 ft,0,0
6,1,11:14.0,Defensive rebound by K. Love,,0,0
7,1,11:04.0,J. Smith misses 3-pt jump shot from 22 ft,,0,0
8,1,11:01.0,Offensive rebound by J. Smith,,0,0
9,1,10:58.0,Turnover by K. Love (lost ball; steal by P. McCaw),,0,0
10,1,10:50.0,,Turnover by D. Green (bad pass; steal by J. Smith),0,0
11,1,10:45.0,J. Crowder misses 2-pt layup from 3 ft,,0,0
12,1,10:39.0,,Defensive rebound by D. Green,0,0
13,1,10:39.0,Offensive charge foul by K. Durant (drawn by K. Love),,0,0
14,1,10:39.0,,Turnover by K. Durant (offensive foul),0,0
15,1,10:20.0,L. James misses 2-pt layup from 3 ft,,0,0
16,1,10:17.0,Offensive rebound by J. Crowder,,0,0
17,1,10:15.0,J. Crowder makes 3-pt jump shot from 24 ft,,3,0
18,1,9:58.0,,Turnover by P. McCaw (lost ball; steal by K. Love),3,0
19,1,9:38.0,J. Calderón makes 3-pt jump shot from 25 ft,,6,0
20,1,9:21.0,,D. Green makes 2-pt jump shot from 10 ft,6,2
21,1,9:21.0,,Shooting foul by L. James (drawn by D. Green),6,2
22,1,9:21.0,,D. Green misses free throw 1 of 1,6,2
23,1,9:17.0,Defensive rebound by J. Crowder,,6,2
24,1,9:01.0,J. Crowder makes 2-pt jump shot from 12 ft (assist by J. Calderón),,8,2
25,1,8:48.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by P. McCaw),8,5
26,1,8:20.0,L. James makes 2-pt dunk from 1 ft,,10,5
27,1,8:06.0,,K. Durant misses 2-pt jump shot from 16 ft,10,5
28,1,8:04.0,Defensive rebound by Team,,10,5
29,1,7:50.0,K. Love misses 3-pt jump shot from 26 ft,,10,5
30,1,7:46.0,,Defensive rebound by K. Durant,10,5
31,1,7:44.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),10,8
32,1,7:21.0,K. Love makes 2-pt hook shot from 8 ft,,12,8
33,1,7:15.0,,K. Durant makes 2-pt layup from 1 ft (assist by D. Green),12,10
34,1,7:15.0,,Shooting foul by J. Crowder (drawn by K. Durant),12,10
35,1,7:15.0,,K. Durant misses free throw 1 of 1,12,10
36,1,7:13.0,Defensive rebound by K. Love,,12,10
37,1,6:55.0,J. Smith misses 3-pt jump shot from 23 ft,,12,10
38,1,6:53.0,,Defensive rebound by K. Thompson,12,10
39,1,6:46.0,,K. Durant misses 3-pt jump shot from 26 ft,12,10
40,1,6:40.0,Defensive rebound by K. Love,,12,10
41,1,6:32.0,,Golden State full timeout,12,10
42,1,6:32.0,,Technical foul by K. Durant,12,10
43,1,6:32.0,L. James misses technical free throw,,12,10
44,1,6:32.0,Offensive rebound by Team,,12,10
45,1,6:30.0,J. Smith misses 3-pt jump shot from 22 ft,,12,10
46,1,6:28.0,,Defensive rebound by J. Bell,12,10
47,1,6:18.0,,Turnover by P. McCaw (traveling),12,10
48,1,6:05.0,L. James makes 3-pt jump shot from 25 ft,,15,10
49,1,5:41.0,,Turnover by D. Green (bad pass; steal by K. Love),15,10
50,1,5:25.0,Turnover by J. Smith (bad pass; steal by K. Durant),,15,10
51,1,5:25.0,,Personal foul by J. Calderón (drawn by K. Durant),15,10
52,1,5:25.0,,Technical foul by D. Green,15,10
53,1,5:25.0,,A. Iguodala enters the game for P. McCaw,15,10
54,1,5:25.0,K. Love makes technical free throw,,16,10
55,1,5:14.0,,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),16,12
56,1,5:04.0,Personal foul by J. Bell (drawn by L. James),,16,12
57,1,5:04.0,D. Wade enters the game for J. Calderón,,16,12
58,1,4:55.0,L. James misses 3-pt jump shot from 26 ft,,16,12
59,1,4:53.0,,Defensive rebound by K. Thompson,16,12
60,1,4:46.0,,J. Bell misses 2-pt jump shot from 7 ft,16,12
61,1,4:43.0,Defensive rebound by D. Wade,,16,12
62,1,4:38.0,K. Love makes 3-pt jump shot from 25 ft (assist by D. Wade),,19,12
63,1,4:38.0,,Golden State full timeout,19,12
64,1,4:25.0,,K. Thompson misses 2-pt jump shot from 18 ft,19,12
65,1,4:20.0,,Offensive rebound by J. Bell,19,12
66,1,4:19.0,,J. Bell misses 2-pt layup at rim,19,12
67,1,4:18.0,Defensive rebound by K. Love,,19,12
68,1,4:13.0,J. Crowder misses 3-pt jump shot from 26 ft,,19,12
