,QUARTER,TIME_REMAINING,MIAMI_ACTION,BROOKLYN_ACTION,MIAMI_SCORE,BROOKLYN_SCORE
0,1,11:43.0,J. Richardson misses 2-pt jump shot from 6 ft,,0,0
1,1,11:41.0,Offensive rebound by H. Whiteside,,0,0
2,1,11:41.0,Shooting foul by D. Carroll (drawn by H. Whiteside),,0,0
3,1,11:41.0,H. Whiteside makes free throw 1 of 2,,1,0
4,1,11:41.0,H. Whiteside makes free throw 2 of 2,,2,0
5,1,11:28.0,,T. Zeller makes 2-pt hook shot from 5 ft (assist by S. Dinwiddie),2,2
6,1,11:12.0,D. Jones misses 3-pt jump shot from 25 ft,,2,2
7,1,11:10.0,Offensive rebound by H. Whiteside,,2,2
8,1,11:03.0,H. Whiteside makes 2-pt jump shot from 19 ft (assist by J. Richardson),,4,2
9,1,10:53.0,,Offensive foul by R. Hollis-Jefferson (drawn by J. Richardson),4,2
10,1,10:53.0,,Turnover by R. Hollis-Jefferson (offensive foul),4,2
11,1,10:42.0,G. Dragić misses 2-pt jump shot from 10 ft,,4,2
12,1,10:39.0,,Defensive rebound by R. Hollis-Jefferson,4,2
13,1,10:32.0,,T. Zeller misses 3-pt jump shot from 25 ft,4,2
14,1,10:30.0,,Offensive rebound by R. Hollis-Jefferson,4,2
15,1,10:28.0,,A. Crabbe misses 3-pt jump shot from 28 ft,4,2
16,1,10:26.0,Defensive rebound by H. Whiteside,,4,2
17,1,10:16.0,H. Whiteside misses 2-pt dunk from 1 ft (block by A. Crabbe),,4,2
18,1,10:13.0,,Defensive rebound by T. Zeller,4,2
19,1,10:01.0,,Shooting foul by J. Richardson (drawn by D. Carroll),4,2
20,1,10:01.0,,D. Carroll makes free throw 1 of 2,4,3
21,1,10:01.0,,D. Carroll makes free throw 2 of 2,4,4
22,1,9:45.0,H. Whiteside misses 2-pt hook shot from 6 ft,,4,4
23,1,9:42.0,Offensive rebound by D. Jones,,4,4
24,1,9:41.0,D. Jones misses 2-pt layup at rim,,4,4
25,1,9:39.0,,Defensive rebound by A. Crabbe,4,4
26,1,9:34.0,,D. Carroll misses 3-pt jump shot from 22 ft,4,4
27,1,9:32.0,Defensive rebound by H. Whiteside,,4,4
28,1,9:24.0,G. Dragić makes 2-pt layup at rim,,6,4
29,1,9:05.0,,T. Zeller makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),6,6
30,1,8:48.0,J. Johnson misses 2-pt jump shot from 22 ft,,6,6
31,1,8:45.0,,Defensive rebound by R. Hollis-Jefferson,6,6
32,1,8:40.0,,A. Crabbe misses 3-pt jump shot from 24 ft,6,6
33,1,8:38.0,,Offensive rebound by D. Carroll,6,6
34,1,8:30.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft (block by H. Whiteside),6,6
35,1,8:28.0,Defensive rebound by H. Whiteside,,6,6
36,1,8:17.0,Turnover by H. Whiteside (bad pass; steal by D. Carroll),,6,6
37,1,8:13.0,,Turnover by S. Dinwiddie (bad pass; steal by J. Richardson),6,6
38,1,8:02.0,Shooting foul by T. Zeller (drawn by J. Richardson),,6,6
39,1,8:02.0,J. Richardson misses free throw 1 of 2,,6,6
40,1,8:02.0,Offensive rebound by Team,,6,6
41,1,8:02.0,J. Richardson makes free throw 2 of 2,,7,6
42,1,7:49.0,,Turnover by A. Crabbe (lost ball; steal by J. Johnson),7,6
43,1,7:39.0,G. Dragić misses 2-pt jump shot from 12 ft,,7,6
44,1,7:34.0,Offensive rebound by H. Whiteside,,7,6
45,1,7:33.0,H. Whiteside makes 2-pt layup from 1 ft,,9,6
46,1,7:23.0,,D. Carroll makes 2-pt jump shot from 6 ft,9,8
47,1,7:07.0,H. Whiteside misses 2-pt jump shot from 15 ft,,9,8
48,1,7:04.0,,Defensive rebound by S. Dinwiddie,9,8
49,1,6:47.0,,S. Dinwiddie misses 2-pt jump shot from 9 ft,9,8
50,1,6:45.0,,Offensive rebound by S. Dinwiddie,9,8
51,1,6:39.0,,Def 3 sec tech foul by H. Whiteside,9,8
52,1,6:39.0,,Brooklyn full timeout,9,8
53,1,6:39.0,W. Ellington enters the game for J. Richardson,,9,8
54,1,6:39.0,,A. Crabbe makes technical free throw,9,9
55,1,6:27.0,,T. Zeller misses 2-pt layup from 1 ft (block by H. Whiteside),9,9
56,1,6:24.0,Defensive rebound by H. Whiteside,,9,9
57,1,6:02.0,Turnover by Team (shot clock),,9,9
58,1,5:41.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),9,12
59,1,5:23.0,G. Dragić makes 2-pt jump shot from 10 ft (assist by H. Whiteside),,11,12
60,1,5:05.0,,A. Crabbe misses 3-pt jump shot from 24 ft,11,12
61,1,5:00.0,Defensive rebound by D. Jones,,11,12
62,1,4:56.0,G. Dragić misses 3-pt jump shot from 24 ft,,11,12
63,1,4:52.0,,Defensive rebound by R. Hollis-Jefferson,11,12
64,1,4:44.0,,T. Zeller misses 3-pt jump shot from 22 ft,11,12
65,1,4:40.0,,Offensive rebound by D. Carroll,11,12
66,1,4:28.0,,Personal block foul by D. Jones (drawn by R. Hollis-Jefferson),11,12
67,1,4:28.0,,D. Russell enters the game for S. Dinwiddie,11,12
68,1,4:28.0,,J. Harris enters the game for A. Crabbe,11,12
69,1,4:28.0,,J. Allen enters the game for T. Zeller,11,12
70,1,4:22.0,,D. Russell misses 2-pt jump shot from 13 ft (block by G. Dragić),11,12
71,1,4:19.0,Defensive rebound by H. Whiteside,,11,12
72,1,4:17.0,Shooting foul by R. Hollis-Jefferson (drawn by G. Dragić),,11,12
73,1,4:17.0,G. Dragić misses free throw 1 of 2,,11,12
74,1,4:17.0,Offensive rebound by Team,,11,12
75,1,4:17.0,,Q. Acy enters the game for D. Carroll,11,12
76,1,4:17.0,,C. LeVert enters the game for R. Hollis-Jefferson,11,12
77,1,4:17.0,G. Dragić makes free throw 2 of 2,,12,12
78,1,4:04.0,,Turnover by J. Harris (bad pass),12,12
79,1,3:49.0,D. Jones misses 2-pt layup from 3 ft,,12,12
80,1,3:46.0,,Defensive rebound by J. Allen,12,12
81,1,3:44.0,,Turnover by D. Russell (bad pass),12,12
82,1,3:44.0,J. Winslow enters the game for D. Jones,,12,12
83,1,3:34.0,H. Whiteside makes 2-pt layup from 1 ft,,14,12
84,1,3:34.0,Shooting foul by J. Allen (drawn by H. Whiteside),,14,12
85,1,3:34.0,H. Whiteside makes free throw 1 of 1,,15,12
86,1,3:23.0,,J. Harris makes 3-pt jump shot from 24 ft (assist by C. LeVert),15,15
87,1,3:22.0,Miami full timeout,,15,15
88,1,3:22.0,K. Olynyk enters the game for J. Johnson,,15,15
89,1,3:01.0,H. Whiteside makes 2-pt dunk at rim (assist by W. Ellington),,17,15
90,1,2:43.0,,Shooting block foul by H. Whiteside (drawn by J. Allen),17,15
91,1,2:43.0,,J. Allen makes free throw 1 of 2,17,16
92,1,2:43.0,J. Richardson enters the game for G. Dragić,,17,16
93,1,2:43.0,,J. Allen makes free throw 2 of 2,17,17
94,1,2:25.0,J. Richardson makes 2-pt jump shot from 5 ft,,19,17
95,1,2:07.0,,Turnover by J. Allen (lost ball; steal by J. Richardson),19,17
96,1,2:00.0,J. Winslow misses 2-pt jump shot from 22 ft,,19,17
97,1,1:55.0,,Defensive rebound by J. Allen,19,17
98,1,1:52.0,,J. Harris makes 3-pt jump shot from 22 ft (assist by C. LeVert),19,20
99,1,1:23.0,J. Winslow misses 3-pt jump shot from 22 ft,,19,20
100,1,1:23.0,Offensive rebound by Team,,19,20
101,1,1:23.0,Turnover by Team (shot clock),,19,20
102,1,1:23.0,B. Adebayo enters the game for H. Whiteside,,19,20
103,1,1:13.0,,Turnover by J. Allen (lost ball; steal by J. Winslow),19,20
104,1,0:51.0,J. Richardson misses 2-pt jump shot from 5 ft,,19,20
105,1,0:50.0,Offensive rebound by B. Adebayo,,19,20
106,1,0:50.0,B. Adebayo makes 2-pt layup at rim,,21,20
107,1,0:44.0,,D. Russell misses 3-pt jump shot from 24 ft,21,20
108,1,0:40.0,Defensive rebound by B. Adebayo,,21,20
109,1,0:28.0,K. Olynyk makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,24,20
110,1,0:04.0,,Shooting block foul by B. Adebayo (drawn by J. Allen),24,20
111,1,0:04.0,,J. Allen misses free throw 1 of 2,24,20
112,1,0:04.0,,Offensive rebound by Team,24,20
113,1,0:04.0,,J. Allen misses free throw 2 of 2,24,20
114,1,0:02.0,,Offensive rebound by Q. Acy,24,20
115,1,0:01.0,,Shooting foul by B. Adebayo (drawn by Q. Acy),24,20
116,1,0:01.0,,Q. Acy misses free throw 1 of 2,24,20
117,1,0:01.0,,Offensive rebound by Team,24,20
118,1,0:01.0,,Q. Acy makes free throw 2 of 2,24,21
119,2,11:34.0,,C. LeVert misses 2-pt layup from 1 ft,24,21
120,2,11:32.0,Defensive rebound by K. Olynyk,,24,21
121,2,11:17.0,W. Ellington misses 3-pt jump shot from 22 ft (block by C. LeVert),,24,21
122,2,11:14.0,Offensive rebound by W. Ellington,,24,21
123,2,11:12.0,J. Richardson misses 3-pt jump shot from 22 ft,,24,21
124,2,11:10.0,,Defensive rebound by C. LeVert,24,21
125,2,11:03.0,,C. LeVert misses 3-pt jump shot from 24 ft,24,21
126,2,10:59.0,Defensive rebound by J. Winslow,,24,21
127,2,10:51.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Winslow),,27,21
128,2,10:29.0,,Q. Acy makes 3-pt jump shot from 22 ft (assist by C. LeVert),27,24
129,2,10:15.0,Personal foul by C. LeVert (drawn by K. Olynyk),,27,24
130,2,10:10.0,J. Richardson misses 2-pt jump shot from 19 ft,,27,24
131,2,10:07.0,,Defensive rebound by J. Harris,27,24
132,2,10:01.0,,Turnover by D. Russell (bad pass; steal by W. Ellington),27,24
133,2,9:55.0,Turnover by J. Winslow (lost ball; steal by C. LeVert),,27,24
134,2,9:41.0,,D. Russell misses 3-pt jump shot from 24 ft,27,24
135,2,9:38.0,Defensive rebound by B. Adebayo,,27,24
136,2,9:30.0,Shooting foul by J. Okafor (drawn by K. Olynyk),,27,24
137,2,9:30.0,K. Olynyk makes free throw 1 of 2,,28,24
138,2,9:30.0,K. Olynyk makes free throw 2 of 2,,29,24
139,2,9:25.0,,C. LeVert misses 2-pt layup from 1 ft,29,24
140,2,9:25.0,Defensive rebound by Team,,29,24
141,2,9:07.0,Turnover by K. Olynyk (turnover),,29,24
