,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MEMPHIS_ACTION,CHICAGO_SCORE,MEMPHIS_SCORE
0,1,11:40.0,,T. Evans misses 2-pt jump shot from 9 ft,0,0
1,1,11:38.0,,Offensive rebound by J. Martin,0,0
2,1,11:36.0,,J. Martin makes 2-pt layup at rim,0,2
3,1,11:23.0,Turnover by K. Dunn (bad pass; steal by T. Evans),,0,2
4,1,11:18.0,,J. Martin makes 3-pt jump shot from 24 ft (assist by T. Evans),0,5
5,1,10:55.0,D. Nwaba misses 2-pt jump shot from 6 ft,,0,5
6,1,10:53.0,Offensive rebound by N. Vonleh,,0,5
7,1,10:53.0,N. Vonleh misses 2-pt layup at rim,,0,5
8,1,10:53.0,Offensive rebound by Team,,0,5
9,1,10:47.0,R. Lopez makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,3,5
10,1,10:22.0,,J. Green misses 3-pt jump shot from 23 ft,3,5
11,1,10:18.0,Defensive rebound by D. Nwaba,,3,5
12,1,10:06.0,Turnover by R. Lopez (lost ball; steal by D. Brooks),,3,5
13,1,9:59.0,,D. Brooks misses 2-pt jump shot from 5 ft (block by Z. LaVine),3,5
14,1,9:53.0,,Offensive rebound by D. Brooks,3,5
15,1,9:52.0,,D. Brooks makes 2-pt jump shot from 5 ft,3,7
16,1,9:46.0,K. Dunn misses 2-pt layup from 4 ft (block by M. Gasol),,3,7
17,1,9:46.0,,Defensive rebound by Team,3,7
18,1,9:35.0,,D. Brooks makes 3-pt jump shot from 26 ft (assist by T. Evans),3,10
19,1,9:24.0,K. Dunn misses 3-pt jump shot from 24 ft,,3,10
20,1,9:20.0,Offensive rebound by Z. LaVine,,3,10
21,1,9:20.0,Turnover by Z. LaVine (bad pass),,3,10
22,1,9:04.0,,T. Evans makes 3-pt jump shot from 26 ft (assist by M. Gasol),3,13
23,1,9:03.0,Chicago full timeout,,3,13
24,1,8:48.0,Personal foul by M. Gasol (drawn by R. Lopez),,3,13
25,1,8:42.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by Z. LaVine),,5,13
26,1,8:32.0,,Turnover by M. Gasol (bad pass; steal by K. Dunn),5,13
27,1,8:28.0,Z. LaVine makes 2-pt layup at rim (assist by K. Dunn),,7,13
28,1,8:09.0,,T. Evans misses 3-pt jump shot from 26 ft,7,13
29,1,8:07.0,Defensive rebound by N. Vonleh,,7,13
30,1,7:58.0,N. Vonleh makes 2-pt layup from 2 ft (assist by Z. LaVine),,9,13
31,1,7:58.0,,Memphis full timeout,9,13
32,1,7:41.0,,D. Brooks makes 3-pt jump shot from 24 ft (assist by T. Evans),9,16
33,1,7:24.0,D. Nwaba makes 2-pt layup from 1 ft (assist by R. Lopez),,11,16
34,1,7:05.0,,D. Brooks makes 2-pt layup from 3 ft,11,18
35,1,6:48.0,Z. LaVine misses 3-pt jump shot from 22 ft,,11,18
36,1,6:46.0,,Defensive rebound by M. Gasol,11,18
37,1,6:33.0,,J. Martin misses 2-pt layup from 5 ft,11,18
38,1,6:30.0,,Offensive rebound by J. Green,11,18
39,1,6:29.0,,D. Brooks misses 3-pt jump shot from 24 ft,11,18
40,1,6:27.0,Defensive rebound by D. Nwaba,,11,18
41,1,6:22.0,D. Nwaba makes 2-pt layup from 3 ft,,13,18
42,1,6:06.0,,J. Green misses 3-pt jump shot from 22 ft,13,18
43,1,6:04.0,Defensive rebound by Z. LaVine,,13,18
44,1,5:56.0,Z. LaVine misses 2-pt layup from 3 ft,,13,18
45,1,5:54.0,,Defensive rebound by T. Evans,13,18
46,1,5:51.0,,J. Martin makes 2-pt layup from 2 ft (assist by T. Evans),13,20
47,1,5:32.0,Turnover by Z. LaVine (bad pass; steal by D. Brooks),,13,20
48,1,5:30.0,,T. Evans makes 2-pt layup from 2 ft (assist by D. Brooks),13,22
49,1,5:30.0,,Shooting foul by K. Dunn (drawn by T. Evans),13,22
50,1,5:30.0,,B. McLemore enters the game for J. Martin,13,22
51,1,5:30.0,D. Valentine enters the game for D. Nwaba,,13,22
52,1,5:30.0,,T. Evans makes free throw 1 of 1,13,23
53,1,5:10.0,K. Dunn makes 2-pt jump shot from 9 ft,,15,23
54,1,4:57.0,,Turnover by M. Gasol (out of bounds lost ball),15,23
55,1,4:57.0,,K. Simmons enters the game for T. Evans,15,23
56,1,4:45.0,D. Valentine misses 2-pt layup from 6 ft,,15,23
57,1,4:40.0,,Defensive rebound by D. Brooks,15,23
58,1,4:35.0,,B. McLemore misses 2-pt layup from 7 ft,15,23
59,1,4:32.0,Defensive rebound by N. Vonleh,,15,23
60,1,4:27.0,Personal foul by B. McLemore (drawn by K. Dunn),,15,23
61,1,4:11.0,D. Valentine makes 3-pt jump shot from 23 ft (assist by R. Lopez),,18,23
62,1,3:51.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by J. Green),18,26
63,1,3:36.0,N. Vonleh misses 3-pt jump shot from 25 ft,,18,26
64,1,3:33.0,,Defensive rebound by K. Simmons,18,26
65,1,3:23.0,,Shooting foul by Z. LaVine (drawn by D. Brooks),18,26
66,1,3:23.0,,D. Brooks makes free throw 1 of 3,18,27
67,1,3:23.0,,D. Brooks makes free throw 2 of 3,18,28
68,1,3:23.0,,C. Parsons enters the game for J. Green,18,28
69,1,3:23.0,C. Payne enters the game for N. Vonleh,,18,28
70,1,3:23.0,B. Portis enters the game for K. Dunn,,18,28
71,1,3:23.0,,D. Brooks makes free throw 3 of 3,18,29
