,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DENVER_ACTION,LA LAKERS_SCORE,DENVER_SCORE
0,1,11:44.0,B. Lopez misses 2-pt hook shot from 3 ft,,0,0
1,1,11:41.0,Offensive rebound by B. Lopez,,0,0
2,1,11:40.0,Shooting block foul by J. Hernangómez (drawn by B. Ingram),,0,0
3,1,11:40.0,B. Ingram makes free throw 1 of 2,,1,0
4,1,11:40.0,B. Ingram makes free throw 2 of 2,,2,0
5,1,11:28.0,,G. Harris misses 2-pt layup from 9 ft (block by B. Lopez),2,0
6,1,11:27.0,,Offensive rebound by G. Harris,2,0
7,1,11:16.0,,J. Murray misses 2-pt jump shot from 20 ft,2,0
8,1,11:10.0,Defensive rebound by K. Caldwell-Pope,,2,0
9,1,11:05.0,B. Lopez makes 2-pt layup from 6 ft (assist by L. Ball),,4,0
10,1,10:46.0,,J. Murray makes 3-pt jump shot from 22 ft (assist by J. Hernangómez),4,3
11,1,10:36.0,Turnover by L. Ball (turnover),,4,3
12,1,10:27.0,,J. Hernangómez makes 3-pt jump shot from 22 ft (assist by K. Faried),4,6
13,1,10:07.0,B. Ingram makes 2-pt layup from 1 ft (assist by B. Lopez),,6,6
14,1,9:43.0,,G. Harris makes 2-pt layup from 2 ft,6,8
15,1,9:30.0,B. Ingram misses 2-pt layup from 3 ft,,6,8
16,1,9:28.0,,Defensive rebound by K. Faried,6,8
17,1,9:10.0,,Shooting foul by B. Ingram (drawn by J. Murray),6,8
18,1,9:10.0,,J. Murray makes free throw 1 of 2,6,9
19,1,9:10.0,,J. Murray makes free throw 2 of 2,6,10
20,1,8:54.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,6,10
21,1,8:50.0,,Defensive rebound by J. Hernangómez,6,10
22,1,8:50.0,Loose ball foul by L. Nance (drawn by J. Hernangómez),,6,10
23,1,8:33.0,,Shooting foul by L. Nance (drawn by M. Plumlee),6,10
24,1,8:33.0,,M. Plumlee makes free throw 1 of 2,6,11
25,1,8:33.0,,M. Plumlee makes free throw 2 of 2,6,12
26,1,8:20.0,L. Ball misses 3-pt jump shot from 25 ft,,6,12
27,1,8:17.0,,Defensive rebound by J. Murray,6,12
28,1,8:12.0,,Personal foul by B. Ingram (drawn by M. Plumlee),6,12
29,1,7:59.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by M. Plumlee),6,15
30,1,7:57.0,LA Lakers full timeout,,6,15
31,1,7:44.0,B. Lopez makes 2-pt dunk from 1 ft,,8,15
32,1,7:26.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by J. Hernangómez),8,18
33,1,7:10.0,Turnover by L. Ball (bad pass),,8,18
34,1,6:56.0,,J. Murray misses 3-pt jump shot from 25 ft,8,18
35,1,6:52.0,Defensive rebound by K. Caldwell-Pope,,8,18
36,1,6:48.0,Shooting foul by J. Murray (drawn by K. Caldwell-Pope),,8,18
37,1,6:48.0,K. Caldwell-Pope misses free throw 1 of 2,,8,18
38,1,6:48.0,Offensive rebound by Team,,8,18
39,1,6:48.0,K. Caldwell-Pope makes free throw 2 of 2,,9,18
40,1,6:31.0,,Turnover by G. Harris (bad pass),9,18
41,1,6:25.0,B. Lopez misses 2-pt layup from 3 ft (block by K. Faried),,9,18
42,1,6:23.0,,Defensive rebound by M. Plumlee,9,18
43,1,6:18.0,,G. Harris misses 3-pt jump shot from 25 ft,9,18
44,1,6:13.0,Defensive rebound by L. Nance,,9,18
45,1,6:09.0,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,,9,18
46,1,6:05.0,,Defensive rebound by K. Faried,9,18
47,1,5:51.0,,Shooting foul by B. Lopez (drawn by K. Faried),9,18
48,1,5:51.0,,K. Faried misses free throw 1 of 2,9,18
49,1,5:51.0,,Offensive rebound by Team,9,18
50,1,5:51.0,J. Hart enters the game for B. Ingram,,9,18
51,1,5:51.0,K. Kuzma enters the game for L. Nance,,9,18
52,1,5:51.0,,K. Faried makes free throw 2 of 2,9,19
53,1,5:27.0,K. Caldwell-Pope misses 2-pt layup from 6 ft,,9,19
54,1,5:25.0,Offensive rebound by B. Lopez,,9,19
55,1,5:24.0,B. Lopez makes 2-pt layup from 2 ft,,11,19
56,1,5:11.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by J. Murray),11,21
57,1,4:56.0,B. Lopez misses 2-pt jump shot from 9 ft,,11,21
58,1,4:54.0,,Defensive rebound by K. Faried,11,21
59,1,4:40.0,,Turnover by J. Murray (bad pass; steal by J. Hart),11,21
60,1,4:36.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by J. Hart),,13,21
61,1,4:36.0,,Denver full timeout,13,21
62,1,4:36.0,,W. Barton enters the game for K. Faried,13,21
63,1,4:36.0,,T. Lyles enters the game for J. Hernangómez,13,21
64,1,4:18.0,,J. Murray makes 2-pt layup from 5 ft,13,23
65,1,4:18.0,,Shooting foul by L. Ball (drawn by J. Murray),13,23
66,1,4:18.0,,J. Murray makes free throw 1 of 1,13,24
67,1,4:04.0,L. Ball makes 2-pt layup from 2 ft,,15,24
68,1,3:47.0,,T. Lyles makes 2-pt layup from 2 ft,15,26
69,1,3:34.0,L. Ball makes 3-pt jump shot from 24 ft (assist by K. Kuzma),,18,26
70,1,3:16.0,,Shooting foul by K. Kuzma (drawn by T. Lyles),18,26
71,1,3:16.0,,T. Lyles makes free throw 1 of 2,18,27
72,1,3:16.0,,D. Arthur enters the game for M. Plumlee,18,27
73,1,3:16.0,J. Clarkson enters the game for L. Ball,,18,27
74,1,3:16.0,J. Randle enters the game for B. Lopez,,18,27
75,1,3:16.0,,T. Lyles makes free throw 2 of 2,18,28
76,1,3:05.0,J. Clarkson misses 2-pt layup from 5 ft (block by W. Barton),,18,28
77,1,3:05.0,Offensive rebound by Team,,18,28
78,1,3:02.0,Turnover by K. Kuzma (bad pass),,18,28
79,1,2:40.0,,T. Lyles misses 2-pt hook shot from 7 ft,18,28
80,1,2:37.0,Defensive rebound by K. Caldwell-Pope,,18,28
81,1,2:30.0,J. Randle makes 2-pt layup from 2 ft,,20,28
82,1,2:21.0,,J. Murray misses 3-pt jump shot from 24 ft,20,28
83,1,2:21.0,Defensive rebound by K. Kuzma,,20,28
84,1,2:13.0,J. Randle makes 2-pt jump shot from 5 ft (assist by J. Hart),,22,28
85,1,2:13.0,Shooting foul by J. Murray (drawn by J. Randle),,22,28
86,1,2:13.0,,R. Jefferson enters the game for G. Harris,22,28
87,1,2:13.0,,E. Mudiay enters the game for J. Murray,22,28
88,1,2:13.0,J. Randle misses free throw 1 of 1,,22,28
89,1,2:11.0,,Defensive rebound by W. Barton,22,28
90,1,1:54.0,,Shooting foul by J. Hart (drawn by W. Barton),22,28
91,1,1:54.0,,W. Barton makes free throw 1 of 3,22,29
92,1,1:54.0,,W. Barton makes free throw 2 of 3,22,30
93,1,1:54.0,,W. Barton makes free throw 3 of 3,22,31
94,1,1:49.0,Turnover by K. Kuzma (traveling),,22,31
95,1,1:35.0,,T. Lyles makes 3-pt jump shot from 22 ft (assist by E. Mudiay),22,34
96,1,1:27.0,Turnover by J. Clarkson (traveling),,22,34
97,1,1:18.0,,W. Barton misses 3-pt jump shot from 25 ft,22,34
98,1,1:15.0,Defensive rebound by J. Randle,,22,34
99,1,1:08.0,J. Randle makes 2-pt layup from 3 ft,,24,34
100,1,0:46.0,,D. Arthur misses 2-pt jump shot from 12 ft,24,34
101,1,0:44.0,Defensive rebound by K. Kuzma,,24,34
102,1,0:40.0,K. Kuzma misses 2-pt layup from 3 ft,,24,34
103,1,0:37.0,Offensive rebound by K. Caldwell-Pope,,24,34
104,1,0:34.0,J. Hart makes 3-pt jump shot from 22 ft (assist by J. Clarkson),,27,34
105,1,0:15.0,,R. Jefferson misses 2-pt layup from 8 ft,27,34
106,1,0:12.0,Defensive rebound by J. Hart,,27,34
107,1,0:01.0,J. Randle makes 2-pt hook shot from 5 ft,,29,34
108,1,0:00.0,,W. Barton misses 3-pt jump shot from 75 ft,29,34
109,1,0:00.0,,Offensive rebound by Team,29,34
110,2,11:43.0,,R. Jefferson makes 2-pt jump shot from 13 ft,29,36
111,2,11:43.0,,Shooting foul by C. Brewer (drawn by R. Jefferson),29,36
112,2,11:43.0,,R. Jefferson misses free throw 1 of 1,29,36
113,2,11:40.0,Defensive rebound by K. Kuzma,,29,36
114,2,11:21.0,K. Kuzma makes 2-pt jump shot from 19 ft (assist by J. Clarkson),,31,36
