,QUARTER,TIME_REMAINING,DENVER_ACTION,MINNESOTA_ACTION,DENVER_SCORE,MINNESOTA_SCORE
0,1,11:42.0,,K. Towns misses 2-pt hook shot from 8 ft,0,0
1,1,11:38.0,Defensive rebound by N. Jokić,,0,0
2,1,11:34.0,G. Harris misses 3-pt jump shot from 26 ft,,0,0
3,1,11:31.0,,Defensive rebound by J. Teague,0,0
4,1,11:22.0,,T. Gibson misses 2-pt hook shot from 3 ft,0,0
5,1,11:18.0,,Offensive rebound by K. Towns,0,0
6,1,11:16.0,,K. Towns makes 2-pt jump shot from 12 ft (assist by T. Gibson),0,2
7,1,10:54.0,W. Chandler makes 3-pt jump shot from 24 ft (assist by J. Murray),,3,2
8,1,10:31.0,,J. Teague misses 2-pt jump shot from 9 ft,3,2
9,1,10:27.0,,Offensive rebound by J. Teague,3,2
10,1,10:23.0,,Shooting foul by M. Plumlee (drawn by A. Wiggins),3,2
11,1,10:23.0,,A. Wiggins misses free throw 1 of 2,3,2
12,1,10:23.0,,Offensive rebound by Team,3,2
13,1,10:23.0,,A. Wiggins misses free throw 2 of 2,3,2
14,1,10:20.0,Defensive rebound by J. Murray,,3,2
15,1,10:04.0,Turnover by J. Murray (lost ball; steal by J. Teague),,3,2
16,1,9:56.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),3,5
17,1,9:29.0,J. Murray misses 2-pt layup from 1 ft,,3,5
18,1,9:27.0,,Defensive rebound by A. Wiggins,3,5
19,1,9:23.0,,J. Teague makes 3-pt jump shot from 25 ft,3,8
20,1,9:07.0,N. Jokić makes 2-pt jump shot from 19 ft (assist by J. Murray),,5,8
21,1,8:52.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Teague),5,11
22,1,8:30.0,Shooting foul by K. Towns (drawn by N. Jokić),,5,11
23,1,8:30.0,N. Jokić makes free throw 1 of 2,,6,11
24,1,8:30.0,N. Jokić makes free throw 2 of 2,,7,11
25,1,8:21.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by K. Towns),7,14
26,1,8:21.0,Denver full timeout,,7,14
27,1,8:06.0,G. Harris misses 2-pt layup from 2 ft,,7,14
28,1,8:06.0,,Defensive rebound by T. Gibson,7,14
29,1,7:49.0,,J. Butler makes 3-pt jump shot from 25 ft,7,17
30,1,7:34.0,J. Murray misses 3-pt jump shot from 25 ft,,7,17
31,1,7:32.0,,Defensive rebound by K. Towns,7,17
32,1,7:16.0,,K. Towns misses 2-pt layup from 5 ft (block by N. Jokić),7,17
33,1,7:16.0,Defensive rebound by N. Jokić,,7,17
34,1,7:09.0,J. Murray misses 3-pt jump shot from 25 ft,,7,17
35,1,7:07.0,,Defensive rebound by K. Towns,7,17
36,1,6:57.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Butler),7,19
37,1,6:34.0,N. Jokić misses 2-pt layup from 4 ft (block by K. Towns),,7,19
38,1,6:31.0,Offensive rebound by W. Chandler,,7,19
39,1,6:29.0,G. Harris misses 3-pt jump shot from 22 ft,,7,19
40,1,6:27.0,,Defensive rebound by A. Wiggins,7,19
41,1,6:17.0,,J. Teague misses 3-pt jump shot from 24 ft,7,19
42,1,6:14.0,Defensive rebound by M. Plumlee,,7,19
43,1,6:02.0,Offensive foul by N. Jokić (drawn by T. Gibson),,7,19
44,1,6:02.0,Turnover by N. Jokić (offensive foul),,7,19
45,1,5:38.0,,K. Towns misses 3-pt jump shot from 25 ft,7,19
46,1,5:35.0,Defensive rebound by N. Jokić,,7,19
47,1,5:27.0,Shooting foul by T. Gibson (drawn by N. Jokić),,7,19
48,1,5:27.0,N. Jokić makes free throw 1 of 2,,8,19
49,1,5:27.0,W. Barton enters the game for W. Chandler,,8,19
50,1,5:27.0,T. Lyles enters the game for M. Plumlee,,8,19
51,1,5:27.0,N. Jokić makes free throw 2 of 2,,9,19
52,1,5:20.0,,Personal foul by G. Harris (drawn by J. Butler),9,19
53,1,5:15.0,,J. Butler makes 2-pt jump shot from 18 ft (assist by K. Towns),9,21
54,1,4:54.0,Turnover by T. Lyles (lost ball; steal by J. Teague),,9,21
55,1,4:51.0,,Shooting foul by W. Barton (drawn by J. Butler),9,21
56,1,4:51.0,,J. Butler makes free throw 1 of 2,9,22
57,1,4:51.0,,G. Dieng enters the game for K. Towns,9,22
58,1,4:51.0,T. Craig enters the game for J. Murray,,9,22
59,1,4:51.0,,J. Butler makes free throw 2 of 2,9,23
60,1,4:35.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by N. Jokić),,12,23
61,1,4:16.0,,J. Butler makes 2-pt jump shot from 8 ft,12,25
62,1,4:00.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by W. Barton),,15,25
63,1,3:42.0,,J. Teague misses 3-pt jump shot from 25 ft,15,25
64,1,3:40.0,Defensive rebound by T. Lyles,,15,25
65,1,3:36.0,W. Barton makes 3-pt jump shot from 25 ft (assist by G. Harris),,18,25
66,1,3:19.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by G. Dieng),18,28
67,1,3:04.0,N. Jokić misses 3-pt jump shot from 26 ft,,18,28
68,1,3:01.0,,Defensive rebound by J. Butler,18,28
69,1,2:55.0,,J. Butler misses 2-pt jump shot from 3 ft,18,28
70,1,2:53.0,Defensive rebound by T. Lyles,,18,28
71,1,2:48.0,W. Barton misses 3-pt jump shot from 24 ft,,18,28
72,1,2:48.0,Offensive rebound by T. Craig,,18,28
73,1,2:47.0,T. Craig makes 2-pt layup at rim,,20,28
74,1,2:24.0,,T. Gibson misses 2-pt jump shot from 19 ft,20,28
75,1,2:24.0,,Offensive rebound by G. Dieng,20,28
76,1,2:17.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),20,30
77,1,2:00.0,N. Jokić misses 2-pt jump shot from 16 ft,,20,30
78,1,1:58.0,,Defensive rebound by G. Dieng,20,30
79,1,1:44.0,,J. Teague makes 2-pt layup at rim,20,32
80,1,1:44.0,Denver full timeout,,20,32
