,QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
0,1,11:43.0,,J. Tatum makes 2-pt jump shot from 17 ft,0,2
1,1,11:18.0,T. Young misses 2-pt layup from 5 ft (block by J. Tatum),,0,2
2,1,11:17.0,Offensive rebound by T. Young,,0,2
3,1,11:16.0,T. Young misses 2-pt hook shot from 5 ft,,0,2
4,1,11:15.0,Offensive rebound by T. Young,,0,2
5,1,10:59.0,Turnover by B. Bogdanović (bad pass; steal by M. Smart),,0,2
6,1,10:54.0,,M. Morris makes 2-pt layup from 4 ft (assist by M. Smart),0,4
7,1,10:42.0,C. Joseph misses 2-pt layup from 1 ft,,0,4
8,1,10:40.0,,Defensive rebound by M. Morris,0,4
9,1,10:39.0,,Turnover by K. Irving (bad pass),0,4
10,1,10:18.0,C. Joseph makes 2-pt layup from 2 ft (assist by B. Bogdanović),,2,4
11,1,10:04.0,,K. Irving misses 3-pt jump shot from 24 ft,2,4
12,1,10:02.0,Defensive rebound by B. Bogdanović,,2,4
13,1,9:51.0,V. Oladipo misses 2-pt jump shot from 21 ft,,2,4
14,1,9:47.0,,Defensive rebound by M. Smart,2,4
15,1,9:34.0,,A. Baynes misses 2-pt hook shot from 10 ft,2,4
16,1,9:30.0,,Offensive rebound by M. Smart,2,4
17,1,9:28.0,,K. Irving makes 3-pt jump shot from 22 ft (assist by M. Smart),2,7
18,1,9:03.0,B. Bogdanović makes 3-pt jump shot from 24 ft,,5,7
19,1,8:51.0,,M. Morris misses 3-pt jump shot from 24 ft,5,7
20,1,8:47.0,Defensive rebound by M. Turner,,5,7
21,1,8:34.0,,Offensive charge foul by T. Young (drawn by M. Smart),5,7
22,1,8:34.0,Turnover by T. Young (offensive foul),,5,7
23,1,8:22.0,,Turnover by K. Irving (turnover; steal by C. Joseph),5,7
24,1,8:19.0,B. Bogdanović misses 2-pt layup from 1 ft,,5,7
25,1,8:16.0,Offensive rebound by V. Oladipo,,5,7
26,1,8:01.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by C. Joseph),,8,7
27,1,7:47.0,,M. Smart makes 3-pt jump shot from 24 ft (assist by A. Baynes),8,10
28,1,7:34.0,Turnover by V. Oladipo (discontinued dribble),,8,10
29,1,7:27.0,,K. Irving makes 2-pt layup from 1 ft (assist by M. Morris),8,12
30,1,7:08.0,M. Turner misses 2-pt hook shot from 9 ft,,8,12
31,1,7:05.0,,Defensive rebound by K. Irving,8,12
32,1,6:59.0,,M. Morris misses 2-pt jump shot from 18 ft,8,12
33,1,6:56.0,Defensive rebound by M. Turner,,8,12
34,1,6:47.0,M. Turner misses 2-pt layup from 3 ft,,8,12
35,1,6:42.0,,Defensive rebound by M. Smart,8,12
36,1,6:36.0,,M. Smart makes 3-pt jump shot from 24 ft,8,15
37,1,6:20.0,V. Oladipo misses 3-pt jump shot from 26 ft,,8,15
38,1,6:18.0,,Defensive rebound by K. Irving,8,15
39,1,6:08.0,,J. Tatum misses 2-pt jump shot from 11 ft,8,15
40,1,6:05.0,Defensive rebound by V. Oladipo,,8,15
41,1,6:01.0,B. Bogdanović makes 3-pt jump shot from 26 ft,,11,15
42,1,6:01.0,,Violation by A. Baynes (def goaltending),11,15
43,1,5:45.0,,Turnover by A. Baynes (bad pass; steal by V. Oladipo),11,15
44,1,5:38.0,T. Young misses 3-pt jump shot from 25 ft,,11,15
45,1,5:35.0,,Defensive rebound by K. Irving,11,15
46,1,5:33.0,,Boston full timeout,11,15
47,1,5:33.0,,T. Rozier enters the game for J. Tatum,11,15
48,1,5:27.0,,A. Baynes makes 2-pt jump shot from 19 ft (assist by M. Smart),11,17
49,1,5:10.0,M. Turner makes 2-pt dunk from 2 ft (assist by T. Young),,13,17
50,1,4:47.0,,A. Baynes makes 2-pt hook shot from 4 ft (assist by T. Rozier),13,19
51,1,4:36.0,M. Turner makes 3-pt jump shot from 26 ft (assist by C. Joseph),,16,19
52,1,4:17.0,,T. Rozier makes 3-pt jump shot from 25 ft,16,22
53,1,4:08.0,Indiana full timeout,,16,22
54,1,4:08.0,D. Sabonis enters the game for T. Young,,16,22
55,1,4:08.0,G. Robinson enters the game for B. Bogdanović,,16,22
56,1,4:08.0,,D. Theis enters the game for M. Morris,16,22
57,1,4:00.0,V. Oladipo misses 3-pt jump shot from 26 ft,,16,22
58,1,3:57.0,Offensive rebound by M. Turner,,16,22
59,1,3:48.0,C. Joseph misses 2-pt jump shot from 15 ft,,16,22
60,1,3:47.0,Offensive rebound by Team,,16,22
61,1,3:47.0,,Loose ball foul by T. Rozier (drawn by M. Turner),16,22
62,1,3:47.0,D. Collison enters the game for C. Joseph,,16,22
63,1,3:31.0,G. Robinson makes 2-pt jump shot from 9 ft (assist by D. Collison),,18,22
64,1,3:13.0,,A. Baynes misses 2-pt layup from 4 ft,18,22
65,1,3:12.0,,Offensive rebound by A. Baynes,18,22
66,1,3:11.0,,A. Baynes misses 2-pt layup from 2 ft (block by M. Turner),18,22
67,1,3:10.0,,Offensive rebound by A. Baynes,18,22
68,1,3:00.0,,Turnover by M. Smart (bad pass; steal by G. Robinson),18,22
69,1,2:44.0,M. Turner misses 2-pt jump shot from 18 ft,,18,22
70,1,2:42.0,Offensive rebound by Team,,18,22
71,1,2:42.0,Personal foul by D. Theis (drawn by G. Robinson),,18,22
72,1,2:42.0,,G. Monroe enters the game for K. Irving,18,22
73,1,2:42.0,,S. Larkin enters the game for A. Baynes,18,22
74,1,2:42.0,T. Booker enters the game for M. Turner,,18,22
75,1,2:38.0,G. Robinson makes 2-pt layup from 2 ft (assist by T. Booker),,20,22
76,1,2:23.0,,T. Rozier misses 2-pt layup from 5 ft,20,22
77,1,2:19.0,Defensive rebound by D. Sabonis,,20,22
78,1,2:09.0,V. Oladipo misses 2-pt layup from 3 ft,,20,22
79,1,2:09.0,,Defensive rebound by D. Theis,20,22
80,1,2:04.0,,Shooting foul by G. Robinson (drawn by T. Rozier),20,22
81,1,2:04.0,,T. Rozier misses free throw 1 of 2,20,22
82,1,2:04.0,,Offensive rebound by Team,20,22
83,1,2:04.0,,J. Tatum enters the game for M. Smart,20,22
84,1,2:04.0,L. Stephenson enters the game for V. Oladipo,,20,22
85,1,2:04.0,,T. Rozier makes free throw 2 of 2,20,23
86,1,1:39.0,D. Sabonis misses 2-pt jump shot from 14 ft,,20,23
87,1,1:39.0,,Defensive rebound by G. Monroe,20,23
88,1,1:34.0,,Shooting foul by D. Collison (drawn by T. Rozier),20,23
89,1,1:34.0,,T. Rozier misses free throw 1 of 3,20,23
90,1,1:34.0,,Offensive rebound by Team,20,23
91,1,1:34.0,,T. Rozier makes free throw 2 of 3,20,24
92,1,1:34.0,,T. Rozier makes free throw 3 of 3,20,25
93,1,1:17.0,L. Stephenson misses 2-pt jump shot from 17 ft,,20,25
94,1,1:16.0,Offensive rebound by Team,,20,25
95,1,1:16.0,,Loose ball foul by J. Tatum (drawn by D. Sabonis),20,25
96,1,1:02.0,D. Collison misses 2-pt jump shot from 17 ft,,20,25
97,1,0:59.0,,Defensive rebound by J. Tatum,20,25
98,1,0:44.0,,Turnover by J. Tatum (bad pass),20,25
99,1,0:32.0,D. Sabonis makes 2-pt layup from 1 ft (assist by L. Stephenson),,22,25
100,1,0:22.0,,G. Monroe misses 2-pt layup from 4 ft (block by T. Booker),22,25
101,1,0:17.0,Defensive rebound by D. Sabonis,,22,25
102,1,0:02.0,Shooting foul by S. Larkin (drawn by D. Collison),,22,25
103,1,0:02.0,D. Collison makes free throw 1 of 2,,23,25
104,1,0:02.0,D. Collison makes free throw 2 of 2,,24,25
105,1,0:01.0,,T. Rozier misses 3-pt jump shot from 41 ft,24,25
106,1,0:01.0,,Offensive rebound by Team,24,25
107,2,11:45.0,D. Sabonis makes 2-pt layup from 5 ft (assist by D. Collison),,26,25
108,2,11:24.0,,G. Monroe makes 2-pt hook shot from 7 ft (assist by J. Tatum),26,27
109,2,11:07.0,B. Bogdanović misses 2-pt jump shot from 14 ft,,26,27
110,2,11:05.0,,Defensive rebound by G. Monroe,26,27
111,2,10:56.0,,J. Tatum makes 3-pt jump shot from 24 ft (assist by D. Theis),26,30
112,2,10:41.0,L. Stephenson makes 2-pt layup from 2 ft,,28,30
113,2,10:19.0,,G. Monroe misses 2-pt layup from 6 ft (block by B. Bogdanović),28,30
114,2,10:16.0,Defensive rebound by L. Stephenson,,28,30
115,2,10:04.0,L. Stephenson misses 3-pt jump shot from 26 ft,,28,30
116,2,10:02.0,,Defensive rebound by J. Tatum,28,30
117,2,9:59.0,,D. Theis makes 2-pt dunk at rim (assist by J. Tatum),28,32
118,2,9:38.0,T. Booker makes 2-pt jump shot from 17 ft (assist by D. Collison),,30,32
119,2,9:12.0,,Turnover by T. Rozier (bad pass; steal by D. Sabonis),30,32
120,2,8:54.0,T. Booker misses 3-pt jump shot from 24 ft,,30,32
121,2,8:52.0,,Defensive rebound by T. Rozier,30,32
122,2,8:51.0,,Personal foul by L. Stephenson (drawn by T. Rozier),30,32
123,2,8:38.0,,D. Theis misses 2-pt jump shot from 17 ft,30,32
124,2,8:35.0,Defensive rebound by D. Sabonis,,30,32
125,2,8:27.0,T. Booker misses 2-pt jump shot from 6 ft (block by G. Monroe),,30,32
126,2,8:23.0,,Defensive rebound by S. Larkin,30,32
