,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MINNESOTA_ACTION,ORLANDO_SCORE,MINNESOTA_SCORE
0,1,11:38.0,N. Vučević makes 2-pt jump shot from 9 ft,,2,0
1,1,11:15.0,,K. Towns misses 2-pt hook shot from 6 ft,2,0
2,1,11:14.0,,Offensive rebound by T. Gibson,2,0
3,1,11:13.0,,T. Gibson makes 2-pt layup at rim,2,2
4,1,10:58.0,A. Gordon misses 3-pt jump shot from 25 ft,,2,2
5,1,10:55.0,,Defensive rebound by A. Wiggins,2,2
6,1,10:48.0,,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),2,4
7,1,10:38.0,N. Vučević misses 3-pt jump shot from 25 ft,,2,4
8,1,10:38.0,,Defensive rebound by K. Towns,2,4
9,1,10:29.0,,Shooting foul by N. Vučević (drawn by T. Gibson),2,4
10,1,10:29.0,,T. Gibson makes free throw 1 of 2,2,5
11,1,10:29.0,,T. Gibson makes free throw 2 of 2,2,6
12,1,10:19.0,E. Payton makes 2-pt layup from 1 ft,,4,6
13,1,10:02.0,,J. Butler makes 2-pt jump shot from 5 ft,4,8
14,1,9:54.0,T. Ross makes 2-pt jump shot from 20 ft (assist by E. Payton),,6,8
15,1,9:30.0,,A. Wiggins misses 2-pt jump shot from 22 ft,6,8
16,1,9:28.0,Defensive rebound by N. Vučević,,6,8
17,1,9:20.0,T. Ross misses 3-pt jump shot from 26 ft,,6,8
18,1,9:15.0,,Defensive rebound by A. Wiggins,6,8
19,1,9:05.0,,Shooting foul by E. Payton (drawn by K. Towns),6,8
20,1,9:05.0,,K. Towns misses free throw 1 of 2,6,8
21,1,9:05.0,,Offensive rebound by Team,6,8
22,1,9:05.0,,K. Towns makes free throw 2 of 2,6,9
23,1,8:56.0,E. Fournier misses 2-pt jump shot from 6 ft (block by T. Gibson),,6,9
24,1,8:53.0,,Defensive rebound by K. Towns,6,9
25,1,8:33.0,,T. Gibson misses 2-pt jump shot from 7 ft,6,9
26,1,8:29.0,,Offensive rebound by J. Butler,6,9
27,1,8:28.0,,J. Butler misses 2-pt layup from 1 ft,6,9
28,1,8:28.0,Defensive rebound by N. Vučević,,6,9
29,1,8:25.0,E. Payton makes 2-pt layup from 2 ft,,8,9
30,1,8:01.0,,K. Towns makes 2-pt dunk from 1 ft,8,11
31,1,7:47.0,T. Ross makes 2-pt layup at rim (assist by E. Payton),,10,11
32,1,7:24.0,,Turnover by J. Butler (bad pass; steal by A. Gordon),10,11
33,1,7:21.0,Turnover by A. Gordon (step out of bounds),,10,11
34,1,7:04.0,,T. Gibson makes 2-pt layup from 2 ft (assist by J. Butler),10,13
35,1,6:49.0,A. Gordon makes 2-pt layup from 1 ft (assist by E. Payton),,12,13
36,1,6:39.0,,J. Teague makes 2-pt layup at rim,12,15
37,1,6:30.0,A. Gordon makes 2-pt layup from 1 ft (assist by E. Payton),,14,15
38,1,6:20.0,,J. Butler misses 2-pt layup from 1 ft,14,15
39,1,6:19.0,Defensive rebound by N. Vučević,,14,15
40,1,6:13.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by E. Payton),,17,15
41,1,5:53.0,,A. Wiggins makes 2-pt layup from 1 ft,17,17
42,1,5:38.0,T. Ross makes 2-pt layup at rim (assist by E. Payton),,19,17
43,1,5:32.0,,Turnover by K. Towns (traveling),19,17
44,1,5:32.0,,Minnesota full timeout,19,17
45,1,5:20.0,E. Payton misses 3-pt jump shot from 25 ft,,19,17
46,1,5:16.0,,Defensive rebound by K. Towns,19,17
47,1,5:05.0,,J. Butler makes 2-pt jump shot from 10 ft (assist by A. Wiggins),19,19
48,1,4:53.0,Shooting foul by T. Gibson (drawn by A. Gordon),,19,19
49,1,4:53.0,A. Gordon makes free throw 1 of 3,,20,19
50,1,4:53.0,A. Gordon misses free throw 2 of 3,,20,19
51,1,4:53.0,Offensive rebound by Team,,20,19
52,1,4:53.0,J. Simmons enters the game for T. Ross,,20,19
53,1,4:53.0,A. Gordon makes free throw 3 of 3,,21,19
54,1,4:38.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by T. Gibson),21,22
55,1,4:17.0,A. Gordon makes 2-pt layup from 1 ft (assist by E. Payton),,23,22
56,1,4:00.0,,A. Wiggins misses 3-pt jump shot from 24 ft,23,22
57,1,3:58.0,Defensive rebound by A. Gordon,,23,22
58,1,3:52.0,N. Vučević makes 2-pt layup at rim (assist by A. Gordon),,25,22
59,1,3:46.0,,Minnesota full timeout,25,22
60,1,3:46.0,,G. Dieng enters the game for K. Towns,25,22
61,1,3:32.0,,T. Gibson makes 2-pt layup from 2 ft (assist by J. Teague),25,24
62,1,3:13.0,N. Vučević misses 2-pt jump shot from 20 ft,,25,24
63,1,3:12.0,,Defensive rebound by J. Teague,25,24
64,1,2:58.0,,Personal foul by E. Fournier (drawn by A. Wiggins),25,24
65,1,2:58.0,D. Augustin enters the game for E. Payton,,25,24
66,1,2:48.0,,J. Butler misses 2-pt jump shot from 10 ft,25,24
67,1,2:45.0,Defensive rebound by N. Vučević,,25,24
68,1,2:44.0,Turnover by N. Vučević (bad pass; steal by J. Butler),,25,24
69,1,2:39.0,,J. Butler makes 2-pt jump shot from 7 ft,25,26
70,1,2:30.0,Shooting foul by G. Dieng (drawn by J. Simmons),,25,26
71,1,2:30.0,J. Simmons misses free throw 1 of 2,,25,26
72,1,2:30.0,Offensive rebound by Team,,25,26
73,1,2:30.0,,T. Jones enters the game for J. Teague,25,26
74,1,2:30.0,,J. Crawford enters the game for J. Butler,25,26
75,1,2:30.0,,N. Bjelica enters the game for T. Gibson,25,26
76,1,2:30.0,B. Biyombo enters the game for N. Vučević,,25,26
77,1,2:30.0,J. Simmons misses free throw 2 of 2,,25,26
78,1,2:27.0,Offensive rebound by A. Gordon,,25,26
79,1,2:25.0,J. Simmons makes 2-pt jump shot from 10 ft (assist by A. Gordon),,27,26
