,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MEMPHIS_ACTION,OKLAHOMA CITY_SCORE,MEMPHIS_SCORE
0,1,11:40.0,Turnover by R. Westbrook (bad pass; steal by M. Gasol),,0,0
1,1,11:29.0,,M. Gasol misses 3-pt jump shot from 24 ft,0,0
2,1,11:29.0,Defensive rebound by P. George,,0,0
3,1,11:15.0,R. Westbrook misses 2-pt jump shot from 18 ft,,0,0
4,1,11:11.0,Offensive rebound by S. Adams,,0,0
5,1,11:11.0,S. Adams misses 2-pt layup at rim,,0,0
6,1,11:11.0,,Defensive rebound by M. Gasol,0,0
7,1,10:56.0,,D. Brooks misses 3-pt jump shot from 25 ft,0,0
8,1,10:54.0,Defensive rebound by Team,,0,0
9,1,10:33.0,R. Westbrook misses 3-pt jump shot from 26 ft,,0,0
10,1,10:33.0,Offensive rebound by S. Adams,,0,0
11,1,10:28.0,C. Anthony makes 2-pt jump shot from 15 ft (assist by S. Adams),,2,0
12,1,10:06.0,,T. Evans makes 3-pt jump shot from 25 ft (assist by M. Gasol),2,3
13,1,9:49.0,C. Anthony makes 3-pt jump shot from 26 ft (assist by P. George),,5,3
14,1,9:27.0,,A. Harrison makes 3-pt jump shot from 25 ft (assist by T. Evans),5,6
15,1,9:16.0,R. Westbrook makes 2-pt jump shot from 19 ft,,7,6
16,1,9:08.0,,Shooting foul by C. Anthony (drawn by T. Evans),7,6
17,1,9:08.0,,T. Evans makes free throw 1 of 2,7,7
18,1,9:08.0,,T. Evans makes free throw 2 of 2,7,8
19,1,8:46.0,P. George misses 3-pt jump shot from 26 ft,,7,8
20,1,8:43.0,,Defensive rebound by T. Evans,7,8
21,1,8:37.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Green),7,11
22,1,8:20.0,S. Adams misses 2-pt hook shot from 5 ft,,7,11
23,1,8:17.0,,Defensive rebound by M. Gasol,7,11
24,1,8:09.0,,A. Harrison makes 2-pt layup at rim,7,13
25,1,8:00.0,Turnover by S. Adams (bad pass; steal by T. Evans),,7,13
26,1,7:49.0,,T. Evans misses 2-pt layup from 1 ft (block by S. Adams),7,13
27,1,7:48.0,Defensive rebound by Team,,7,13
28,1,7:48.0,Oklahoma City full timeout,,7,13
29,1,7:48.0,,J. Martin enters the game for J. Green,7,13
30,1,7:34.0,C. Anthony misses 3-pt jump shot from 23 ft,,7,13
31,1,7:30.0,,Defensive rebound by A. Harrison,7,13
32,1,7:23.0,,T. Evans makes 2-pt layup from 1 ft (assist by M. Gasol),7,15
33,1,7:07.0,Shooting foul by M. Gasol (drawn by R. Westbrook),,7,15
34,1,7:07.0,R. Westbrook makes free throw 1 of 2,,8,15
35,1,7:07.0,,M. Chalmers enters the game for A. Harrison,8,15
36,1,7:07.0,R. Westbrook makes free throw 2 of 2,,9,15
37,1,6:50.0,,Turnover by M. Gasol (bad pass),9,15
38,1,6:37.0,R. Westbrook makes 2-pt jump shot from 1 ft,,11,15
39,1,6:37.0,Shooting foul by M. Chalmers (drawn by R. Westbrook),,11,15
40,1,6:37.0,R. Westbrook makes free throw 1 of 1,,12,15
41,1,6:21.0,,M. Gasol makes 2-pt layup from 1 ft,12,17
42,1,6:15.0,,Offensive charge foul by S. Adams (drawn by M. Gasol),12,17
43,1,6:15.0,Turnover by S. Adams (offensive foul),,12,17
44,1,5:57.0,,Personal foul by Á. Abrines (drawn by M. Chalmers),12,17
45,1,5:57.0,J. Grant enters the game for Á. Abrines,,12,17
46,1,5:52.0,,D. Brooks makes 2-pt layup from 1 ft (assist by T. Evans),12,19
47,1,5:39.0,S. Adams misses 2-pt hook shot from 6 ft,,12,19
48,1,5:38.0,Offensive rebound by R. Westbrook,,12,19
49,1,5:36.0,R. Westbrook makes 2-pt layup at rim,,14,19
50,1,5:29.0,,J. Martin misses 2-pt dunk from 1 ft (block by J. Grant),14,19
51,1,5:26.0,Defensive rebound by J. Grant,,14,19
