,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHILADELPHIA_ACTION,INDIANA_SCORE,PHILADELPHIA_SCORE
0,1,11:39.0,,J. Embiid misses 2-pt hook shot from 1 ft,0,0
1,1,11:35.0,Defensive rebound by D. Sabonis,,0,0
2,1,11:20.0,T. Young makes 2-pt jump shot from 3 ft (assist by V. Oladipo),,2,0
3,1,11:10.0,,Personal foul by D. Collison (drawn by B. Simmons),2,0
4,1,10:58.0,,J. Redick makes 2-pt jump shot from 18 ft (assist by J. Embiid),2,2
5,1,10:40.0,Turnover by V. Oladipo (bad pass; steal by B. Simmons),,2,2
6,1,10:36.0,,R. Covington makes 2-pt dunk at rim (assist by B. Simmons),2,4
7,1,10:29.0,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by D. Collison),,4,4
8,1,10:20.0,,D. Šarić makes 2-pt jump shot from 16 ft (assist by B. Simmons),4,6
9,1,10:06.0,T. Young makes 2-pt layup from 1 ft (assist by V. Oladipo),,6,6
10,1,9:52.0,,B. Simmons makes 2-pt dunk at rim (assist by J. Embiid),6,8
11,1,9:34.0,Turnover by V. Oladipo (lost ball; steal by J. Embiid),,6,8
12,1,9:29.0,,J. Embiid misses 2-pt layup from 3 ft,6,8
13,1,9:27.0,,Offensive rebound by B. Simmons,6,8
14,1,9:26.0,,B. Simmons misses 2-pt layup from 1 ft,6,8
15,1,9:26.0,,Offensive rebound by D. Šarić,6,8
16,1,9:20.0,,D. Šarić makes 2-pt layup at rim,6,10
17,1,9:10.0,D. Collison misses 2-pt layup from 1 ft (block by B. Simmons),,6,10
18,1,9:10.0,Offensive rebound by Team,,6,10
19,1,9:08.0,B. Bogdanović makes 2-pt jump shot from 10 ft (assist by V. Oladipo),,8,10
20,1,8:55.0,,J. Redick misses 3-pt jump shot from 25 ft,8,10
21,1,8:51.0,,Offensive rebound by J. Embiid,8,10
22,1,8:51.0,,J. Embiid makes 2-pt hook shot from 14 ft,8,12
23,1,8:37.0,V. Oladipo misses 2-pt jump shot from 18 ft,,8,12
24,1,8:33.0,,Defensive rebound by R. Covington,8,12
25,1,8:27.0,,R. Covington misses 3-pt jump shot from 26 ft,8,12
26,1,8:22.0,Defensive rebound by D. Collison,,8,12
27,1,8:20.0,B. Bogdanović makes 2-pt layup from 1 ft,,10,12
28,1,8:20.0,Shooting foul by D. Šarić (drawn by B. Bogdanović),,10,12
29,1,8:20.0,B. Bogdanović makes free throw 1 of 1,,11,12
30,1,8:09.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),11,15
31,1,7:49.0,D. Sabonis misses 2-pt jump shot from 17 ft,,11,15
32,1,7:46.0,,Defensive rebound by B. Simmons,11,15
