,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
0,1,11:36.0,Turnover by A. Aminu (out of bounds lost ball),,0,0
1,1,11:24.0,,K. Towns misses 2-pt jump shot from 14 ft,0,0
2,1,11:20.0,,Offensive rebound by J. Teague,0,0
3,1,11:09.0,,J. Butler misses 2-pt jump shot from 5 ft,0,0
4,1,11:03.0,,Offensive rebound by K. Towns,0,0
5,1,11:03.0,,K. Towns misses 2-pt layup from 1 ft,0,0
6,1,11:01.0,Defensive rebound by A. Aminu,,0,0
7,1,10:51.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,2,0
8,1,10:30.0,,A. Wiggins misses 2-pt jump shot from 19 ft (block by C. McCollum),2,0
9,1,10:30.0,,Offensive rebound by Team,2,0
10,1,10:28.0,,J. Butler makes 2-pt jump shot from 17 ft (assist by J. Teague),2,2
11,1,10:12.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,4,2
12,1,9:55.0,,A. Wiggins makes 2-pt layup at rim (assist by J. Butler),4,4
13,1,9:43.0,Personal foul by T. Gibson (drawn by A. Aminu),,4,4
14,1,9:36.0,C. McCollum misses 3-pt jump shot from 24 ft,,4,4
15,1,9:32.0,,Defensive rebound by A. Wiggins,4,4
16,1,9:19.0,,J. Butler makes 3-pt jump shot from 24 ft (assist by K. Towns),4,7
17,1,9:05.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,6,7
18,1,8:55.0,,Turnover by J. Teague (bad pass; steal by E. Turner),6,7
19,1,8:50.0,Turnover by E. Turner (lost ball; steal by J. Butler),,6,7
20,1,8:38.0,,A. Wiggins misses 2-pt jump shot from 6 ft,6,7
21,1,8:35.0,Defensive rebound by A. Aminu,,6,7
22,1,8:30.0,A. Aminu makes 2-pt dunk from 1 ft (assist by D. Lillard),,8,7
23,1,8:13.0,,J. Butler makes 3-pt jump shot from 23 ft (assist by J. Teague),8,10
24,1,8:00.0,J. Nurkić misses 2-pt jump shot from 20 ft,,8,10
25,1,8:00.0,,Defensive rebound by J. Butler,8,10
26,1,7:47.0,,T. Gibson makes 2-pt layup at rim,8,12
27,1,7:34.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by D. Lillard),,11,12
28,1,7:22.0,,J. Teague misses 2-pt jump shot from 15 ft,11,12
29,1,7:21.0,Defensive rebound by D. Lillard,,11,12
30,1,7:16.0,D. Lillard misses 2-pt layup from 1 ft,,11,12
31,1,7:13.0,,Defensive rebound by T. Gibson,11,12
32,1,7:04.0,,Shooting foul by A. Aminu (drawn by J. Butler),11,12
33,1,7:04.0,,J. Butler makes free throw 1 of 2,11,13
34,1,7:04.0,,J. Butler makes free throw 2 of 2,11,14
35,1,6:44.0,A. Aminu misses 2-pt layup from 1 ft,,11,14
36,1,6:42.0,,Defensive rebound by K. Towns,11,14
37,1,6:31.0,,T. Gibson makes 2-pt layup at rim,11,16
38,1,6:07.0,C. McCollum misses 3-pt jump shot from 24 ft,,11,16
39,1,6:05.0,,Defensive rebound by K. Towns,11,16
40,1,5:50.0,,A. Wiggins misses 2-pt layup from 2 ft (block by D. Lillard),11,16
41,1,5:47.0,Defensive rebound by C. McCollum,,11,16
42,1,5:46.0,C. McCollum makes 2-pt layup from 1 ft,,13,16
43,1,5:29.0,,Turnover by K. Towns (offensive goaltending),13,16
44,1,5:29.0,,Minnesota full timeout,13,16
45,1,5:29.0,E. Davis enters the game for E. Turner,,13,16
46,1,5:29.0,Z. Collins enters the game for J. Nurkić,,13,16
47,1,5:08.0,Turnover by E. Davis (lost ball; steal by J. Butler),,13,16
48,1,5:03.0,,Turnover by K. Towns (lost ball; steal by C. McCollum),13,16
49,1,4:54.0,A. Aminu misses 2-pt jump shot from 10 ft,,13,16
50,1,4:51.0,Offensive rebound by E. Davis,,13,16
51,1,4:51.0,E. Davis makes 2-pt layup at rim,,15,16
52,1,4:32.0,,T. Gibson makes 2-pt jump shot from 16 ft (assist by J. Butler),15,18
53,1,4:12.0,D. Lillard misses 3-pt jump shot from 25 ft,,15,18
54,1,4:10.0,,Defensive rebound by K. Towns,15,18
55,1,4:02.0,,J. Teague makes 2-pt layup from 1 ft,15,20
56,1,3:51.0,C. McCollum misses 2-pt jump shot from 10 ft,,15,20
57,1,3:47.0,,Defensive rebound by A. Wiggins,15,20
58,1,3:36.0,,K. Towns misses 3-pt jump shot from 23 ft,15,20
59,1,3:34.0,Defensive rebound by Z. Collins,,15,20
60,1,3:24.0,E. Davis makes 2-pt dunk at rim (assist by D. Lillard),,17,20
61,1,3:03.0,,Personal foul by Z. Collins (drawn by T. Gibson),17,20
62,1,3:03.0,,G. Dieng enters the game for J. Butler,17,20
63,1,3:03.0,,J. Crawford enters the game for K. Towns,17,20
64,1,3:03.0,P. Connaughton enters the game for C. McCollum,,17,20
65,1,2:52.0,,J. Crawford misses 2-pt jump shot from 20 ft,17,20
66,1,2:48.0,Defensive rebound by P. Connaughton,,17,20
