,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MILWAUKEE_ACTION,CLEVELAND_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,,K. Middleton misses 3-pt jump shot from 23 ft,0,0
1,1,11:40.0,Defensive rebound by K. Love,,0,0
2,1,11:30.0,L. James makes 2-pt jump shot from 9 ft,,2,0
3,1,11:22.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,2,0
4,1,11:22.0,Defensive rebound by Team,,2,0
5,1,11:04.0,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),,5,0
6,1,10:52.0,,Turnover by E. Bledsoe (traveling),5,0
7,1,10:35.0,J. Crowder makes 2-pt layup at rim (assist by J. Smith),,7,0
8,1,10:20.0,,K. Middleton makes 2-pt layup at rim (assist by E. Bledsoe),7,2
9,1,10:00.0,Shooting foul by M. Dellavedova (drawn by J. Calderón),,7,2
10,1,10:00.0,J. Calderón makes free throw 1 of 3,,8,2
11,1,10:00.0,J. Calderón makes free throw 2 of 3,,9,2
12,1,10:00.0,J. Calderón makes free throw 3 of 3,,10,2
13,1,9:42.0,,Turnover by E. Bledsoe (bad pass),10,2
14,1,9:31.0,L. James misses 2-pt jump shot from 12 ft,,10,2
15,1,9:29.0,,Defensive rebound by J. Henson,10,2
16,1,9:27.0,,Shooting foul by J. Calderón (drawn by E. Bledsoe),10,2
17,1,9:27.0,,E. Bledsoe makes free throw 1 of 2,10,3
18,1,9:27.0,,E. Bledsoe makes free throw 2 of 2,10,4
19,1,9:16.0,Turnover by L. James (bad pass; steal by J. Henson),,10,4
20,1,9:12.0,,Turnover by M. Dellavedova (bad pass; steal by L. James),10,4
21,1,9:06.0,K. Love makes 3-pt jump shot from 27 ft (assist by L. James),,13,4
22,1,8:49.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,13,4
23,1,8:47.0,Defensive rebound by J. Crowder,,13,4
24,1,8:42.0,L. James makes 2-pt layup from 2 ft,,15,4
25,1,8:42.0,,Milwaukee full timeout,15,4
26,1,8:29.0,,Def 3 sec tech foul by K. Love,15,4
27,1,8:29.0,,K. Middleton makes technical free throw,15,5
28,1,8:23.0,,J. Henson misses 2-pt jump shot from 18 ft,15,5
29,1,8:20.0,Defensive rebound by K. Love,,15,5
30,1,8:09.0,Personal foul by M. Dellavedova (drawn by K. Love),,15,5
31,1,8:03.0,J. Crowder misses 3-pt jump shot from 26 ft,,15,5
32,1,7:59.0,,Defensive rebound by G. Antetokounmpo,15,5
33,1,7:51.0,,M. Dellavedova makes 3-pt jump shot from 22 ft (assist by G. Antetokounmpo),15,8
34,1,7:23.0,J. Smith makes 2-pt jump shot from 21 ft,,17,8
35,1,7:09.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),17,10
36,1,6:53.0,K. Love misses 3-pt jump shot from 28 ft,,17,10
37,1,6:49.0,,Defensive rebound by E. Bledsoe,17,10
38,1,6:39.0,,Turnover by K. Middleton (bad pass; steal by L. James),17,10
39,1,6:34.0,Turnover by K. Love (bad pass; steal by E. Bledsoe),,17,10
40,1,6:32.0,,Personal foul by J. Smith (drawn by G. Antetokounmpo),17,10
41,1,6:32.0,,T. Snell enters the game for M. Dellavedova,17,10
42,1,6:28.0,,K. Middleton makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),17,12
43,1,6:08.0,J. Crowder misses 2-pt layup from 3 ft (block by J. Henson),,17,12
44,1,6:08.0,Offensive rebound by Team,,17,12
45,1,6:00.0,L. James misses 2-pt jump shot from 15 ft,,17,12
46,1,5:56.0,,Defensive rebound by J. Henson,17,12
47,1,5:44.0,,K. Middleton makes 2-pt jump shot from 19 ft (assist by J. Henson),17,14
48,1,5:33.0,K. Love makes 2-pt jump shot from 1 ft (assist by L. James),,19,14
49,1,5:21.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,19,14
50,1,5:18.0,Defensive rebound by K. Love,,19,14
51,1,5:06.0,Turnover by L. James (lost ball; steal by T. Snell),,19,14
52,1,5:02.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),19,16
53,1,5:02.0,Cleveland full timeout,,19,16
54,1,5:02.0,,T. Maker enters the game for J. Henson,19,16
55,1,4:53.0,L. James makes 2-pt dunk at rim (assist by K. Love),,21,16
56,1,4:35.0,,Shooting foul by J. Calderón (drawn by G. Antetokounmpo),21,16
57,1,4:35.0,,G. Antetokounmpo makes free throw 1 of 2,21,17
58,1,4:35.0,,G. Antetokounmpo misses free throw 2 of 2,21,17
59,1,4:35.0,Defensive rebound by J. Crowder,,21,17
60,1,4:35.0,D. Wade enters the game for J. Calderón,,21,17
61,1,4:23.0,J. Crowder misses 3-pt jump shot from 27 ft,,21,17
62,1,4:20.0,,Defensive rebound by E. Bledsoe,21,17
63,1,4:15.0,,E. Bledsoe makes 2-pt jump shot from 16 ft,21,19
64,1,3:55.0,K. Love makes 2-pt jump shot from 19 ft (assist by J. Smith),,23,19
65,1,3:43.0,,Personal foul by J. Smith (drawn by K. Middleton),23,19
66,1,3:43.0,,M. Brogdon enters the game for E. Bledsoe,23,19
67,1,3:43.0,J. Green enters the game for J. Smith,,23,19
68,1,3:43.0,K. Korver enters the game for J. Crowder,,23,19
69,1,3:27.0,,K. Middleton misses 2-pt jump shot from 12 ft,23,19
70,1,3:27.0,,Offensive rebound by T. Maker,23,19
71,1,3:27.0,,Shooting foul by K. Korver (drawn by T. Maker),23,19
72,1,3:27.0,,T. Maker misses free throw 1 of 2,23,19
73,1,3:27.0,,Offensive rebound by Team,23,19
74,1,3:27.0,,T. Maker makes free throw 2 of 2,23,20
75,1,3:27.0,,D. Liggins enters the game for K. Middleton,23,20
76,1,3:15.0,K. Love makes 3-pt jump shot from 27 ft (assist by L. James),,26,20
77,1,3:04.0,,T. Snell misses 3-pt jump shot from 25 ft,26,20
78,1,3:04.0,Defensive rebound by K. Love,,26,20
79,1,2:55.0,K. Love misses 3-pt jump shot from 27 ft,,26,20
80,1,2:55.0,,Defensive rebound by M. Brogdon,26,20
81,1,2:36.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by T. Maker),26,23
82,1,2:18.0,J. Green makes 2-pt layup from 1 ft (assist by K. Love),,28,23
83,1,2:03.0,,G. Antetokounmpo makes 2-pt jump shot from 10 ft,28,25
84,1,1:45.0,K. Korver misses 2-pt jump shot from 10 ft,,28,25
85,1,1:45.0,,Defensive rebound by G. Antetokounmpo,28,25
86,1,1:37.0,,G. Antetokounmpo misses 2-pt hook shot from 1 ft,28,25
87,1,1:37.0,Defensive rebound by K. Love,,28,25
88,1,1:19.0,Personal foul by T. Maker (drawn by L. James),,28,25
89,1,1:19.0,T. Thompson enters the game for K. Love,,28,25
90,1,1:06.0,D. Wade makes 3-pt jump shot from 23 ft (assist by T. Thompson),,31,25
91,1,0:54.0,,T. Snell misses 3-pt jump shot from 25 ft,31,25
92,1,0:52.0,Defensive rebound by T. Thompson,,31,25
93,1,0:37.0,Personal foul by T. Maker (drawn by T. Thompson),,31,25
94,1,0:37.0,T. Thompson makes free throw 1 of 2,,32,25
95,1,0:37.0,T. Thompson misses free throw 2 of 2,,32,25
96,1,0:37.0,,Defensive rebound by G. Antetokounmpo,32,25
97,1,0:37.0,C. Osman enters the game for L. James,,32,25
98,1,0:23.0,,T. Snell makes 2-pt jump shot from 1 ft (assist by D. Liggins),32,27
99,1,0:01.0,D. Wade makes 2-pt layup from 1 ft,,34,27
100,1,0:00.0,,Shooting foul by K. Korver (drawn by G. Antetokounmpo),34,27
101,1,0:00.0,,G. Antetokounmpo makes free throw 1 of 3,34,28
102,1,0:00.0,,G. Antetokounmpo makes free throw 2 of 3,34,29
103,1,0:00.0,,G. Antetokounmpo makes free throw 3 of 3,34,30
104,2,11:54.0,J. Green misses 2-pt layup from 2 ft (block by T. Maker),,34,30
