,QUARTER,TIME_REMAINING,DENVER_ACTION,TORONTO_ACTION,DENVER_SCORE,TORONTO_SCORE
0,1,11:45.0,,J. Valančiūnas misses 2-pt hook shot from 6 ft,0,0
1,1,11:43.0,Defensive rebound by W. Chandler,,0,0
2,1,11:36.0,Turnover by N. Jokić (bad pass; steal by D. DeRozan),,0,0
3,1,11:31.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by D. DeRozan),0,3
4,1,11:11.0,J. Murray makes 2-pt jump shot from 9 ft (assist by P. Millsap),,2,3
5,1,10:57.0,,J. Valančiūnas misses 2-pt jump shot from 6 ft (block by J. Murray),2,3
6,1,10:54.0,Defensive rebound by N. Jokić,,2,3
7,1,10:50.0,W. Barton misses 3-pt jump shot from 25 ft,,2,3
8,1,10:46.0,Offensive rebound by N. Jokić,,2,3
9,1,10:45.0,Turnover by N. Jokić (turnover; steal by S. Ibaka),,2,3
10,1,10:29.0,,S. Ibaka misses 3-pt jump shot from 24 ft,2,3
11,1,10:27.0,Defensive rebound by J. Murray,,2,3
12,1,10:25.0,,Violation by O. Anunoby (kicked ball),2,3
13,1,10:22.0,N. Jokić misses 3-pt jump shot from 25 ft,,2,3
14,1,10:20.0,,Defensive rebound by S. Ibaka,2,3
15,1,10:07.0,,K. Lowry makes 3-pt jump shot from 23 ft (assist by D. DeRozan),2,6
16,1,9:46.0,N. Jokić misses 2-pt jump shot from 10 ft,,2,6
17,1,9:44.0,,Defensive rebound by J. Valančiūnas,2,6
18,1,9:30.0,,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by D. DeRozan),2,8
19,1,9:17.0,W. Barton misses 2-pt jump shot from 6 ft,,2,8
20,1,9:15.0,,Defensive rebound by O. Anunoby,2,8
21,1,9:09.0,,O. Anunoby misses 2-pt layup from 1 ft,2,8
22,1,9:06.0,Defensive rebound by P. Millsap,,2,8
23,1,8:57.0,Personal foul by D. DeRozan (drawn by W. Barton),,2,8
24,1,8:51.0,N. Jokić makes 2-pt jump shot from 16 ft (assist by J. Murray),,4,8
25,1,8:34.0,,Turnover by J. Valančiūnas (traveling),4,8
26,1,8:23.0,J. Murray misses 2-pt layup from 4 ft (block by K. Lowry),,4,8
27,1,8:23.0,Offensive rebound by Team,,4,8
28,1,8:12.0,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Murray),,7,8
29,1,7:56.0,,Turnover by K. Lowry (bad pass; steal by P. Millsap),7,8
30,1,7:53.0,W. Barton misses 2-pt layup from 2 ft (block by K. Lowry),,7,8
31,1,7:53.0,Offensive rebound by Team,,7,8
32,1,7:45.0,Shooting foul by J. Valančiūnas (drawn by N. Jokić),,7,8
33,1,7:45.0,N. Jokić makes free throw 1 of 2,,8,8
34,1,7:45.0,N. Jokić makes free throw 2 of 2,,9,8
35,1,7:34.0,,S. Ibaka misses 2-pt jump shot from 21 ft,9,8
36,1,7:30.0,Defensive rebound by N. Jokić,,9,8
37,1,7:21.0,W. Barton misses 2-pt layup from 2 ft (block by S. Ibaka),,9,8
38,1,7:17.0,Offensive rebound by N. Jokić,,9,8
39,1,7:14.0,J. Murray misses 3-pt jump shot from 27 ft,,9,8
40,1,7:11.0,,Defensive rebound by S. Ibaka,9,8
41,1,6:55.0,,O. Anunoby misses 3-pt jump shot from 23 ft,9,8
42,1,6:54.0,Defensive rebound by Team,,9,8
43,1,6:54.0,,Toronto full timeout,9,8
44,1,6:33.0,P. Millsap makes 2-pt jump shot from 17 ft,,11,8
45,1,6:10.0,,O. Anunoby makes 3-pt jump shot from 23 ft (assist by D. DeRozan),11,11
46,1,5:50.0,J. Murray misses 3-pt jump shot from 25 ft,,11,11
47,1,5:48.0,,Defensive rebound by J. Valančiūnas,11,11
48,1,5:36.0,,O. Anunoby makes 2-pt layup from 2 ft (assist by K. Lowry),11,13
49,1,5:18.0,W. Barton misses 3-pt jump shot from 25 ft,,11,13
50,1,5:16.0,Offensive rebound by N. Jokić,,11,13
51,1,5:12.0,W. Barton makes 2-pt jump shot from 6 ft (assist by N. Jokić),,13,13
52,1,5:04.0,,Turnover by D. DeRozan (bad pass; steal by W. Chandler),13,13
53,1,5:03.0,Personal foul by O. Anunoby (drawn by J. Murray),,13,13
54,1,5:03.0,M. Plumlee enters the game for N. Jokić,,13,13
55,1,5:03.0,D. Harris enters the game for J. Murray,,13,13
56,1,4:50.0,W. Barton misses 2-pt jump shot from 16 ft,,13,13
57,1,4:48.0,,Defensive rebound by S. Ibaka,13,13
58,1,4:44.0,,K. Lowry makes 3-pt jump shot from 25 ft,13,16
59,1,4:27.0,P. Millsap makes 2-pt jump shot from 6 ft,,15,16
60,1,4:07.0,,Turnover by K. Lowry (bad pass; steal by W. Barton),15,16
61,1,4:02.0,Turnover by D. Harris (bad pass; steal by D. DeRozan),,15,16
62,1,3:56.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by K. Lowry),15,18
63,1,3:34.0,P. Millsap makes 2-pt jump shot from 11 ft,,17,18
64,1,3:29.0,,Personal foul by W. Barton (drawn by K. Lowry),17,18
65,1,3:29.0,,J. Poeltl enters the game for O. Anunoby,17,18
66,1,3:29.0,,C. Miles enters the game for J. Valančiūnas,17,18
67,1,3:21.0,,D. DeRozan makes 2-pt layup from 2 ft,17,20
68,1,3:07.0,D. Harris misses 3-pt jump shot from 25 ft,,17,20
69,1,3:04.0,Offensive rebound by P. Millsap,,17,20
70,1,3:00.0,P. Millsap misses 2-pt layup from 4 ft (block by S. Ibaka),,17,20
