,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CLEVELAND_ACTION,NEW YORK_SCORE,CLEVELAND_SCORE
0,1,11:43.0,M. Beasley makes 2-pt layup from 1 ft (assist by T. Burke),,2,0
1,1,11:28.0,,G. Hill makes 2-pt layup at rim (assist by L. James),2,2
2,1,11:12.0,M. Beasley makes 2-pt jump shot from 10 ft,,4,2
3,1,11:05.0,,G. Hill makes 2-pt layup from 1 ft (assist by L. James),4,4
4,1,10:54.0,K. O'Quinn misses 2-pt layup from 1 ft (block by G. Hill),,4,4
5,1,10:51.0,,Defensive rebound by L. Nance,4,4
6,1,10:45.0,,Turnover by L. James (bad pass; steal by T. Burke),4,4
7,1,10:38.0,Turnover by F. Ntilikina (lost ball; steal by G. Hill),,4,4
8,1,10:38.0,,Personal foul by K. O'Quinn (drawn by L. James),4,4
9,1,10:22.0,,L. James makes 2-pt jump shot from 20 ft,4,6
10,1,10:03.0,Turnover by L. Thomas (lost ball; steal by G. Hill),,4,6
11,1,9:58.0,,J. Green makes 2-pt dunk at rim (assist by C. Osman),4,8
12,1,9:58.0,New York full timeout,,4,8
13,1,9:48.0,F. Ntilikina misses 3-pt jump shot from 27 ft,,4,8
14,1,9:44.0,,Defensive rebound by L. Nance,4,8
15,1,9:41.0,,Turnover by L. James (bad pass; steal by F. Ntilikina),4,8
16,1,9:34.0,T. Burke misses 2-pt jump shot from 18 ft,,4,8
17,1,9:31.0,,Defensive rebound by G. Hill,4,8
18,1,9:12.0,,J. Green misses 2-pt jump shot from 12 ft,4,8
19,1,9:03.0,,Offensive rebound by L. Nance,4,8
20,1,9:03.0,,L. Nance misses 2-pt dunk at rim,4,8
21,1,9:02.0,Defensive rebound by K. O'Quinn,,4,8
22,1,9:01.0,T. Burke misses 3-pt jump shot from 26 ft,,4,8
23,1,8:57.0,,Defensive rebound by C. Osman,4,8
24,1,8:45.0,,L. James misses 2-pt jump shot from 17 ft,4,8
25,1,8:43.0,Defensive rebound by T. Burke,,4,8
26,1,8:29.0,Shooting foul by C. Osman (drawn by M. Beasley),,4,8
27,1,8:29.0,M. Beasley makes free throw 1 of 2,,5,8
28,1,8:29.0,M. Beasley makes free throw 2 of 2,,6,8
29,1,8:13.0,,L. James makes 2-pt layup from 1 ft (assist by L. Nance),6,10
30,1,8:01.0,L. Thomas misses 2-pt hook shot from 14 ft,,6,10
31,1,7:59.0,,Defensive rebound by L. James,6,10
32,1,7:57.0,,L. James misses 3-pt jump shot from 26 ft,6,10
33,1,7:53.0,,Offensive rebound by J. Green,6,10
34,1,7:51.0,,J. Green misses 3-pt jump shot from 23 ft,6,10
35,1,7:48.0,Defensive rebound by F. Ntilikina,,6,10
36,1,7:35.0,Turnover by T. Burke (bad pass),,6,10
37,1,7:27.0,,L. James makes 2-pt jump shot from 17 ft (assist by C. Osman),6,12
38,1,7:16.0,Personal foul by G. Hill (drawn by T. Burke),,6,12
39,1,7:16.0,D. Dotson enters the game for T. Burke,,6,12
40,1,7:11.0,F. Ntilikina misses 2-pt jump shot from 20 ft,,6,12
41,1,7:07.0,Offensive rebound by K. O'Quinn,,6,12
42,1,7:03.0,Turnover by D. Dotson (bad pass; steal by L. James),,6,12
43,1,6:47.0,Violation by L. Thomas (kicked ball),,6,12
44,1,6:42.0,,L. Nance misses 2-pt jump shot from 20 ft,6,12
45,1,6:39.0,Defensive rebound by K. O'Quinn,,6,12
46,1,6:30.0,Turnover by M. Beasley (bad pass; steal by L. Nance),,6,12
47,1,6:29.0,,Personal foul by F. Ntilikina (drawn by L. James),6,12
48,1,6:29.0,,Cleveland full timeout,6,12
49,1,6:20.0,,Def 3 sec tech foul by K. O'Quinn,6,12
50,1,6:20.0,,L. James misses technical free throw,6,12
51,1,6:20.0,,Offensive rebound by Team,6,12
52,1,6:18.0,,Turnover by G. Hill (bad pass; steal by F. Ntilikina),6,12
53,1,6:11.0,M. Beasley misses 2-pt layup from 1 ft,,6,12
54,1,6:07.0,Offensive rebound by F. Ntilikina,,6,12
55,1,6:06.0,F. Ntilikina misses 2-pt layup from 1 ft,,6,12
56,1,6:01.0,,Defensive rebound by J. Green,6,12
57,1,5:49.0,,L. James misses 2-pt jump shot from 20 ft,6,12
58,1,5:44.0,,Offensive rebound by C. Osman,6,12
59,1,5:44.0,,C. Osman misses 2-pt layup at rim,6,12
60,1,5:43.0,,Offensive rebound by L. Nance,6,12
61,1,5:39.0,,L. James misses 2-pt layup from 1 ft (block by M. Beasley),6,12
62,1,5:36.0,Defensive rebound by M. Beasley,,6,12
63,1,5:33.0,L. Thomas misses 3-pt jump shot from 22 ft,,6,12
64,1,5:32.0,Offensive rebound by Team,,6,12
65,1,5:32.0,,Loose ball foul by C. Osman (drawn by K. O'Quinn),6,12
66,1,5:32.0,,J. Smith enters the game for C. Osman,6,12
67,1,5:32.0,L. Kornet enters the game for K. O'Quinn,,6,12
68,1,5:26.0,L. Thomas misses 3-pt jump shot from 24 ft,,6,12
69,1,5:24.0,Offensive rebound by F. Ntilikina,,6,12
70,1,5:21.0,L. Thomas makes 2-pt dunk from 1 ft (assist by F. Ntilikina),,8,12
71,1,5:01.0,,J. Smith misses 2-pt jump shot from 19 ft,8,12
72,1,4:59.0,Defensive rebound by D. Dotson,,8,12
73,1,4:49.0,F. Ntilikina misses 2-pt jump shot from 8 ft,,8,12
74,1,4:47.0,,Defensive rebound by L. Nance,8,12
75,1,4:39.0,,Shooting foul by L. Kornet (drawn by L. James),8,12
76,1,4:39.0,,L. James makes free throw 1 of 2,8,13
77,1,4:39.0,,L. James makes free throw 2 of 2,8,14
78,1,4:22.0,M. Beasley misses 2-pt layup from 4 ft (block by J. Green),,8,14
79,1,4:18.0,Offensive rebound by M. Beasley,,8,14
80,1,4:16.0,M. Beasley misses 2-pt layup from 1 ft,,8,14
81,1,4:14.0,,Defensive rebound by L. James,8,14
82,1,3:58.0,,G. Hill misses 2-pt jump shot from 6 ft,8,14
83,1,3:55.0,Defensive rebound by M. Beasley,,8,14
84,1,3:45.0,D. Dotson misses 2-pt layup at rim,,8,14
85,1,3:42.0,,Defensive rebound by J. Smith,8,14
86,1,3:36.0,,J. Smith misses 3-pt jump shot from 24 ft,8,14
87,1,3:34.0,,Offensive rebound by L. James,8,14
88,1,3:32.0,,L. Nance misses 2-pt layup at rim,8,14
89,1,3:27.0,,Offensive rebound by L. Nance,8,14
90,1,3:27.0,,L. Nance makes 2-pt layup at rim,8,16
91,1,3:18.0,L. Kornet makes 3-pt jump shot from 27 ft (assist by F. Ntilikina),,11,16
92,1,3:01.0,,Personal foul by L. Thomas (drawn by L. Nance),11,16
93,1,3:01.0,,J. Calderón enters the game for G. Hill,11,16
94,1,3:01.0,T. Burke enters the game for F. Ntilikina,,11,16
95,1,2:50.0,,L. Nance makes 2-pt layup from 1 ft (assist by J. Green),11,18
96,1,2:37.0,L. Kornet makes 2-pt layup from 1 ft (assist by T. Burke),,13,18
97,1,2:16.0,,L. James makes 2-pt layup from 1 ft,13,20
98,1,2:03.0,L. Kornet misses 3-pt jump shot from 25 ft,,13,20
99,1,1:57.0,,Defensive rebound by L. James,13,20
100,1,1:53.0,,L. James misses 3-pt jump shot from 26 ft,13,20
101,1,1:50.0,Defensive rebound by D. Dotson,,13,20
102,1,1:35.0,L. Kornet misses 2-pt jump shot from 12 ft,,13,20
103,1,1:33.0,,Defensive rebound by L. James,13,20
104,1,1:31.0,,Turnover by L. James (bad pass; steal by M. Beasley),13,20
105,1,1:28.0,M. Beasley makes 2-pt jump shot from 10 ft,,15,20
106,1,1:27.0,,Cleveland full timeout,15,20
107,1,1:27.0,,T. Thompson enters the game for L. Nance,15,20
108,1,1:27.0,,J. Holland enters the game for L. James,15,20
109,1,1:27.0,,J. Clarkson enters the game for J. Green,15,20
110,1,1:27.0,I. Hicks enters the game for L. Thomas,,15,20
111,1,1:14.0,,J. Smith misses 3-pt jump shot from 26 ft,15,20
112,1,1:10.0,Defensive rebound by I. Hicks,,15,20
113,1,0:57.0,T. Burke makes 3-pt jump shot from 26 ft (assist by L. Kornet),,18,20
114,1,0:48.0,,J. Holland misses 3-pt jump shot from 22 ft,18,20
115,1,0:45.0,Defensive rebound by L. Kornet,,18,20
116,1,0:34.0,T. Burke misses 3-pt jump shot from 26 ft,,18,20
117,1,0:29.0,Offensive rebound by M. Beasley,,18,20
118,1,0:15.0,M. Beasley makes 2-pt layup from 1 ft,,20,20
119,1,0:15.0,,Violation by T. Thompson (def goaltending),20,20
120,1,0:01.0,,J. Clarkson misses 2-pt jump shot from 17 ft,20,20
121,1,0:01.0,Defensive rebound by I. Hicks,,20,20
122,2,11:46.0,,T. Thompson misses 2-pt dunk from 2 ft,20,20
123,2,11:42.0,Defensive rebound by T. Burke,,20,20
124,2,11:42.0,Shooting foul by J. Holland (drawn by D. Dotson),,20,20
125,2,11:42.0,D. Dotson makes free throw 1 of 2,,21,20
126,2,11:42.0,D. Dotson makes free throw 2 of 2,,22,20
127,2,11:28.0,,Turnover by J. Smith (bad pass; steal by L. Kornet),22,20
128,2,11:13.0,Shooting foul by T. Thompson (drawn by J. Jack),,22,20
129,2,11:13.0,J. Jack makes free throw 1 of 2,,23,20
130,2,11:13.0,,C. Osman enters the game for J. Smith,23,20
131,2,11:13.0,J. Jack makes free throw 2 of 2,,24,20
132,2,11:01.0,,J. Clarkson misses 2-pt jump shot from 14 ft,24,20
133,2,10:58.0,Defensive rebound by D. Dotson,,24,20
134,2,10:41.0,Turnover by I. Hicks (traveling),,24,20
135,2,10:29.0,,J. Clarkson makes 2-pt layup at rim,24,22
136,2,10:13.0,L. Kornet misses 3-pt jump shot from 26 ft,,24,22
137,2,10:11.0,,Defensive rebound by T. Thompson,24,22
138,2,10:07.0,,C. Osman misses 3-pt jump shot from 23 ft,24,22
139,2,10:03.0,,Offensive rebound by J. Holland,24,22
140,2,10:01.0,,J. Holland misses 2-pt layup from 1 ft,24,22
141,2,10:01.0,,Offensive rebound by T. Thompson,24,22
142,2,10:00.0,,T. Thompson misses 2-pt layup at rim,24,22
143,2,10:00.0,,Offensive rebound by Team,24,22
144,2,9:49.0,,C. Osman misses 3-pt jump shot from 26 ft,24,22
145,2,9:47.0,Defensive rebound by D. Dotson,,24,22
146,2,9:44.0,T. Burke misses 2-pt jump shot from 14 ft,,24,22
147,2,9:40.0,,Defensive rebound by J. Clarkson,24,22
148,2,9:34.0,,Offensive foul by T. Thompson (drawn by D. Dotson),24,22
149,2,9:34.0,,Turnover by T. Thompson (offensive foul),24,22
150,2,9:16.0,J. Jack misses 3-pt jump shot from 26 ft,,24,22
151,2,9:13.0,,Defensive rebound by J. Calderón,24,22
152,2,9:05.0,,J. Clarkson misses 2-pt jump shot from 18 ft,24,22
153,2,9:01.0,Defensive rebound by D. Dotson,,24,22
154,2,8:54.0,L. Kornet makes 3-pt jump shot from 25 ft (assist by T. Burke),,27,22
155,2,8:34.0,,J. Calderón misses 2-pt jump shot from 20 ft,27,22
156,2,8:34.0,,Offensive rebound by Team,27,22
157,2,8:34.0,Loose ball foul by L. Kornet (drawn by T. Thompson),,27,22
158,2,8:34.0,,L. Perrantes enters the game for J. Calderón,27,22
159,2,8:24.0,,J. Holland makes 3-pt jump shot from 24 ft (assist by J. Clarkson),27,25
160,2,8:11.0,D. Dotson makes 2-pt layup from 1 ft (assist by J. Jack),,29,25
161,2,7:48.0,,T. Thompson misses 2-pt jump shot from 7 ft,29,25
162,2,7:48.0,Defensive rebound by Team,,29,25
163,2,7:32.0,D. Dotson makes 2-pt layup from 1 ft,,31,25
164,2,7:16.0,,J. Clarkson misses 2-pt layup from 1 ft,31,25
165,2,7:16.0,,Offensive rebound by T. Thompson,31,25
166,2,7:16.0,,Personal foul by D. Dotson (drawn by T. Thompson),31,25
167,2,7:16.0,,A. Žižić enters the game for J. Clarkson,31,25
168,2,7:16.0,F. Ntilikina enters the game for D. Dotson,,31,25
169,2,7:08.0,,L. Perrantes misses 2-pt jump shot from 9 ft,31,25
170,2,7:08.0,,Offensive rebound by Team,31,25
171,2,7:08.0,Loose ball foul by L. Kornet (drawn by T. Thompson),,31,25
172,2,7:08.0,K. O'Quinn enters the game for L. Kornet,,31,25
173,2,7:02.0,,L. Perrantes makes 2-pt jump shot from 7 ft,31,27
174,2,6:55.0,,Cleveland full timeout,31,27
175,2,6:48.0,K. O'Quinn makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),,34,27
176,2,6:30.0,,Shooting foul by F. Ntilikina (drawn by J. Holland),34,27
177,2,6:30.0,,J. Holland makes free throw 1 of 2,34,28
178,2,6:30.0,,J. Holland misses free throw 2 of 2,34,28
179,2,6:29.0,,Offensive rebound by Team,34,28
180,2,6:27.0,,J. Holland misses 2-pt jump shot from 13 ft,34,28
181,2,6:24.0,Defensive rebound by J. Jack,,34,28
182,2,6:21.0,Turnover by I. Hicks (turnover),,34,28
183,2,6:08.0,,C. Osman makes 2-pt jump shot from 18 ft,34,30
184,2,5:59.0,New York full timeout,,34,30
185,2,5:54.0,Shooting foul by A. Žižić (drawn by I. Hicks),,34,30
186,2,5:54.0,I. Hicks makes free throw 1 of 2,,35,30
187,2,5:54.0,I. Hicks makes free throw 2 of 2,,36,30
188,2,5:41.0,,Shooting foul by K. O'Quinn (drawn by A. Žižić),36,30
189,2,5:41.0,,A. Žižić misses free throw 1 of 2,36,30
190,2,5:41.0,,Offensive rebound by Team,36,30
191,2,5:41.0,,A. Žižić misses free throw 2 of 2,36,30
192,2,5:38.0,Defensive rebound by T. Burke,,36,30
193,2,5:29.0,F. Ntilikina makes 3-pt jump shot from 24 ft (assist by J. Jack),,39,30
194,2,5:14.0,,C. Osman misses 3-pt jump shot from 24 ft,39,30
195,2,5:11.0,Defensive rebound by J. Jack,,39,30
196,2,5:06.0,F. Ntilikina misses 3-pt jump shot from 22 ft,,39,30
197,2,5:06.0,,Defensive rebound by J. Holland,39,30
198,2,4:48.0,,A. Žižić misses 2-pt hook shot from 7 ft,39,30
199,2,4:46.0,Defensive rebound by K. O'Quinn,,39,30
200,2,4:39.0,I. Hicks makes 2-pt layup from 2 ft,,41,30
201,2,4:31.0,,Cleveland full timeout,41,30
202,2,4:24.0,,Turnover by J. Holland (bad pass),41,30
203,2,4:11.0,I. Hicks makes 3-pt jump shot from 25 ft (assist by K. O'Quinn),,44,30
