,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CLEVELAND_ACTION,LA LAKERS_SCORE,CLEVELAND_SCORE
0,1,11:48.0,B. Lopez misses 2-pt jump shot from 12 ft,,0,0
1,1,11:44.0,,Defensive rebound by K. Love,0,0
2,1,11:34.0,,L. James misses 2-pt layup from 1 ft,0,0
3,1,11:31.0,Defensive rebound by L. Ball,,0,0
4,1,11:28.0,J. Hart misses 3-pt jump shot from 25 ft,,0,0
5,1,11:25.0,Offensive rebound by L. Nance,,0,0
6,1,11:21.0,L. Ball makes 3-pt jump shot from 26 ft (assist by L. Nance),,3,0
7,1,11:07.0,,J. Smith makes 2-pt dunk from 1 ft (assist by L. James),3,2
8,1,10:45.0,B. Ingram misses 2-pt jump shot from 13 ft,,3,2
9,1,10:43.0,,Defensive rebound by L. James,3,2
10,1,10:37.0,,J. Calderón misses 3-pt jump shot from 25 ft,3,2
11,1,10:33.0,Defensive rebound by L. Nance,,3,2
12,1,10:23.0,L. Nance misses 2-pt jump shot from 13 ft,,3,2
13,1,10:21.0,,Defensive rebound by K. Love,3,2
14,1,10:08.0,,K. Love misses 2-pt jump shot from 15 ft,3,2
15,1,10:04.0,Defensive rebound by L. Nance,,3,2
16,1,9:59.0,Shooting foul by J. Crowder (drawn by B. Ingram),,3,2
17,1,9:59.0,B. Ingram makes free throw 2 of 2,,4,2
18,1,9:59.0,B. Ingram misses free throw 1 of 2,,4,2
19,1,9:59.0,Offensive rebound by Team,,4,2
20,1,9:37.0,,K. Love misses 2-pt jump shot from 14 ft,4,2
21,1,9:36.0,Defensive rebound by J. Hart,,4,2
22,1,9:32.0,Turnover by B. Ingram (bad pass; steal by J. Smith),,4,2
23,1,9:27.0,,Turnover by K. Love (bad pass; steal by J. Hart),4,2
24,1,9:15.0,L. Nance misses 2-pt jump shot from 7 ft,,4,2
25,1,9:12.0,,Defensive rebound by L. James,4,2
26,1,9:10.0,,Shooting foul by B. Lopez (drawn by L. James),4,2
27,1,9:10.0,,L. James misses free throw 1 of 2,4,2
28,1,9:10.0,,Offensive rebound by Team,4,2
29,1,9:10.0,,L. James makes free throw 2 of 2,4,3
30,1,8:58.0,L. Ball misses 2-pt jump shot from 16 ft,,4,3
31,1,8:58.0,,Defensive rebound by K. Love,4,3
32,1,8:49.0,,J. Calderón makes 3-pt jump shot from 26 ft,4,6
33,1,8:35.0,B. Lopez makes 2-pt jump shot from 12 ft,,6,6
34,1,8:20.0,,J. Crowder misses 3-pt jump shot from 27 ft,6,6
