,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
0,1,11:40.0,Turnover by N. Batum (bad pass; steal by B. Adebayo),,0,0
1,1,11:35.0,,D. Waiters misses 3-pt jump shot from 25 ft,0,0
2,1,11:32.0,,Offensive rebound by B. Adebayo,0,0
3,1,11:20.0,,G. Dragić misses 3-pt jump shot from 25 ft,0,0
4,1,11:18.0,Defensive rebound by M. Kidd-Gilchrist,,0,0
5,1,11:08.0,Turnover by N. Batum (bad pass),,0,0
6,1,10:53.0,,D. Waiters misses 2-pt layup from 4 ft (block by D. Howard),0,0
7,1,10:47.0,Defensive rebound by M. Carter-Williams,,0,0
8,1,10:44.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,2,0
9,1,10:24.0,,B. Adebayo misses 2-pt layup from 1 ft,2,0
10,1,10:21.0,Defensive rebound by D. Howard,,2,0
11,1,10:18.0,M. Williams makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,5,0
12,1,9:54.0,,G. Dragić misses 2-pt layup from 1 ft,5,0
13,1,9:52.0,Defensive rebound by D. Howard,,5,0
14,1,9:47.0,M. Kidd-Gilchrist misses 2-pt layup at rim (block by B. Adebayo),,5,0
15,1,9:43.0,,Defensive rebound by J. Winslow,5,0
16,1,9:40.0,,G. Dragić misses 3-pt jump shot from 22 ft,5,0
17,1,9:36.0,Defensive rebound by N. Batum,,5,0
18,1,9:28.0,M. Carter-Williams makes 2-pt layup at rim,,7,0
19,1,9:22.0,,Shooting foul by N. Batum (drawn by D. Waiters),7,0
20,1,9:22.0,,D. Waiters misses free throw 1 of 2,7,0
21,1,9:22.0,,Offensive rebound by Team,7,0
22,1,9:22.0,,D. Waiters makes free throw 2 of 2,7,1
23,1,9:12.0,Personal foul by D. Waiters (drawn by M. Kidd-Gilchrist),,7,1
24,1,9:06.0,N. Batum misses 3-pt jump shot from 25 ft,,7,1
25,1,9:04.0,,Defensive rebound by B. Adebayo,7,1
26,1,8:58.0,,G. Dragić misses 2-pt layup at rim,7,1
27,1,8:55.0,,Offensive rebound by B. Adebayo,7,1
28,1,8:55.0,,B. Adebayo misses 2-pt layup at rim,7,1
29,1,8:55.0,Defensive rebound by M. Williams,,7,1
30,1,8:55.0,Technical foul by Team,,7,1
31,1,8:55.0,N. Batum makes technical free throw,,8,1
32,1,8:48.0,Personal foul by G. Dragić (drawn by M. Carter-Williams),,8,1
33,1,8:36.0,D. Howard makes 2-pt jump shot from 21 ft (assist by N. Batum),,10,1
34,1,8:23.0,,Turnover by D. Waiters (bad pass; steal by M. Williams),10,1
35,1,8:17.0,M. Kidd-Gilchrist makes 2-pt dunk from 1 ft (assist by M. Carter-Williams),,12,1
36,1,8:11.0,,Miami full timeout,12,1
37,1,7:55.0,,D. Waiters misses 3-pt jump shot from 25 ft,12,1
38,1,7:51.0,Defensive rebound by M. Williams,,12,1
39,1,7:40.0,Turnover by D. Howard (turnover),,12,1
40,1,7:27.0,,J. Winslow misses 2-pt layup from 1 ft (block by M. Williams),12,1
41,1,7:27.0,Defensive rebound by M. Williams,,12,1
42,1,7:26.0,Personal foul by J. Winslow (drawn by M. Williams),,12,1
43,1,7:11.0,Turnover by M. Williams (bad pass; steal by B. Adebayo),,12,1
44,1,7:07.0,,G. Dragić misses 2-pt layup at rim,12,1
45,1,7:07.0,Defensive rebound by Team,,12,1
46,1,7:07.0,,Loose ball foul by B. Adebayo (drawn by M. Kidd-Gilchrist),12,1
47,1,6:47.0,M. Carter-Williams makes 2-pt layup from 1 ft,,14,1
48,1,6:34.0,,Turnover by J. Richardson (bad pass; steal by M. Kidd-Gilchrist),14,1
49,1,6:29.0,N. Batum makes 2-pt layup at rim (assist by M. Kidd-Gilchrist),,16,1
50,1,6:16.0,,Personal foul by M. Carter-Williams (drawn by B. Adebayo),16,1
51,1,6:16.0,,J. Johnson enters the game for J. Winslow,16,1
52,1,6:16.0,,T. Johnson enters the game for G. Dragić,16,1
53,1,6:11.0,,Offensive foul by J. Johnson (drawn by M. Kidd-Gilchrist),16,1
54,1,6:11.0,,Turnover by J. Johnson (offensive foul),16,1
55,1,5:52.0,N. Batum misses 2-pt layup from 1 ft,,16,1
56,1,5:50.0,,Defensive rebound by B. Adebayo,16,1
57,1,5:45.0,,J. Richardson makes 2-pt layup at rim (assist by D. Waiters),16,3
58,1,5:29.0,D. Howard misses 2-pt layup at rim (block by B. Adebayo),,16,3
59,1,5:29.0,,Defensive rebound by Team,16,3
60,1,5:21.0,,Offensive foul by B. Adebayo (drawn by M. Carter-Williams),16,3
61,1,5:21.0,,Turnover by B. Adebayo (offensive foul),16,3
62,1,5:21.0,,K. Olynyk enters the game for B. Adebayo,16,3
63,1,5:07.0,Offensive foul by D. Howard (drawn by J. Richardson),,16,3
64,1,5:07.0,Turnover by D. Howard (offensive foul),,16,3
65,1,4:57.0,,T. Johnson makes 3-pt jump shot from 23 ft (assist by J. Johnson),16,6
66,1,4:44.0,Personal foul by K. Olynyk (drawn by D. Howard),,16,6
67,1,4:44.0,D. Howard makes free throw 1 of 2,,17,6
68,1,4:44.0,D. Howard makes free throw 2 of 2,,18,6
69,1,4:27.0,,D. Waiters misses 3-pt jump shot from 22 ft,18,6
70,1,4:24.0,Defensive rebound by D. Howard,,18,6
71,1,4:11.0,Shooting foul by J. Johnson (drawn by M. Williams),,18,6
72,1,4:11.0,M. Williams misses free throw 1 of 2,,18,6
73,1,4:11.0,Offensive rebound by Team,,18,6
74,1,4:11.0,,J. Winslow enters the game for J. Johnson,18,6
75,1,4:11.0,M. Williams makes free throw 2 of 2,,19,6
76,1,3:58.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by K. Olynyk),19,9
77,1,3:44.0,N. Batum misses 3-pt jump shot from 25 ft,,19,9
78,1,3:36.0,Offensive rebound by D. Howard,,19,9
79,1,3:36.0,D. Howard misses 2-pt dunk at rim,,19,9
80,1,3:36.0,Offensive rebound by M. Kidd-Gilchrist,,19,9
81,1,3:24.0,D. Howard makes 2-pt hook shot from 5 ft,,21,9
82,1,3:08.0,,T. Johnson misses 3-pt jump shot from 24 ft,21,9
83,1,3:06.0,Defensive rebound by D. Howard,,21,9
84,1,2:47.0,D. Howard makes 2-pt jump shot from 5 ft (assist by N. Batum),,23,9
85,1,2:35.0,,K. Olynyk makes 3-pt jump shot from 24 ft,23,12
86,1,2:19.0,Turnover by N. Batum (bad pass),,23,12
87,1,2:19.0,Charlotte full timeout,,23,12
88,1,2:19.0,,W. Ellington enters the game for D. Waiters,23,12
89,1,2:19.0,F. Kaminsky enters the game for M. Williams,,23,12
90,1,2:19.0,C. Zeller enters the game for M. Carter-Williams,,23,12
91,1,2:19.0,M. Monk enters the game for D. Howard,,23,12
92,1,2:19.0,J. Lamb enters the game for M. Kidd-Gilchrist,,23,12
93,1,2:07.0,,Shooting foul by M. Monk (drawn by K. Olynyk),23,12
94,1,2:07.0,,K. Olynyk makes free throw 1 of 2,23,13
95,1,2:07.0,,K. Olynyk makes free throw 2 of 2,23,14
96,1,1:45.0,N. Batum misses 2-pt jump shot from 12 ft,,23,14
97,1,1:40.0,,Defensive rebound by J. Winslow,23,14
98,1,1:38.0,,Turnover by K. Olynyk (bad pass),23,14
99,1,1:25.0,N. Batum makes 2-pt jump shot from 12 ft,,25,14
100,1,1:07.0,,J. Richardson makes 3-pt jump shot from 24 ft (assist by T. Johnson),25,17
101,1,0:54.0,N. Batum makes 3-pt jump shot from 25 ft (assist by M. Monk),,28,17
102,1,0:47.0,,Personal foul by N. Batum (drawn by J. Richardson),28,17
103,1,0:36.0,M. Kidd-Gilchrist enters the game for N. Batum,,28,17
104,1,0:34.0,,T. Johnson makes 2-pt layup from 1 ft (assist by J. Winslow),28,19
105,1,0:18.0,Turnover by M. Monk (bad pass; steal by W. Ellington),,28,19
106,1,0:15.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by J. Winslow),28,22
107,1,0:05.0,Shooting foul by T. Johnson (drawn by M. Monk),,28,22
108,1,0:05.0,M. Monk makes free throw 1 of 2,,29,22
109,1,0:05.0,M. Monk makes free throw 2 of 2,,30,22
110,1,0:00.0,,J. Richardson misses 2-pt layup from 3 ft (block by C. Zeller),30,22
111,1,0:00.0,,Offensive rebound by Team,30,22
112,2,11:47.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Johnson),30,25
113,2,11:24.0,Turnover by C. Zeller (lost ball; steal by J. Johnson),,30,25
114,2,11:20.0,,J. Winslow misses 2-pt jump shot from 7 ft (block by C. Zeller),30,25
115,2,11:20.0,,Offensive rebound by Team,30,25
116,2,11:08.0,,T. Johnson misses 3-pt jump shot from 22 ft,30,25
117,2,11:05.0,Defensive rebound by M. Monk,,30,25
118,2,11:02.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by M. Monk),,32,25
119,2,10:43.0,,K. Olynyk misses 3-pt jump shot from 24 ft,32,25
120,2,10:40.0,Defensive rebound by F. Kaminsky,,32,25
121,2,10:25.0,F. Kaminsky misses 2-pt jump shot from 12 ft,,32,25
122,2,10:22.0,,Defensive rebound by W. Ellington,32,25
123,2,10:08.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by K. Olynyk),32,28
124,2,9:49.0,F. Kaminsky makes 2-pt jump shot from 4 ft (assist by J. Lamb),,34,28
125,2,9:34.0,,J. Winslow makes 2-pt dunk at rim (assist by K. Olynyk),34,30
126,2,9:22.0,M. Monk misses 3-pt jump shot from 26 ft,,34,30
127,2,9:19.0,,Defensive rebound by J. Winslow,34,30
128,2,9:15.0,,Shooting foul by F. Kaminsky (drawn by J. Winslow),34,30
129,2,9:15.0,,J. Winslow makes free throw 1 of 2,34,31
130,2,9:15.0,,G. Dragić enters the game for T. Johnson,34,31
131,2,9:15.0,,J. Winslow misses free throw 2 of 2,34,31
132,2,9:10.0,Defensive rebound by M. Kidd-Gilchrist,,34,31
133,2,8:55.0,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,,34,31
134,2,8:51.0,,Defensive rebound by K. Olynyk,34,31
135,2,8:35.0,,Turnover by J. Johnson (bad pass),34,31
136,2,8:21.0,F. Kaminsky misses 2-pt jump shot from 7 ft,,34,31
137,2,8:18.0,,Defensive rebound by J. Johnson,34,31
138,2,8:18.0,,Personal foul by F. Kaminsky (drawn by J. Winslow),34,31
139,2,8:10.0,,Turnover by G. Dragić (bad pass; steal by M. Kidd-Gilchrist),34,31
140,2,8:01.0,M. Monk misses 2-pt jump shot from 10 ft,,34,31
141,2,7:56.0,,Defensive rebound by J. Winslow,34,31
142,2,7:51.0,,Turnover by J. Johnson (traveling),34,31
143,2,7:41.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by J. Lamb),,37,31
144,2,7:22.0,,W. Ellington misses 3-pt jump shot from 25 ft,37,31
145,2,7:10.0,,Offensive rebound by J. Winslow,37,31
146,2,7:09.0,,J. Winslow makes 2-pt layup at rim,37,33
147,2,6:55.0,J. Lamb misses 2-pt jump shot from 8 ft,,37,33
148,2,6:52.0,,Defensive rebound by J. Johnson,37,33
149,2,6:41.0,,W. Ellington makes 3-pt jump shot from 26 ft (assist by J. Winslow),37,36
150,2,6:33.0,Charlotte full timeout,,37,36
151,2,6:33.0,M. Williams enters the game for M. Monk,,37,36
152,2,6:33.0,M. Carter-Williams enters the game for F. Kaminsky,,37,36
153,2,6:33.0,Charlotte full timeout,,37,36
154,2,6:23.0,J. Lamb makes 2-pt jump shot from 8 ft,,39,36
155,2,6:06.0,,J. Johnson misses 3-pt jump shot from 25 ft,39,36
156,2,6:03.0,Defensive rebound by C. Zeller,,39,36
157,2,5:51.0,M. Kidd-Gilchrist misses 2-pt hook shot from 5 ft,,39,36
158,2,5:48.0,,Defensive rebound by J. Johnson,39,36
159,2,5:41.0,,W. Ellington misses 3-pt jump shot from 25 ft,39,36
160,2,5:38.0,,Offensive rebound by K. Olynyk,39,36
161,2,5:26.0,,G. Dragić makes 2-pt layup from 1 ft (assist by K. Olynyk),39,38
162,2,5:09.0,J. Lamb makes 2-pt jump shot from 18 ft,,41,38
163,2,4:56.0,,G. Dragić misses 2-pt layup at rim (block by M. Carter-Williams),41,38
164,2,4:53.0,Defensive rebound by M. Carter-Williams,,41,38
165,2,4:48.0,C. Zeller makes 2-pt layup at rim (assist by M. Carter-Williams),,43,38
166,2,4:40.0,,Miami full timeout,43,38
167,2,4:40.0,,D. Waiters enters the game for J. Winslow,43,38
168,2,4:40.0,N. Batum enters the game for M. Kidd-Gilchrist,,43,38
169,2,4:40.0,D. Howard enters the game for C. Zeller,,43,38
170,2,4:22.0,,Turnover by G. Dragić (lost ball; steal by J. Lamb),43,38
171,2,4:15.0,Turnover by D. Howard (turnover),,43,38
172,2,4:00.0,,Turnover by D. Waiters (lost ball; steal by M. Carter-Williams),43,38
173,2,3:52.0,N. Batum misses 2-pt jump shot from 12 ft,,43,38
174,2,3:49.0,Offensive rebound by D. Howard,,43,38
175,2,3:48.0,D. Howard misses 2-pt layup from 1 ft (block by J. Johnson),,43,38
176,2,3:45.0,,Defensive rebound by W. Ellington,43,38
177,2,3:45.0,,Shooting foul by M. Carter-Williams (drawn by D. Waiters),43,38
178,2,3:45.0,,D. Waiters makes free throw 1 of 2,43,39
179,2,3:45.0,,B. Adebayo enters the game for W. Ellington,43,39
180,2,3:45.0,,J. Richardson enters the game for K. Olynyk,43,39
181,2,3:45.0,,D. Waiters makes free throw 2 of 2,43,40
182,2,3:36.0,Personal foul by G. Dragić (drawn by M. Carter-Williams),,43,40
183,2,3:26.0,Turnover by D. Howard (turnover),,43,40
184,2,3:16.0,,D. Waiters makes 2-pt layup from 1 ft,43,42
185,2,3:08.0,Offensive foul by D. Howard (drawn by G. Dragić),,43,42
186,2,3:08.0,Turnover by D. Howard (offensive foul),,43,42
187,2,2:55.0,,D. Waiters misses 2-pt jump shot from 20 ft,43,42
188,2,2:49.0,Defensive rebound by M. Williams,,43,42
189,2,2:46.0,Turnover by M. Carter-Williams (bad pass; steal by J. Richardson),,43,42
190,2,2:43.0,,J. Richardson makes 2-pt dunk at rim,43,44
191,2,2:32.0,Turnover by M. Carter-Williams (bad pass; steal by B. Adebayo),,43,44
192,2,2:32.0,,Turnover by B. Adebayo (bad pass),43,44
193,2,2:32.0,Technical foul by M. Carter-Williams,,43,44
194,2,2:32.0,,G. Dragić makes technical free throw,43,45
195,2,2:32.0,M. Monk enters the game for M. Carter-Williams,,43,45
196,2,2:19.0,Turnover by D. Howard (bad pass; steal by B. Adebayo),,43,45
197,2,2:10.0,,J. Johnson misses 3-pt jump shot from 23 ft,43,45
198,2,2:09.0,Defensive rebound by D. Howard,,43,45
199,2,2:09.0,,Offensive charge foul by D. Howard (drawn by B. Adebayo),43,45
200,2,2:09.0,Turnover by D. Howard (offensive foul),,43,45
201,2,2:09.0,M. Kidd-Gilchrist enters the game for D. Howard,,43,45
202,2,2:09.0,C. Zeller enters the game for N. Batum,,43,45
203,2,1:59.0,,Turnover by J. Richardson (bad pass; steal by M. Williams),43,45
204,2,1:49.0,M. Kidd-Gilchrist makes 2-pt hook shot from 6 ft (assist by J. Lamb),,45,45
205,2,1:39.0,,Personal foul by M. Monk (drawn by G. Dragić),45,45
206,2,1:39.0,,K. Olynyk enters the game for G. Dragić,45,45
