,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),0,2
1,1,11:27.0,Turnover by J. Wall (bad pass; steal by C. Anthony),,0,2
2,1,11:21.0,,R. Westbrook misses 3-pt jump shot from 24 ft,0,2
3,1,11:16.0,,Offensive rebound by S. Adams,0,2
4,1,11:13.0,,Turnover by R. Westbrook (bad pass; steal by M. Morris),0,2
5,1,11:09.0,B. Beal misses 2-pt layup from 2 ft,,0,2
6,1,11:06.0,,Defensive rebound by C. Anthony,0,2
7,1,10:54.0,,S. Adams makes 2-pt layup at rim (assist by A. Roberson),0,4
8,1,10:39.0,B. Beal misses 2-pt jump shot from 20 ft,,0,4
9,1,10:37.0,,Defensive rebound by C. Anthony,0,4
10,1,10:31.0,,Turnover by S. Adams (lost ball; steal by O. Porter),0,4
11,1,10:30.0,Turnover by O. Porter (step out of bounds),,0,4
12,1,10:23.0,,C. Anthony misses 2-pt jump shot from 15 ft,0,4
13,1,10:20.0,,Offensive rebound by S. Adams,0,4
14,1,10:05.0,,C. Anthony makes 2-pt layup from 1 ft,0,6
15,1,9:45.0,J. Wall misses 3-pt jump shot from 27 ft,,0,6
16,1,9:45.0,,Defensive rebound by Team,0,6
17,1,9:33.0,,S. Adams misses 2-pt jump shot from 11 ft,0,6
18,1,9:29.0,Defensive rebound by M. Morris,,0,6
19,1,9:20.0,B. Beal misses 2-pt layup from 1 ft,,0,6
20,1,9:19.0,,Defensive rebound by R. Westbrook,0,6
21,1,9:15.0,,R. Westbrook misses 2-pt layup from 2 ft,0,6
22,1,9:13.0,,Offensive rebound by S. Adams,0,6
23,1,9:13.0,,S. Adams makes 2-pt layup from 2 ft,0,8
24,1,9:13.0,Washington full timeout,,0,8
25,1,8:49.0,M. Morris misses 2-pt jump shot from 11 ft,,0,8
26,1,8:47.0,,Defensive rebound by P. George,0,8
27,1,8:33.0,,R. Westbrook misses 2-pt jump shot from 20 ft,0,8
28,1,8:31.0,Defensive rebound by B. Beal,,0,8
29,1,8:16.0,Turnover by M. Gortat (lost ball; steal by A. Roberson),,0,8
30,1,8:06.0,,R. Westbrook makes 2-pt layup at rim (assist by P. George),0,10
31,1,7:52.0,O. Porter misses 3-pt jump shot from 24 ft,,0,10
