,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DENVER_ACTION,OKLAHOMA CITY_SCORE,DENVER_SCORE
0,1,11:37.0,C. Anthony makes 2-pt jump shot from 9 ft,,2,0
1,1,11:20.0,,W. Chandler makes 2-pt layup from 2 ft (assist by N. Jokić),2,2
2,1,11:05.0,Turnover by A. Roberson (turnover),,2,2
3,1,10:47.0,,P. Millsap misses 2-pt jump shot from 11 ft,2,2
4,1,10:43.0,Defensive rebound by S. Adams,,2,2
5,1,10:41.0,R. Westbrook makes 2-pt layup from 2 ft,,4,2
6,1,10:41.0,Shooting foul by J. Murray (drawn by R. Westbrook),,4,2
7,1,10:41.0,R. Westbrook misses free throw 1 of 1,,4,2
8,1,10:36.0,Offensive rebound by P. George,,4,2
9,1,10:33.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by A. Roberson),,7,2
10,1,10:07.0,,J. Murray makes 3-pt jump shot from 23 ft (assist by W. Chandler),7,5
11,1,9:52.0,S. Adams misses 2-pt layup from 3 ft,,7,5
12,1,9:46.0,Offensive rebound by A. Roberson,,7,5
13,1,9:46.0,A. Roberson makes 2-pt layup at rim,,9,5
14,1,9:41.0,,P. Millsap misses 3-pt jump shot from 24 ft,9,5
15,1,9:37.0,Defensive rebound by P. George,,9,5
16,1,9:34.0,Personal foul by N. Jokić (drawn by S. Adams),,9,5
17,1,9:17.0,S. Adams makes 2-pt layup from 4 ft (assist by A. Roberson),,11,5
18,1,9:05.0,,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),11,7
19,1,8:43.0,C. Anthony misses 2-pt jump shot from 19 ft,,11,7
20,1,8:42.0,Offensive rebound by Team,,11,7
21,1,8:38.0,C. Anthony makes 3-pt jump shot from 24 ft (assist by P. George),,14,7
22,1,8:20.0,,Turnover by J. Murray (bad pass; steal by R. Westbrook),14,7
23,1,8:15.0,R. Westbrook misses 2-pt layup from 3 ft,,14,7
24,1,8:12.0,,Defensive rebound by P. Millsap,14,7
25,1,8:08.0,,W. Chandler misses 2-pt layup from 5 ft,14,7
26,1,8:08.0,,Offensive rebound by P. Millsap,14,7
27,1,8:08.0,,P. Millsap misses 2-pt layup from 3 ft (block by A. Roberson),14,7
28,1,8:08.0,,Offensive rebound by Team,14,7
