,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
0,1,11:41.0,,Shooting foul by J. Nurkić (drawn by J. Murray),0,0
1,1,11:41.0,,J. Murray makes free throw 1 of 2,0,1
2,1,11:41.0,,J. Murray makes free throw 2 of 2,0,2
3,1,11:20.0,E. Turner misses 2-pt jump shot from 12 ft,,0,2
4,1,11:16.0,,Defensive rebound by W. Barton,0,2
5,1,11:07.0,,J. Murray makes 2-pt jump shot from 12 ft (assist by N. Jokić),0,4
6,1,11:07.0,,Shooting foul by A. Aminu (drawn by J. Murray),0,4
7,1,11:07.0,,J. Murray makes free throw 1 of 1,0,5
8,1,10:48.0,J. Nurkić misses 2-pt hook shot from 5 ft,,0,5
9,1,10:46.0,,Defensive rebound by N. Jokić,0,5
10,1,10:32.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by M. Plumlee),0,8
11,1,10:11.0,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),,2,8
12,1,10:02.0,,J. Murray misses 2-pt layup from 2 ft (block by J. Nurkić),2,8
13,1,9:59.0,Defensive rebound by D. Lillard,,2,8
14,1,9:55.0,A. Aminu misses 3-pt jump shot from 25 ft,,2,8
15,1,9:52.0,,Defensive rebound by J. Murray,2,8
16,1,9:46.0,,M. Plumlee makes 2-pt jump shot from 12 ft (assist by J. Murray),2,10
17,1,9:31.0,,Violation by J. Murray (kicked ball),2,10
18,1,9:22.0,D. Lillard misses 3-pt jump shot from 30 ft,,2,10
19,1,9:19.0,,Defensive rebound by W. Barton,2,10
20,1,9:11.0,,W. Barton misses 2-pt layup from 2 ft,2,10
21,1,9:09.0,Defensive rebound by J. Nurkić,,2,10
22,1,8:56.0,Shooting foul by M. Plumlee (drawn by J. Nurkić),,2,10
23,1,8:56.0,J. Nurkić makes free throw 1 of 2,,3,10
24,1,8:56.0,J. Nurkić makes free throw 2 of 2,,4,10
25,1,8:41.0,,N. Jokić misses 2-pt hook shot from 4 ft,4,10
26,1,8:38.0,Defensive rebound by J. Nurkić,,4,10
27,1,8:31.0,A. Aminu makes 2-pt layup from 2 ft (assist by D. Lillard),,6,10
28,1,8:10.0,,M. Plumlee misses 2-pt hook shot from 6 ft,6,10
29,1,8:08.0,Defensive rebound by J. Nurkić,,6,10
30,1,8:02.0,C. McCollum misses 2-pt jump shot from 6 ft,,6,10
31,1,7:59.0,,Defensive rebound by W. Barton,6,10
32,1,7:54.0,,N. Jokić misses 3-pt jump shot from 24 ft,6,10
33,1,7:50.0,Defensive rebound by A. Aminu,,6,10
34,1,7:41.0,C. McCollum misses 2-pt jump shot from 9 ft,,6,10
35,1,7:38.0,,Defensive rebound by W. Barton,6,10
36,1,7:22.0,,M. Plumlee misses 2-pt jump shot from 8 ft,6,10
37,1,7:20.0,,Offensive rebound by M. Plumlee,6,10
38,1,7:17.0,,N. Jokić misses 3-pt jump shot from 24 ft,6,10
39,1,7:13.0,Defensive rebound by J. Nurkić,,6,10
40,1,7:05.0,D. Lillard makes 2-pt jump shot from 9 ft,,8,10
41,1,6:50.0,,Turnover by M. Plumlee (bad pass; steal by E. Turner),8,10
42,1,6:42.0,E. Turner makes 2-pt layup from 3 ft (assist by D. Lillard),,10,10
43,1,6:42.0,,Denver full timeout,10,10
44,1,6:24.0,,N. Jokić makes 2-pt hook shot from 7 ft,10,12
45,1,6:10.0,C. McCollum misses 3-pt jump shot from 26 ft,,10,12
46,1,6:07.0,,Defensive rebound by G. Harris,10,12
47,1,5:56.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),10,15
48,1,5:40.0,J. Nurkić misses 2-pt layup from 1 ft,,10,15
49,1,5:38.0,,Defensive rebound by N. Jokić,10,15
50,1,5:31.0,,G. Harris misses 3-pt jump shot from 24 ft,10,15
51,1,5:28.0,Defensive rebound by J. Nurkić,,10,15
52,1,5:18.0,A. Aminu misses 3-pt jump shot from 25 ft,,10,15
53,1,5:14.0,,Defensive rebound by J. Murray,10,15
54,1,5:07.0,,Shooting foul by A. Aminu (drawn by N. Jokić),10,15
55,1,5:07.0,,N. Jokić makes free throw 1 of 2,10,16
56,1,5:07.0,,W. Chandler enters the game for W. Barton,10,16
57,1,5:07.0,,T. Lyles enters the game for M. Plumlee,10,16
58,1,5:07.0,Z. Collins enters the game for A. Aminu,,10,16
59,1,5:07.0,E. Davis enters the game for J. Nurkić,,10,16
60,1,5:07.0,,N. Jokić makes free throw 2 of 2,10,17
61,1,4:49.0,E. Davis misses 2-pt layup from 3 ft (block by W. Chandler),,10,17
62,1,4:45.0,,Defensive rebound by W. Chandler,10,17
63,1,4:41.0,,W. Chandler misses 2-pt layup from 3 ft,10,17
64,1,4:39.0,,Offensive rebound by N. Jokić,10,17
65,1,4:32.0,,Shooting foul by Z. Collins (drawn by N. Jokić),10,17
66,1,4:32.0,,N. Jokić misses free throw 1 of 2,10,17
67,1,4:32.0,,Offensive rebound by Team,10,17
68,1,4:32.0,P. Connaughton enters the game for C. McCollum,,10,17
69,1,4:32.0,,N. Jokić misses free throw 2 of 2,10,17
70,1,4:29.0,Defensive rebound by Z. Collins,,10,17
71,1,4:13.0,Shooting foul by N. Jokić (drawn by E. Davis),,10,17
72,1,4:13.0,E. Davis makes free throw 1 of 2,,11,17
73,1,4:13.0,E. Davis makes free throw 2 of 2,,12,17
74,1,3:59.0,,Turnover by G. Harris (bad pass; steal by P. Connaughton),12,17
75,1,3:43.0,E. Turner makes 3-pt jump shot from 24 ft (assist by E. Davis),,15,17
76,1,3:27.0,,G. Harris misses 2-pt jump shot from 8 ft,15,17
77,1,3:24.0,,Offensive rebound by G. Harris,15,17
78,1,3:06.0,,J. Murray misses 2-pt layup from 4 ft (block by Z. Collins),15,17
79,1,3:06.0,,Offensive rebound by Team,15,17
80,1,3:06.0,S. Napier enters the game for E. Turner,,15,17
81,1,2:57.0,,Turnover by J. Murray (lost ball; steal by S. Napier),15,17
82,1,2:45.0,Shooting foul by J. Murray (drawn by P. Connaughton),,15,17
83,1,2:45.0,Portland full timeout,,15,17
84,1,2:45.0,,W. Barton enters the game for G. Harris,15,17
85,1,2:45.0,,T. Craig enters the game for N. Jokić,15,17
86,1,2:45.0,P. Connaughton makes free throw 1 of 2,,16,17
87,1,2:45.0,P. Connaughton makes free throw 2 of 2,,17,17
88,1,2:33.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by W. Barton),17,20
89,1,2:16.0,P. Connaughton misses 2-pt jump shot from 20 ft,,17,20
90,1,2:13.0,,Defensive rebound by T. Craig,17,20
91,1,1:56.0,,T. Craig misses 2-pt layup from 5 ft (block by Z. Collins),17,20
92,1,1:53.0,,Offensive rebound by T. Craig,17,20
93,1,1:52.0,,W. Barton misses 3-pt jump shot from 30 ft,17,20
94,1,1:48.0,Defensive rebound by Z. Collins,,17,20
95,1,1:41.0,D. Lillard misses 3-pt jump shot from 25 ft,,17,20
96,1,1:34.0,,Defensive rebound by T. Lyles,17,20
97,1,1:22.0,,Offensive foul by T. Lyles (drawn by D. Lillard),17,20
98,1,1:22.0,,Turnover by T. Lyles (offensive foul),17,20
99,1,1:22.0,,E. Mudiay enters the game for J. Murray,17,20
100,1,1:22.0,C. McCollum enters the game for D. Lillard,,17,20
101,1,0:58.0,E. Davis misses 2-pt jump shot from 5 ft,,17,20
102,1,0:56.0,Offensive rebound by Z. Collins,,17,20
103,1,0:56.0,Z. Collins makes 2-pt layup at rim,,19,20
104,1,0:42.0,,T. Lyles misses 3-pt jump shot from 24 ft,19,20
105,1,0:39.0,Defensive rebound by E. Davis,,19,20
106,1,0:31.0,C. McCollum misses 2-pt layup from 2 ft,,19,20
107,1,0:29.0,,Defensive rebound by T. Lyles,19,20
108,1,0:16.0,,W. Chandler misses 2-pt layup from 3 ft,19,20
109,1,0:13.0,Defensive rebound by E. Davis,,19,20
110,1,0:05.0,Personal foul by W. Barton (drawn by C. McCollum),,19,20
111,1,0:05.0,D. Lillard enters the game for E. Davis,,19,20
112,1,0:00.0,D. Lillard misses 2-pt jump shot from 18 ft,,19,20
113,1,0:00.0,Offensive rebound by Team,,19,20
