,QUARTER,TIME_REMAINING,HOUSTON_ACTION,TORONTO_ACTION,HOUSTON_SCORE,TORONTO_SCORE
0,1,11:45.0,,Personal foul by J. Harden (drawn by N. Powell),0,0
1,1,11:31.0,,S. Ibaka misses 3-pt jump shot from 23 ft,0,0
2,1,11:28.0,Defensive rebound by T. Ariza,,0,0
3,1,11:15.0,T. Ariza misses 2-pt jump shot from 10 ft,,0,0
4,1,11:15.0,Offensive rebound by Team,,0,0
5,1,11:15.0,Turnover by T. Ariza (traveling),,0,0
6,1,10:59.0,,J. Valančiūnas misses 2-pt layup from 2 ft,0,0
7,1,10:57.0,Defensive rebound by C. Capela,,0,0
8,1,10:53.0,Personal block foul by K. Lowry (drawn by J. Harden),,0,0
9,1,10:43.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,2,0
10,1,10:30.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),2,3
11,1,10:10.0,C. Capela misses 2-pt layup from 1 ft,,2,3
12,1,10:07.0,Offensive rebound by C. Capela,,2,3
13,1,10:06.0,Turnover by C. Capela (lost ball; steal by K. Lowry),,2,3
14,1,10:03.0,,S. Ibaka makes 2-pt layup at rim (assist by K. Lowry),2,5
15,1,9:51.0,P. Tucker misses 3-pt jump shot from 23 ft,,2,5
16,1,9:47.0,,Defensive rebound by J. Valančiūnas,2,5
17,1,9:37.0,,D. DeRozan misses 2-pt jump shot from 16 ft,2,5
18,1,9:33.0,Defensive rebound by J. Harden,,2,5
19,1,9:29.0,J. Harden makes 2-pt layup at rim,,4,5
20,1,9:05.0,,J. Valančiūnas makes 2-pt jump shot from 7 ft (assist by D. DeRozan),4,7
21,1,8:47.0,C. Paul misses 2-pt jump shot from 13 ft,,4,7
22,1,8:45.0,,Defensive rebound by S. Ibaka,4,7
23,1,8:39.0,,K. Lowry makes 2-pt layup from 1 ft,4,9
24,1,8:27.0,J. Harden misses 2-pt layup from 2 ft,,4,9
25,1,8:26.0,,Defensive rebound by N. Powell,4,9
26,1,8:22.0,,K. Lowry makes 3-pt jump shot from 27 ft (assist by N. Powell),4,12
27,1,8:04.0,J. Harden misses 3-pt jump shot from 25 ft,,4,12
28,1,8:02.0,,Defensive rebound by J. Valančiūnas,4,12
29,1,7:55.0,,Turnover by K. Lowry (bad pass; steal by T. Ariza),4,12
30,1,7:49.0,T. Ariza misses 3-pt jump shot from 23 ft,,4,12
31,1,7:46.0,,Defensive rebound by D. DeRozan,4,12
32,1,7:35.0,,J. Valančiūnas makes 2-pt jump shot from 10 ft (assist by K. Lowry),4,14
33,1,7:10.0,C. Capela makes 2-pt hook shot from 3 ft (assist by C. Paul),,6,14
34,1,6:54.0,,Turnover by D. DeRozan (bad pass; steal by C. Capela),6,14
35,1,6:51.0,T. Ariza makes 2-pt layup from 1 ft (assist by J. Harden),,8,14
36,1,6:51.0,,Violation by S. Ibaka (def goaltending),8,14
37,1,6:28.0,,J. Valančiūnas misses 2-pt jump shot from 14 ft,8,14
38,1,6:25.0,Defensive rebound by C. Paul,,8,14
39,1,6:22.0,Personal foul by D. DeRozan (drawn by J. Harden),,8,14
40,1,6:22.0,,Toronto full timeout,8,14
41,1,6:22.0,E. Gordon enters the game for C. Paul,,8,14
42,1,6:22.0,L. Mbah a Moute enters the game for P. Tucker,,8,14
43,1,6:12.0,E. Gordon misses 3-pt jump shot from 30 ft,,8,14
44,1,6:09.0,,Defensive rebound by S. Ibaka,8,14
45,1,5:55.0,,K. Lowry makes 3-pt jump shot from 28 ft (assist by N. Powell),8,17
46,1,5:34.0,L. Mbah a Moute misses 3-pt jump shot from 25 ft,,8,17
47,1,5:31.0,Offensive rebound by C. Capela,,8,17
48,1,5:30.0,Shooting foul by J. Valančiūnas (drawn by T. Ariza),,8,17
49,1,5:30.0,T. Ariza makes free throw 1 of 2,,9,17
50,1,5:30.0,T. Ariza misses free throw 2 of 2,,9,17
51,1,5:28.0,,Defensive rebound by S. Ibaka,9,17
52,1,5:12.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft,9,19
53,1,5:03.0,E. Gordon misses 2-pt jump shot from 10 ft,,9,19
54,1,5:00.0,Offensive rebound by C. Capela,,9,19
55,1,4:56.0,T. Ariza makes 2-pt layup at rim (assist by C. Capela),,11,19
56,1,4:42.0,,S. Ibaka makes 2-pt jump shot from 14 ft (assist by K. Lowry),11,21
57,1,4:31.0,J. Harden makes 2-pt layup from 1 ft,,13,21
58,1,4:22.0,,K. Lowry makes 2-pt layup from 1 ft,13,23
59,1,4:00.0,Offensive foul by C. Capela (drawn by K. Lowry),,13,23
60,1,4:00.0,Turnover by C. Capela (offensive foul),,13,23
61,1,4:00.0,N. Hilário enters the game for C. Capela,,13,23
62,1,3:53.0,,J. Poeltl enters the game for J. Valančiūnas,13,23
63,1,3:53.0,J. Johnson enters the game for T. Ariza,,13,23
64,1,3:44.0,,D. DeRozan misses 2-pt layup from 4 ft (block by E. Gordon),13,23
65,1,3:41.0,,Offensive rebound by D. DeRozan,13,23
66,1,3:35.0,,K. Lowry misses 2-pt jump shot from 12 ft,13,23
67,1,3:32.0,Defensive rebound by J. Harden,,13,23
68,1,3:26.0,N. Hilário misses 2-pt layup from 1 ft,,13,23
69,1,3:24.0,,Defensive rebound by S. Ibaka,13,23
70,1,3:20.0,,S. Ibaka misses 3-pt jump shot from 25 ft,13,23
71,1,3:17.0,Defensive rebound by N. Hilário,,13,23
72,1,3:10.0,Shooting foul by N. Powell (drawn by J. Harden),,13,23
73,1,3:10.0,J. Harden makes free throw 1 of 2,,14,23
74,1,3:10.0,,P. Siakam enters the game for S. Ibaka,14,23
75,1,3:10.0,,C. Miles enters the game for N. Powell,14,23
76,1,3:10.0,J. Harden misses free throw 2 of 2,,14,23
77,1,3:08.0,,Defensive rebound by J. Poeltl,14,23
78,1,2:47.0,,Shooting foul by E. Gordon (drawn by D. DeRozan),14,23
79,1,2:47.0,Houston full timeout,,14,23
80,1,2:47.0,,F. VanVleet enters the game for K. Lowry,14,23
81,1,2:47.0,C. Paul enters the game for J. Harden,,14,23
82,1,2:47.0,,D. DeRozan makes free throw 1 of 2,14,24
83,1,2:47.0,,D. DeRozan makes free throw 2 of 2,14,25
84,1,2:31.0,E. Gordon misses 2-pt jump shot from 3 ft,,14,25
85,1,2:26.0,Offensive rebound by N. Hilário,,14,25
86,1,2:26.0,N. Hilário misses 2-pt layup at rim,,14,25
87,1,2:26.0,,Defensive rebound by D. DeRozan,14,25
88,1,2:22.0,,D. DeRozan makes 2-pt layup from 1 ft,14,27
89,1,2:00.0,C. Paul misses 2-pt jump shot from 10 ft,,14,27
90,1,1:57.0,,Defensive rebound by P. Siakam,14,27
91,1,1:40.0,,F. VanVleet misses 2-pt jump shot from 17 ft,14,27
92,1,1:37.0,Defensive rebound by L. Mbah a Moute,,14,27
93,1,1:33.0,Personal foul by P. Siakam (drawn by N. Hilário),,14,27
94,1,1:33.0,N. Hilário misses free throw 1 of 2,,14,27
95,1,1:33.0,Offensive rebound by Team,,14,27
96,1,1:33.0,N. Hilário misses free throw 2 of 2,,14,27
97,1,1:31.0,,Defensive rebound by P. Siakam,14,27
98,1,1:11.0,,F. VanVleet makes 2-pt layup from 1 ft,14,29
99,1,1:02.0,Personal foul by J. Poeltl (drawn by C. Paul),,14,29
100,1,1:02.0,C. Paul makes free throw 1 of 2,,15,29
101,1,1:02.0,C. Paul makes free throw 2 of 2,,16,29
102,1,0:40.0,,Personal foul by J. Johnson (drawn by D. DeRozan),16,29
103,1,0:32.0,,D. DeRozan makes 3-pt jump shot from 26 ft (assist by J. Poeltl),16,32
104,1,0:10.0,N. Hilário misses 2-pt jump shot from 3 ft,,16,32
105,1,0:09.0,,Defensive rebound by Team,16,32
106,2,11:35.0,E. Gordon misses 3-pt jump shot from 30 ft,,16,32
107,2,11:30.0,,Defensive rebound by F. VanVleet,16,32
108,2,11:09.0,,C. Miles makes 3-pt jump shot from 22 ft (assist by F. VanVleet),16,35
109,2,10:58.0,C. Paul misses 2-pt jump shot from 18 ft,,16,35
110,2,10:55.0,,Defensive rebound by P. Siakam,16,35
111,2,10:50.0,,F. VanVleet misses 3-pt jump shot from 30 ft,16,35
112,2,10:46.0,,Offensive rebound by Team,16,35
113,2,10:35.0,,C. Miles misses 3-pt jump shot from 29 ft,16,35
114,2,10:33.0,Defensive rebound by E. Gordon,,16,35
