,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA LAKERS_ACTION,DETROIT_SCORE,LA LAKERS_SCORE
0,1,11:41.0,T. Harris misses 2-pt layup from 2 ft,,0,0
1,1,11:36.0,Offensive rebound by A. Drummond,,0,0
2,1,11:36.0,A. Drummond makes 2-pt layup at rim,,2,0
3,1,11:24.0,,B. Lopez misses 2-pt jump shot from 13 ft,2,0
4,1,11:21.0,Defensive rebound by A. Bradley,,2,0
5,1,11:15.0,A. Bradley misses 2-pt jump shot from 21 ft,,2,0
6,1,11:12.0,,Defensive rebound by B. Ingram,2,0
7,1,11:03.0,,B. Lopez misses 2-pt jump shot from 12 ft,2,0
8,1,10:59.0,,Offensive rebound by L. Nance,2,0
9,1,10:53.0,,L. Nance makes 2-pt layup from 1 ft (assist by B. Ingram),2,2
10,1,10:35.0,A. Drummond misses 2-pt layup from 1 ft,,2,2
11,1,10:32.0,,Defensive rebound by L. Nance,2,2
12,1,10:23.0,,B. Lopez makes 3-pt jump shot from 22 ft (assist by L. Nance),2,5
13,1,10:11.0,R. Jackson makes 2-pt jump shot from 9 ft,,4,5
14,1,9:54.0,,L. Ball misses 2-pt jump shot from 5 ft,4,5
15,1,9:51.0,Defensive rebound by T. Harris,,4,5
16,1,9:45.0,A. Bradley misses 3-pt jump shot from 25 ft,,4,5
17,1,9:42.0,,Defensive rebound by L. Nance,4,5
18,1,9:34.0,,B. Lopez misses 3-pt jump shot from 25 ft,4,5
19,1,9:28.0,Defensive rebound by R. Jackson,,4,5
20,1,9:17.0,A. Drummond misses 2-pt hook shot from 11 ft,,4,5
21,1,9:13.0,,Defensive rebound by K. Caldwell-Pope,4,5
22,1,9:06.0,,L. Nance misses 2-pt jump shot from 15 ft,4,5
23,1,9:03.0,Defensive rebound by A. Drummond,,4,5
24,1,8:59.0,R. Jackson makes 2-pt jump shot from 11 ft,,6,5
25,1,8:36.0,,B. Ingram misses 2-pt layup from 2 ft,6,5
26,1,8:33.0,Defensive rebound by T. Harris,,6,5
27,1,8:24.0,R. Jackson makes 3-pt jump shot from 26 ft,,9,5
28,1,8:07.0,,Turnover by L. Nance (bad pass; steal by R. Jackson),9,5
29,1,7:55.0,Turnover by S. Johnson (bad pass; steal by B. Ingram),,9,5
30,1,7:50.0,,K. Caldwell-Pope makes 2-pt layup at rim (assist by B. Ingram),9,7
31,1,7:36.0,Turnover by R. Jackson (bad pass; steal by L. Nance),,9,7
32,1,7:29.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,9,7
33,1,7:25.0,Defensive rebound by R. Jackson,,9,7
34,1,7:20.0,R. Jackson misses 3-pt jump shot from 25 ft,,9,7
35,1,7:15.0,Offensive rebound by A. Drummond,,9,7
36,1,7:14.0,A. Drummond misses 2-pt jump shot from 2 ft (block by L. Ball),,9,7
37,1,7:14.0,,Defensive rebound by L. Ball,9,7
38,1,7:05.0,,B. Lopez misses 3-pt jump shot from 22 ft,9,7
39,1,7:02.0,Defensive rebound by S. Johnson,,9,7
40,1,6:45.0,S. Johnson misses 3-pt jump shot from 25 ft,,9,7
41,1,6:42.0,,Defensive rebound by K. Caldwell-Pope,9,7
42,1,6:38.0,,B. Ingram misses 3-pt jump shot from 22 ft,9,7
43,1,6:32.0,,Offensive rebound by L. Ball,9,7
44,1,6:30.0,,B. Lopez makes 2-pt layup from 1 ft (assist by L. Ball),9,9
45,1,6:23.0,Detroit full timeout,,9,9
46,1,6:13.0,A. Bradley misses 2-pt layup from 3 ft,,9,9
47,1,6:07.0,Offensive rebound by A. Drummond,,9,9
48,1,6:07.0,A. Drummond makes 2-pt layup at rim,,11,9
49,1,5:56.0,,B. Ingram makes 2-pt layup from 1 ft,11,11
50,1,5:42.0,Personal foul by K. Caldwell-Pope (drawn by A. Bradley),,11,11
51,1,5:40.0,A. Bradley misses 3-pt jump shot from 25 ft,,11,11
52,1,5:37.0,,Defensive rebound by L. Nance,11,11
53,1,5:21.0,,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by B. Lopez),11,14
54,1,5:01.0,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Drummond),,14,14
55,1,4:45.0,,L. Ball makes 2-pt layup from 2 ft (assist by B. Lopez),14,16
56,1,4:24.0,Turnover by A. Bradley (bad pass; steal by B. Ingram),,14,16
57,1,4:13.0,,B. Lopez misses 3-pt jump shot from 25 ft,14,16
58,1,4:07.0,Defensive rebound by A. Bradley,,14,16
59,1,3:53.0,S. Johnson misses 2-pt jump shot from 19 ft,,14,16
60,1,3:49.0,,Defensive rebound by K. Caldwell-Pope,14,16
61,1,3:45.0,,L. Ball makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),14,19
62,1,3:18.0,Turnover by A. Bradley (bad pass; steal by L. Nance),,14,19
63,1,3:15.0,,L. Nance makes 2-pt dunk from 1 ft,14,21
64,1,3:01.0,Personal foul by B. Lopez (drawn by A. Drummond),,14,21
65,1,3:01.0,,LA Lakers full timeout,14,21
66,1,3:01.0,,K. Kuzma enters the game for L. Nance,14,21
67,1,3:01.0,,J. Randle enters the game for B. Lopez,14,21
