,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,K. Towns misses 2-pt hook shot from 7 ft (block by A. Davis),,0,0
1,1,11:40.0,,Defensive rebound by A. Davis,0,0
2,1,11:33.0,,Turnover by D. Cousins (lost ball; steal by T. Gibson),0,0
3,1,11:28.0,J. Butler makes 2-pt layup from 2 ft,,2,0
4,1,11:24.0,,Shooting foul by K. Towns (drawn by D. Cousins),2,0
5,1,11:24.0,,D. Cousins makes free throw 1 of 2,2,1
6,1,11:24.0,,D. Cousins makes free throw 2 of 2,2,2
7,1,11:03.0,T. Gibson makes 2-pt jump shot from 12 ft (assist by J. Butler),,4,2
8,1,10:42.0,,E. Moore misses 3-pt jump shot from 26 ft,4,2
9,1,10:42.0,Defensive rebound by J. Butler,,4,2
10,1,10:24.0,T. Gibson makes 2-pt jump shot from 3 ft (assist by J. Teague),,6,2
11,1,10:07.0,,D. Cousins misses 2-pt jump shot from 18 ft,6,2
12,1,10:07.0,Defensive rebound by J. Butler,,6,2
13,1,9:55.0,J. Butler misses 2-pt jump shot from 13 ft,,6,2
14,1,9:55.0,Offensive rebound by T. Gibson,,6,2
15,1,9:47.0,T. Gibson makes 2-pt layup at rim,,8,2
16,1,9:32.0,,Turnover by E. Moore (bad pass; steal by J. Butler),8,2
17,1,9:26.0,K. Towns misses 2-pt dunk from 2 ft,,8,2
18,1,9:19.0,,Defensive rebound by A. Davis,8,2
19,1,9:14.0,,J. Holiday makes 2-pt jump shot from 5 ft,8,4
20,1,9:10.0,J. Butler makes 2-pt layup from 1 ft (assist by J. Teague),,10,4
21,1,9:10.0,Shooting foul by D. Cunningham (drawn by J. Butler),,10,4
22,1,9:10.0,J. Butler makes free throw 1 of 1,,11,4
23,1,9:01.0,,D. Cousins makes 2-pt jump shot from 4 ft (assist by A. Davis),11,6
24,1,8:49.0,A. Wiggins misses 2-pt jump shot from 14 ft,,11,6
25,1,8:49.0,,Defensive rebound by D. Cousins,11,6
26,1,8:37.0,,J. Holiday misses 2-pt jump shot from 13 ft,11,6
