,QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
0,1,11:35.0,D. Valentine misses 2-pt jump shot from 14 ft (block by D. Wilkins),,0,0
1,1,11:35.0,Offensive rebound by Team,,0,0
2,1,11:32.0,Turnover by K. Dunn (bad pass; steal by V. Oladipo),,0,0
3,1,11:29.0,,T. Young misses 2-pt layup at rim,0,0
4,1,11:26.0,,Offensive rebound by V. Oladipo,0,0
5,1,11:26.0,,V. Oladipo makes 2-pt dunk at rim,0,2
6,1,11:11.0,J. Holiday misses 3-pt jump shot from 27 ft,,0,2
7,1,11:11.0,,Defensive rebound by D. Collison,0,2
8,1,11:02.0,,D. Wilkins misses 2-pt layup from 2 ft,0,2
9,1,11:02.0,Defensive rebound by D. Valentine,,0,2
10,1,10:51.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),,3,2
11,1,10:32.0,,Shooting block foul by K. Dunn (drawn by M. Turner),3,2
12,1,10:32.0,,M. Turner makes free throw 1 of 2,3,3
13,1,10:32.0,,M. Turner makes free throw 2 of 2,3,4
14,1,10:26.0,D. Valentine makes 2-pt jump shot from 10 ft,,5,4
15,1,10:13.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by M. Turner),5,7
16,1,10:02.0,J. Holiday misses 3-pt jump shot from 27 ft,,5,7
17,1,10:02.0,,Defensive rebound by D. Collison,5,7
18,1,9:41.0,,M. Turner makes 2-pt layup from 1 ft (assist by D. Collison),5,9
19,1,9:25.0,R. Lopez makes 2-pt hook shot from 7 ft (assist by K. Dunn),,7,9
20,1,9:17.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by V. Oladipo),7,12
21,1,9:02.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by K. Dunn),,10,12
22,1,8:45.0,,V. Oladipo misses 3-pt jump shot from 24 ft,10,12
23,1,8:43.0,Defensive rebound by K. Dunn,,10,12
24,1,8:36.0,R. Lopez makes 2-pt layup from 1 ft (assist by K. Dunn),,12,12
25,1,8:17.0,,D. Collison misses 2-pt layup from 2 ft (block by D. Valentine),12,12
26,1,8:17.0,,Offensive rebound by Team,12,12
27,1,8:12.0,,D. Collison makes 3-pt jump shot from 29 ft (assist by T. Young),12,15
28,1,7:57.0,R. Lopez makes 2-pt layup at rim,,14,15
29,1,7:35.0,,M. Turner misses 2-pt jump shot from 16 ft,14,15
30,1,7:30.0,,Offensive rebound by T. Young,14,15
31,1,7:30.0,,T. Young misses 2-pt layup at rim,14,15
32,1,7:29.0,Defensive rebound by J. Holiday,,14,15
33,1,7:11.0,D. Valentine makes 3-pt jump shot from 27 ft (assist by L. Markkanen),,17,15
34,1,6:53.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by V. Oladipo),17,17
35,1,6:37.0,Turnover by K. Dunn (bad pass; steal by V. Oladipo),,17,17
36,1,6:31.0,,M. Turner misses 2-pt layup from 2 ft,17,17
37,1,6:30.0,,Offensive rebound by Team,17,17
38,1,6:30.0,,Indiana full timeout,17,17
39,1,6:30.0,,C. Joseph enters the game for D. Wilkins,17,17
40,1,6:12.0,,D. Collison misses 3-pt jump shot from 27 ft,17,17
41,1,6:09.0,Defensive rebound by J. Holiday,,17,17
42,1,6:00.0,Turnover by R. Lopez (bad pass; steal by V. Oladipo),,17,17
43,1,5:57.0,,V. Oladipo makes 2-pt layup at rim,17,19
44,1,5:41.0,Turnover by D. Valentine (bad pass; steal by V. Oladipo),,17,19
45,1,5:40.0,,Personal take foul by D. Valentine (drawn by V. Oladipo),17,19
46,1,5:24.0,,D. Collison makes 3-pt jump shot from 28 ft (assist by V. Oladipo),17,22
47,1,4:55.0,,D. Sabonis enters the game for T. Young,17,22
48,1,4:55.0,D. Nwaba enters the game for L. Markkanen,,17,22
49,1,4:55.0,N. Mirotić enters the game for D. Valentine,,17,22
50,1,4:53.0,Turnover by K. Dunn (bad pass; steal by V. Oladipo),,17,22
51,1,4:51.0,,V. Oladipo makes 2-pt dunk from 1 ft,17,24
52,1,4:51.0,Chicago full timeout,,17,24
53,1,4:39.0,J. Holiday misses 3-pt jump shot from 27 ft,,17,24
54,1,4:36.0,,Defensive rebound by V. Oladipo,17,24
55,1,4:27.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by V. Oladipo),17,26
56,1,4:16.0,K. Dunn makes 2-pt jump shot from 5 ft,,19,26
57,1,4:00.0,,M. Turner misses 3-pt jump shot from 27 ft,19,26
58,1,3:55.0,,Offensive rebound by D. Sabonis,19,26
59,1,3:55.0,,D. Sabonis makes 2-pt layup from 1 ft,19,28
60,1,3:40.0,Turnover by J. Holiday (out of bounds lost ball),,19,28
61,1,3:40.0,B. Portis enters the game for R. Lopez,,19,28
62,1,3:40.0,,L. Stephenson enters the game for V. Oladipo,19,28
63,1,3:27.0,,C. Joseph misses 3-pt jump shot from 26 ft,19,28
64,1,3:23.0,,Offensive rebound by D. Sabonis,19,28
65,1,3:19.0,,Turnover by D. Sabonis (traveling),19,28
66,1,3:02.0,,Offensive charge foul by K. Dunn (drawn by M. Turner),19,28
67,1,3:02.0,Turnover by K. Dunn (offensive foul),,19,28
68,1,3:02.0,J. Grant enters the game for K. Dunn,,19,28
69,1,3:00.0,,D. Collison makes technical free throw,19,29
70,1,2:43.0,,D. Sabonis makes 2-pt hook shot from 7 ft,19,31
71,1,2:26.0,N. Mirotić makes 3-pt jump shot from 23 ft (assist by B. Portis),,22,31
72,1,2:15.0,,Turnover by D. Sabonis (out of bounds lost ball),22,31
73,1,2:07.0,B. Portis misses 2-pt jump shot from 21 ft,,22,31
74,1,2:04.0,,Defensive rebound by M. Turner,22,31
75,1,1:50.0,,D. Collison misses 2-pt layup from 1 ft,22,31
76,1,1:48.0,Defensive rebound by B. Portis,,22,31
77,1,1:38.0,J. Holiday misses 3-pt jump shot from 23 ft,,22,31
78,1,1:35.0,Offensive rebound by D. Nwaba,,22,31
79,1,1:35.0,D. Nwaba makes 2-pt jump shot from 1 ft,,24,31
80,1,1:20.0,,D. Sabonis misses 3-pt jump shot from 28 ft,24,31
81,1,1:17.0,Defensive rebound by J. Grant,,24,31
82,1,1:11.0,J. Holiday misses 3-pt jump shot from 23 ft,,24,31
83,1,1:07.0,,Defensive rebound by C. Joseph,24,31
84,1,0:50.0,,L. Stephenson misses 3-pt jump shot from 26 ft,24,31
85,1,0:48.0,Defensive rebound by J. Holiday,,24,31
86,1,0:35.0,Shooting foul by C. Joseph (drawn by B. Portis),,24,31
87,1,0:35.0,B. Portis makes free throw 1 of 2,,25,31
88,1,0:35.0,,J. Young enters the game for D. Collison,25,31
89,1,0:35.0,,T. Leaf enters the game for M. Turner,25,31
90,1,0:35.0,P. Zipser enters the game for J. Holiday,,25,31
91,1,0:35.0,B. Portis makes free throw 2 of 2,,26,31
92,1,0:23.0,,L. Stephenson misses 2-pt layup at rim (block by B. Portis),26,31
93,1,0:20.0,Defensive rebound by J. Grant,,26,31
94,1,0:03.0,J. Grant misses 2-pt jump shot from 13 ft (block by C. Joseph),,26,31
95,1,0:00.0,,Defensive rebound by D. Sabonis,26,31
96,2,11:37.0,,T. Leaf makes 3-pt jump shot from 27 ft (assist by C. Joseph),26,34
97,2,11:08.0,P. Zipser misses 3-pt jump shot from 27 ft,,26,34
98,2,11:04.0,,Defensive rebound by C. Joseph,26,34
99,2,10:53.0,,D. Sabonis misses 2-pt hook shot from 4 ft,26,34
100,2,10:53.0,Defensive rebound by J. Grant,,26,34
101,2,10:45.0,Defensive rebound by J. Grant,,26,34
102,2,10:31.0,Turnover by B. Portis (lost ball; steal by L. Stephenson),,26,34
103,2,10:28.0,,Turnover by L. Stephenson (lost ball; steal by J. Grant),26,34
104,2,10:22.0,B. Portis makes 2-pt layup from 1 ft,,28,34
105,2,10:08.0,,L. Stephenson misses 3-pt jump shot from 26 ft,28,34
106,2,10:06.0,,Offensive rebound by T. Leaf,28,34
107,2,10:05.0,,J. Young misses 3-pt jump shot from 26 ft,28,34
108,2,10:02.0,,Offensive rebound by T. Leaf,28,34
109,2,10:01.0,,T. Leaf makes 2-pt layup at rim,28,36
110,2,9:44.0,D. Nwaba misses 3-pt jump shot from 23 ft,,28,36
111,2,9:41.0,,Defensive rebound by T. Leaf,28,36
112,2,9:26.0,,D. Sabonis makes 2-pt layup from 1 ft,28,38
113,2,9:26.0,Chicago full timeout,,28,38
114,2,9:09.0,J. Grant misses 2-pt jump shot from 15 ft (block by D. Sabonis),,28,38
115,2,9:06.0,,Defensive rebound by C. Joseph,28,38
116,2,9:04.0,,C. Joseph makes 2-pt layup from 3 ft,28,40
117,2,8:48.0,N. Mirotić misses 2-pt jump shot from 7 ft,,28,40
118,2,8:46.0,,Defensive rebound by D. Sabonis,28,40
119,2,8:34.0,,D. Sabonis misses 2-pt hook shot from 4 ft,28,40
120,2,8:32.0,Defensive rebound by B. Portis,,28,40
121,2,8:25.0,J. Grant misses 2-pt jump shot from 7 ft,,28,40
122,2,8:24.0,Offensive rebound by Team,,28,40
