,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,,S. Labissière makes 2-pt jump shot from 15 ft (assist by D. Fox),0,2
1,1,11:19.0,Shooting foul by J. Jackson (drawn by A. Wiggins),,0,2
2,1,11:19.0,A. Wiggins makes free throw 1 of 2,,1,2
3,1,11:19.0,A. Wiggins makes free throw 2 of 2,,2,2
4,1,11:04.0,,D. Fox makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),2,5
5,1,10:37.0,J. Teague misses 2-pt jump shot from 22 ft,,2,5
6,1,10:33.0,,Defensive rebound by B. Bogdanović,2,5
7,1,10:21.0,,W. Cauley-Stein makes 2-pt jump shot from 15 ft,2,7
8,1,9:55.0,N. Bjelica misses 2-pt jump shot from 8 ft,,2,7
9,1,9:52.0,Offensive rebound by N. Bjelica,,2,7
10,1,9:49.0,J. Teague makes 2-pt layup from 1 ft,,4,7
11,1,9:37.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),4,10
12,1,9:21.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by T. Gibson),,7,10
13,1,9:06.0,,S. Labissière makes 2-pt jump shot from 8 ft (assist by W. Cauley-Stein),7,12
14,1,8:51.0,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),,9,12
15,1,8:35.0,,Turnover by D. Fox (lost ball; steal by J. Teague),9,12
16,1,8:25.0,T. Gibson makes 2-pt hook shot from 4 ft,,11,12
17,1,8:04.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,11,12
18,1,8:02.0,Defensive rebound by K. Towns,,11,12
19,1,7:49.0,J. Teague makes 2-pt layup from 1 ft (assist by K. Towns),,13,12
20,1,7:37.0,,B. Bogdanović misses 2-pt jump shot from 14 ft,13,12
21,1,7:34.0,Defensive rebound by K. Towns,,13,12
22,1,7:32.0,Personal foul by S. Labissière (drawn by T. Gibson),,13,12
23,1,7:20.0,K. Towns makes 2-pt jump shot from 18 ft (assist by T. Gibson),,15,12
24,1,7:04.0,,W. Cauley-Stein misses 2-pt jump shot from 7 ft (block by K. Towns),15,12
25,1,7:01.0,Defensive rebound by J. Teague,,15,12
26,1,6:56.0,A. Wiggins makes 2-pt jump shot from 16 ft,,17,12
27,1,6:47.0,,Sacramento full timeout,17,12
28,1,6:31.0,,J. Jackson misses 2-pt layup from 2 ft,17,12
29,1,6:27.0,,Offensive rebound by J. Jackson,17,12
30,1,6:22.0,,W. Cauley-Stein misses 2-pt hook shot from 5 ft,17,12
31,1,6:19.0,Defensive rebound by J. Teague,,17,12
32,1,6:08.0,A. Wiggins misses 3-pt jump shot from 26 ft,,17,12
33,1,6:05.0,,Defensive rebound by W. Cauley-Stein,17,12
34,1,5:55.0,,S. Labissière makes 2-pt hook shot from 5 ft,17,14
35,1,5:39.0,T. Gibson makes 2-pt hook shot from 7 ft (assist by K. Towns),,19,14
36,1,5:26.0,,Personal foul by J. Teague (drawn by D. Fox),19,14
37,1,5:26.0,,B. Hield enters the game for J. Jackson,19,14
38,1,5:20.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Fox),19,17
39,1,5:01.0,Shooting foul by B. Hield (drawn by J. Teague),,19,17
40,1,5:01.0,J. Teague makes free throw 1 of 2,,20,17
41,1,5:01.0,J. Teague makes free throw 2 of 2,,21,17
42,1,4:47.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,21,17
43,1,4:43.0,Defensive rebound by K. Towns,,21,17
44,1,4:39.0,A. Wiggins makes 2-pt layup from 2 ft,,23,17
45,1,4:29.0,,Turnover by B. Hield (lost ball; steal by A. Wiggins),23,17
46,1,4:23.0,J. Teague misses 3-pt jump shot from 25 ft,,23,17
47,1,4:21.0,,Defensive rebound by Team,23,17
48,1,4:21.0,,K. Koufos enters the game for S. Labissière,23,17
49,1,4:21.0,G. Dieng enters the game for N. Bjelica,,23,17
50,1,4:21.0,J. Crawford enters the game for K. Towns,,23,17
51,1,4:06.0,,W. Cauley-Stein makes 2-pt jump shot from 18 ft (assist by D. Fox),23,19
52,1,3:50.0,J. Crawford misses 3-pt jump shot from 22 ft,,23,19
53,1,3:46.0,,Defensive rebound by B. Hield,23,19
54,1,3:37.0,,K. Koufos makes 2-pt hook shot from 7 ft,23,21
55,1,3:20.0,G. Dieng makes 2-pt jump shot from 18 ft (assist by J. Crawford),,25,21
56,1,3:04.0,,B. Bogdanović misses 2-pt jump shot from 17 ft,25,21
57,1,3:00.0,Defensive rebound by J. Teague,,25,21
58,1,2:49.0,J. Teague misses 2-pt layup from 1 ft,,25,21
59,1,2:47.0,,Defensive rebound by D. Fox,25,21
60,1,2:40.0,,K. Koufos makes 2-pt layup from 2 ft (assist by B. Bogdanović),25,23
61,1,2:30.0,Minnesota full timeout,,25,23
62,1,2:30.0,T. Jones enters the game for J. Teague,,25,23
63,1,2:30.0,,F. Mason enters the game for D. Fox,25,23
64,1,2:18.0,G. Dieng misses 2-pt jump shot from 8 ft,,25,23
65,1,2:12.0,,Defensive rebound by K. Koufos,25,23
66,1,1:55.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by B. Hield),25,25
67,1,1:32.0,A. Wiggins makes 2-pt hook shot from 11 ft,,27,25
68,1,1:20.0,,K. Koufos misses 2-pt hook shot from 12 ft,27,25
69,1,1:20.0,Defensive rebound by G. Dieng,,27,25
70,1,1:03.0,J. Crawford misses 2-pt jump shot from 21 ft,,27,25
71,1,1:01.0,,Defensive rebound by K. Koufos,27,25
72,1,0:48.0,,B. Hield makes 2-pt jump shot from 20 ft,27,27
73,1,0:37.0,G. Dieng makes 2-pt jump shot from 14 ft (assist by A. Wiggins),,29,27
74,1,0:29.0,,B. Bogdanović makes 2-pt jump shot from 21 ft,29,29
