,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,WASHINGTON_ACTION,SACRAMENTO_SCORE,WASHINGTON_SCORE
0,1,11:44.0,,M. Gortat misses 2-pt hook shot from 13 ft,0,0
1,1,11:40.0,Defensive rebound by Z. Randolph,,0,0
2,1,11:27.0,W. Cauley-Stein misses 2-pt layup from 1 ft,,0,0
3,1,11:24.0,,Defensive rebound by M. Morris,0,0
4,1,11:11.0,,M. Morris misses 2-pt jump shot from 20 ft,0,0
5,1,11:07.0,Defensive rebound by W. Cauley-Stein,,0,0
6,1,10:56.0,Z. Randolph misses 2-pt jump shot from 17 ft,,0,0
7,1,10:53.0,,Defensive rebound by J. Wall,0,0
8,1,10:49.0,,B. Beal misses 3-pt jump shot from 25 ft,0,0
9,1,10:45.0,Defensive rebound by W. Cauley-Stein,,0,0
10,1,10:29.0,G. Hill makes 3-pt jump shot from 25 ft (assist by G. Temple),,3,0
11,1,10:11.0,,J. Wall makes 3-pt jump shot from 24 ft (assist by B. Beal),3,3
12,1,9:47.0,Z. Randolph makes 2-pt hook shot from 10 ft,,5,3
13,1,9:40.0,,Personal foul by G. Temple (drawn by B. Beal),5,3
14,1,9:33.0,,O. Porter makes 2-pt jump shot from 8 ft (assist by B. Beal),5,5
15,1,9:21.0,G. Temple makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,8,5
16,1,9:08.0,,Turnover by B. Beal (lost ball; steal by Z. Randolph),8,5
17,1,9:00.0,W. Cauley-Stein misses 2-pt hook shot from 8 ft,,8,5
18,1,8:58.0,,Defensive rebound by O. Porter,8,5
19,1,8:51.0,,J. Wall makes 3-pt jump shot from 25 ft,8,8
20,1,8:27.0,B. Bogdanović makes 2-pt jump shot from 16 ft (assist by W. Cauley-Stein),,10,8
21,1,8:05.0,,B. Beal misses 3-pt jump shot from 24 ft,10,8
22,1,8:03.0,Defensive rebound by G. Hill,,10,8
23,1,7:59.0,Personal foul by B. Beal (drawn by G. Hill),,10,8
24,1,7:56.0,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by G. Temple),,13,8
25,1,7:43.0,,J. Wall makes 2-pt layup from 1 ft,13,10
26,1,7:22.0,Z. Randolph misses 2-pt jump shot from 18 ft,,13,10
27,1,7:18.0,Offensive rebound by B. Bogdanović,,13,10
28,1,7:18.0,B. Bogdanović misses 2-pt layup at rim,,13,10
29,1,7:17.0,,Defensive rebound by B. Beal,13,10
30,1,7:14.0,,M. Morris misses 3-pt jump shot from 25 ft,13,10
31,1,7:14.0,Defensive rebound by Z. Randolph,,13,10
32,1,6:51.0,W. Cauley-Stein makes 2-pt hook shot from 10 ft (assist by G. Hill),,15,10
33,1,6:36.0,,O. Porter makes 2-pt jump shot from 18 ft (assist by J. Wall),15,12
34,1,6:19.0,Z. Randolph makes 2-pt jump shot from 12 ft,,17,12
35,1,6:08.0,,O. Porter misses 2-pt jump shot from 22 ft,17,12
36,1,6:05.0,Defensive rebound by Z. Randolph,,17,12
37,1,5:47.0,B. Bogdanović misses 2-pt layup from 1 ft,,17,12
38,1,5:45.0,,Defensive rebound by M. Gortat,17,12
39,1,5:39.0,,J. Wall makes 2-pt layup at rim,17,14
40,1,5:22.0,W. Cauley-Stein misses 2-pt jump shot from 15 ft,,17,14
41,1,5:17.0,Offensive rebound by Z. Randolph,,17,14
42,1,5:17.0,Z. Randolph makes 2-pt layup at rim,,19,14
43,1,5:03.0,,M. Morris misses 3-pt jump shot from 23 ft,19,14
44,1,5:02.0,Defensive rebound by Team,,19,14
45,1,5:02.0,,Loose ball foul by M. Gortat (drawn by W. Cauley-Stein),19,14
46,1,5:02.0,,Washington full timeout,19,14
47,1,4:46.0,Turnover by W. Cauley-Stein (lost ball; steal by M. Morris),,19,14
48,1,4:41.0,,O. Porter misses 3-pt jump shot from 25 ft,19,14
49,1,4:37.0,,Offensive rebound by M. Morris,19,14
50,1,4:25.0,,M. Morris misses 3-pt jump shot from 22 ft,19,14
51,1,4:21.0,Defensive rebound by W. Cauley-Stein,,19,14
52,1,4:00.0,G. Hill misses 2-pt jump shot from 8 ft,,19,14
53,1,3:57.0,Offensive rebound by W. Cauley-Stein,,19,14
54,1,3:56.0,G. Hill makes 3-pt jump shot from 22 ft (assist by W. Cauley-Stein),,22,14
55,1,3:56.0,Shooting foul by M. Morris (drawn by G. Hill),,22,14
56,1,3:56.0,,M. Scott enters the game for M. Morris,22,14
57,1,3:56.0,G. Hill makes free throw 1 of 1,,23,14
58,1,3:40.0,,M. Scott makes 3-pt jump shot from 23 ft (assist by B. Beal),23,17
59,1,3:29.0,Personal foul by M. Scott (drawn by Z. Randolph),,23,17
