,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
0,1,11:40.0,Turnover by J. Butler (bad pass; steal by J. Harden),,0,0
1,1,11:36.0,,T. Ariza misses 3-pt jump shot from 25 ft,0,0
2,1,11:32.0,,Offensive rebound by Team,0,0
3,1,11:24.0,,J. Harden misses 2-pt jump shot from 10 ft,0,0
4,1,11:22.0,Defensive rebound by J. Teague,,0,0
5,1,11:11.0,J. Teague makes 2-pt layup from 1 ft,,2,0
6,1,10:46.0,,P. Tucker misses 2-pt hook shot from 9 ft,2,0
7,1,10:45.0,Defensive rebound by K. Towns,,2,0
8,1,10:35.0,T. Gibson misses 2-pt hook shot from 7 ft,,2,0
9,1,10:34.0,,Defensive rebound by C. Capela,2,0
10,1,10:24.0,,P. Tucker misses 3-pt jump shot from 22 ft,2,0
11,1,10:21.0,Defensive rebound by K. Towns,,2,0
12,1,10:15.0,Turnover by J. Butler (bad pass; steal by T. Ariza),,2,0
13,1,10:03.0,,Turnover by J. Harden (lost ball; steal by J. Teague),2,0
14,1,10:03.0,Personal foul by P. Tucker (drawn by J. Teague),,2,0
15,1,9:47.0,A. Wiggins makes 2-pt jump shot from 6 ft,,4,0
16,1,9:39.0,,C. Paul makes 2-pt layup at rim,4,2
17,1,9:30.0,J. Teague makes 2-pt jump shot from 7 ft,,6,2
18,1,9:30.0,Shooting foul by T. Ariza (drawn by J. Teague),,6,2
19,1,9:30.0,J. Teague makes free throw 1 of 1,,7,2
20,1,9:17.0,,T. Ariza misses 2-pt layup at rim,7,2
21,1,9:15.0,Defensive rebound by A. Wiggins,,7,2
22,1,9:14.0,,Offensive charge foul by T. Gibson (drawn by T. Ariza),7,2
23,1,9:14.0,Turnover by T. Gibson (offensive foul),,7,2
24,1,9:02.0,,Turnover by C. Paul (bad pass; steal by K. Towns),7,2
25,1,8:57.0,A. Wiggins makes 2-pt dunk at rim,,9,2
26,1,8:46.0,,J. Harden makes 2-pt layup at rim,9,4
27,1,8:46.0,,Shooting foul by J. Butler (drawn by J. Harden),9,4
28,1,8:46.0,,J. Harden makes free throw 1 of 1,9,5
29,1,8:36.0,Turnover by A. Wiggins (lost ball; steal by C. Paul),,9,5
30,1,8:29.0,,Shooting block foul by K. Towns (drawn by T. Ariza),9,5
31,1,8:29.0,,T. Ariza makes free throw 1 of 2,9,6
32,1,8:29.0,,T. Ariza misses free throw 2 of 2,9,6
33,1,8:27.0,,Offensive rebound by Team,9,6
34,1,8:14.0,,J. Harden misses 3-pt jump shot from 25 ft,9,6
35,1,8:11.0,Defensive rebound by A. Wiggins,,9,6
36,1,7:56.0,J. Butler makes 2-pt layup at rim,,11,6
37,1,7:38.0,,J. Harden misses 2-pt jump shot from 15 ft,11,6
38,1,7:35.0,Defensive rebound by T. Gibson,,11,6
39,1,7:28.0,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Teague),,14,6
40,1,7:22.0,,Personal foul by J. Teague (drawn by C. Paul),14,6
41,1,7:09.0,,T. Ariza misses 2-pt layup at rim,14,6
42,1,7:05.0,,Offensive rebound by C. Capela,14,6
43,1,7:05.0,,C. Capela misses 2-pt layup at rim,14,6
44,1,7:04.0,,Offensive rebound by C. Capela,14,6
45,1,7:04.0,,C. Capela misses 2-pt layup at rim,14,6
46,1,7:03.0,,Offensive rebound by C. Capela,14,6
47,1,7:03.0,,C. Capela makes 2-pt layup at rim,14,8
48,1,6:58.0,J. Teague misses 2-pt layup at rim (block by J. Harden),,14,8
49,1,6:56.0,,Defensive rebound by J. Harden,14,8
50,1,6:52.0,Offensive charge foul by J. Harden (drawn by T. Gibson),,14,8
51,1,6:52.0,,Turnover by J. Harden (offensive foul),14,8
52,1,6:52.0,,Houston full timeout,14,8
53,1,6:52.0,,E. Gordon enters the game for C. Paul,14,8
54,1,6:37.0,K. Towns makes 2-pt hook shot from 6 ft (assist by A. Wiggins),,16,8
55,1,6:24.0,,Turnover by C. Capela (bad pass; steal by A. Wiggins),16,8
56,1,6:15.0,K. Towns misses 2-pt layup from 3 ft (block by P. Tucker),,16,8
57,1,6:13.0,Offensive rebound by K. Towns,,16,8
58,1,6:13.0,Shooting foul by P. Tucker (drawn by K. Towns),,16,8
59,1,6:13.0,K. Towns misses free throw 1 of 2,,16,8
60,1,6:13.0,Offensive rebound by Team,,16,8
61,1,6:13.0,,G. Green enters the game for P. Tucker,16,8
62,1,6:13.0,T. Jones enters the game for J. Teague,,16,8
63,1,6:13.0,K. Towns misses free throw 2 of 2,,16,8
64,1,6:11.0,,Defensive rebound by J. Harden,16,8
65,1,6:06.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),16,11
66,1,5:43.0,K. Towns misses 2-pt jump shot from 13 ft,,16,11
67,1,5:42.0,,Defensive rebound by C. Capela,16,11
68,1,5:34.0,,J. Harden misses 2-pt layup from 1 ft (block by T. Gibson),16,11
69,1,5:34.0,,Offensive rebound by Team,16,11
70,1,5:33.0,,Shooting foul by A. Wiggins (drawn by E. Gordon),16,11
71,1,5:33.0,,E. Gordon makes free throw 1 of 2,16,12
72,1,5:33.0,,N. Hilário enters the game for C. Capela,16,12
73,1,5:33.0,,E. Gordon misses free throw 2 of 2,16,12
74,1,5:31.0,Defensive rebound by T. Gibson,,16,12
75,1,5:10.0,K. Towns misses 2-pt layup at rim,,16,12
76,1,5:08.0,Offensive rebound by A. Wiggins,,16,12
77,1,5:06.0,A. Wiggins makes 2-pt layup from 1 ft,,18,12
78,1,4:57.0,,J. Harden misses 2-pt layup from 1 ft,18,12
79,1,4:55.0,Defensive rebound by K. Towns,,18,12
80,1,4:53.0,Turnover by A. Wiggins (out of bounds lost ball),,18,12
81,1,4:53.0,J. Crawford enters the game for J. Butler,,18,12
82,1,4:53.0,G. Dieng enters the game for K. Towns,,18,12
83,1,4:42.0,,Turnover by J. Harden (lost ball; steal by T. Gibson),18,12
84,1,4:39.0,T. Gibson makes 2-pt dunk from 1 ft (assist by T. Jones),,20,12
85,1,4:28.0,,E. Gordon misses 3-pt jump shot from 25 ft,20,12
