,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BROOKLYN_ACTION,SACRAMENTO_SCORE,BROOKLYN_SCORE
33,1,6:23.0,,S. Dinwiddie misses 2-pt layup from 5 ft,17,13
34,1,6:21.0,Defensive rebound by Z. Randolph,,17,13
35,1,6:12.0,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by G. Hill),,19,13
36,1,5:46.0,,S. Dinwiddie makes 2-pt layup from 1 ft,19,15
37,1,5:29.0,W. Cauley-Stein makes 2-pt jump shot from 11 ft (assist by Z. Randolph),,21,15
38,1,5:09.0,,A. Crabbe misses 3-pt jump shot from 27 ft,21,15
39,1,5:06.0,Defensive rebound by W. Cauley-Stein,,21,15
40,1,4:46.0,G. Temple makes 3-pt jump shot from 23 ft (assist by W. Cauley-Stein),,24,15
41,1,4:18.0,,A. Crabbe misses 3-pt jump shot from 22 ft,24,15
42,1,4:15.0,Defensive rebound by W. Cauley-Stein,,24,15
43,1,4:02.0,Turnover by W. Cauley-Stein (lost ball; steal by A. Crabbe),,24,15
44,1,3:51.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,24,15
45,1,3:47.0,Defensive rebound by Z. Randolph,,24,15
46,1,3:39.0,Sacramento full timeout,,24,15
47,1,3:39.0,,J. Harris enters the game for R. Hollis-Jefferson,24,15
48,1,3:39.0,,C. LeVert enters the game for T. Zeller,24,15
49,1,3:39.0,,J. Allen enters the game for A. Crabbe,24,15
50,1,3:39.0,,Q. Acy enters the game for S. Dinwiddie,24,15
51,1,3:39.0,B. Hield enters the game for W. Cauley-Stein,,24,15
52,1,3:39.0,S. Labissière enters the game for G. Temple,,24,15
53,1,3:31.0,G. Hill makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,27,15
54,1,3:20.0,,Q. Acy misses 3-pt jump shot from 25 ft,27,15
55,1,3:18.0,,Offensive rebound by D. Carroll,27,15
56,1,3:14.0,,D. Carroll makes 2-pt hook shot from 5 ft,27,17
57,1,2:57.0,Turnover by Z. Randolph (lost ball; steal by J. Allen),,27,17
58,1,2:57.0,,Turnover by J. Allen (traveling),27,17
59,1,2:57.0,,A. Crabbe enters the game for D. Carroll,27,17
60,1,2:57.0,K. Koufos enters the game for Z. Randolph,,27,17
61,1,2:50.0,B. Bogdanović misses 2-pt jump shot from 18 ft,,27,17
62,1,2:45.0,,Defensive rebound by C. LeVert,27,17
63,1,2:32.0,,J. Harris misses 2-pt layup,27,17
64,1,2:25.0,,Offensive rebound by J. Harris,27,17
65,1,2:23.0,,J. Harris misses 2-pt layup from 2 ft,27,17
66,1,2:17.0,Defensive rebound by S. Labissière,,27,17
67,1,2:13.0,B. Bogdanović makes 2-pt jump shot from 8 ft,,29,17
68,1,2:12.0,,Personal foul by B. Bogdanović (drawn by Q. Acy),29,17
69,1,2:12.0,F. Mason enters the game for G. Hill,,29,17
70,1,2:12.0,J. Jackson enters the game for B. Bogdanović,,29,17
71,1,2:02.0,,Personal foul by F. Mason (drawn by J. Allen),29,17
72,1,1:50.0,,C. LeVert misses 2-pt layup from 4 ft,29,17
73,1,1:47.0,Defensive rebound by K. Koufos,,29,17
74,1,1:44.0,J. Jackson makes 3-pt jump shot from 22 ft (assist by B. Hield),,32,17
75,1,1:27.0,,C. LeVert misses 3-pt jump shot from 27 ft,32,17
76,1,1:23.0,Defensive rebound by B. Hield,,32,17
77,1,1:12.0,B. Hield misses 2-pt jump shot from 10 ft,,32,17
78,1,1:10.0,,Defensive rebound by A. Crabbe,32,17
79,1,1:05.0,,Shooting foul by J. Jackson (drawn by J. Harris),32,17
80,1,1:05.0,,J. Harris makes free throw 1 of 2,32,18
81,1,1:05.0,,J. Harris makes free throw 2 of 2,32,19
82,1,0:46.0,K. Koufos makes 2-pt layup from 7 ft (assist by F. Mason),,34,19
83,1,0:34.0,,A. Crabbe misses 3-pt jump shot from 28 ft,34,19
84,1,0:29.0,Defensive rebound by J. Jackson,,34,19
85,1,0:12.0,F. Mason makes 2-pt jump shot from 14 ft,,36,19
86,1,0:07.0,,Personal foul by S. Labissière (drawn by Q. Acy),36,19
87,1,0:07.0,,Q. Acy makes free throw 1 of 2,36,20
88,1,0:07.0,,S. Dinwiddie enters the game for J. Harris,36,20
89,1,0:07.0,,R. Hollis-Jefferson enters the game for A. Crabbe,36,20
90,1,0:07.0,,Q. Acy misses free throw 2 of 2,36,20
91,1,0:00.0,Defensive rebound by S. Labissière,,36,20
92,1,0:00.0,S. Labissière misses 3-pt jump shot from 28 ft,,36,20
93,1,0:00.0,Offensive rebound by Team,,36,20
94,2,11:43.0,B. Hield misses 2-pt jump shot from 13 ft,,36,20
95,2,11:38.0,Offensive rebound by K. Koufos,,36,20
96,2,11:37.0,F. Mason misses 3-pt jump shot from 26 ft,,36,20
97,2,11:34.0,,Defensive rebound by J. Allen,36,20
98,2,11:25.0,,Q. Acy misses 2-pt hook shot from 5 ft,36,20
99,2,11:22.0,,Offensive rebound by Q. Acy,36,20
100,2,11:21.0,,Q. Acy misses 2-pt layup from 3 ft,36,20
101,2,11:12.0,Defensive rebound by S. Labissière,,36,20
102,2,11:11.0,S. Labissière misses 2-pt jump shot from 19 ft,,36,20
103,2,11:09.0,Offensive rebound by F. Mason,,36,20
104,2,11:01.0,J. Jackson makes 2-pt jump shot from 12 ft,,38,20
105,2,11:01.0,Shooting foul by J. Allen (drawn by J. Jackson),,38,20
106,2,11:01.0,J. Jackson makes free throw 1 of 1,,39,20
107,2,10:52.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by C. LeVert),39,23
108,2,10:31.0,Shooting foul by J. Allen (drawn by S. Labissière),,39,23
109,2,10:31.0,S. Labissière makes free throw 1 of 2,,40,23
110,2,10:31.0,S. Labissière makes free throw 2 of 2,,41,23
111,2,10:20.0,,J. Harris misses 3-pt jump shot from 25 ft,41,23
112,2,10:17.0,Defensive rebound by B. Hield,,41,23
113,2,10:06.0,S. Labissière makes 2-pt layup from 9 ft,,43,23
114,2,10:06.0,Shooting foul by Q. Acy (drawn by S. Labissière),,43,23
115,2,10:06.0,,S. Dinwiddie enters the game for Q. Acy,43,23
116,2,10:06.0,,R. Hollis-Jefferson enters the game for A. Crabbe,43,23
117,2,10:06.0,S. Labissière makes free throw 1 of 1,,44,23
118,2,9:42.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft,44,26
119,2,9:22.0,J. Jackson misses 2-pt jump shot from 11 ft,,44,26
120,2,9:20.0,,Defensive rebound by J. Allen,44,26
121,2,9:14.0,,C. LeVert makes 2-pt layup from 4 ft,44,28
122,2,8:49.0,B. Hield misses 2-pt jump shot from 16 ft,,44,28
123,2,8:46.0,,Defensive rebound by S. Dinwiddie,44,28
124,2,8:42.0,,Brooklyn full timeout,44,28
125,2,8:37.0,,R. Hollis-Jefferson misses 2-pt jump shot from 9 ft,44,28
126,2,8:33.0,Defensive rebound by K. Koufos,,44,28
127,2,8:18.0,K. Koufos makes 2-pt hook shot from 6 ft,,46,28
128,2,8:01.0,,R. Hollis-Jefferson misses 2-pt layup from 9 ft,46,28
129,2,7:55.0,,Offensive rebound by R. Hollis-Jefferson,46,28
130,2,7:55.0,,R. Hollis-Jefferson makes 2-pt layup at rim,46,30
131,2,7:46.0,S. Labissière misses 2-pt jump shot from 18 ft,,46,30
132,2,7:43.0,,Defensive rebound by R. Hollis-Jefferson,46,30
133,2,7:36.0,,S. Dinwiddie misses 3-pt jump shot from 27 ft,46,30
134,2,7:32.0,Defensive rebound by K. Koufos,,46,30
135,2,7:16.0,K. Koufos makes 2-pt jump shot from 10 ft,,48,30
136,2,7:07.0,,Offensive foul by S. Dinwiddie (drawn by B. Hield),48,30
137,2,7:07.0,,Turnover by S. Dinwiddie (offensive foul),48,30
138,2,7:07.0,,T. Zeller enters the game for J. Harris,48,30
139,2,7:07.0,,D. Carroll enters the game for J. Allen,48,30
140,2,7:00.0,Personal foul by T. Zeller (drawn by K. Koufos),,48,30
141,2,6:48.0,K. Koufos misses 2-pt layup from 7 ft,,48,30
142,2,6:46.0,,Defensive rebound by T. Zeller,48,30
143,2,6:39.0,,Turnover by D. Carroll (bad pass; steal by F. Mason),48,30
144,2,6:30.0,F. Mason misses 3-pt jump shot from 26 ft,,48,30
145,2,6:28.0,Offensive rebound by F. Mason,,48,30
146,2,6:24.0,B. Hield misses 3-pt jump shot from 26 ft (block by D. Carroll),,48,30
147,2,6:17.0,,Defensive rebound by R. Hollis-Jefferson,48,30
148,2,6:15.0,,D. Carroll misses 3-pt jump shot from 24 ft,48,30
149,2,6:13.0,Defensive rebound by S. Labissière,,48,30
150,2,6:10.0,Sacramento full timeout,,48,30
151,2,6:10.0,G. Hill enters the game for S. Labissière,,48,30
152,2,6:10.0,W. Cauley-Stein enters the game for F. Mason,,48,30
153,2,5:52.0,B. Hield misses 3-pt jump shot from 25 ft (block by D. Carroll),,48,30
154,2,5:52.0,Offensive rebound by Team,,48,30
155,2,5:51.0,Turnover by Team (shot clock),,48,30
156,2,5:37.0,,Turnover by C. LeVert (lost ball; steal by J. Jackson),48,30
157,2,5:33.0,B. Hield misses 2-pt layup from 6 ft (block by C. LeVert),,48,30
158,2,5:33.0,Offensive rebound by G. Hill,,48,30
159,2,5:33.0,Turnover by G. Hill (palming),,48,30
160,2,5:33.0,G. Temple enters the game for B. Hield,,48,30
161,2,5:33.0,B. Bogdanović enters the game for J. Jackson,,48,30
162,2,5:20.0,,Turnover by T. Zeller (lost ball; steal by K. Koufos),48,30
163,2,5:15.0,Personal foul by S. Dinwiddie (drawn by G. Hill),,48,30
164,2,5:15.0,G. Hill makes free throw 1 of 2,,49,30
165,2,5:15.0,,J. Harris enters the game for S. Dinwiddie,49,30
166,2,5:15.0,,A. Crabbe enters the game for D. Carroll,49,30
167,2,5:15.0,G. Hill makes free throw 2 of 2,,50,30
168,2,4:54.0,,R. Hollis-Jefferson makes 2-pt jump shot from 9 ft (assist by J. Harris),50,32
169,2,4:34.0,K. Koufos misses 2-pt hook shot from 10 ft,,50,32
170,2,4:32.0,,Defensive rebound by A. Crabbe,50,32
171,2,4:26.0,,A. Crabbe makes 2-pt layup from 4 ft (assist by C. LeVert),50,34
172,2,4:14.0,K. Koufos misses 2-pt jump shot from 10 ft,,50,34
173,2,4:11.0,Offensive rebound by K. Koufos,,50,34
174,2,4:09.0,K. Koufos makes 2-pt layup from 2 ft,,52,34
175,2,3:57.0,,T. Zeller misses 2-pt hook shot from 8 ft,52,34
176,2,3:55.0,,Offensive rebound by T. Zeller,52,34
177,2,3:53.0,,T. Zeller makes 2-pt hook shot from 7 ft,52,36
178,2,3:36.0,G. Temple misses 2-pt jump shot from 10 ft,,52,36
179,2,3:34.0,Offensive rebound by Team,,52,36
180,2,3:34.0,Z. Randolph enters the game for K. Koufos,,52,36
181,2,3:17.0,B. Bogdanović makes 2-pt jump shot from 22 ft (assist by Z. Randolph),,54,36
182,2,3:06.0,,Shooting foul by W. Cauley-Stein (drawn by R. Hollis-Jefferson),54,36
183,2,3:06.0,,R. Hollis-Jefferson makes free throw 1 of 2,54,37
184,2,3:06.0,,D. Carroll enters the game for J. Harris,54,37
185,2,3:06.0,,N. Stauskas enters the game for C. LeVert,54,37
