,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
0,1,11:38.0,,D. Šarić misses 3-pt jump shot from 23 ft,0,0
1,1,11:35.0,Defensive rebound by R. Hood,,0,0
2,1,11:31.0,R. Hood misses 2-pt jump shot from 16 ft,,0,0
3,1,11:27.0,Offensive rebound by C. Osman,,0,0
4,1,11:24.0,K. Love makes 3-pt jump shot from 25 ft (assist by J. Green),,3,0
5,1,11:17.0,,Personal foul by C. Osman (drawn by J. Redick),3,0
6,1,11:10.0,,J. Redick misses 3-pt jump shot from 25 ft,3,0
7,1,11:07.0,Defensive rebound by R. Hood,,3,0
8,1,11:02.0,J. Green makes 2-pt dunk from 1 ft (assist by R. Hood),,5,0
9,1,10:49.0,,J. Redick makes 2-pt jump shot from 15 ft (assist by A. Johnson),5,2
10,1,10:22.0,C. Osman misses 3-pt jump shot from 22 ft,,5,2
11,1,10:19.0,,Defensive rebound by D. Šarić,5,2
12,1,10:13.0,,B. Simmons misses 2-pt layup from 2 ft,5,2
13,1,10:08.0,,Offensive rebound by B. Simmons,5,2
14,1,10:08.0,,B. Simmons makes 2-pt layup at rim,5,4
15,1,10:00.0,Turnover by L. James (bad pass),,5,4
16,1,9:55.0,Violation by J. Green (kicked ball),,5,4
17,1,9:38.0,,B. Simmons makes 2-pt hook shot from 7 ft,5,6
18,1,9:17.0,L. James misses 3-pt jump shot from 26 ft,,5,6
19,1,9:13.0,,Defensive rebound by B. Simmons,5,6
20,1,9:08.0,,J. Redick makes 2-pt layup from 1 ft (assist by B. Simmons),5,8
21,1,8:42.0,R. Hood misses 2-pt jump shot from 6 ft,,5,8
22,1,8:40.0,,Defensive rebound by B. Simmons,5,8
23,1,8:27.0,,B. Simmons misses 2-pt layup from 4 ft,5,8
24,1,8:25.0,Defensive rebound by K. Love,,5,8
25,1,8:22.0,L. James makes 2-pt layup from 2 ft (assist by K. Love),,7,8
26,1,8:22.0,Shooting foul by J. Redick (drawn by L. James),,7,8
27,1,8:22.0,L. James makes free throw 1 of 1,,8,8
28,1,8:11.0,,Shooting foul by K. Love (drawn by B. Simmons),8,8
29,1,8:11.0,,B. Simmons makes free throw 1 of 2,8,9
30,1,8:11.0,,B. Simmons misses free throw 2 of 2,8,9
31,1,8:08.0,,Offensive rebound by A. Johnson,8,9
32,1,8:06.0,,A. Johnson makes 2-pt layup from 4 ft,8,11
33,1,7:49.0,J. Green makes 3-pt jump shot from 26 ft (assist by L. James),,11,11
34,1,7:31.0,,J. Redick misses 2-pt jump shot from 20 ft,11,11
35,1,7:27.0,,Offensive rebound by A. Johnson,11,11
36,1,7:27.0,,A. Johnson makes 2-pt hook shot from 6 ft,11,13
37,1,7:19.0,Turnover by L. James (bad pass; steal by A. Johnson),,11,13
38,1,7:14.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),11,16
39,1,7:13.0,Cleveland full timeout,,11,16
40,1,7:13.0,,M. Belinelli enters the game for R. Covington,11,16
41,1,7:13.0,,T. McConnell enters the game for J. Redick,11,16
42,1,7:01.0,Turnover by L. James (lost ball; steal by B. Simmons),,11,16
43,1,6:43.0,,Shooting foul by J. Green (drawn by M. Belinelli),11,16
44,1,6:43.0,,M. Belinelli makes free throw 1 of 3,11,17
45,1,6:43.0,,M. Belinelli makes free throw 2 of 3,11,18
46,1,6:43.0,,M. Belinelli makes free throw 3 of 3,11,19
47,1,6:23.0,K. Love misses 2-pt jump shot from 16 ft,,11,19
48,1,6:23.0,Offensive rebound by Team,,11,19
49,1,6:23.0,,Loose ball foul by D. Šarić (drawn by J. Green),11,19
50,1,6:14.0,C. Osman misses 2-pt layup from 4 ft,,11,19
51,1,6:10.0,,Defensive rebound by B. Simmons,11,19
52,1,6:05.0,,Turnover by M. Belinelli (out of bounds lost ball),11,19
53,1,5:53.0,R. Hood makes 2-pt jump shot from 5 ft,,13,19
54,1,5:40.0,,D. Šarić makes 3-pt jump shot from 27 ft (assist by B. Simmons),13,22
55,1,5:29.0,Shooting foul by A. Johnson (drawn by R. Hood),,13,22
56,1,5:29.0,R. Hood makes free throw 1 of 2,,14,22
57,1,5:29.0,,R. Holmes enters the game for A. Johnson,14,22
58,1,5:29.0,T. Thompson enters the game for C. Osman,,14,22
59,1,5:29.0,J. Smith enters the game for J. Green,,14,22
60,1,5:29.0,R. Hood makes free throw 2 of 2,,15,22
61,1,5:18.0,,M. Belinelli misses 3-pt jump shot from 25 ft,15,22
62,1,5:15.0,,Offensive rebound by Team,15,22
63,1,5:05.0,,D. Šarić misses 2-pt jump shot from 18 ft,15,22
64,1,5:01.0,Defensive rebound by L. James,,15,22
65,1,4:55.0,L. James misses 2-pt jump shot from 22 ft,,15,22
66,1,4:52.0,,Defensive rebound by B. Simmons,15,22
67,1,4:49.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by B. Simmons),15,25
68,1,4:33.0,J. Smith makes 2-pt jump shot from 19 ft,,17,25
69,1,4:27.0,,R. Holmes makes 2-pt dunk from 1 ft (assist by B. Simmons),17,27
70,1,4:11.0,L. James misses 2-pt layup from 1 ft,,17,27
71,1,4:08.0,Offensive rebound by L. James,,17,27
72,1,4:08.0,L. James misses 2-pt layup at rim,,17,27
73,1,4:07.0,,Defensive rebound by B. Simmons,17,27
74,1,4:05.0,,R. Holmes makes 2-pt dunk from 1 ft (assist by T. McConnell),17,29
75,1,4:05.0,Cleveland full timeout,,17,29
76,1,4:05.0,,R. Covington enters the game for D. Šarić,17,29
77,1,4:05.0,,E. İlyasova enters the game for T. McConnell,17,29
78,1,4:05.0,J. Clarkson enters the game for R. Hood,,17,29
