,QUARTER,TIME_REMAINING,TORONTO_ACTION,GOLDEN STATE_ACTION,TORONTO_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,Shooting foul by K. Thompson (drawn by S. Ibaka),,0,0
1,1,11:41.0,S. Ibaka makes free throw 1 of 2,,1,0
2,1,11:41.0,S. Ibaka makes free throw 2 of 2,,2,0
3,1,11:22.0,,K. Durant makes 2-pt jump shot from 7 ft,2,2
4,1,11:10.0,S. Ibaka misses 3-pt jump shot from 24 ft,,2,2
5,1,11:10.0,,Defensive rebound by Z. Pachulia,2,2
6,1,10:59.0,,Personal foul by N. Powell (drawn by Z. Pachulia),2,2
7,1,10:54.0,,K. Thompson misses 2-pt jump shot from 16 ft,2,2
8,1,10:51.0,Defensive rebound by S. Ibaka,,2,2
9,1,10:49.0,Turnover by K. Lowry (lost ball; steal by S. Curry),,2,2
10,1,10:42.0,,S. Curry misses 3-pt jump shot from 26 ft,2,2
11,1,10:39.0,Defensive rebound by Team,,2,2
12,1,10:18.0,Personal foul by S. Curry (drawn by K. Lowry),,2,2
13,1,10:12.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),,4,2
14,1,9:54.0,,K. Thompson misses 2-pt layup from 2 ft (block by S. Ibaka),4,2
15,1,9:48.0,Defensive rebound by P. Siakam,,4,2
16,1,9:48.0,Shooting foul by Z. Pachulia (drawn by K. Lowry),,4,2
17,1,9:48.0,K. Lowry makes free throw 1 of 3,,5,2
18,1,9:48.0,K. Lowry makes free throw 2 of 3,,6,2
19,1,9:48.0,K. Lowry makes free throw 3 of 3,,7,2
20,1,9:37.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Thompson),7,5
21,1,9:24.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by K. Lowry),,9,5
22,1,9:13.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Thompson),9,7
23,1,8:52.0,N. Powell makes 2-pt dunk at rim (assist by P. Siakam),,11,7
24,1,8:39.0,,K. Durant makes 2-pt dunk at rim (assist by S. Curry),11,9
25,1,8:12.0,P. Siakam misses 3-pt jump shot from 22 ft,,11,9
26,1,8:12.0,Offensive rebound by D. DeRozan,,11,9
