,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CLEVELAND_ACTION,PHILADELPHIA_SCORE,CLEVELAND_SCORE
0,1,11:45.0,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Šarić),,3,0
1,1,11:23.0,,Turnover by L. James (bad pass; steal by A. Johnson),3,0
2,1,11:17.0,B. Simmons makes 2-pt dunk at rim (assist by J. Redick),,5,0
3,1,11:03.0,,J. Calderón misses 3-pt jump shot from 25 ft,5,0
4,1,11:01.0,Defensive rebound by B. Simmons,,5,0
5,1,10:47.0,Turnover by B. Simmons (traveling),,5,0
6,1,10:25.0,,L. James misses 2-pt jump shot from 17 ft,5,0
7,1,10:22.0,Defensive rebound by R. Covington,,5,0
8,1,10:16.0,Personal foul by L. James (drawn by A. Johnson),,5,0
9,1,10:09.0,Personal foul by J. Crowder (drawn by A. Johnson),,5,0
10,1,9:54.0,B. Simmons makes 2-pt hook shot from 9 ft,,7,0
11,1,9:41.0,,Turnover by L. James (lost ball; steal by J. Redick),7,0
12,1,9:35.0,J. Redick misses 3-pt jump shot from 25 ft,,7,0
13,1,9:32.0,Offensive rebound by D. Šarić,,7,0
14,1,9:30.0,D. Šarić misses 2-pt jump shot from 14 ft,,7,0
15,1,9:30.0,,Defensive rebound by Team,7,0
16,1,9:30.0,Loose ball foul by J. Redick (drawn by A. Žižić),,7,0
17,1,9:18.0,,J. Smith makes 3-pt jump shot from 27 ft (assist by A. Žižić),7,3
18,1,9:06.0,D. Šarić makes 2-pt dunk from 1 ft (assist by B. Simmons),,9,3
19,1,8:44.0,,J. Crowder misses 3-pt jump shot from 22 ft,9,3
20,1,8:42.0,Defensive rebound by B. Simmons,,9,3
21,1,8:37.0,Turnover by D. Šarić (bad pass; steal by J. Crowder),,9,3
22,1,8:27.0,,A. Žižić misses 2-pt jump shot from 14 ft,9,3
23,1,8:24.0,Defensive rebound by D. Šarić,,9,3
24,1,8:13.0,D. Šarić misses 3-pt jump shot from 28 ft,,9,3
25,1,8:10.0,,Defensive rebound by A. Žižić,9,3
26,1,8:03.0,,Turnover by J. Calderón (bad pass),9,3
27,1,7:50.0,B. Simmons makes 2-pt layup at rim,,11,3
28,1,7:30.0,,Turnover by L. James (lost ball; steal by J. Redick),11,3
29,1,7:22.0,R. Covington makes 2-pt layup at rim (assist by B. Simmons),,13,3
30,1,7:22.0,,Cleveland full timeout,13,3
31,1,7:22.0,,J. Green enters the game for A. Žižić,13,3
32,1,7:01.0,,L. James makes 2-pt layup from 1 ft,13,5
33,1,6:49.0,B. Simmons misses 2-pt jump shot from 15 ft,,13,5
34,1,6:46.0,,Defensive rebound by J. Calderón,13,5
35,1,6:29.0,,L. James misses 3-pt jump shot from 25 ft,13,5
36,1,6:25.0,,Offensive rebound by J. Crowder,13,5
37,1,6:22.0,,L. James makes 2-pt layup from 1 ft (assist by J. Smith),13,7
38,1,6:07.0,D. Šarić makes 2-pt layup at rim,,15,7
39,1,5:45.0,,J. Green misses 2-pt jump shot from 20 ft,15,7
40,1,5:44.0,Defensive rebound by D. Šarić,,15,7
41,1,5:33.0,Turnover by R. Covington (bad pass; steal by J. Green),,15,7
42,1,5:28.0,,Turnover by J. Smith (bad pass; steal by R. Covington),15,7
43,1,5:16.0,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Šarić),,18,7
44,1,4:51.0,,J. Green makes 2-pt hook shot from 2 ft (assist by L. James),18,9
45,1,4:40.0,Offensive foul by A. Johnson (drawn by J. Crowder),,18,9
46,1,4:40.0,Turnover by A. Johnson (offensive foul),,18,9
47,1,4:40.0,,D. Wade enters the game for J. Calderón,18,9
48,1,4:40.0,J. Bayless enters the game for A. Johnson,,18,9
49,1,4:40.0,R. Holmes enters the game for D. Šarić,,18,9
50,1,4:40.0,T. Booker enters the game for J. Redick,,18,9
51,1,4:40.0,T. Luwawu-Cabarrot enters the game for R. Covington,,18,9
52,1,4:28.0,,L. James misses 2-pt jump shot from 14 ft,18,9
53,1,4:26.0,Defensive rebound by B. Simmons,,18,9
54,1,4:21.0,R. Holmes makes 2-pt layup at rim (assist by B. Simmons),,20,9
55,1,4:04.0,,J. Crowder makes 2-pt layup from 1 ft (assist by L. James),20,11
56,1,3:49.0,B. Simmons misses 2-pt layup from 3 ft (block by J. Crowder),,20,11
57,1,3:47.0,,Defensive rebound by L. James,20,11
58,1,3:45.0,,Turnover by L. James (bad pass; steal by B. Simmons),20,11
59,1,3:45.0,Personal foul by J. Green (drawn by B. Simmons),,20,11
60,1,3:33.0,T. Booker misses 2-pt jump shot from 15 ft,,20,11
61,1,3:29.0,,Defensive rebound by L. James,20,11
62,1,3:17.0,,Shooting foul by R. Holmes (drawn by L. James),20,11
63,1,3:17.0,,L. James makes free throw 1 of 2,20,12
64,1,3:17.0,,L. James makes free throw 2 of 2,20,13
65,1,3:17.0,Philadelphia full timeout,,20,13
66,1,3:17.0,,K. Korver enters the game for J. Smith,20,13
67,1,3:17.0,J. Redick enters the game for B. Simmons,,20,13
68,1,2:59.0,R. Holmes misses 2-pt layup from 2 ft,,20,13
69,1,2:56.0,Offensive rebound by T. Booker,,20,13
70,1,2:51.0,R. Holmes misses 2-pt jump shot from 10 ft,,20,13
71,1,2:48.0,,Defensive rebound by J. Crowder,20,13
72,1,2:37.0,,J. Green makes 2-pt layup from 1 ft (assist by K. Korver),20,15
73,1,2:12.0,R. Holmes misses 3-pt jump shot from 26 ft,,20,15
74,1,2:10.0,,Defensive rebound by J. Crowder,20,15
75,1,2:02.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Wade),20,15
76,1,2:02.0,,D. Wade misses free throw 1 of 2,20,15
77,1,2:02.0,,Offensive rebound by Team,20,15
78,1,2:02.0,,C. Osman enters the game for L. James,20,15
79,1,2:02.0,,C. Frye enters the game for J. Crowder,20,15
80,1,2:02.0,,D. Wade makes free throw 2 of 2,20,16
