,QUARTER,TIME_REMAINING,UTAH_ACTION,SACRAMENTO_ACTION,UTAH_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,R. Rubio makes 2-pt layup from 1 ft,,2,0
1,1,11:32.0,,Turnover by D. Fox (bad pass; steal by R. Rubio),2,0
2,1,11:28.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Rubio),,4,0
3,1,11:08.0,,B. Bogdanović misses 2-pt jump shot from 9 ft,4,0
4,1,11:05.0,Defensive rebound by R. Gobert,,4,0
5,1,10:57.0,J. Ingles misses 3-pt jump shot from 27 ft,,4,0
6,1,10:57.0,,Defensive rebound by Team,4,0
7,1,10:50.0,,K. Koufos makes 2-pt hook shot from 8 ft (assist by J. Jackson),4,2
8,1,10:33.0,R. Rubio misses 2-pt layup from 1 ft,,4,2
9,1,10:30.0,,Defensive rebound by K. Koufos,4,2
10,1,10:24.0,,B. Bogdanović misses 2-pt jump shot from 11 ft,4,2
11,1,10:20.0,Defensive rebound by J. Ingles,,4,2
12,1,10:12.0,R. Rubio misses 2-pt layup from 1 ft,,4,2
13,1,10:12.0,,Defensive rebound by Z. Randolph,4,2
14,1,10:04.0,,J. Jackson misses 3-pt jump shot from 23 ft,4,2
15,1,10:04.0,Defensive rebound by R. Rubio,,4,2
16,1,9:50.0,Personal foul by J. Jackson (drawn by R. Gobert),,4,2
17,1,9:48.0,J. Ingles makes 2-pt layup from 1 ft (assist by R. Rubio),,6,2
18,1,9:32.0,,J. Jackson misses 2-pt jump shot from 9 ft,6,2
19,1,9:30.0,Defensive rebound by R. Gobert,,6,2
20,1,9:22.0,R. Rubio misses 2-pt jump shot from 16 ft,,6,2
21,1,9:19.0,,Defensive rebound by K. Koufos,6,2
22,1,9:08.0,,D. Fox makes 2-pt jump shot from 9 ft,6,4
23,1,8:52.0,Turnover by D. Mitchell (lost ball; steal by J. Jackson),,6,4
24,1,8:50.0,,Personal foul by J. Ingles (drawn by J. Jackson),6,4
25,1,8:36.0,,Z. Randolph makes 2-pt jump shot from 15 ft (assist by J. Jackson),6,6
26,1,8:17.0,D. Favors makes 2-pt jump shot from 19 ft (assist by J. Ingles),,8,6
27,1,7:56.0,,B. Bogdanović makes 3-pt jump shot from 24 ft,8,9
28,1,7:32.0,D. Mitchell misses 3-pt jump shot from 26 ft,,8,9
29,1,7:30.0,Offensive rebound by R. Rubio,,8,9
30,1,7:30.0,R. Rubio makes 2-pt jump shot from 14 ft,,10,9
31,1,7:30.0,Shooting foul by D. Fox (drawn by R. Rubio),,10,9
32,1,7:30.0,R. Rubio misses free throw 1 of 1,,10,9
33,1,7:27.0,,Defensive rebound by Z. Randolph,10,9
34,1,7:16.0,,D. Fox makes 2-pt jump shot from 17 ft,10,11
35,1,6:57.0,R. Rubio misses 3-pt jump shot from 24 ft,,10,11
36,1,6:53.0,,Defensive rebound by K. Koufos,10,11
37,1,6:36.0,,D. Fox misses 2-pt jump shot from 12 ft (block by R. Gobert),10,11
38,1,6:33.0,Defensive rebound by R. Rubio,,10,11
39,1,6:29.0,,Violation by K. Koufos (kicked ball),10,11
