,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ORLANDO_ACTION,CHARLOTTE_SCORE,ORLANDO_SCORE
0,1,11:50.0,Shooting foul by M. Hezonja (drawn by K. Walker),,0,0
1,1,11:50.0,K. Walker makes free throw 1 of 2,,1,0
2,1,11:50.0,K. Walker makes free throw 2 of 2,,2,0
3,1,11:34.0,,B. Biyombo misses 2-pt jump shot from 11 ft,2,0
4,1,11:32.0,Defensive rebound by N. Batum,,2,0
5,1,11:20.0,D. Howard misses 2-pt jump shot from 15 ft,,2,0
6,1,11:16.0,,Defensive rebound by J. Artis,2,0
7,1,11:06.0,,D. Augustin makes 3-pt jump shot from 24 ft (assist by J. Artis),2,3
8,1,10:50.0,M. Williams misses 3-pt jump shot from 24 ft,,2,3
9,1,10:47.0,,Defensive rebound by D. Augustin,2,3
10,1,10:41.0,,D. Augustin misses 2-pt jump shot from 13 ft,2,3
11,1,10:38.0,Defensive rebound by D. Howard,,2,3
12,1,10:23.0,M. Williams makes 2-pt jump shot from 9 ft (assist by M. Kidd-Gilchrist),,4,3
13,1,9:59.0,,J. Artis misses 3-pt jump shot from 23 ft,4,3
14,1,9:56.0,Defensive rebound by N. Batum,,4,3
15,1,9:50.0,M. Williams makes 2-pt layup from 2 ft (assist by N. Batum),,6,3
16,1,9:35.0,,W. Iwundu misses 3-pt jump shot from 25 ft,6,3
17,1,9:30.0,Defensive rebound by K. Walker,,6,3
18,1,9:21.0,K. Walker makes 2-pt layup from 2 ft,,8,3
19,1,9:00.0,,B. Biyombo misses 2-pt jump shot from 12 ft,8,3
20,1,8:56.0,Defensive rebound by M. Kidd-Gilchrist,,8,3
21,1,8:48.0,Shooting foul by B. Biyombo (drawn by D. Howard),,8,3
22,1,8:48.0,D. Howard makes free throw 1 of 2,,9,3
23,1,8:48.0,D. Howard misses free throw 2 of 2,,9,3
24,1,8:45.0,,Defensive rebound by M. Hezonja,9,3
25,1,8:31.0,,B. Biyombo misses 2-pt hook shot from 7 ft (block by D. Howard),9,3
26,1,8:27.0,Defensive rebound by N. Batum,,9,3
27,1,8:22.0,D. Howard makes 2-pt dunk at rim (assist by N. Batum),,11,3
28,1,8:22.0,,Orlando full timeout,11,3
29,1,8:07.0,,M. Hezonja makes 2-pt jump shot from 1 ft (assist by D. Augustin),11,5
30,1,7:53.0,K. Walker makes 3-pt jump shot from 25 ft,,14,5
31,1,7:34.0,,B. Biyombo misses 2-pt layup from 3 ft (block by D. Howard),14,5
32,1,7:30.0,Defensive rebound by M. Kidd-Gilchrist,,14,5
33,1,7:21.0,Shooting foul by B. Biyombo (drawn by M. Kidd-Gilchrist),,14,5
34,1,7:21.0,M. Kidd-Gilchrist makes free throw 1 of 2,,15,5
35,1,7:21.0,,K. Birch enters the game for B. Biyombo,15,5
36,1,7:21.0,M. Kidd-Gilchrist makes free throw 2 of 2,,16,5
37,1,7:07.0,,Shooting foul by M. Williams (drawn by M. Hezonja),16,5
38,1,7:07.0,,M. Hezonja makes free throw 1 of 2,16,6
39,1,7:07.0,,M. Hezonja makes free throw 2 of 2,16,7
40,1,6:50.0,D. Howard makes 2-pt dunk from 1 ft (assist by N. Batum),,18,7
41,1,6:38.0,,D. Augustin makes 2-pt jump shot from 8 ft (assist by K. Birch),18,9
42,1,6:19.0,K. Walker misses 3-pt jump shot from 24 ft,,18,9
43,1,6:19.0,,Defensive rebound by M. Hezonja,18,9
44,1,6:10.0,,D. Augustin makes 2-pt layup from 3 ft,18,11
45,1,6:10.0,,Shooting foul by N. Batum (drawn by D. Augustin),18,11
46,1,6:10.0,,D. Augustin makes free throw 1 of 1,18,12
47,1,5:54.0,D. Howard misses 2-pt dunk from 2 ft,,18,12
48,1,5:51.0,,Defensive rebound by K. Birch,18,12
49,1,5:46.0,,D. Augustin misses 3-pt jump shot from 24 ft,18,12
50,1,5:43.0,Defensive rebound by D. Howard,,18,12
51,1,5:30.0,K. Walker misses 2-pt layup from 2 ft,,18,12
52,1,5:19.0,Offensive rebound by N. Batum,,18,12
53,1,5:19.0,N. Batum makes 2-pt layup at rim,,20,12
54,1,5:14.0,,M. Hezonja makes 2-pt layup from 2 ft (assist by D. Augustin),20,14
55,1,5:11.0,Shooting foul by K. Birch (drawn by K. Walker),,20,14
56,1,5:11.0,K. Walker makes free throw 1 of 2,,21,14
57,1,5:11.0,K. Walker makes free throw 2 of 2,,22,14
58,1,4:58.0,,W. Iwundu misses 2-pt jump shot from 11 ft,22,14
59,1,4:54.0,Defensive rebound by D. Howard,,22,14
60,1,4:49.0,N. Batum makes 2-pt jump shot from 16 ft,,24,14
61,1,4:33.0,,M. Hezonja misses 2-pt jump shot from 3 ft,24,14
62,1,4:30.0,Defensive rebound by D. Howard,,24,14
63,1,4:25.0,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),,27,14
64,1,4:25.0,,Orlando full timeout,27,14
65,1,4:25.0,,S. Mack enters the game for M. Hezonja,27,14
66,1,4:25.0,,R. Purvis enters the game for D. Augustin,27,14
67,1,4:12.0,,K. Birch misses 2-pt jump shot from 11 ft,27,14
68,1,4:08.0,Defensive rebound by N. Batum,,27,14
69,1,4:03.0,M. Williams makes 2-pt layup from 2 ft (assist by N. Batum),,29,14
70,1,3:50.0,,R. Purvis makes 2-pt jump shot from 12 ft (assist by S. Mack),29,16
71,1,3:28.0,F. Kaminsky enters the game for M. Williams,,29,16
72,1,3:28.0,J. Lamb enters the game for N. Batum,,29,16
73,1,3:23.0,K. Walker misses 3-pt jump shot from 25 ft,,29,16
74,1,3:22.0,Offensive rebound by Team,,29,16
75,1,3:22.0,Turnover by Team (shot clock),,29,16
76,1,3:02.0,,R. Purvis makes 2-pt hook shot from 9 ft,29,18
77,1,3:02.0,Violation by D. Howard (def goaltending),,29,18
78,1,2:52.0,Shooting foul by K. Birch (drawn by D. Howard),,29,18
79,1,2:52.0,D. Howard makes free throw 1 of 2,,30,18
80,1,2:52.0,M. Monk enters the game for M. Kidd-Gilchrist,,30,18
81,1,2:52.0,J. Stone enters the game for K. Walker,,30,18
82,1,2:52.0,D. Howard makes free throw 2 of 2,,31,18
83,1,2:36.0,,Turnover by W. Iwundu (out of bounds lost ball),31,18
84,1,2:19.0,D. Howard misses 2-pt layup from 3 ft (block by K. Birch),,31,18
85,1,2:16.0,Offensive rebound by D. Howard,,31,18
86,1,2:13.0,J. Lamb makes 3-pt jump shot from 24 ft (assist by D. Howard),,34,18
87,1,1:53.0,,J. Artis makes 2-pt jump shot from 18 ft,34,20
88,1,1:40.0,D. Howard makes 2-pt dunk at rim (assist by M. Monk),,36,20
89,1,1:32.0,,S. Mack makes 3-pt jump shot from 25 ft,36,23
90,1,1:13.0,J. Lamb makes 2-pt layup from 1 ft,,38,23
91,1,1:00.0,,K. Birch misses 2-pt hook shot from 8 ft,38,23
92,1,0:58.0,Defensive rebound by D. Howard,,38,23
93,1,0:53.0,F. Kaminsky makes 3-pt jump shot from 24 ft (assist by D. Howard),,41,23
94,1,0:35.0,,S. Mack misses 2-pt jump shot from 14 ft,41,23
95,1,0:33.0,Defensive rebound by J. Lamb,,41,23
96,1,0:23.0,F. Kaminsky misses 2-pt layup from 3 ft,,41,23
97,1,0:21.0,,Defensive rebound by R. Purvis,41,23
98,1,0:17.0,,R. Purvis misses 2-pt layup from 1 ft,41,23
99,1,0:17.0,,Offensive rebound by W. Iwundu,41,23
100,1,0:17.0,,W. Iwundu makes 2-pt layup at rim,41,25
101,1,0:00.0,M. Monk makes 2-pt layup from 3 ft,,43,25
102,2,11:35.0,,A. Afflalo misses 3-pt jump shot from 23 ft,43,25
103,2,11:32.0,Defensive rebound by F. Kaminsky,,43,25
104,2,11:23.0,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by J. Stone),,46,25
105,2,11:12.0,,Personal foul by J. Stone (drawn by A. Afflalo),46,25
106,2,11:07.0,,M. Speights makes 2-pt jump shot from 18 ft (assist by B. Biyombo),46,27
107,2,10:49.0,J. Lamb misses 2-pt jump shot from 15 ft,,46,27
108,2,10:46.0,Offensive rebound by J. Lamb,,46,27
109,2,10:44.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by J. Lamb),,48,27
110,2,10:32.0,,M. Speights misses 3-pt jump shot from 25 ft,48,27
111,2,10:30.0,Defensive rebound by W. Hernangómez,,48,27
112,2,10:15.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by W. Hernangómez),,51,27
113,2,10:04.0,,Turnover by M. Speights (traveling),51,27
114,2,9:48.0,J. Stone misses 3-pt jump shot from 25 ft,,51,27
115,2,9:43.0,,Defensive rebound by S. Mack,51,27
116,2,9:23.0,,M. Speights misses 2-pt layup from 1 ft,51,27
117,2,9:18.0,,Offensive rebound by M. Speights,51,27
118,2,9:18.0,,M. Speights makes 2-pt layup at rim,51,29
119,2,9:10.0,M. Monk misses 2-pt jump shot from 20 ft,,51,29
120,2,9:06.0,,Defensive rebound by B. Biyombo,51,29
121,2,8:54.0,,B. Biyombo makes 2-pt layup from 2 ft (assist by S. Mack),51,31
122,2,8:39.0,J. Lamb makes 2-pt jump shot from 15 ft (assist by M. Monk),,53,31
123,2,8:24.0,,R. Purvis misses 3-pt jump shot from 25 ft,53,31
124,2,8:20.0,Defensive rebound by W. Hernangómez,,53,31
125,2,8:18.0,Turnover by J. Stone (bad pass),,53,31
126,2,8:10.0,,B. Biyombo misses 2-pt jump shot from 11 ft,53,31
127,2,8:07.0,Defensive rebound by W. Hernangómez,,53,31
128,2,7:56.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,53,31
129,2,7:53.0,,Defensive rebound by Team,53,31
130,2,7:39.0,,Shooting foul by F. Kaminsky (drawn by B. Biyombo),53,31
131,2,7:39.0,,B. Biyombo misses free throw 1 of 2,53,31
132,2,7:39.0,,Offensive rebound by Team,53,31
133,2,7:39.0,,B. Biyombo misses free throw 2 of 2,53,31
134,2,7:36.0,Defensive rebound by W. Hernangómez,,53,31
135,2,7:27.0,M. Monk misses 3-pt jump shot from 25 ft,,53,31
136,2,7:25.0,Offensive rebound by F. Kaminsky,,53,31
