,QUARTER,TIME_REMAINING,UTAH_ACTION,DETROIT_ACTION,UTAH_SCORE,DETROIT_SCORE
0,1,11:46.0,,L. Galloway makes 2-pt layup from 1 ft (assist by A. Drummond),0,2
1,1,11:23.0,D. Mitchell makes 2-pt jump shot from 21 ft,,2,2
2,1,11:00.0,,T. Harris misses 3-pt jump shot from 26 ft,2,2
3,1,10:56.0,Defensive rebound by R. Rubio,,2,2
4,1,10:38.0,J. Ingles misses 3-pt jump shot from 27 ft,,2,2
5,1,10:34.0,,Defensive rebound by A. Drummond,2,2
6,1,10:30.0,,T. Harris makes 2-pt dunk from 1 ft (assist by L. Galloway),2,4
7,1,10:16.0,Turnover by D. Mitchell (bad pass),,2,4
8,1,10:00.0,,A. Drummond misses 2-pt layup at rim,2,4
9,1,9:57.0,,Offensive rebound by S. Johnson,2,4
10,1,9:56.0,,S. Johnson misses 2-pt layup at rim (block by R. Gobert),2,4
11,1,9:56.0,,Offensive rebound by Team,2,4
12,1,9:47.0,,Turnover by A. Drummond (bad pass),2,4
13,1,9:36.0,R. Rubio misses 2-pt layup from 1 ft,,2,4
14,1,9:34.0,,Defensive rebound by A. Drummond,2,4
15,1,9:31.0,,A. Bradley misses 2-pt jump shot from 15 ft,2,4
16,1,9:27.0,Defensive rebound by D. Favors,,2,4
17,1,9:22.0,R. Rubio makes 3-pt jump shot from 22 ft (assist by J. Ingles),,5,4
18,1,9:00.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by T. Harris),5,7
19,1,8:47.0,R. Gobert makes 2-pt layup at rim (assist by J. Ingles),,7,7
20,1,8:47.0,Shooting foul by S. Johnson (drawn by R. Gobert),,7,7
21,1,8:47.0,R. Gobert makes free throw 1 of 1,,8,7
22,1,8:34.0,,Turnover by A. Drummond (lost ball; steal by D. Mitchell),8,7
23,1,8:31.0,Turnover by D. Favors (bad pass),,8,7
24,1,8:18.0,,A. Bradley misses 3-pt jump shot from 24 ft,8,7
25,1,8:15.0,Defensive rebound by D. Favors,,8,7
26,1,8:01.0,D. Mitchell misses 2-pt jump shot from 17 ft,,8,7
27,1,7:58.0,,Defensive rebound by L. Galloway,8,7
28,1,7:51.0,,A. Drummond makes 2-pt layup from 1 ft (assist by S. Johnson),8,9
29,1,7:51.0,,Shooting foul by D. Favors (drawn by A. Drummond),8,9
30,1,7:51.0,,A. Drummond makes free throw 1 of 1,8,10
31,1,7:41.0,R. Rubio makes 2-pt layup at rim,,10,10
32,1,7:19.0,,A. Bradley misses 2-pt layup from 2 ft (block by D. Mitchell),10,10
33,1,7:14.0,,Offensive rebound by A. Bradley,10,10
34,1,7:14.0,,A. Bradley misses 2-pt layup from 1 ft,10,10
35,1,7:13.0,,Offensive rebound by L. Galloway,10,10
36,1,7:10.0,,S. Johnson makes 3-pt jump shot from 23 ft (assist by L. Galloway),10,13
37,1,6:59.0,Shooting foul by A. Drummond (drawn by R. Rubio),,10,13
38,1,6:59.0,,Detroit full timeout,10,13
39,1,6:59.0,J. Jerebko enters the game for D. Favors,,10,13
40,1,6:59.0,R. Rubio makes free throw 1 of 2,,11,13
41,1,6:59.0,R. Rubio makes free throw 2 of 2,,12,13
42,1,6:39.0,,S. Johnson misses 2-pt jump shot from 11 ft,12,13
43,1,6:36.0,Defensive rebound by R. Rubio,,12,13
44,1,6:15.0,J. Jerebko misses 2-pt jump shot from 14 ft,,12,13
45,1,6:11.0,,Defensive rebound by A. Drummond,12,13
46,1,5:57.0,,L. Galloway misses 3-pt jump shot from 25 ft,12,13
47,1,5:55.0,Defensive rebound by Team,,12,13
48,1,5:41.0,D. Mitchell makes 2-pt dunk from 2 ft (assist by J. Ingles),,14,13
49,1,5:27.0,,T. Harris misses 2-pt jump shot from 13 ft,14,13
50,1,5:24.0,,Offensive rebound by A. Drummond,14,13
51,1,5:20.0,,T. Harris misses 2-pt jump shot from 10 ft,14,13
52,1,5:19.0,Defensive rebound by Team,,14,13
53,1,5:19.0,,I. Smith enters the game for S. Johnson,14,13
54,1,5:19.0,,L. Kennard enters the game for L. Galloway,14,13
55,1,5:19.0,A. Burks enters the game for R. Rubio,,14,13
56,1,5:06.0,A. Burks makes 2-pt jump shot from 14 ft (assist by D. Mitchell),,16,13
57,1,4:52.0,,L. Kennard makes 3-pt jump shot from 24 ft (assist by I. Smith),16,16
58,1,4:38.0,R. Gobert misses 2-pt layup from 2 ft,,16,16
59,1,4:37.0,Offensive rebound by Team,,16,16
60,1,4:27.0,J. Ingles misses 3-pt jump shot from 28 ft,,16,16
61,1,4:24.0,,Defensive rebound by A. Drummond,16,16
62,1,4:14.0,,T. Harris makes 2-pt layup from 1 ft (assist by A. Drummond),16,18
63,1,3:58.0,Shooting foul by I. Smith (drawn by A. Burks),,16,18
64,1,3:58.0,A. Burks misses free throw 1 of 2,,16,18
65,1,3:58.0,Offensive rebound by Team,,16,18
66,1,3:58.0,A. Burks makes free throw 2 of 2,,17,18
67,1,3:47.0,,T. Harris misses 2-pt layup from 3 ft,17,18
68,1,3:45.0,Defensive rebound by Team,,17,18
69,1,3:34.0,J. Ingles makes 2-pt layup from 3 ft,,19,18
70,1,3:27.0,,Detroit full timeout,19,18
71,1,3:27.0,J. Johnson enters the game for J. Ingles,,19,18
72,1,3:27.0,D. Favors enters the game for J. Jerebko,,19,18
73,1,3:27.0,R. O'Neale enters the game for R. Gobert,,19,18
74,1,3:10.0,,T. Harris makes 2-pt layup from 2 ft,19,20
75,1,2:44.0,R. O'Neale misses 2-pt layup from 7 ft,,19,20
76,1,2:41.0,Offensive rebound by J. Johnson,,19,20
77,1,2:39.0,J. Johnson misses 3-pt jump shot from 27 ft,,19,20
78,1,2:36.0,,Defensive rebound by L. Kennard,19,20
79,1,2:30.0,,Turnover by L. Kennard (bad pass; steal by D. Favors),19,20
80,1,2:27.0,D. Favors makes 2-pt layup from 1 ft (assist by R. O'Neale),,21,20
81,1,2:14.0,,Turnover by A. Drummond (bad pass),21,20
82,1,2:14.0,R. Neto enters the game for D. Mitchell,,21,20
