,QUARTER,TIME_REMAINING,DETROIT_ACTION,BROOKLYN_ACTION,DETROIT_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,A. Crabbe makes 3-pt jump shot from 24 ft (assist by T. Zeller),0,3
1,1,11:22.0,A. Bradley makes 2-pt jump shot from 9 ft (assist by A. Drummond),,2,3
2,1,10:59.0,,J. Harris misses 2-pt layup from 4 ft (block by A. Drummond),2,3
3,1,10:57.0,Defensive rebound by A. Drummond,,2,3
4,1,10:48.0,R. Bullock misses 2-pt jump shot from 20 ft,,2,3
5,1,10:44.0,,Defensive rebound by S. Dinwiddie,2,3
6,1,10:38.0,,A. Crabbe makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),2,6
7,1,10:25.0,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Bradley),,5,6
8,1,10:09.0,,R. Hollis-Jefferson makes 2-pt jump shot from 13 ft,5,8
9,1,9:49.0,T. Harris misses 2-pt jump shot from 12 ft,,5,8
10,1,9:46.0,,Defensive rebound by R. Hollis-Jefferson,5,8
11,1,9:32.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,5,8
12,1,9:29.0,Defensive rebound by R. Bullock,,5,8
13,1,9:23.0,T. Harris misses 3-pt jump shot from 25 ft,,5,8
14,1,9:20.0,,Defensive rebound by R. Hollis-Jefferson,5,8
15,1,9:16.0,,A. Crabbe misses 3-pt jump shot from 30 ft,5,8
16,1,9:13.0,Defensive rebound by A. Bradley,,5,8
17,1,9:09.0,A. Drummond makes 2-pt dunk at rim (assist by A. Bradley),,7,8
18,1,8:54.0,,Shooting foul by A. Bradley (drawn by R. Hollis-Jefferson),7,8
19,1,8:54.0,,R. Hollis-Jefferson makes free throw 1 of 2,7,9
20,1,8:54.0,,R. Hollis-Jefferson makes free throw 2 of 2,7,10
21,1,8:45.0,T. Harris misses 2-pt jump shot from 9 ft,,7,10
22,1,8:43.0,,Defensive rebound by R. Hollis-Jefferson,7,10
23,1,8:32.0,,R. Hollis-Jefferson misses 2-pt jump shot from 9 ft,7,10
24,1,8:30.0,Defensive rebound by A. Drummond,,7,10
25,1,8:22.0,Shooting foul by T. Zeller (drawn by A. Drummond),,7,10
26,1,8:22.0,A. Drummond makes free throw 1 of 2,,8,10
27,1,8:22.0,A. Drummond misses free throw 2 of 2,,8,10
28,1,8:20.0,,Defensive rebound by R. Hollis-Jefferson,8,10
29,1,8:13.0,,A. Crabbe misses 3-pt jump shot from 25 ft,8,10
30,1,8:11.0,Defensive rebound by Team,,8,10
31,1,8:01.0,A. Bradley misses 2-pt jump shot from 11 ft,,8,10
32,1,8:00.0,Offensive rebound by Team,,8,10
33,1,7:58.0,A. Bradley makes 2-pt jump shot from 17 ft (assist by I. Smith),,10,10
34,1,7:35.0,,Turnover by T. Zeller (lost ball; steal by A. Drummond),10,10
35,1,7:26.0,I. Smith makes 2-pt jump shot from 15 ft,,12,10
36,1,7:15.0,,J. Harris makes 3-pt jump shot from 27 ft (assist by A. Crabbe),12,13
37,1,6:59.0,A. Bradley misses 2-pt layup from 1 ft,,12,13
