,QUARTER,TIME_REMAINING,ORLANDO_ACTION,UTAH_ACTION,ORLANDO_SCORE,UTAH_SCORE
0,1,11:45.0,,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Rubio),0,2
1,1,11:19.0,A. Gordon misses 3-pt jump shot from 24 ft,,0,2
2,1,11:19.0,Offensive rebound by Team,,0,2
3,1,11:19.0,Turnover by Team (shot clock),,0,2
4,1,11:02.0,,R. Rubio makes 2-pt layup from 1 ft (assist by D. Mitchell),0,4
5,1,10:47.0,E. Fournier misses 2-pt jump shot from 15 ft,,0,4
6,1,10:45.0,,Defensive rebound by J. Jerebko,0,4
7,1,10:33.0,,D. Mitchell misses 2-pt layup from 2 ft,0,4
8,1,10:31.0,Defensive rebound by N. Vučević,,0,4
9,1,10:24.0,A. Gordon misses 2-pt jump shot from 13 ft,,0,4
10,1,10:20.0,,Defensive rebound by R. Gobert,0,4
11,1,10:12.0,,R. Gobert makes 2-pt hook shot from 4 ft (assist by J. Ingles),0,6
12,1,10:12.0,Orlando full timeout,,0,6
13,1,10:00.0,Personal foul by R. Rubio (drawn by E. Fournier),,0,6
14,1,9:52.0,Turnover by N. Vučević (bad pass; steal by R. Gobert),,0,6
15,1,9:47.0,,J. Ingles makes 3-pt jump shot from 22 ft (assist by R. Rubio),0,9
16,1,9:25.0,Turnover by N. Vučević (bad pass; steal by J. Ingles),,0,9
17,1,9:23.0,,Turnover by J. Ingles (lost ball; steal by D. Augustin),0,9
18,1,9:18.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by D. Augustin),,3,9
19,1,9:04.0,,D. Mitchell misses 3-pt jump shot from 24 ft,3,9
20,1,8:58.0,Defensive rebound by N. Vučević,,3,9
21,1,8:43.0,E. Fournier misses 3-pt jump shot from 24 ft,,3,9
22,1,8:41.0,,Defensive rebound by R. Rubio,3,9
23,1,8:27.0,,D. Mitchell misses 2-pt jump shot from 11 ft,3,9
24,1,8:24.0,Defensive rebound by A. Gordon,,3,9
25,1,8:20.0,Turnover by D. Augustin (traveling),,3,9
26,1,8:04.0,,Turnover by J. Ingles (bad pass; steal by J. Simmons),3,9
27,1,8:03.0,Personal foul by D. Mitchell (drawn by J. Simmons),,3,9
28,1,7:51.0,N. Vučević makes 2-pt jump shot from 10 ft (assist by D. Augustin),,5,9
29,1,7:21.0,,R. Gobert misses 2-pt hook shot from 4 ft (block by N. Vučević),5,9
30,1,7:18.0,Defensive rebound by N. Vučević,,5,9
31,1,7:14.0,A. Gordon misses 2-pt layup from 3 ft,,5,9
32,1,7:08.0,Offensive rebound by A. Gordon,,5,9
33,1,7:08.0,A. Gordon makes 2-pt layup at rim,,7,9
34,1,6:58.0,,J. Ingles misses 2-pt jump shot from 8 ft,7,9
35,1,6:56.0,Defensive rebound by N. Vučević,,7,9
36,1,6:49.0,A. Gordon misses 3-pt jump shot from 22 ft,,7,9
37,1,6:47.0,,Defensive rebound by R. Gobert,7,9
38,1,6:37.0,,J. Ingles misses 2-pt jump shot from 5 ft,7,9
39,1,6:34.0,Defensive rebound by J. Simmons,,7,9
40,1,6:28.0,N. Vučević makes 3-pt jump shot from 24 ft (assist by J. Simmons),,10,9
41,1,6:24.0,,Utah full timeout,10,9
42,1,6:24.0,,J. Crowder enters the game for J. Jerebko,10,9
43,1,6:15.0,,Personal foul by N. Vučević (drawn by R. Rubio),10,9
44,1,6:08.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),10,11
45,1,5:48.0,Turnover by N. Vučević (turnover),,10,11
46,1,5:33.0,,J. Crowder misses 2-pt jump shot from 19 ft,10,11
47,1,5:30.0,,Offensive rebound by R. Gobert,10,11
48,1,5:23.0,,R. Rubio makes 2-pt jump shot from 13 ft,10,13
49,1,5:09.0,D. Augustin makes 2-pt jump shot from 9 ft,,12,13
50,1,4:49.0,,J. Crowder misses 2-pt jump shot from 18 ft,12,13
51,1,4:46.0,Defensive rebound by N. Vučević,,12,13
52,1,4:36.0,J. Simmons makes 2-pt jump shot from 5 ft,,14,13
53,1,4:22.0,,R. Gobert makes 2-pt layup from 1 ft (assist by R. Rubio),14,15
54,1,4:12.0,E. Fournier makes 2-pt dunk from 2 ft (assist by D. Augustin),,16,15
55,1,3:53.0,,D. Mitchell makes 2-pt layup from 2 ft,16,17
56,1,3:39.0,D. Augustin makes 3-pt jump shot from 25 ft,,19,17
57,1,3:17.0,,J. Ingles makes 2-pt layup from 1 ft,19,19
58,1,2:54.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by N. Vučević),,22,19
59,1,2:35.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by J. Crowder),22,22
60,1,2:22.0,Personal block foul by R. Rubio (drawn by J. Simmons),,22,22
61,1,2:22.0,,R. O'Neale enters the game for J. Ingles,22,22
62,1,2:22.0,,A. Burks enters the game for R. Rubio,22,22
63,1,2:22.0,,E. Udoh enters the game for R. Gobert,22,22
64,1,2:22.0,M. Hezonja enters the game for J. Simmons,,22,22
65,1,2:15.0,Turnover by D. Augustin (lost ball; steal by E. Udoh),,22,22
66,1,2:10.0,,Turnover by R. O'Neale (bad pass; steal by M. Hezonja),22,22
67,1,2:05.0,A. Gordon misses 2-pt layup from 3 ft (block by E. Udoh),,22,22
68,1,2:05.0,Offensive rebound by Team,,22,22
69,1,2:05.0,S. Mack enters the game for A. Gordon,,22,22
70,1,2:05.0,J. Isaac enters the game for N. Vučević,,22,22
