,QUARTER,TIME_REMAINING,DENVER_ACTION,PHOENIX_ACTION,DENVER_SCORE,PHOENIX_SCORE
0,1,11:44.0,N. Jokić misses 2-pt hook shot from 5 ft (block by J. Jackson),,0,0
1,1,11:39.0,,Defensive rebound by T. Daniels,0,0
2,1,11:26.0,,T. Daniels misses 2-pt jump shot from 18 ft,0,0
3,1,11:21.0,Defensive rebound by N. Jokić,,0,0
4,1,11:10.0,J. Murray makes 2-pt jump shot from 17 ft,,2,0
5,1,10:54.0,,E. Payton misses 2-pt layup from 1 ft,2,0
6,1,10:51.0,Defensive rebound by G. Harris,,2,0
7,1,10:46.0,G. Harris makes 3-pt jump shot from 24 ft (assist by W. Barton),,5,0
8,1,10:28.0,,J. Jackson misses 3-pt jump shot from 25 ft,5,0
9,1,10:26.0,Defensive rebound by N. Jokić,,5,0
10,1,10:06.0,N. Jokić makes 2-pt hook shot from 3 ft,,7,0
11,1,9:53.0,,D. Bender makes 3-pt jump shot from 26 ft (assist by E. Payton),7,3
12,1,9:36.0,Turnover by G. Harris (bad pass; steal by J. Jackson),,7,3
13,1,9:27.0,,J. Jackson misses 2-pt layup from 3 ft,7,3
14,1,9:23.0,,Offensive rebound by J. Jackson,7,3
15,1,9:23.0,,J. Jackson makes 2-pt layup at rim,7,5
16,1,9:10.0,W. Barton makes 2-pt layup at rim,,9,5
17,1,9:05.0,,Technical foul by T. Daniels,9,5
18,1,9:05.0,Technical foul by W. Barton,,9,5
19,1,8:49.0,,T. Warren makes 2-pt jump shot from 14 ft (assist by J. Jackson),9,7
20,1,8:28.0,Personal foul by T. Warren (drawn by N. Jokić),,9,7
21,1,8:18.0,N. Jokić misses 2-pt jump shot from 14 ft,,9,7
22,1,8:16.0,,Defensive rebound by T. Daniels,9,7
23,1,8:09.0,,D. Bender makes 3-pt jump shot from 26 ft (assist by T. Daniels),9,10
24,1,7:43.0,W. Chandler makes 2-pt jump shot from 17 ft,,11,10
25,1,7:15.0,,J. Jackson misses 2-pt jump shot from 11 ft,11,10
26,1,7:13.0,,Offensive rebound by J. Jackson,11,10
27,1,7:11.0,,T. Daniels misses 3-pt jump shot from 27 ft,11,10
28,1,7:11.0,Defensive rebound by Team,,11,10
29,1,7:02.0,W. Barton misses 3-pt jump shot from 24 ft,,11,10
30,1,7:02.0,Offensive rebound by Team,,11,10
31,1,7:02.0,,Loose ball foul by T. Daniels (drawn by N. Jokić),11,10
32,1,6:50.0,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),,14,10
33,1,6:37.0,,J. Jackson makes 2-pt layup at rim (assist by E. Payton),14,12
34,1,6:21.0,Shooting foul by J. Jackson (drawn by N. Jokić),,14,12
35,1,6:21.0,,Phoenix full timeout,14,12
36,1,6:21.0,,A. Len enters the game for J. Jackson,14,12
37,1,6:21.0,N. Jokić makes free throw 1 of 2,,15,12
38,1,6:21.0,N. Jokić makes free throw 2 of 2,,16,12
39,1,6:06.0,,T. Warren makes 2-pt jump shot from 19 ft (assist by D. Bender),16,14
40,1,5:42.0,Turnover by J. Murray (bad pass; steal by A. Len),,16,14
41,1,5:32.0,,T. Daniels misses 3-pt jump shot from 25 ft,16,14
42,1,5:29.0,Defensive rebound by W. Barton,,16,14
43,1,5:28.0,Personal foul by T. Daniels (drawn by W. Barton),,16,14
44,1,5:28.0,,J. Jackson enters the game for T. Daniels,16,14
45,1,5:21.0,W. Barton misses 2-pt layup at rim,,16,14
