,QUARTER,TIME_REMAINING,DETROIT_ACTION,GOLDEN STATE_ACTION,DETROIT_SCORE,GOLDEN STATE_SCORE
0,1,11:34.0,T. Harris misses 3-pt jump shot from 25 ft,,0,0
1,1,11:30.0,,Defensive rebound by D. Green,0,0
2,1,11:12.0,,K. Thompson makes 2-pt jump shot from 18 ft (assist by S. Curry),0,2
3,1,10:50.0,T. Harris misses 3-pt jump shot from 24 ft,,0,2
4,1,10:46.0,,Defensive rebound by D. Green,0,2
5,1,10:40.0,,K. Thompson makes 2-pt layup at rim (assist by Z. Pachulia),0,4
6,1,10:17.0,S. Johnson misses 2-pt jump shot from 10 ft,,0,4
7,1,10:13.0,Offensive rebound by A. Drummond,,0,4
8,1,10:13.0,Turnover by Team (shot clock),,0,4
9,1,9:59.0,,K. Durant makes 2-pt jump shot from 11 ft,0,6
10,1,9:38.0,A. Drummond misses 2-pt hook shot from 10 ft,,0,6
11,1,9:32.0,,Defensive rebound by K. Durant,0,6
12,1,9:29.0,,K. Thompson misses 2-pt jump shot from 19 ft,0,6
13,1,9:25.0,,Offensive rebound by D. Green,0,6
14,1,9:19.0,,K. Durant misses 3-pt jump shot from 25 ft,0,6
15,1,9:15.0,Defensive rebound by A. Drummond,,0,6
16,1,9:06.0,S. Johnson makes 3-pt jump shot from 25 ft (assist by R. Jackson),,3,6
17,1,8:50.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),3,9
18,1,8:34.0,R. Jackson makes 2-pt jump shot from 12 ft,,5,9
19,1,8:34.0,Shooting foul by K. Thompson (drawn by R. Jackson),,5,9
20,1,8:34.0,R. Jackson makes free throw 1 of 1,,6,9
21,1,8:24.0,,Turnover by D. Green (bad pass),6,9
22,1,8:07.0,T. Harris misses 2-pt jump shot from 11 ft,,6,9
23,1,8:00.0,,Defensive rebound by D. Green,6,9
24,1,7:57.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Durant),6,12
25,1,7:38.0,A. Bradley makes 3-pt jump shot from 22 ft,,9,12
26,1,7:23.0,,Turnover by K. Durant (bad pass; steal by A. Drummond),9,12
27,1,7:16.0,A. Bradley makes 2-pt jump shot from 22 ft,,11,12
28,1,7:03.0,,S. Curry makes 2-pt layup from 1 ft (assist by Z. Pachulia),11,14
