,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,GOLDEN STATE_ACTION,LA LAKERS_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,B. Lopez misses 2-pt hook shot from 12 ft,,0,0
1,1,11:41.0,,Defensive rebound by K. Looney,0,0
2,1,11:29.0,,N. Young misses 3-pt jump shot from 25 ft,0,0
3,1,11:25.0,,Offensive rebound by K. Looney,0,0
4,1,11:24.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by K. Looney),0,3
5,1,11:01.0,J. Randle makes 2-pt layup from 6 ft,,2,3
6,1,10:39.0,,Q. Cook makes 2-pt jump shot from 8 ft,2,5
7,1,10:22.0,B. Lopez makes 2-pt jump shot from 19 ft (assist by L. Ball),,4,5
8,1,10:09.0,,Q. Cook makes 2-pt layup from 2 ft (assist by Z. Pachulia),4,7
9,1,9:59.0,I. Thomas misses 2-pt jump shot from 13 ft,,4,7
10,1,9:55.0,,Defensive rebound by K. Durant,4,7
11,1,9:50.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Durant),4,9
12,1,9:34.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by L. Ball),,7,9
13,1,9:11.0,,K. Durant makes 2-pt jump shot from 13 ft,7,11
14,1,9:11.0,,Shooting foul by K. Caldwell-Pope (drawn by K. Durant),7,11
15,1,9:11.0,,K. Durant makes free throw 1 of 1,7,12
16,1,8:58.0,I. Thomas misses 3-pt jump shot from 25 ft,,7,12
17,1,8:56.0,,Defensive rebound by Team,7,12
18,1,8:39.0,,K. Looney misses 2-pt jump shot from 15 ft,7,12
19,1,8:36.0,Defensive rebound by K. Caldwell-Pope,,7,12
20,1,8:28.0,J. Randle makes 2-pt layup from 1 ft,,9,12
21,1,8:11.0,,Z. Pachulia misses 2-pt layup from 3 ft (block by B. Lopez),9,12
22,1,8:06.0,Defensive rebound by B. Lopez,,9,12
23,1,8:06.0,Shooting foul by K. Durant (drawn by L. Ball),,9,12
24,1,8:06.0,L. Ball misses free throw 1 of 3,,9,12
25,1,8:06.0,Offensive rebound by Team,,9,12
26,1,8:06.0,L. Ball makes free throw 2 of 3,,10,12
27,1,8:06.0,L. Ball misses free throw 3 of 3,,10,12
28,1,8:03.0,,Defensive rebound by Z. Pachulia,10,12
