,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,GOLDEN STATE_ACTION,OKLAHOMA CITY_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,2,0
1,1,11:21.0,,K. Thompson makes 2-pt jump shot from 20 ft (assist by D. Green),2,2
2,1,11:03.0,S. Adams makes 2-pt dunk at rim,,4,2
3,1,10:46.0,,Turnover by Z. Pachulia (bad pass; steal by S. Adams),4,2
4,1,10:41.0,C. Anthony misses 2-pt jump shot from 22 ft,,4,2
5,1,10:39.0,,Defensive rebound by Z. Pachulia,4,2
6,1,10:34.0,,K. Thompson misses 3-pt jump shot from 25 ft,4,2
7,1,10:30.0,Defensive rebound by R. Westbrook,,4,2
8,1,10:25.0,P. George makes 2-pt layup from 1 ft,,6,2
9,1,10:15.0,,S. Curry makes 2-pt jump shot from 19 ft,6,4
10,1,10:14.0,Oklahoma City full timeout,,6,4
11,1,9:58.0,C. Anthony misses 3-pt jump shot from 25 ft,,6,4
12,1,9:53.0,Offensive rebound by S. Adams,,6,4
13,1,9:52.0,S. Adams misses 2-pt hook shot from 8 ft,,6,4
14,1,9:50.0,,Defensive rebound by K. Thompson,6,4
15,1,9:49.0,,Turnover by K. Thompson (bad pass; steal by P. George),6,4
16,1,9:45.0,P. George misses 3-pt jump shot from 22 ft,,6,4
17,1,9:43.0,Offensive rebound by J. Huestis,,6,4
18,1,9:43.0,J. Huestis misses 2-pt dunk from 1 ft,,6,4
19,1,9:43.0,Offensive rebound by Team,,6,4
20,1,9:32.0,P. George makes 3-pt jump shot from 22 ft (assist by C. Anthony),,9,4
21,1,9:16.0,,K. Thompson misses 3-pt jump shot from 28 ft,9,4
22,1,9:14.0,,Offensive rebound by S. Curry,9,4
23,1,9:11.0,,K. Durant misses 3-pt jump shot from 23 ft,9,4
24,1,9:07.0,Defensive rebound by R. Westbrook,,9,4
25,1,9:02.0,R. Westbrook makes 2-pt jump shot from 16 ft,,11,4
26,1,8:53.0,,Personal foul by R. Westbrook (drawn by S. Curry),11,4
27,1,8:48.0,,K. Thompson misses 2-pt hook shot from 7 ft,11,4
28,1,8:43.0,Defensive rebound by R. Westbrook,,11,4
29,1,8:37.0,J. Huestis makes 2-pt layup from 1 ft,,13,4
30,1,8:22.0,,Turnover by K. Durant (lost ball; steal by P. George),13,4
31,1,8:18.0,Turnover by P. George (lost ball; steal by K. Durant),,13,4
32,1,8:16.0,,Shooting foul by S. Adams (drawn by K. Durant),13,4
33,1,8:16.0,,K. Durant makes free throw 1 of 2,13,5
34,1,8:16.0,,K. Durant makes free throw 2 of 2,13,6
35,1,7:54.0,C. Anthony misses 2-pt jump shot from 17 ft,,13,6
36,1,7:53.0,,Defensive rebound by Team,13,6
37,1,7:53.0,Loose ball foul by S. Adams (drawn by Z. Pachulia),,13,6
38,1,7:53.0,J. Grant enters the game for S. Adams,,13,6
39,1,7:42.0,,S. Curry misses 3-pt jump shot from 29 ft,13,6
40,1,7:37.0,Defensive rebound by J. Grant,,13,6
41,1,7:24.0,C. Anthony misses 2-pt layup from 3 ft (block by D. Green),,13,6
42,1,7:22.0,,Defensive rebound by D. Green,13,6
43,1,7:19.0,,K. Durant makes 3-pt jump shot from 26 ft,13,9
44,1,6:59.0,P. George misses 2-pt jump shot from 10 ft,,13,9
45,1,6:55.0,,Defensive rebound by Z. Pachulia,13,9
46,1,6:53.0,,K. Durant makes 2-pt jump shot from 19 ft (assist by S. Curry),13,11
47,1,6:53.0,,Shooting foul by C. Anthony (drawn by K. Durant),13,11
48,1,6:53.0,,K. Durant makes free throw 1 of 1,13,12
49,1,6:41.0,J. Grant makes 2-pt layup from 4 ft (assist by R. Westbrook),,15,12
50,1,6:30.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),15,14
51,1,6:21.0,R. Westbrook makes 2-pt jump shot from 14 ft,,17,14
52,1,6:12.0,,K. Durant misses 3-pt jump shot from 24 ft,17,14
53,1,6:10.0,Defensive rebound by J. Huestis,,17,14
54,1,5:59.0,J. Grant makes 2-pt hook shot from 4 ft (assist by P. George),,19,14
55,1,5:59.0,Shooting foul by K. Durant (drawn by J. Grant),,19,14
56,1,5:59.0,,K. Looney enters the game for Z. Pachulia,19,14
57,1,5:59.0,P. Patterson enters the game for C. Anthony,,19,14
58,1,5:59.0,J. Grant misses free throw 1 of 1,,19,14
59,1,5:57.0,,Defensive rebound by K. Durant,19,14
60,1,5:42.0,,Turnover by K. Durant (bad pass; steal by P. George),19,14
61,1,5:37.0,R. Westbrook makes 2-pt jump shot from 18 ft (assist by P. George),,21,14
62,1,5:16.0,,Turnover by D. Green (out of bounds lost ball),21,14
63,1,5:06.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),,23,14
64,1,5:06.0,Shooting foul by K. Looney (drawn by J. Grant),,23,14
65,1,5:06.0,,A. Iguodala enters the game for D. Green,23,14
66,1,5:06.0,J. Grant makes free throw 1 of 1,,24,14
67,1,4:54.0,,K. Looney misses 2-pt layup from 2 ft,24,14
68,1,4:52.0,,Offensive rebound by K. Durant,24,14
69,1,4:50.0,,K. Durant makes 2-pt layup from 2 ft,24,16
70,1,4:38.0,R. Westbrook makes 2-pt layup from 2 ft,,26,16
71,1,4:31.0,,Golden State full timeout,26,16
72,1,4:31.0,,P. McCaw enters the game for K. Thompson,26,16
73,1,4:31.0,Á. Abrines enters the game for J. Huestis,,26,16
74,1,4:11.0,,Turnover by K. Durant (lost ball; steal by Á. Abrines),26,16
75,1,4:09.0,R. Westbrook makes 2-pt layup from 3 ft,,28,16
76,1,4:09.0,,Violation by K. Durant (def goaltending),28,16
77,1,4:09.0,Shooting foul by S. Curry (drawn by R. Westbrook),,28,16
78,1,4:09.0,R. Westbrook makes free throw 1 of 1,,29,16
79,1,3:59.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by A. Iguodala),29,19
80,1,3:46.0,Personal foul by P. McCaw (drawn by R. Westbrook),,29,19
81,1,3:36.0,R. Westbrook misses 2-pt jump shot from 17 ft,,29,19
82,1,3:32.0,,Defensive rebound by P. McCaw,29,19
83,1,3:28.0,,Personal foul by Á. Abrines (drawn by K. Durant),29,19
84,1,3:28.0,,K. Durant makes free throw 1 of 2,29,20
85,1,3:28.0,,K. Durant makes free throw 2 of 2,29,21
86,1,3:24.0,,Offensive charge foul by R. Westbrook (drawn by P. McCaw),29,21
87,1,3:24.0,Turnover by R. Westbrook (offensive foul),,29,21
88,1,3:09.0,,Turnover by K. Durant (bad pass; steal by P. Patterson),29,21
89,1,3:03.0,R. Westbrook makes 2-pt dunk from 1 ft,,31,21
90,1,2:48.0,J. Huestis enters the game for P. George,,31,21
91,1,2:44.0,,S. Curry misses 3-pt jump shot from 26 ft,31,21
92,1,2:39.0,Defensive rebound by P. Patterson,,31,21
93,1,2:33.0,R. Westbrook makes 3-pt jump shot from 26 ft,,34,21
94,1,2:20.0,,S. Curry makes 2-pt jump shot from 10 ft,34,23
95,1,1:59.0,Á. Abrines makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,37,23
96,1,1:40.0,,S. Curry makes 3-pt jump shot from 27 ft,37,26
97,1,1:23.0,R. Westbrook makes 2-pt jump shot from 12 ft,,39,26
98,1,1:13.0,,K. Durant makes 2-pt jump shot from 11 ft,39,28
99,1,1:01.0,R. Westbrook makes 3-pt jump shot from 25 ft,,42,28
100,1,0:51.0,,P. McCaw misses 2-pt layup from 3 ft (block by J. Grant),42,28
101,1,0:50.0,,Offensive rebound by P. McCaw,42,28
102,1,0:48.0,,K. Looney misses 2-pt layup from 3 ft (block by J. Grant),42,28
103,1,0:48.0,,Offensive rebound by Team,42,28
104,1,0:48.0,,D. Green enters the game for K. Durant,42,28
105,1,0:42.0,,S. Curry misses 2-pt layup from 4 ft (block by J. Huestis),42,28
106,1,0:40.0,Defensive rebound by J. Huestis,,42,28
107,1,0:25.0,R. Westbrook misses 2-pt layup from 2 ft,,42,28
108,1,0:22.0,,Defensive rebound by A. Iguodala,42,28
109,1,0:20.0,,D. Green makes 2-pt dunk at rim (assist by A. Iguodala),42,30
110,1,0:01.0,Á. Abrines misses 3-pt jump shot from 33 ft,,42,30
111,1,0:00.0,Offensive rebound by Team,,42,30
112,2,11:52.0,,Turnover by D. Green (bad pass; steal by P. George),42,30
113,2,11:44.0,P. George misses 3-pt jump shot from 22 ft,,42,30
114,2,11:40.0,,Defensive rebound by D. Green,42,30
115,2,11:26.0,,K. Thompson misses 2-pt jump shot from 22 ft,42,30
116,2,11:23.0,Defensive rebound by Á. Abrines,,42,30
117,2,11:10.0,Turnover by P. George (bad pass; steal by D. West),,42,30
118,2,10:58.0,,D. Green misses 2-pt jump shot from 19 ft,42,30
119,2,10:55.0,Defensive rebound by S. Adams,,42,30
120,2,10:49.0,,Offensive charge foul by S. Adams (drawn by K. Thompson),42,30
121,2,10:49.0,Turnover by S. Adams (offensive foul),,42,30
122,2,10:49.0,J. Grant enters the game for S. Adams,,42,30
123,2,10:31.0,Offensive charge foul by D. West (drawn by J. Grant),,42,30
124,2,10:31.0,,Turnover by D. West (offensive foul),42,30
125,2,10:11.0,P. George makes 2-pt layup from 5 ft,,44,30
126,2,10:11.0,Shooting foul by K. Thompson (drawn by P. George),,44,30
127,2,10:11.0,P. George makes free throw 1 of 1,,45,30
128,2,9:53.0,,K. Thompson misses 2-pt jump shot from 17 ft,45,30
129,2,9:48.0,Defensive rebound by P. Patterson,,45,30
130,2,9:38.0,Shooting foul by D. West (drawn by J. Grant),,45,30
131,2,9:38.0,P. George misses technical free throw,,45,30
132,2,9:38.0,Offensive rebound by Team,,45,30
133,2,9:38.0,J. Grant misses free throw 1 of 2,,45,30
134,2,9:38.0,Offensive rebound by Team,,45,30
135,2,9:38.0,J. Grant misses free throw 2 of 2,,45,30
136,2,9:35.0,,Defensive rebound by D. Green,45,30
137,2,9:26.0,,S. Livingston misses 2-pt jump shot from 13 ft,45,30
138,2,9:20.0,,Offensive rebound by D. West,45,30
139,2,9:20.0,,Turnover by D. West (turnover),45,30
140,2,9:04.0,Turnover by J. Grant (bad pass; steal by A. Iguodala),,45,30
141,2,8:53.0,,S. Livingston makes 2-pt jump shot from 14 ft (assist by A. Iguodala),45,32
142,2,8:45.0,Oklahoma City full timeout,,45,32
143,2,8:38.0,Á. Abrines misses 3-pt jump shot from 23 ft,,45,32
144,2,8:34.0,,Defensive rebound by S. Livingston,45,32
145,2,8:19.0,,Turnover by D. West (bad pass; steal by P. Patterson),45,32
146,2,8:05.0,P. George makes 3-pt jump shot from 25 ft,,48,32
147,2,7:47.0,,D. West misses 2-pt jump shot from 18 ft,48,32
148,2,7:44.0,Defensive rebound by P. George,,48,32
149,2,7:39.0,P. George makes 3-pt jump shot from 25 ft,,51,32
150,2,7:21.0,,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),51,34
151,2,7:02.0,R. Felton misses 3-pt jump shot from 26 ft,,51,34
152,2,6:59.0,,Defensive rebound by D. Green,51,34
153,2,6:58.0,,Turnover by D. Green (bad pass),51,34
154,2,6:58.0,,N. Young enters the game for A. Iguodala,51,34
155,2,6:58.0,R. Westbrook enters the game for Á. Abrines,,51,34
156,2,6:38.0,R. Felton makes 2-pt layup from 3 ft,,53,34
157,2,6:23.0,,Personal foul by P. Patterson (drawn by D. West),53,34
158,2,6:23.0,,K. Durant enters the game for D. Green,53,34
159,2,6:23.0,,Technical foul by D. West,53,34
160,2,6:23.0,P. George makes technical free throw,,54,34
161,2,6:23.0,,S. Curry enters the game for K. Thompson,54,34
162,2,6:18.0,,Shooting foul by J. Grant (drawn by K. Durant),54,34
163,2,6:18.0,,K. Durant makes free throw 1 of 2,54,35
164,2,6:18.0,,K. Durant makes free throw 2 of 2,54,36
165,2,6:11.0,Turnover by J. Grant (bad pass),,54,36
166,2,6:11.0,Loose ball foul by P. Patterson (drawn by D. West),,54,36
167,2,6:11.0,J. Huestis enters the game for P. George,,54,36
168,2,5:52.0,,D. West makes 2-pt dunk at rim (assist by S. Livingston),54,38
169,2,5:39.0,R. Westbrook makes 2-pt layup from 2 ft,,56,38
170,2,5:21.0,,S. Livingston makes 2-pt dunk from 1 ft (assist by D. West),56,40
171,2,5:08.0,R. Westbrook makes 2-pt jump shot from 17 ft,,58,40
172,2,4:57.0,,S. Livingston misses 2-pt jump shot from 11 ft,58,40
173,2,4:53.0,Defensive rebound by J. Huestis,,58,40
174,2,4:45.0,J. Grant misses 2-pt jump shot from 13 ft,,58,40
175,2,4:40.0,,Defensive rebound by S. Curry,58,40
176,2,4:38.0,,Turnover by S. Curry (bad pass; steal by P. Patterson),58,40
177,2,4:37.0,Shooting foul by S. Curry (drawn by J. Grant),,58,40
178,2,4:37.0,J. Grant makes free throw 1 of 2,,59,40
179,2,4:37.0,,D. Green enters the game for D. West,59,40
180,2,4:37.0,,K. Thompson enters the game for S. Livingston,59,40
181,2,4:37.0,,Golden State full timeout,59,40
182,2,4:37.0,J. Grant makes free throw 2 of 2,,60,45
183,2,4:21.0,,N. Young makes 3-pt jump shot from 22 ft (assist by S. Curry),59,43
184,2,4:06.0,R. Westbrook misses 2-pt jump shot from 18 ft,,59,43
185,2,4:03.0,,Defensive rebound by K. Thompson,59,43
186,2,3:48.0,,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),59,45
187,2,3:43.0,R. Westbrook misses 2-pt layup from 3 ft (block by D. Green),,59,45
188,2,3:39.0,,Defensive rebound by K. Durant,59,45
189,2,3:39.0,,Shooting foul by J. Huestis (drawn by K. Durant),59,45
190,2,3:39.0,,K. Durant makes free throw 1 of 2,60,46
191,2,3:39.0,P. George enters the game for R. Felton,,60,46
192,2,3:39.0,,K. Durant misses free throw 2 of 2,60,46
193,2,3:36.0,Defensive rebound by R. Westbrook,,60,46
194,2,3:20.0,P. George misses 2-pt jump shot from 17 ft,,60,46
195,2,3:17.0,,Defensive rebound by K. Durant,60,46
196,2,3:09.0,,S. Curry misses 3-pt jump shot from 26 ft,60,46
197,2,3:03.0,,Offensive rebound by N. Young,60,46
198,2,3:01.0,,N. Young misses 2-pt layup from 2 ft (block by J. Grant),60,46
199,2,2:58.0,Defensive rebound by R. Westbrook,,60,46
200,2,2:49.0,R. Westbrook misses 2-pt jump shot from 18 ft,,60,46
201,2,2:45.0,Offensive rebound by J. Grant,,60,46
202,2,2:45.0,Oklahoma City full timeout,,60,46
203,2,2:41.0,Shooting foul by D. Green (drawn by J. Grant),,60,46
204,2,2:41.0,J. Grant makes free throw 1 of 2,,61,46
205,2,2:41.0,J. Grant makes free throw 2 of 2,,62,46
206,2,2:31.0,,Personal foul by P. George (drawn by K. Durant),62,46
207,2,2:31.0,,K. Durant makes free throw 1 of 2,62,47
208,2,2:31.0,,A. Iguodala enters the game for N. Young,62,47
209,2,2:31.0,,K. Durant makes free throw 2 of 2,62,48
210,2,2:19.0,P. George misses 3-pt jump shot from 27 ft,,62,48
211,2,2:15.0,Offensive rebound by J. Grant,,62,48
212,2,2:13.0,J. Huestis makes 2-pt layup from 2 ft (assist by J. Grant),,64,48
213,2,2:03.0,,K. Durant misses 3-pt jump shot from 26 ft,64,48
214,2,1:56.0,,Offensive rebound by A. Iguodala,64,48
215,2,1:56.0,,A. Iguodala misses 2-pt layup at rim,64,48
216,2,1:56.0,Defensive rebound by J. Huestis,,64,48
217,2,1:52.0,P. George misses 2-pt layup from 1 ft (block by D. Green),,64,48
218,2,1:52.0,Offensive rebound by Team,,64,48
219,2,1:43.0,P. Patterson misses 2-pt layup from 6 ft,,64,48
220,2,1:41.0,Offensive rebound by P. Patterson,,64,48
221,2,1:39.0,P. Patterson makes 2-pt layup from 1 ft,,66,48
222,2,1:27.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),66,51
223,2,1:13.0,R. Westbrook makes 2-pt layup from 2 ft,,68,51
224,2,1:01.0,,Shooting foul by P. George (drawn by K. Durant),68,51
225,2,1:01.0,,K. Durant makes free throw 1 of 2,68,52
226,2,1:01.0,,K. Durant makes free throw 2 of 2,68,53
227,2,0:52.0,R. Westbrook misses 3-pt jump shot from 26 ft,,68,53
228,2,0:48.0,,Defensive rebound by D. Green,68,53
229,2,0:40.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),68,56
230,2,0:28.0,P. George misses 2-pt jump shot from 5 ft,,68,56
231,2,0:26.0,Offensive rebound by P. George,,68,56
232,2,0:26.0,P. George makes 2-pt layup at rim,,70,56
233,2,0:11.0,,S. Curry misses 3-pt jump shot from 27 ft,70,56
234,2,0:09.0,,Offensive rebound by D. Green,70,56
235,2,0:07.0,,Shooting foul by J. Huestis (drawn by D. Green),70,56
236,2,0:07.0,,D. Green misses free throw 1 of 2,70,56
237,2,0:07.0,,Offensive rebound by Team,70,56
238,2,0:07.0,Á. Abrines enters the game for J. Huestis,,70,56
239,2,0:07.0,,D. Green makes free throw 2 of 2,70,57
240,2,0:07.0,,P. McCaw enters the game for S. Curry,70,57
241,2,0:03.0,R. Westbrook misses 2-pt layup from 1 ft (block by D. Green),,70,57
242,2,0:02.0,,Defensive rebound by K. Thompson,70,57
