,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
0,1,11:38.0,K. Bazemore makes 3-pt jump shot from 25 ft,,3,0
1,1,11:15.0,,G. Dragić misses 3-pt jump shot from 23 ft,3,0
2,1,11:12.0,Defensive rebound by M. Delaney,,3,0
3,1,11:07.0,Turnover by T. Prince (lost ball; steal by J. Richardson),,3,0
4,1,10:58.0,,J. Johnson misses 3-pt jump shot from 23 ft,3,0
5,1,10:55.0,Defensive rebound by K. Bazemore,,3,0
6,1,10:46.0,D. Dedmon misses 3-pt jump shot from 22 ft,,3,0
7,1,10:40.0,Offensive rebound by K. Bazemore,,3,0
8,1,10:31.0,Shooting foul by D. Waiters (drawn by K. Bazemore),,3,0
9,1,10:31.0,K. Bazemore makes free throw 1 of 2,,4,0
10,1,10:31.0,K. Bazemore makes free throw 2 of 2,,5,0
11,1,10:10.0,,G. Dragić makes 2-pt jump shot from 3 ft (assist by J. Johnson),5,2
12,1,9:55.0,D. Dedmon misses 2-pt hook shot from 7 ft,,5,2
13,1,9:53.0,,Defensive rebound by J. Mickey,5,2
14,1,9:41.0,,J. Richardson makes 3-pt jump shot from 29 ft (assist by G. Dragić),5,5
15,1,9:24.0,K. Bazemore makes 2-pt jump shot from 16 ft (assist by D. Dedmon),,7,5
16,1,9:12.0,,J. Richardson misses 3-pt jump shot from 23 ft,7,5
17,1,9:12.0,,Offensive rebound by Team,7,5
18,1,9:06.0,,D. Waiters misses 2-pt jump shot from 22 ft,7,5
19,1,9:03.0,,Offensive rebound by J. Richardson,7,5
20,1,8:54.0,,G. Dragić makes 2-pt jump shot from 15 ft,7,7
21,1,8:39.0,K. Bazemore misses 2-pt jump shot from 18 ft,,7,7
22,1,8:35.0,,Defensive rebound by J. Johnson,7,7
23,1,8:25.0,,Turnover by D. Waiters (lost ball; steal by T. Prince),7,7
24,1,8:18.0,M. Delaney misses 2-pt jump shot from 14 ft,,7,7
25,1,8:15.0,,Defensive rebound by J. Johnson,7,7
26,1,8:13.0,,J. Mickey makes 2-pt layup from 1 ft (assist by J. Johnson),7,9
