,QUARTER,TIME_REMAINING,CHICAGO_ACTION,WASHINGTON_ACTION,CHICAGO_SCORE,WASHINGTON_SCORE
0,1,11:39.0,R. Lopez makes 2-pt hook shot from 7 ft (assist by D. Valentine),,2,0
1,1,11:27.0,,J. Wall makes 2-pt layup at rim,2,2
2,1,11:10.0,J. Holiday misses 3-pt jump shot from 26 ft,,2,2
3,1,11:07.0,,Defensive rebound by M. Morris,2,2
4,1,10:53.0,,M. Gortat misses 2-pt hook shot from 5 ft,2,2
5,1,10:51.0,Defensive rebound by D. Valentine,,2,2
6,1,10:46.0,L. Markkanen misses 2-pt layup from 1 ft,,2,2
7,1,10:46.0,Offensive rebound by L. Markkanen,,2,2
8,1,10:46.0,L. Markkanen makes 2-pt layup from 1 ft,,4,2
9,1,10:46.0,Shooting foul by M. Morris (drawn by L. Markkanen),,4,2
10,1,10:46.0,L. Markkanen makes free throw 1 of 1,,5,2
11,1,10:29.0,,M. Gortat makes 2-pt layup from 3 ft (assist by O. Porter),5,4
12,1,10:17.0,K. Dunn misses 3-pt jump shot from 26 ft,,5,4
13,1,10:13.0,,Defensive rebound by M. Morris,5,4
14,1,10:07.0,,Offensive foul by M. Gortat (drawn by J. Holiday),5,4
15,1,10:07.0,,Turnover by M. Gortat (offensive foul),5,4
16,1,9:57.0,Turnover by K. Dunn (bad pass; steal by B. Beal),,5,4
17,1,9:53.0,,B. Beal makes 2-pt dunk from 1 ft,5,6
18,1,9:47.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),,8,6
19,1,9:32.0,,B. Beal misses 3-pt jump shot from 25 ft,8,6
20,1,9:32.0,Defensive rebound by D. Valentine,,8,6
21,1,9:26.0,J. Holiday makes 2-pt layup from 2 ft (assist by D. Valentine),,10,6
22,1,9:12.0,,J. Wall misses 3-pt jump shot from 25 ft,10,6
23,1,9:07.0,Defensive rebound by L. Markkanen,,10,6
24,1,9:05.0,L. Markkanen misses 2-pt layup from 2 ft (block by M. Gortat),,10,6
25,1,9:04.0,Offensive rebound by Team,,10,6
26,1,9:01.0,L. Markkanen misses 3-pt jump shot from 27 ft,,10,6
27,1,9:01.0,Offensive rebound by L. Markkanen,,10,6
28,1,8:58.0,D. Valentine misses 3-pt jump shot from 26 ft,,10,6
29,1,8:58.0,,Defensive rebound by M. Morris,10,6
