,QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,,S. Livingston misses 2-pt jump shot from 12 ft,0,0
1,1,11:38.0,Defensive rebound by A. Aminu,,0,0
2,1,11:33.0,M. Leonard misses 2-pt jump shot from 12 ft,,0,0
3,1,11:29.0,,Defensive rebound by K. Durant,0,0
4,1,11:27.0,,Turnover by J. Bell (out of bounds lost ball),0,0
5,1,11:04.0,C. McCollum misses 2-pt layup from 1 ft (block by K. Durant),,0,0
6,1,11:00.0,,Defensive rebound by J. Bell,0,0
7,1,10:54.0,,K. Durant misses 2-pt jump shot from 13 ft (block by C. McCollum),0,0
8,1,10:47.0,,Offensive rebound by K. Durant,0,0
9,1,10:46.0,,K. Durant makes 2-pt jump shot from 17 ft,0,2
10,1,10:27.0,C. McCollum misses 2-pt jump shot from 17 ft,,0,2
11,1,10:24.0,,Defensive rebound by O. Casspi,0,2
12,1,10:21.0,,Turnover by K. Durant (bad pass; steal by E. Turner),0,2
13,1,10:16.0,E. Turner makes 2-pt dunk from 2 ft,,2,2
14,1,10:07.0,,K. Thompson misses 3-pt jump shot from 24 ft,2,2
15,1,10:02.0,Defensive rebound by A. Aminu,,2,2
16,1,10:02.0,Turnover by C. McCollum (out of bounds lost ball),,2,2
17,1,9:51.0,,O. Casspi makes 2-pt hook shot from 4 ft (assist by K. Thompson),2,4
18,1,9:34.0,D. Lillard misses 3-pt jump shot from 29 ft,,2,4
19,1,9:31.0,Offensive rebound by A. Aminu,,2,4
20,1,9:24.0,E. Turner makes 2-pt dunk from 1 ft,,4,4
21,1,9:08.0,,K. Durant makes 2-pt layup from 2 ft (assist by J. Bell),4,6
22,1,8:47.0,C. McCollum makes 2-pt jump shot from 19 ft,,6,6
23,1,8:28.0,,J. Bell misses 2-pt hook shot from 2 ft,6,6
24,1,8:25.0,Defensive rebound by C. McCollum,,6,6
25,1,8:14.0,M. Leonard makes 2-pt jump shot from 17 ft (assist by C. McCollum),,8,6
26,1,7:56.0,,Personal foul by E. Turner (drawn by K. Durant),8,6
27,1,7:52.0,,Turnover by K. Thompson (bad pass; steal by A. Aminu),8,6
28,1,7:45.0,Shooting foul by J. Bell (drawn by E. Turner),,8,6
29,1,7:45.0,E. Turner makes free throw 1 of 2,,9,6
30,1,7:45.0,E. Turner makes free throw 2 of 2,,10,6
31,1,7:34.0,,K. Thompson misses 2-pt jump shot from 18 ft,10,6
32,1,7:29.0,Defensive rebound by M. Leonard,,10,6
33,1,7:25.0,D. Lillard misses 3-pt jump shot from 29 ft,,10,6
34,1,7:20.0,,Defensive rebound by O. Casspi,10,6
35,1,7:17.0,,S. Livingston misses 2-pt jump shot from 9 ft,10,6
36,1,7:15.0,,Offensive rebound by J. Bell,10,6
37,1,7:12.0,,K. Durant makes 2-pt layup from 1 ft (assist by J. Bell),10,8
38,1,6:58.0,E. Turner makes 2-pt jump shot from 4 ft,,12,8
39,1,6:48.0,,K. Thompson makes 2-pt jump shot from 18 ft,12,10
40,1,6:38.0,D. Lillard makes 2-pt layup from 2 ft,,14,10
41,1,6:23.0,,O. Casspi makes 2-pt layup from 1 ft (assist by K. Thompson),14,12
42,1,6:10.0,A. Aminu misses 3-pt jump shot from 26 ft,,14,12
43,1,6:06.0,,Defensive rebound by K. Thompson,14,12
44,1,6:02.0,,K. Thompson misses 3-pt jump shot from 27 ft,14,12
45,1,5:58.0,Defensive rebound by A. Aminu,,14,12
46,1,5:54.0,M. Leonard makes 2-pt dunk from 2 ft (assist by E. Turner),,16,12
47,1,5:54.0,,Golden State full timeout,16,12
48,1,5:54.0,,A. Iguodala enters the game for S. Livingston,16,12
49,1,5:42.0,,K. Durant misses 2-pt jump shot from 11 ft,16,12
50,1,5:38.0,,Offensive rebound by O. Casspi,16,12
51,1,5:37.0,,O. Casspi misses 2-pt layup at rim,16,12
52,1,5:34.0,,Offensive rebound by A. Iguodala,16,12
53,1,5:30.0,,O. Casspi makes 3-pt jump shot from 23 ft (assist by K. Durant),16,15
54,1,5:07.0,C. McCollum makes 2-pt jump shot from 7 ft,,18,15
55,1,4:46.0,,K. Durant makes 2-pt layup from 1 ft (assist by A. Iguodala),18,17
56,1,4:34.0,D. Lillard misses 3-pt jump shot from 32 ft,,18,17
57,1,4:31.0,,Defensive rebound by O. Casspi,18,17
58,1,4:23.0,,J. Bell makes 2-pt dunk at rim (assist by O. Casspi),18,19
59,1,4:01.0,C. McCollum makes 2-pt jump shot from 6 ft (assist by E. Turner),,20,19
60,1,3:41.0,,Turnover by K. Durant (bad pass),20,19
61,1,3:41.0,,N. Young enters the game for K. Thompson,20,19
62,1,3:41.0,P. Connaughton enters the game for C. McCollum,,20,19
63,1,3:41.0,Z. Collins enters the game for A. Aminu,,20,19
64,1,3:41.0,E. Davis enters the game for M. Leonard,,20,19
65,1,3:25.0,D. Lillard misses 2-pt layup from 2 ft,,20,19
66,1,3:21.0,,Defensive rebound by J. Bell,20,19
67,1,3:19.0,,N. Young makes 3-pt jump shot from 23 ft (assist by K. Durant),20,22
68,1,3:14.0,Portland full timeout,,20,22
69,1,3:14.0,,K. Looney enters the game for J. Bell,20,22
70,1,3:14.0,,Q. Cook enters the game for O. Casspi,20,22
71,1,2:58.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by P. Connaughton),,23,22
72,1,2:39.0,,A. Iguodala makes 3-pt jump shot from 24 ft,23,25
73,1,2:22.0,E. Turner misses 3-pt jump shot from 25 ft,,23,25
74,1,2:22.0,Offensive rebound by Team,,23,25
75,1,2:22.0,,Loose ball foul by K. Looney (drawn by E. Davis),23,25
76,1,2:15.0,Z. Collins misses 3-pt jump shot from 25 ft,,23,25
77,1,2:11.0,,Defensive rebound by K. Durant,23,25
78,1,2:07.0,,Q. Cook misses 3-pt jump shot from 25 ft,23,25
79,1,2:05.0,Defensive rebound by E. Turner,,23,25
80,1,1:51.0,Z. Collins makes 2-pt hook shot from 9 ft,,25,25
81,1,1:32.0,,Turnover by K. Durant (bad pass; steal by D. Lillard),25,25
82,1,1:24.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by E. Turner),,28,25
83,1,1:02.0,,N. Young makes 2-pt jump shot from 11 ft,28,27
84,1,0:48.0,Z. Collins misses 3-pt jump shot from 25 ft,,28,27
85,1,0:44.0,Offensive rebound by P. Connaughton,,28,27
86,1,0:30.0,E. Turner misses 2-pt jump shot from 14 ft,,28,27
87,1,0:27.0,,Defensive rebound by A. Iguodala,28,27
88,1,0:05.0,,K. Durant misses 2-pt jump shot from 18 ft,28,27
89,1,0:03.0,Defensive rebound by E. Davis,,28,27
90,2,11:40.0,J. Layman misses 2-pt dunk from 3 ft,,28,27
91,2,11:35.0,,Defensive rebound by N. Young,28,27
92,2,11:21.0,,N. Young makes 2-pt jump shot from 12 ft,28,29
93,2,11:08.0,C. McCollum makes 2-pt jump shot from 5 ft,,30,29
94,2,10:51.0,,N. Young makes 2-pt jump shot from 16 ft (assist by P. McCaw),30,31
95,2,10:33.0,C. McCollum misses 2-pt jump shot from 18 ft,,30,31
96,2,10:28.0,,Defensive rebound by A. Iguodala,30,31
97,2,10:19.0,,Shooting foul by J. Layman (drawn by A. Iguodala),30,31
98,2,10:19.0,,A. Iguodala misses free throw 1 of 2,30,31
99,2,10:19.0,,Offensive rebound by Team,30,31
100,2,10:19.0,,A. Iguodala makes free throw 2 of 2,30,32
101,2,10:07.0,Shooting foul by A. Iguodala (drawn by J. Layman),,30,32
102,2,10:07.0,J. Layman makes free throw 1 of 2,,31,32
103,2,10:07.0,J. Layman makes free throw 2 of 2,,32,32
104,2,9:54.0,,K. Thompson misses 3-pt jump shot from 24 ft,32,32
105,2,9:50.0,Defensive rebound by Z. Collins,,32,32
106,2,9:37.0,E. Davis misses 2-pt jump shot from 5 ft,,32,32
107,2,9:35.0,,Defensive rebound by D. West,32,32
108,2,9:26.0,,N. Young makes 3-pt jump shot from 26 ft (assist by A. Iguodala),32,35
109,2,9:08.0,Turnover by C. McCollum (lost ball; steal by N. Young),,32,35
110,2,8:53.0,,N. Young misses 2-pt jump shot from 18 ft,32,35
111,2,8:48.0,Defensive rebound by E. Davis,,32,35
112,2,8:38.0,J. Layman misses 3-pt jump shot from 26 ft,,32,35
113,2,8:35.0,Offensive rebound by Z. Collins,,32,35
114,2,8:20.0,Z. Collins misses 2-pt jump shot from 7 ft (block by D. West),,32,35
115,2,8:16.0,,Defensive rebound by D. West,32,35
116,2,8:13.0,,K. Thompson makes 2-pt layup from 1 ft,32,37
117,2,7:55.0,J. Layman misses 2-pt jump shot from 19 ft,,32,37
118,2,7:53.0,,Defensive rebound by A. Iguodala,32,37
119,2,7:50.0,,D. West makes 2-pt dunk from 1 ft (assist by A. Iguodala),32,39
120,2,7:48.0,Portland full timeout,,32,39
