,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ATLANTA_ACTION,CLEVELAND_SCORE,ATLANTA_SCORE
0,1,11:42.0,,D. Schröder misses 2-pt layup from 2 ft,0,0
1,1,11:38.0,Defensive rebound by J. Calderón,,0,0
2,1,11:35.0,C. Osman misses 3-pt jump shot from 22 ft,,0,0
3,1,11:31.0,,Defensive rebound by T. Prince,0,0
4,1,11:16.0,,T. Prince misses 3-pt jump shot from 24 ft,0,0
5,1,11:13.0,Defensive rebound by C. Osman,,0,0
6,1,10:53.0,J. Calderón misses 2-pt jump shot from 19 ft,,0,0
7,1,10:51.0,,Defensive rebound by M. Plumlee,0,0
8,1,10:35.0,,Shooting foul by J. Calderón (drawn by D. Schröder),0,0
9,1,10:35.0,,D. Schröder makes free throw 1 of 2,0,1
10,1,10:35.0,,D. Schröder makes free throw 2 of 2,0,2
11,1,10:22.0,L. James misses 2-pt jump shot from 21 ft,,0,2
12,1,10:17.0,,Defensive rebound by K. Bazemore,0,2
13,1,10:14.0,,K. Bazemore makes 3-pt jump shot from 25 ft,0,5
14,1,9:54.0,L. James makes 2-pt layup from 1 ft,,2,5
15,1,9:41.0,,D. Schröder makes 2-pt jump shot from 19 ft,2,7
16,1,9:21.0,Personal foul by D. Schröder (drawn by T. Thompson),,2,7
17,1,9:16.0,L. James makes 2-pt layup at rim (assist by C. Osman),,4,7
18,1,8:50.0,,T. Prince misses 3-pt jump shot from 22 ft,4,7
19,1,8:47.0,Defensive rebound by J. Calderón,,4,7
20,1,8:43.0,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),,7,7
21,1,8:28.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by M. Plumlee),7,10
22,1,8:12.0,J. Calderón makes 2-pt layup from 2 ft,,9,10
23,1,8:12.0,,Atlanta full timeout,9,10
24,1,7:56.0,,Shooting foul by J. Smith (drawn by T. Prince),9,10
25,1,7:56.0,,T. Prince makes free throw 1 of 2,9,11
26,1,7:56.0,,T. Prince makes free throw 2 of 2,9,12
27,1,7:46.0,J. Smith makes 2-pt jump shot from 20 ft (assist by L. James),,11,12
28,1,7:26.0,,E. İlyasova misses 2-pt hook shot from 3 ft (block by T. Thompson),11,12
29,1,7:26.0,Defensive rebound by Team,,11,12
30,1,7:17.0,L. James makes 2-pt layup from 4 ft,,13,12
31,1,7:03.0,,D. Schröder makes 3-pt jump shot from 25 ft,13,15
32,1,6:49.0,T. Thompson makes 2-pt dunk from 1 ft (assist by J. Smith),,15,15
33,1,6:37.0,,D. Schröder makes 2-pt layup from 1 ft,15,17
34,1,6:37.0,,Shooting foul by J. Calderón (drawn by D. Schröder),15,17
35,1,6:37.0,,T. Dorsey enters the game for T. Prince,15,17
36,1,6:37.0,,D. Schröder makes free throw 1 of 1,15,18
37,1,6:23.0,C. Osman makes 3-pt jump shot from 23 ft (assist by L. James),,18,18
38,1,6:11.0,,D. Schröder makes 2-pt layup at rim,18,20
39,1,6:01.0,L. James misses 3-pt jump shot from 24 ft,,18,20
40,1,5:57.0,,Defensive rebound by T. Dorsey,18,20
41,1,5:42.0,,D. Schröder misses 3-pt jump shot from 24 ft,18,20
42,1,5:39.0,Defensive rebound by J. Calderón,,18,20
43,1,5:30.0,T. Thompson misses 2-pt hook shot from 6 ft,,18,20
44,1,5:25.0,,Defensive rebound by M. Plumlee,18,20
45,1,5:20.0,,Personal foul by C. Osman (drawn by M. Plumlee),18,20
46,1,5:20.0,,D. Dedmon enters the game for E. İlyasova,18,20
47,1,5:20.0,,J. Collins enters the game for M. Plumlee,18,20
48,1,5:20.0,J. Green enters the game for C. Osman,,18,20
49,1,5:20.0,K. Korver enters the game for J. Calderón,,18,20
50,1,5:14.0,,K. Bazemore misses 2-pt layup at rim,18,20
51,1,5:10.0,,Offensive rebound by J. Collins,18,20
52,1,5:10.0,,J. Collins misses 2-pt layup from 2 ft,18,20
53,1,5:10.0,,Offensive rebound by Team,18,20
54,1,5:02.0,,K. Bazemore misses 2-pt layup from 7 ft,18,20
55,1,4:57.0,Defensive rebound by T. Thompson,,18,20
56,1,4:47.0,Shooting foul by J. Collins (drawn by T. Thompson),,18,20
57,1,4:47.0,T. Thompson misses free throw 1 of 2,,18,20
