,QUARTER,TIME_REMAINING,UTAH_ACTION,ATLANTA_ACTION,UTAH_SCORE,ATLANTA_SCORE
0,1,11:43.0,R. Gobert misses 2-pt layup from 3 ft,,0,0
1,1,11:39.0,,Defensive rebound by T. Prince,0,0
2,1,11:21.0,,K. Bazemore misses 2-pt jump shot from 18 ft,0,0
3,1,11:18.0,Defensive rebound by R. Gobert,,0,0
4,1,11:13.0,R. Gobert misses 2-pt dunk from 1 ft (block by M. Plumlee),,0,0
5,1,11:11.0,Offensive rebound by R. Rubio,,0,0
6,1,11:06.0,R. Rubio misses 2-pt jump shot from 16 ft,,0,0
7,1,11:03.0,,Defensive rebound by E. İlyasova,0,0
8,1,10:57.0,,D. Schröder makes 2-pt jump shot from 15 ft,0,2
9,1,10:41.0,R. Rubio misses 3-pt jump shot from 23 ft,,0,2
10,1,10:38.0,,Defensive rebound by E. İlyasova,0,2
11,1,10:22.0,,Turnover by D. Schröder (lost ball; steal by R. Rubio),0,2
12,1,10:18.0,Turnover by R. Rubio (bad pass; steal by K. Bazemore),,0,2
13,1,10:11.0,,Shooting foul by R. Rubio (drawn by D. Schröder),0,2
14,1,10:11.0,,D. Schröder makes free throw 1 of 2,0,3
15,1,10:11.0,,D. Schröder makes free throw 2 of 2,0,4
16,1,9:49.0,R. Rubio misses 3-pt jump shot from 25 ft,,0,4
17,1,9:46.0,,Defensive rebound by M. Plumlee,0,4
18,1,9:36.0,,D. Schröder misses 2-pt jump shot from 14 ft,0,4
19,1,9:33.0,Defensive rebound by D. Favors,,0,4
20,1,9:26.0,R. Rubio misses 2-pt jump shot from 15 ft,,0,4
21,1,9:22.0,Offensive rebound by R. Gobert,,0,4
22,1,9:22.0,R. Gobert misses 2-pt layup at rim,,0,4
23,1,9:22.0,,Defensive rebound by Team,0,4
24,1,9:09.0,,M. Plumlee misses 2-pt hook shot from 7 ft,0,4
25,1,9:06.0,Defensive rebound by R. Rubio,,0,4
26,1,8:59.0,D. Mitchell misses 2-pt jump shot from 12 ft,,0,4
27,1,8:55.0,,Defensive rebound by E. İlyasova,0,4
28,1,8:43.0,,M. Plumlee misses 2-pt hook shot from 6 ft,0,4
29,1,8:40.0,Defensive rebound by D. Mitchell,,0,4
30,1,8:35.0,R. Rubio misses 2-pt jump shot from 2 ft,,0,4
31,1,8:32.0,,Defensive rebound by M. Plumlee,0,4
32,1,8:20.0,R. Neto enters the game for D. Favors,,0,4
33,1,8:20.0,J. Jerebko enters the game for R. Rubio,,0,4
34,1,8:13.0,,D. Schröder makes 2-pt jump shot from 12 ft,0,6
35,1,7:59.0,Personal foul by T. Prince (drawn by J. Ingles),,0,6
36,1,7:50.0,R. Neto misses 3-pt jump shot from 25 ft,,0,6
37,1,7:48.0,,Defensive rebound by E. İlyasova,0,6
38,1,7:35.0,,Atlanta full timeout,0,6
39,1,7:35.0,R. Rubio enters the game for R. Neto,,0,6
40,1,7:33.0,,Turnover by K. Bazemore (bad pass; steal by J. Ingles),0,6
41,1,7:28.0,Turnover by J. Ingles (traveling),,0,6
42,1,7:13.0,,T. Prince misses 2-pt hook shot from 1 ft,0,6
43,1,7:08.0,,Offensive rebound by M. Plumlee,0,6
44,1,7:07.0,,M. Plumlee makes 2-pt dunk from 1 ft,0,8
45,1,6:48.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),,3,8
46,1,6:48.0,Shooting foul by T. Prince (drawn by J. Ingles),,3,8
47,1,6:48.0,,D. Dedmon enters the game for M. Plumlee,3,8
48,1,6:48.0,,M. Belinelli enters the game for T. Prince,3,8
49,1,6:48.0,J. Ingles makes free throw 1 of 1,,4,8
50,1,6:35.0,,Turnover by D. Dedmon (bad pass; steal by R. Gobert),4,8
51,1,6:25.0,J. Jerebko makes 2-pt layup at rim (assist by J. Ingles),,6,8
52,1,6:06.0,,D. Schröder misses 2-pt layup at rim,6,8
53,1,6:02.0,Defensive rebound by R. Gobert,,6,8
54,1,5:53.0,D. Mitchell misses 2-pt layup from 2 ft,,6,8
55,1,5:50.0,,Defensive rebound by D. Schröder,6,8
56,1,5:47.0,,K. Bazemore misses 3-pt jump shot from 25 ft,6,8
57,1,5:44.0,Defensive rebound by J. Jerebko,,6,8
58,1,5:29.0,J. Ingles misses 3-pt jump shot from 24 ft,,6,8
59,1,5:23.0,Offensive rebound by J. Jerebko,,6,8
60,1,5:23.0,J. Jerebko misses 2-pt layup at rim,,6,8
61,1,5:21.0,Offensive rebound by R. Rubio,,6,8
62,1,5:18.0,J. Jerebko misses 2-pt jump shot from 19 ft,,6,8
63,1,5:17.0,Offensive rebound by R. Gobert,,6,8
64,1,5:17.0,Shooting foul by D. Schröder (drawn by R. Gobert),,6,8
65,1,5:17.0,R. Gobert misses free throw 1 of 2,,6,8
66,1,5:17.0,Offensive rebound by Team,,6,8
67,1,5:17.0,,J. Collins enters the game for E. İlyasova,6,8
68,1,5:17.0,,M. Delaney enters the game for K. Bazemore,6,8
69,1,5:17.0,A. Burks enters the game for R. Rubio,,6,8
70,1,5:17.0,R. Gobert makes free throw 2 of 2,,7,8
71,1,5:09.0,,D. Schröder misses 2-pt jump shot from 18 ft,7,8
72,1,5:04.0,Defensive rebound by D. Mitchell,,7,8
73,1,4:57.0,Turnover by J. Ingles (bad pass; steal by M. Delaney),,7,8
74,1,4:52.0,,M. Belinelli makes 2-pt layup at rim (assist by M. Delaney),7,10
75,1,4:26.0,A. Burks makes 2-pt layup from 1 ft,,9,10
76,1,4:07.0,,D. Dedmon misses 2-pt jump shot from 19 ft,9,10
77,1,4:05.0,Defensive rebound by R. Gobert,,9,10
78,1,3:55.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,11,10
