,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CHICAGO_ACTION,CHARLOTTE_SCORE,CHICAGO_SCORE
0,1,11:43.0,,C. Payne misses 3-pt jump shot from 25 ft,0,0
1,1,11:40.0,Defensive rebound by D. Howard,,0,0
2,1,11:33.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),,2,0
3,1,11:11.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by J. Holiday),2,3
4,1,10:50.0,D. Howard misses 2-pt layup from 1 ft,,2,3
5,1,10:47.0,,Defensive rebound by D. Nwaba,2,3
6,1,10:44.0,,D. Nwaba misses 2-pt jump shot from 9 ft,2,3
7,1,10:41.0,Defensive rebound by M. Williams,,2,3
8,1,10:31.0,K. Walker misses 2-pt layup at rim,,2,3
9,1,10:31.0,Offensive rebound by Team,,2,3
10,1,10:25.0,Personal foul by J. Holiday (drawn by D. Howard),,2,3
11,1,10:17.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by D. Howard),,4,3
12,1,9:56.0,,L. Markkanen misses 2-pt layup from 1 ft,4,3
13,1,9:54.0,,Offensive rebound by C. Payne,4,3
14,1,9:49.0,,C. Payne misses 2-pt jump shot from 12 ft,4,3
15,1,9:49.0,Defensive rebound by M. Williams,,4,3
16,1,9:36.0,M. Williams misses 3-pt jump shot from 25 ft,,4,3
17,1,9:34.0,,Defensive rebound by L. Markkanen,4,3
18,1,9:29.0,,Personal foul by M. Kidd-Gilchrist (drawn by C. Felício),4,3
19,1,9:25.0,,C. Payne makes 2-pt jump shot from 11 ft,4,5
20,1,9:11.0,Shooting foul by L. Markkanen (drawn by D. Howard),,4,5
21,1,9:11.0,D. Howard makes free throw 1 of 2,,5,5
22,1,9:11.0,D. Howard misses free throw 2 of 2,,5,5
23,1,9:08.0,,Defensive rebound by C. Payne,5,5
24,1,8:59.0,,C. Payne misses 2-pt jump shot from 11 ft,5,5
25,1,8:56.0,Defensive rebound by D. Howard,,5,5
26,1,8:48.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft,,7,5
27,1,8:48.0,Shooting foul by J. Holiday (drawn by M. Kidd-Gilchrist),,7,5
28,1,8:48.0,M. Kidd-Gilchrist misses free throw 1 of 1,,7,5
29,1,8:45.0,Offensive rebound by D. Howard,,7,5
30,1,8:40.0,D. Howard misses 2-pt hook shot from 4 ft,,7,5
31,1,8:40.0,,Defensive rebound by D. Nwaba,7,5
32,1,8:23.0,,L. Markkanen makes 2-pt jump shot from 11 ft,7,7
33,1,8:08.0,N. Batum misses 2-pt jump shot from 16 ft,,7,7
34,1,8:08.0,,Defensive rebound by D. Nwaba,7,7
35,1,8:00.0,,J. Holiday misses 3-pt jump shot from 25 ft,7,7
36,1,7:57.0,Defensive rebound by D. Howard,,7,7
37,1,7:52.0,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),,10,7
38,1,7:36.0,,C. Felício makes 2-pt layup from 1 ft (assist by J. Holiday),10,9
39,1,7:36.0,Violation by D. Howard (def goaltending),,10,9
40,1,7:24.0,Turnover by M. Kidd-Gilchrist (out of bounds lost ball),,10,9
41,1,7:09.0,,C. Payne misses 2-pt jump shot from 21 ft,10,9
42,1,7:09.0,Defensive rebound by N. Batum,,10,9
43,1,7:01.0,K. Walker misses 3-pt jump shot from 24 ft,,10,9
44,1,6:57.0,,Defensive rebound by C. Felício,10,9
45,1,6:51.0,,J. Holiday misses 3-pt jump shot from 26 ft,10,9
46,1,6:48.0,Defensive rebound by N. Batum,,10,9
47,1,6:42.0,M. Williams makes 2-pt jump shot from 7 ft (assist by N. Batum),,12,9
48,1,6:19.0,,C. Payne misses 2-pt jump shot from 8 ft,12,9
49,1,6:14.0,,Offensive rebound by L. Markkanen,12,9
50,1,6:14.0,,L. Markkanen misses 2-pt layup at rim,12,9
51,1,6:13.0,Defensive rebound by M. Kidd-Gilchrist,,12,9
52,1,6:12.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by J. Holiday),,12,9
53,1,6:12.0,,Turnover by J. Holiday (bad pass),12,9
54,1,6:12.0,,Chicago full timeout,12,9
55,1,5:54.0,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,,12,9
56,1,5:49.0,Offensive rebound by M. Williams,,12,9
