,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA CLIPPERS_ACTION,MINNESOTA_SCORE,LA CLIPPERS_SCORE
0,1,11:45.0,K. Towns misses 2-pt jump shot from 14 ft,,0,0
1,1,11:40.0,,Defensive rebound by T. Wallace,0,0
2,1,11:26.0,,W. Reed misses 2-pt hook shot from 3 ft,0,0
3,1,11:23.0,Defensive rebound by K. Towns,,0,0
4,1,11:19.0,A. Wiggins misses 3-pt jump shot from 26 ft,,0,0
5,1,11:07.0,Offensive rebound by T. Gibson,,0,0
6,1,11:07.0,T. Gibson misses 2-pt layup at rim,,0,0
7,1,11:06.0,Offensive rebound by J. Teague,,0,0
8,1,11:05.0,A. Wiggins misses 2-pt layup from 1 ft,,0,0
9,1,11:02.0,,Defensive rebound by T. Wallace,0,0
10,1,10:46.0,,B. Griffin misses 3-pt jump shot from 25 ft,0,0
11,1,10:42.0,Defensive rebound by K. Towns,,0,0
12,1,10:28.0,T. Gibson makes 2-pt jump shot from 18 ft (assist by J. Teague),,2,0
13,1,10:12.0,,M. Teodosić misses 3-pt jump shot from 24 ft,2,0
14,1,10:09.0,Defensive rebound by N. Bjelica,,2,0
15,1,10:02.0,N. Bjelica makes 2-pt layup from 2 ft,,4,0
16,1,9:46.0,,M. Teodosić misses 2-pt jump shot from 7 ft,4,0
17,1,9:42.0,Defensive rebound by A. Wiggins,,4,0
18,1,9:37.0,N. Bjelica misses 3-pt jump shot from 26 ft,,4,0
19,1,9:33.0,,Defensive rebound by B. Griffin,4,0
20,1,9:17.0,,B. Griffin makes 2-pt jump shot from 6 ft,4,2
21,1,9:11.0,J. Teague makes 2-pt layup from 1 ft,,6,2
22,1,9:11.0,Shooting foul by M. Teodosić (drawn by J. Teague),,6,2
23,1,9:11.0,J. Teague makes free throw 1 of 1,,7,2
24,1,9:00.0,,T. Wallace makes 2-pt layup from 1 ft (assist by B. Griffin),7,4
25,1,9:00.0,,Shooting foul by N. Bjelica (drawn by T. Wallace),7,4
26,1,9:00.0,,T. Wallace misses free throw 1 of 1,7,4
27,1,8:57.0,Defensive rebound by K. Towns,,7,4
28,1,8:50.0,Personal foul by T. Wallace (drawn by J. Teague),,7,4
29,1,8:39.0,Turnover by J. Teague (bad pass),,7,4
