,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
30,1,7:21.0,T. Prince makes 2-pt layup from 1 ft,,9,9
31,1,7:09.0,,J. Jack makes 2-pt jump shot from 3 ft,9,11
32,1,6:54.0,D. Schröder misses 2-pt jump shot from 17 ft,,9,11
33,1,6:53.0,,Defensive rebound by E. Freedom,9,11
34,1,6:37.0,,J. Jack misses 2-pt jump shot from 20 ft,9,11
35,1,6:34.0,Defensive rebound by D. Dedmon,,9,11
36,1,6:15.0,Turnover by D. Schröder (traveling),,9,11
37,1,6:15.0,,New York full timeout,9,11
38,1,6:15.0,M. Belinelli enters the game for T. Prince,,9,11
39,1,6:03.0,,K. Porziņģis misses 2-pt jump shot from 18 ft,9,11
40,1,6:01.0,Defensive rebound by K. Bazemore,,9,11
41,1,5:46.0,K. Bazemore misses 3-pt jump shot from 25 ft,,9,11
42,1,5:44.0,,Defensive rebound by E. Freedom,9,11
43,1,5:25.0,,J. Jack misses 2-pt jump shot from 10 ft,9,11
44,1,5:23.0,Defensive rebound by M. Belinelli,,9,11
45,1,5:06.0,D. Schröder makes 2-pt layup from 1 ft,,11,11
46,1,4:54.0,,C. Lee makes 2-pt jump shot from 16 ft,11,13
47,1,4:27.0,Offensive foul by D. Dedmon (drawn by J. Jack),,11,13
48,1,4:27.0,Turnover by D. Dedmon (offensive foul),,11,13
49,1,4:27.0,,M. Beasley enters the game for K. Porziņģis,11,13
50,1,4:27.0,,D. McDermott enters the game for C. Lee,11,13
51,1,4:27.0,J. Collins enters the game for M. Plumlee,,11,13
52,1,4:27.0,T. Prince enters the game for K. Bazemore,,11,13
53,1,4:18.0,,Turnover by T. Hardaway (lost ball; steal by J. Collins),11,13
54,1,3:54.0,M. Belinelli misses 3-pt jump shot from 36 ft,,11,13
55,1,3:52.0,,Defensive rebound by Team,11,13
56,1,3:52.0,,F. Ntilikina enters the game for J. Jack,11,13
57,1,3:52.0,M. Muscala enters the game for D. Dedmon,,11,13
58,1,3:39.0,,E. Freedom misses 2-pt layup from 2 ft,11,13
59,1,3:37.0,Defensive rebound by M. Muscala,,11,13
60,1,3:28.0,J. Collins makes 2-pt hook shot from 6 ft (assist by D. Schröder),,13,13
61,1,3:13.0,,M. Beasley misses 2-pt jump shot from 6 ft,13,13
62,1,3:11.0,Defensive rebound by M. Belinelli,,13,13
63,1,2:55.0,J. Collins misses 2-pt jump shot at rim,,13,13
64,1,2:53.0,,Defensive rebound by E. Freedom,13,13
65,1,2:50.0,,Turnover by F. Ntilikina (bad pass),13,13
66,1,2:50.0,Atlanta full timeout,,13,13
67,1,2:50.0,,T. Burke enters the game for E. Freedom,13,13
68,1,2:50.0,,K. O'Quinn enters the game for T. Hardaway,13,13
69,1,2:50.0,M. Delaney enters the game for D. Schröder,,13,13
70,1,2:37.0,T. Prince misses 2-pt jump shot from 7 ft,,13,13
71,1,2:35.0,Offensive rebound by J. Collins,,13,13
72,1,2:30.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by M. Delaney),,16,13
73,1,2:07.0,,M. Beasley makes 2-pt layup from 4 ft,16,15
74,1,1:49.0,M. Muscala makes 2-pt jump shot from 14 ft (assist by M. Belinelli),,18,15
75,1,1:34.0,,K. O'Quinn makes 2-pt jump shot from 15 ft (assist by T. Burke),18,17
76,1,1:18.0,M. Delaney misses 3-pt jump shot from 23 ft,,18,17
77,1,1:16.0,,Defensive rebound by D. McDermott,18,17
78,1,0:57.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by M. Beasley),18,20
79,1,0:46.0,M. Belinelli misses 2-pt jump shot from 14 ft,,18,20
80,1,0:44.0,Offensive rebound by T. Prince,,18,20
81,1,0:40.0,Personal foul by T. Burke (drawn by T. Prince),,18,20
82,1,0:37.0,J. Collins misses 2-pt jump shot from 19 ft,,18,20
83,1,0:35.0,,Defensive rebound by T. Burke,18,20
84,1,0:25.0,,M. Beasley misses 2-pt layup from 2 ft,18,20
85,1,0:23.0,,Offensive rebound by K. O'Quinn,18,20
86,1,0:07.0,,T. Burke makes 2-pt jump shot from 19 ft,18,22
87,1,0:01.0,J. Collins makes 2-pt jump shot from 5 ft (assist by M. Delaney),,20,22
88,1,0:01.0,Shooting foul by F. Ntilikina (drawn by J. Collins),,20,22
89,1,0:01.0,J. Collins makes free throw 1 of 1,,21,22
90,1,0:00.0,,F. Ntilikina misses 3-pt jump shot from 68 ft,21,22
91,1,0:00.0,,Offensive rebound by Team,21,22
92,2,11:48.0,Turnover by T. Dorsey (step out of bounds),,21,22
93,2,11:33.0,,T. Burke misses 2-pt jump shot from 18 ft,21,22
94,2,11:32.0,Defensive rebound by Team,,21,22
95,2,11:32.0,,Loose ball foul by M. Beasley (drawn by M. Muscala),21,22
96,2,11:21.0,Turnover by T. Prince (bad pass; steal by T. Burke),,21,22
97,2,11:04.0,,M. Beasley makes 2-pt jump shot from 18 ft,21,24
98,2,10:49.0,M. Muscala misses 3-pt jump shot from 25 ft,,21,24
99,2,10:47.0,,Defensive rebound by K. O'Quinn,21,24
100,2,10:33.0,,F. Ntilikina misses 2-pt jump shot from 22 ft,21,24
101,2,10:31.0,,Offensive rebound by D. McDermott,21,24
102,2,10:16.0,,Turnover by K. O'Quinn (bad pass),21,24
103,2,10:00.0,Turnover by T. Prince (bad pass; steal by K. O'Quinn),,21,24
104,2,9:54.0,,D. McDermott misses 3-pt jump shot from 25 ft (block by J. Collins),21,24
105,2,9:49.0,,Offensive rebound by M. Beasley,21,24
106,2,9:49.0,,M. Beasley misses 2-pt layup from 2 ft,21,24
107,2,9:44.0,,Offensive rebound by M. Beasley,21,24
108,2,9:44.0,,M. Beasley makes 2-pt layup from 2 ft,21,26
109,2,9:32.0,T. Dorsey makes 3-pt jump shot from 24 ft (assist by J. Collins),,24,26
110,2,9:17.0,,T. Burke makes 2-pt jump shot from 20 ft,24,28
111,2,9:01.0,Personal foul by F. Ntilikina (drawn by J. Collins),,24,28
112,2,9:01.0,,C. Lee enters the game for K. O'Quinn,24,28
113,2,9:01.0,,E. Freedom enters the game for F. Ntilikina,24,28
114,2,9:01.0,M. Plumlee enters the game for T. Prince,,24,28
115,2,9:01.0,D. Dedmon enters the game for J. Collins,,24,28
116,2,9:01.0,K. Bazemore enters the game for M. Muscala,,24,28
117,2,8:53.0,M. Delaney misses 2-pt layup at rim,,24,28
118,2,8:52.0,,Defensive rebound by Team,24,28
119,2,8:43.0,Violation by M. Delaney (kicked ball),,24,28
120,2,8:43.0,Technical foul by M. Delaney,,24,28
121,2,8:43.0,,C. Lee makes free throw 1 of 1,24,29
122,2,8:31.0,,E. Freedom misses 2-pt hook shot from 9 ft,24,29
123,2,8:29.0,Defensive rebound by M. Plumlee,,24,29
124,2,8:13.0,D. Dedmon misses 2-pt jump shot from 16 ft,,24,29
125,2,8:11.0,,Defensive rebound by C. Lee,24,29
126,2,8:03.0,,C. Lee misses 2-pt jump shot from 19 ft,24,29
127,2,8:00.0,,Offensive rebound by E. Freedom,24,29
128,2,7:52.0,,E. Freedom misses 2-pt jump shot from 15 ft,24,29
129,2,7:49.0,Defensive rebound by D. Dedmon,,24,29
130,2,7:40.0,T. Dorsey misses 3-pt jump shot from 23 ft,,24,29
131,2,7:38.0,,Defensive rebound by E. Freedom,24,29
132,2,7:29.0,,T. Burke misses 2-pt jump shot from 15 ft,24,29
133,2,7:27.0,Defensive rebound by T. Dorsey,,24,29
134,2,7:20.0,K. Bazemore makes 3-pt jump shot from 22 ft (assist by M. Delaney),,27,29
135,2,7:01.0,,Turnover by M. Beasley (bad pass; steal by M. Delaney),27,29
136,2,6:57.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by M. Delaney),,30,29
137,2,6:56.0,,New York full timeout,30,29
138,2,6:56.0,,T. Hardaway enters the game for M. Beasley,30,29
139,2,6:56.0,,K. Porziņģis enters the game for D. McDermott,30,29
140,2,6:56.0,,J. Jack enters the game for T. Burke,30,29
141,2,6:56.0,D. Schröder enters the game for M. Delaney,,30,29
142,2,6:39.0,,Turnover by E. Freedom (bad pass; steal by D. Schröder),30,29
143,2,6:39.0,Shooting foul by J. Jack (drawn by D. Schröder),,30,29
144,2,6:39.0,D. Schröder makes free throw 1 of 2,,31,29
145,2,6:39.0,D. Schröder makes free throw 2 of 2,,32,29
146,2,6:24.0,,K. Porziņģis misses 2-pt jump shot from 12 ft,32,29
147,2,6:20.0,Defensive rebound by D. Dedmon,,32,29
148,2,6:14.0,D. Schröder misses 2-pt jump shot from 11 ft,,32,29
149,2,6:12.0,,Defensive rebound by E. Freedom,32,29
150,2,6:07.0,,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by T. Hardaway),32,32
151,2,5:48.0,M. Plumlee misses 2-pt hook shot from 4 ft,,32,32
152,2,5:46.0,Offensive rebound by D. Dedmon,,32,32
153,2,5:33.0,D. Schröder misses 3-pt jump shot from 26 ft,,32,32
154,2,5:31.0,Offensive rebound by D. Dedmon,,32,32
155,2,5:29.0,K. Bazemore misses 3-pt jump shot from 25 ft,,32,32
156,2,5:27.0,,Defensive rebound by J. Jack,32,32
