,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA CLIPPERS_ACTION,CHARLOTTE_SCORE,LA CLIPPERS_SCORE
0,1,11:49.0,N. Batum misses 2-pt jump shot from 18 ft,,0,0
1,1,11:46.0,,Defensive rebound by M. Teodosić,0,0
2,1,11:30.0,,Shooting foul by M. Williams (drawn by B. Griffin),0,0
3,1,11:30.0,,B. Griffin makes free throw 1 of 2,0,1
4,1,11:30.0,,B. Griffin misses free throw 2 of 2,0,1
5,1,11:25.0,Defensive rebound by K. Walker,,0,1
6,1,11:15.0,Personal foul by J. Evans (drawn by K. Walker),,0,1
7,1,11:07.0,Turnover by D. Howard (traveling),,0,1
8,1,10:57.0,,M. Teodosić misses 2-pt jump shot from 16 ft,0,1
9,1,10:55.0,Defensive rebound by D. Howard,,0,1
10,1,10:41.0,Shooting foul by M. Teodosić (drawn by M. Kidd-Gilchrist),,0,1
11,1,10:41.0,M. Kidd-Gilchrist makes free throw 1 of 2,,1,1
12,1,10:41.0,M. Kidd-Gilchrist makes free throw 2 of 2,,2,1
13,1,10:24.0,,J. Evans makes 2-pt jump shot from 17 ft (assist by B. Griffin),2,3
14,1,9:59.0,M. Williams misses 2-pt jump shot from 9 ft,,2,3
15,1,9:57.0,Offensive rebound by M. Kidd-Gilchrist,,2,3
16,1,9:55.0,K. Walker makes 3-pt jump shot from 26 ft (assist by M. Kidd-Gilchrist),,5,3
17,1,9:40.0,,Turnover by B. Griffin (bad pass; steal by M. Williams),5,3
18,1,9:37.0,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by K. Walker),,7,3
19,1,9:18.0,,B. Griffin makes 2-pt layup from 2 ft (assist by M. Teodosić),7,5
20,1,9:03.0,M. Williams misses 2-pt jump shot from 9 ft,,7,5
21,1,9:01.0,Offensive rebound by M. Kidd-Gilchrist,,7,5
22,1,9:01.0,,Loose ball foul by M. Teodosić (drawn by M. Kidd-Gilchrist),7,5
23,1,9:01.0,,L. Williams enters the game for M. Teodosić,7,5
24,1,8:50.0,Turnover by N. Batum (bad pass; steal by C. Williams),,7,5
25,1,8:46.0,,L. Williams makes 3-pt jump shot from 24 ft (assist by J. Evans),7,8
26,1,8:24.0,D. Howard misses 2-pt jump shot from 16 ft,,7,8
27,1,8:22.0,,Defensive rebound by B. Griffin,7,8
28,1,8:16.0,,J. Evans misses 3-pt jump shot from 25 ft,7,8
29,1,8:11.0,Defensive rebound by D. Howard,,7,8
30,1,8:04.0,K. Walker makes 2-pt layup at rim,,9,8
31,1,7:58.0,,C. Williams misses 3-pt jump shot from 25 ft,9,8
32,1,7:53.0,,Offensive rebound by J. Evans,9,8
33,1,7:45.0,,L. Williams makes 2-pt layup from 1 ft,9,10
34,1,7:34.0,K. Walker misses 3-pt jump shot from 25 ft,,9,10
35,1,7:32.0,,Defensive rebound by D. Jordan,9,10
36,1,7:27.0,,J. Evans misses 2-pt layup from 1 ft,9,10
37,1,7:27.0,Defensive rebound by N. Batum,,9,10
38,1,7:12.0,D. Howard misses 2-pt hook shot from 6 ft,,9,10
39,1,7:12.0,,Defensive rebound by B. Griffin,9,10
40,1,6:59.0,,L. Williams makes 3-pt jump shot from 24 ft (assist by C. Williams),9,13
41,1,6:50.0,Charlotte full timeout,,9,13
42,1,6:40.0,M. Williams misses 3-pt jump shot from 24 ft,,9,13
43,1,6:37.0,,Defensive rebound by J. Evans,9,13
44,1,6:33.0,,B. Griffin misses 2-pt layup from 2 ft,9,13
45,1,6:30.0,Defensive rebound by M. Williams,,9,13
46,1,6:22.0,M. Williams misses 2-pt jump shot from 10 ft,,9,13
47,1,6:19.0,,Defensive rebound by J. Evans,9,13
48,1,6:12.0,,C. Williams misses 3-pt jump shot from 22 ft,9,13
49,1,6:08.0,Defensive rebound by D. Howard,,9,13
