,QUARTER,TIME_REMAINING,CHICAGO_ACTION,UTAH_ACTION,CHICAGO_SCORE,UTAH_SCORE
98,2,10:46.0,Turnover by A. Blakeney (lost ball; steal by A. Burks),,26,27
99,2,10:43.0,,Shooting foul by J. Grant (drawn by A. Burks),26,27
100,2,10:43.0,,A. Burks makes free throw 1 of 2,26,28
101,2,10:43.0,,A. Burks makes free throw 2 of 2,26,29
102,2,10:31.0,Turnover by A. Blakeney (bad pass; steal by T. Sefolosha),,26,29
103,2,10:28.0,,R. Neto misses 2-pt layup from 3 ft (block by B. Portis),26,29
104,2,10:27.0,,Offensive rebound by T. Sefolosha,26,29
105,2,10:27.0,,T. Sefolosha misses 2-pt layup from 1 ft,26,29
106,2,10:27.0,Defensive rebound by Q. Pondexter,,26,29
107,2,10:10.0,Chicago full timeout,,26,29
108,2,10:10.0,,R. Rubio enters the game for R. Neto,26,29
109,2,10:07.0,A. Blakeney misses 2-pt jump shot from 18 ft,,26,29
110,2,10:02.0,Offensive rebound by A. Blakeney,,26,29
111,2,10:00.0,Q. Pondexter misses 3-pt jump shot from 24 ft,,26,29
112,2,9:56.0,,Defensive rebound by R. Rubio,26,29
113,2,9:44.0,,Personal foul by C. Felício (drawn by R. Rubio),26,29
114,2,9:31.0,,R. Hood misses 2-pt jump shot from 18 ft,26,29
115,2,9:28.0,Defensive rebound by C. Felício,,26,29
116,2,9:12.0,C. Felício misses 2-pt hook shot from 8 ft,,26,29
117,2,9:09.0,,Defensive rebound by E. Udoh,26,29
118,2,9:02.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by E. Udoh),26,32
119,2,8:52.0,J. Grant makes 2-pt layup from 1 ft,,28,32
120,2,8:35.0,,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by E. Udoh),28,35
121,2,8:17.0,B. Portis misses 3-pt jump shot from 22 ft,,28,35
122,2,8:15.0,,Defensive rebound by R. Rubio,28,35
123,2,8:10.0,,R. Hood misses 3-pt jump shot from 25 ft,28,35
124,2,8:07.0,Defensive rebound by A. Blakeney,,28,35
125,2,7:52.0,Q. Pondexter misses 2-pt layup from 2 ft,,28,35
126,2,7:52.0,Offensive rebound by Team,,28,35
127,2,7:52.0,,Loose ball foul by T. Sefolosha (drawn by B. Portis),28,35
128,2,7:52.0,,J. Jerebko enters the game for T. Sefolosha,28,35
129,2,7:52.0,L. Markkanen enters the game for C. Felício,,28,35
130,2,7:47.0,J. Grant makes 2-pt layup from 2 ft,,30,35
131,2,7:47.0,Shooting foul by R. Rubio (drawn by J. Grant),,30,35
132,2,7:47.0,J. Grant makes free throw 1 of 1,,31,35
