,QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW ORLEANS_ACTION,INDIANA_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,,E. Okafor misses 2-pt jump shot from 16 ft,0,0
1,1,11:40.0,Defensive rebound by D. Collison,,0,0
2,1,11:27.0,M. Turner misses 2-pt jump shot from 15 ft,,0,0
3,1,11:24.0,Offensive rebound by T. Young,,0,0
4,1,11:22.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by T. Young),,3,0
5,1,11:07.0,,E. Okafor misses 2-pt layup from 2 ft (block by M. Turner),3,0
6,1,11:05.0,Defensive rebound by V. Oladipo,,3,0
7,1,10:57.0,M. Turner misses 2-pt jump shot from 12 ft,,3,0
8,1,10:50.0,,Defensive rebound by A. Davis,3,0
9,1,10:42.0,,E. Moore misses 2-pt jump shot from 2 ft,3,0
10,1,10:36.0,Defensive rebound by T. Young,,3,0
11,1,10:28.0,B. Bogdanović misses 2-pt layup from 1 ft,,3,0
12,1,10:26.0,,Defensive rebound by A. Davis,3,0
13,1,10:22.0,,E. Moore misses 2-pt jump shot from 7 ft,3,0
14,1,10:19.0,,Offensive rebound by Team,3,0
15,1,10:11.0,,J. Holiday misses 2-pt jump shot from 8 ft,3,0
16,1,10:09.0,Defensive rebound by T. Young,,3,0
17,1,9:54.0,M. Turner misses 2-pt jump shot from 20 ft,,3,0
18,1,9:52.0,,Defensive rebound by R. Rondo,3,0
19,1,9:39.0,,R. Rondo makes 2-pt layup from 2 ft,3,2
20,1,9:22.0,Shooting foul by R. Rondo (drawn by M. Turner),,3,2
21,1,9:22.0,M. Turner makes free throw 1 of 2,,4,2
22,1,9:22.0,M. Turner makes free throw 2 of 2,,5,2
23,1,9:10.0,,A. Davis makes 2-pt jump shot from 17 ft,5,4
24,1,8:58.0,T. Young misses 2-pt layup from 3 ft (block by E. Okafor),,5,4
25,1,8:54.0,,Defensive rebound by J. Holiday,5,4
26,1,8:50.0,,J. Holiday makes 2-pt hook shot from 7 ft,5,6
27,1,8:35.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,5,6
28,1,8:31.0,,Defensive rebound by A. Davis,5,6
29,1,8:26.0,,E. Moore makes 2-pt jump shot from 22 ft (assist by R. Rondo),5,8
30,1,8:02.0,T. Young makes 2-pt layup from 1 ft (assist by D. Collison),,7,8
31,1,7:53.0,,E. Okafor misses 2-pt layup from 1 ft (block by M. Turner),7,8
32,1,7:52.0,Defensive rebound by B. Bogdanović,,7,8
33,1,7:39.0,D. Collison makes 2-pt layup from 1 ft,,9,8
34,1,7:26.0,,A. Davis misses 2-pt jump shot from 15 ft,9,8
35,1,7:23.0,Defensive rebound by M. Turner,,9,8
36,1,7:14.0,Shooting foul by J. Holiday (drawn by M. Turner),,9,8
37,1,7:14.0,M. Turner makes free throw 1 of 2,,10,8
38,1,7:14.0,,N. Mirotić enters the game for E. Okafor,10,8
39,1,7:14.0,M. Turner makes free throw 2 of 2,,11,8
40,1,7:01.0,,Turnover by A. Davis (lost ball; steal by D. Collison),11,8
41,1,6:55.0,T. Young misses 3-pt jump shot from 22 ft,,11,8
42,1,6:51.0,,Defensive rebound by R. Rondo,11,8
43,1,6:47.0,,R. Rondo misses 2-pt layup from 2 ft,11,8
44,1,6:46.0,,Offensive rebound by J. Holiday,11,8
45,1,6:43.0,,E. Moore makes 3-pt jump shot from 22 ft (assist by J. Holiday),11,11
46,1,6:27.0,V. Oladipo misses 2-pt jump shot from 16 ft,,11,11
47,1,6:25.0,,Defensive rebound by Team,11,11
48,1,6:25.0,,New Orleans full timeout,11,11
49,1,6:25.0,,D. Miller enters the game for R. Rondo,11,11
50,1,6:25.0,,I. Clark enters the game for E. Moore,11,11
51,1,6:17.0,,Turnover by J. Holiday (bad pass; steal by M. Turner),11,11
52,1,6:17.0,Personal foul by J. Holiday (drawn by M. Turner),,11,11
53,1,6:17.0,,L. Drew enters the game for J. Holiday,11,11
54,1,6:05.0,B. Bogdanović makes 2-pt dunk at rim (assist by V. Oladipo),,13,11
55,1,5:48.0,,I. Clark makes 2-pt jump shot from 20 ft,13,13
56,1,5:26.0,Turnover by D. Collison (bad pass),,13,13
57,1,5:02.0,,Turnover by Team (shot clock),13,13
58,1,4:49.0,Shooting foul by A. Davis (drawn by V. Oladipo),,13,13
59,1,4:49.0,V. Oladipo makes free throw 1 of 2,,14,13
