,QUARTER,TIME_REMAINING,TORONTO_ACTION,DETROIT_ACTION,TORONTO_SCORE,DETROIT_SCORE
0,1,11:47.0,,L. Kennard misses 2-pt jump shot from 19 ft,0,0
1,1,11:42.0,Defensive rebound by K. Lowry,,0,0
2,1,11:24.0,J. Valančiūnas misses 3-pt jump shot from 24 ft,,0,0
3,1,11:20.0,,Defensive rebound by B. Griffin,0,0
4,1,11:14.0,,A. Drummond misses 2-pt hook shot from 7 ft (block by J. Valančiūnas),0,0
5,1,11:10.0,Defensive rebound by K. Lowry,,0,0
6,1,10:53.0,J. Valančiūnas misses 2-pt jump shot from 5 ft,,0,0
7,1,10:50.0,,Defensive rebound by A. Drummond,0,0
8,1,10:45.0,,B. Griffin misses 2-pt jump shot from 19 ft,0,0
9,1,10:40.0,Defensive rebound by K. Lowry,,0,0
10,1,10:34.0,J. Valančiūnas makes 2-pt layup from 3 ft (assist by K. Lowry),,2,0
11,1,10:34.0,Shooting foul by B. Griffin (drawn by J. Valančiūnas),,2,0
12,1,10:34.0,J. Valančiūnas makes free throw 1 of 1,,3,0
13,1,10:15.0,,B. Griffin makes 2-pt hook shot from 5 ft,3,2
14,1,10:02.0,D. DeRozan misses 2-pt jump shot from 16 ft,,3,2
15,1,9:59.0,,Defensive rebound by A. Drummond,3,2
16,1,9:48.0,,B. Griffin makes 3-pt jump shot from 27 ft,3,5
17,1,9:27.0,D. DeRozan misses 2-pt jump shot from 14 ft,,3,5
18,1,9:23.0,,Defensive rebound by B. Griffin,3,5
19,1,9:19.0,,Turnover by B. Griffin (bad pass; steal by K. Lowry),3,5
20,1,9:12.0,N. Powell makes 2-pt jump shot from 21 ft (assist by K. Lowry),,5,5
21,1,9:02.0,,L. Kennard misses 2-pt jump shot from 17 ft,5,5
22,1,9:00.0,Defensive rebound by N. Powell,,5,5
23,1,8:54.0,N. Powell misses 2-pt layup from 4 ft,,5,5
24,1,8:51.0,,Defensive rebound by A. Drummond,5,5
25,1,8:44.0,,A. Drummond misses 2-pt jump shot from 10 ft,5,5
26,1,8:41.0,Defensive rebound by S. Ibaka,,5,5
27,1,8:31.0,N. Powell makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,8,5
28,1,8:18.0,,R. Bullock misses 2-pt layup from 3 ft,8,5
29,1,8:12.0,,Offensive rebound by A. Drummond,8,5
30,1,8:12.0,,A. Drummond makes 2-pt layup at rim,8,7
31,1,8:03.0,S. Ibaka misses 3-pt jump shot from 26 ft,,8,7
32,1,8:00.0,,Defensive rebound by L. Kennard,8,7
33,1,7:56.0,,A. Drummond misses 2-pt layup from 1 ft,8,7
34,1,7:55.0,,A. Drummond misses 2-pt layup from 1 ft,8,7
35,1,7:55.0,,Offensive rebound by A. Drummond,8,7
36,1,7:54.0,,Offensive rebound by A. Drummond,8,7
37,1,7:49.0,,A. Drummond misses 2-pt layup at rim,8,7
38,1,7:47.0,,Offensive rebound by A. Drummond,8,7
39,1,7:47.0,,A. Drummond misses 2-pt layup at rim,8,7
40,1,7:46.0,Defensive rebound by K. Lowry,,8,7
41,1,7:41.0,K. Lowry misses 3-pt jump shot from 26 ft,,8,7
42,1,7:40.0,,Defensive rebound by Team,8,7
43,1,7:22.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by L. Kennard),8,10
44,1,7:11.0,Toronto full timeout,,8,10
45,1,6:55.0,K. Lowry misses 3-pt jump shot from 25 ft,,8,10
46,1,6:51.0,,Defensive rebound by R. Bullock,8,10
47,1,6:45.0,,Turnover by I. Smith (bad pass; steal by J. Valančiūnas),8,10
48,1,6:37.0,S. Ibaka misses 2-pt layup from 3 ft,,8,10
49,1,6:31.0,Offensive rebound by J. Valančiūnas,,8,10
50,1,6:31.0,J. Valančiūnas makes 2-pt dunk at rim,,10,10
51,1,6:25.0,,A. Drummond makes 2-pt layup from 1 ft,10,12
52,1,6:09.0,Turnover by K. Lowry (bad pass; steal by B. Griffin),,10,12
53,1,6:01.0,,Personal foul by S. Ibaka (drawn by B. Griffin),10,12
54,1,5:46.0,,B. Griffin misses 2-pt jump shot from 8 ft,10,12
55,1,5:43.0,Defensive rebound by J. Valančiūnas,,10,12
56,1,5:41.0,Personal foul by L. Kennard (drawn by S. Ibaka),,10,12
57,1,5:37.0,Personal foul by A. Drummond (drawn by D. DeRozan),,10,12
58,1,5:22.0,D. DeRozan misses 2-pt jump shot from 11 ft,,10,12
59,1,5:19.0,,Defensive rebound by A. Drummond,10,12
60,1,5:13.0,,I. Smith makes 2-pt jump shot from 8 ft,10,14
61,1,4:59.0,S. Ibaka misses 3-pt jump shot from 26 ft,,10,14
62,1,4:56.0,Offensive rebound by K. Lowry,,10,14
63,1,4:50.0,J. Valančiūnas makes 3-pt jump shot from 24 ft (assist by K. Lowry),,13,14
64,1,4:31.0,,R. Bullock misses 2-pt layup from 5 ft,13,14
65,1,4:29.0,Defensive rebound by J. Valančiūnas,,13,14
66,1,4:23.0,S. Ibaka misses 2-pt jump shot from 16 ft,,13,14
67,1,4:19.0,Offensive rebound by J. Valančiūnas,,13,14
68,1,4:14.0,,J. Ennis enters the game for L. Kennard,13,14
69,1,4:14.0,C. Miles enters the game for N. Powell,,13,14
70,1,4:14.0,J. Poeltl enters the game for J. Valančiūnas,,13,14
71,1,4:05.0,J. Poeltl makes 2-pt layup from 2 ft (assist by K. Lowry),,15,14
72,1,3:53.0,,Shooting foul by C. Miles (drawn by R. Bullock),15,14
73,1,3:53.0,,R. Bullock makes free throw 1 of 2,15,15
74,1,3:53.0,,D. Buycks enters the game for I. Smith,15,15
75,1,3:53.0,,A. Tolliver enters the game for B. Griffin,15,15
76,1,3:53.0,,R. Bullock makes free throw 2 of 2,15,16
77,1,3:35.0,S. Ibaka misses 3-pt jump shot from 26 ft,,15,16
78,1,3:29.0,Offensive rebound by C. Miles,,15,16
79,1,3:24.0,C. Miles misses 3-pt jump shot from 26 ft,,15,16
80,1,3:22.0,,Defensive rebound by A. Drummond,15,16
81,1,3:16.0,,D. Buycks misses 3-pt jump shot from 25 ft,15,16
82,1,3:12.0,Defensive rebound by D. DeRozan,,15,16
83,1,3:05.0,D. DeRozan makes 2-pt jump shot from 5 ft,,17,16
84,1,2:49.0,,A. Tolliver misses 3-pt jump shot from 27 ft,17,16
