,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
0,1,11:41.0,A. Horford makes 2-pt jump shot from 8 ft,,2,0
1,1,11:27.0,,Turnover by B. Bogdanović (step out of bounds),2,0
2,1,11:15.0,J. Tatum makes 2-pt jump shot from 21 ft,,4,0
3,1,10:51.0,,M. Turner misses 2-pt jump shot from 19 ft,4,0
4,1,10:47.0,Defensive rebound by A. Baynes,,4,0
5,1,10:32.0,J. Brown makes 3-pt jump shot from 23 ft (assist by A. Horford),,7,0
6,1,10:13.0,,Turnover by T. Young (bad pass; steal by A. Horford),7,0
7,1,10:06.0,J. Brown makes 3-pt jump shot from 23 ft (assist by J. Tatum),,10,0
8,1,10:05.0,,Indiana full timeout,10,0
9,1,9:51.0,,B. Bogdanović misses 2-pt jump shot from 8 ft,10,0
10,1,9:49.0,Defensive rebound by A. Baynes,,10,0
11,1,9:36.0,K. Irving makes 2-pt jump shot from 18 ft (assist by A. Horford),,12,0
12,1,9:09.0,,V. Oladipo makes 2-pt layup at rim,12,2
13,1,8:56.0,J. Tatum makes 2-pt jump shot from 20 ft,,14,2
14,1,8:34.0,,Shooting foul by J. Tatum (drawn by D. Collison),14,2
15,1,8:34.0,,D. Collison makes free throw 1 of 2,14,3
16,1,8:34.0,,D. Collison makes free throw 2 of 2,14,4
17,1,8:30.0,K. Irving makes 3-pt jump shot from 26 ft,,17,4
18,1,8:30.0,Shooting foul by D. Collison (drawn by K. Irving),,17,4
19,1,8:30.0,K. Irving misses free throw 1 of 1,,17,4
20,1,8:28.0,,Defensive rebound by M. Turner,17,4
21,1,8:18.0,,Shooting foul by J. Brown (drawn by V. Oladipo),17,4
22,1,8:18.0,,V. Oladipo makes free throw 1 of 2,17,5
23,1,8:18.0,M. Smart enters the game for J. Tatum,,17,5
24,1,8:18.0,,V. Oladipo misses free throw 2 of 2,17,5
25,1,8:18.0,Defensive rebound by M. Smart,,17,5
26,1,8:03.0,A. Baynes makes 2-pt jump shot from 16 ft (assist by K. Irving),,19,5
27,1,7:38.0,,D. Collison makes 2-pt layup at rim,19,7
28,1,7:38.0,,Shooting block foul by K. Irving (drawn by D. Collison),19,7
29,1,7:38.0,,D. Collison makes free throw 1 of 1,19,8
30,1,7:17.0,J. Brown makes 2-pt jump shot from 11 ft (assist by A. Horford),,21,8
31,1,7:03.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,21,8
32,1,7:00.0,Defensive rebound by A. Horford,,21,8
33,1,6:53.0,K. Irving makes 2-pt jump shot from 19 ft (assist by A. Horford),,23,8
34,1,6:35.0,,T. Young misses 2-pt layup from 2 ft (block by A. Baynes),23,8
35,1,6:32.0,,Offensive rebound by T. Young,23,8
36,1,6:32.0,,T. Young makes 2-pt hook shot from 4 ft,23,10
37,1,6:10.0,J. Brown misses 3-pt jump shot from 26 ft,,23,10
38,1,6:07.0,Offensive rebound by A. Horford,,23,10
