,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW ORLEANS_ACTION,GOLDEN STATE_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,,D. Cunningham makes 2-pt layup from 3 ft (assist by R. Rondo),0,2
1,1,11:32.0,Personal foul by D. Cousins (drawn by J. McGee),,0,2
2,1,11:28.0,K. Thompson misses 3-pt jump shot from 24 ft,,0,2
3,1,11:25.0,,Defensive rebound by R. Rondo,0,2
4,1,11:13.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by J. Holiday),0,5
5,1,10:54.0,D. Green misses 2-pt layup from 1 ft,,0,5
6,1,10:52.0,,Defensive rebound by D. Cousins,0,5
7,1,10:48.0,,E. Moore makes 3-pt jump shot from 23 ft (assist by D. Cousins),0,8
8,1,10:34.0,Turnover by K. Durant (bad pass; steal by D. Cousins),,0,8
9,1,10:28.0,,E. Moore misses 3-pt jump shot from 23 ft,0,8
10,1,10:23.0,Defensive rebound by K. Durant,,0,8
11,1,10:12.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),,3,8
12,1,9:57.0,,Def 3 sec tech foul by K. Durant,3,8
13,1,9:57.0,,E. Moore misses technical free throw,3,8
14,1,9:57.0,,Offensive rebound by Team,3,8
15,1,9:52.0,,Personal foul by J. McGee (drawn by D. Cousins),3,8
16,1,9:42.0,,Personal foul by J. McGee (drawn by D. Cousins),3,8
17,1,9:37.0,,J. Holiday misses 3-pt jump shot from 24 ft,3,8
18,1,9:34.0,Defensive rebound by D. Green,,3,8
19,1,9:29.0,Personal foul by R. Rondo (drawn by K. Durant),,3,8
20,1,9:15.0,J. McGee misses 2-pt dunk from 1 ft,,3,8
21,1,9:12.0,Offensive rebound by J. McGee,,3,8
22,1,9:10.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by S. Curry),,5,8
23,1,8:55.0,,Turnover by E. Moore (bad pass),5,8
24,1,8:51.0,K. Durant misses 3-pt jump shot from 25 ft,,5,8
25,1,8:44.0,Defensive rebound by Team,,5,8
26,1,8:44.0,Personal foul by E. Moore (drawn by K. Durant),,5,8
27,1,8:33.0,S. Curry misses 3-pt jump shot from 23 ft,,5,8
28,1,8:30.0,,Defensive rebound by J. Holiday,5,8
29,1,8:16.0,,Turnover by D. Cousins (lost ball; steal by K. Durant),5,8
30,1,8:12.0,J. McGee makes 2-pt dunk at rim (assist by K. Thompson),,7,8
31,1,8:12.0,Shooting foul by D. Cunningham (drawn by J. McGee),,7,8
32,1,8:12.0,J. McGee makes free throw 1 of 1,,8,8
33,1,8:03.0,,D. Cousins misses 2-pt layup from 1 ft,8,8
34,1,8:01.0,,Offensive rebound by D. Cunningham,8,8
35,1,7:59.0,,R. Rondo misses 3-pt jump shot from 23 ft,8,8
36,1,7:59.0,Defensive rebound by S. Curry,,8,8
37,1,7:46.0,Turnover by D. Green (bad pass; steal by D. Cunningham),,8,8
38,1,7:42.0,,R. Rondo misses 2-pt layup from 1 ft,8,8
39,1,7:35.0,,Offensive rebound by D. Cunningham,8,8
40,1,7:35.0,,D. Cunningham makes 2-pt layup at rim,8,10
41,1,7:33.0,D. Green misses 2-pt dunk from 1 ft (block by D. Cousins),,8,10
42,1,7:33.0,Offensive rebound by J. McGee,,8,10
43,1,7:32.0,J. McGee makes 2-pt dunk at rim,,10,10
44,1,7:32.0,Technical foul by D. Green,,10,10
45,1,7:32.0,,J. Holiday makes technical free throw,10,11
46,1,7:14.0,,J. Holiday makes 2-pt jump shot from 6 ft (assist by D. Cousins),10,13
47,1,7:04.0,K. Durant misses 2-pt jump shot from 18 ft,,10,13
48,1,7:04.0,,Defensive rebound by D. Cousins,10,13
49,1,6:55.0,,D. Cousins misses 2-pt layup from 3 ft (block by J. McGee),10,13
50,1,6:55.0,Defensive rebound by K. Durant,,10,13
51,1,6:48.0,K. Durant makes 3-pt jump shot from 25 ft,,13,13
52,1,6:35.0,,D. Cousins makes 2-pt dunk at rim (assist by R. Rondo),13,15
53,1,6:35.0,Golden State full timeout,,13,15
54,1,6:35.0,J. Bell enters the game for J. McGee,,13,15
55,1,6:27.0,Offensive foul by K. Durant,,13,15
56,1,6:27.0,Turnover by K. Durant (offensive foul),,13,15
57,1,6:27.0,Technical foul by K. Durant,,13,15
58,1,6:27.0,,J. Holiday misses technical free throw,13,15
59,1,6:27.0,,Offensive rebound by Team,13,15
60,1,6:12.0,,D. Cunningham makes 2-pt jump shot from 15 ft (assist by R. Rondo),13,17
61,1,5:53.0,K. Durant misses 2-pt jump shot from 8 ft,,13,17
62,1,5:51.0,,Defensive rebound by D. Cousins,13,17
63,1,5:48.0,,Turnover by D. Cousins (bad pass; steal by D. Green),13,17
64,1,5:45.0,D. Green makes 2-pt dunk at rim,,15,17
65,1,5:23.0,,Shooting foul by S. Curry (drawn by J. Holiday),15,17
66,1,5:23.0,,J. Holiday makes free throw 1 of 2,15,18
67,1,5:23.0,A. Iguodala enters the game for D. Green,,15,18
68,1,5:23.0,,D. Miller enters the game for D. Cousins,15,18
69,1,5:23.0,,J. Holiday makes free throw 2 of 2,15,19
70,1,5:11.0,Turnover by J. Bell (bad pass; steal by R. Rondo),,15,19
71,1,5:06.0,,E. Moore makes 2-pt dunk from 1 ft (assist by R. Rondo),15,21
72,1,5:04.0,Golden State full timeout,,15,21
73,1,4:54.0,Turnover by J. Bell (offensive goaltending),,15,21
74,1,4:36.0,,R. Rondo misses 3-pt jump shot from 22 ft,15,21
75,1,4:33.0,,Offensive rebound by D. Cunningham,15,21
76,1,4:28.0,,D. Cunningham makes 2-pt layup from 1 ft (assist by R. Rondo),15,23
77,1,4:21.0,K. Durant misses 2-pt jump shot from 15 ft,,15,23
78,1,4:15.0,Offensive rebound by J. Bell,,15,23
79,1,4:15.0,J. Bell makes 2-pt dunk at rim,,17,23
