,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,M. Gasol makes 2-pt jump shot from 11 ft,,2,0
1,1,11:25.0,,Turnover by B. Griffin (bad pass; steal by J. Martin),2,0
2,1,11:22.0,J. Martin misses 2-pt layup from 1 ft (block by B. Griffin),,2,0
3,1,11:22.0,Offensive rebound by Team,,2,0
4,1,11:19.0,M. Conley misses 2-pt layup from 1 ft,,2,0
5,1,11:16.0,,Defensive rebound by P. Beverley,2,0
6,1,11:04.0,,D. Gallinari makes 2-pt dunk at rim,2,2
7,1,10:44.0,Personal foul by D. Gallinari (drawn by M. Gasol),,2,2
8,1,10:37.0,M. Conley makes 2-pt jump shot from 15 ft,,4,2
9,1,10:24.0,,Shooting foul by J. Martin (drawn by B. Griffin),4,2
10,1,10:24.0,,B. Griffin makes free throw 1 of 2,4,3
11,1,10:24.0,,B. Griffin makes free throw 2 of 2,4,4
12,1,10:23.0,,B. Griffin misses 2-pt layup from 2 ft,4,4
13,1,10:23.0,,Offensive rebound by B. Griffin,4,4
14,1,10:06.0,M. Gasol misses 2-pt jump shot from 11 ft,,4,4
15,1,10:02.0,,Defensive rebound by D. Gallinari,4,4
16,1,9:54.0,,D. Gallinari misses 2-pt jump shot from 14 ft,4,4
17,1,9:52.0,Defensive rebound by J. Martin,,4,4
18,1,9:50.0,Turnover by J. Martin (bad pass; steal by B. Griffin),,4,4
19,1,9:42.0,,P. Beverley misses 3-pt jump shot from 24 ft,4,4
20,1,9:37.0,Defensive rebound by M. Gasol,,4,4
21,1,9:30.0,M. Gasol misses 3-pt jump shot from 24 ft,,4,4
22,1,9:26.0,Offensive rebound by J. Ennis,,4,4
23,1,9:25.0,J. Ennis makes 2-pt layup from 1 ft,,6,4
24,1,9:02.0,,P. Beverley makes 2-pt jump shot from 13 ft,6,6
25,1,8:50.0,D. Brooks misses 2-pt jump shot from 15 ft,,6,6
26,1,8:47.0,,Defensive rebound by D. Jordan,6,6
27,1,8:38.0,,Shooting foul by J. Martin (drawn by B. Griffin),6,6
28,1,8:38.0,,B. Griffin misses free throw 1 of 2,6,6
29,1,8:38.0,,Offensive rebound by Team,6,6
30,1,8:38.0,C. Parsons enters the game for J. Martin,,6,6
31,1,8:38.0,,B. Griffin makes free throw 2 of 2,6,7
32,1,8:21.0,M. Conley makes 3-pt jump shot from 25 ft (assist by D. Brooks),,9,7
33,1,8:03.0,,A. Rivers makes 3-pt jump shot from 25 ft (assist by B. Griffin),9,10
34,1,7:50.0,M. Conley misses 3-pt jump shot from 23 ft,,9,10
35,1,7:48.0,,Defensive rebound by D. Gallinari,9,10
36,1,7:29.0,,A. Rivers misses 3-pt jump shot from 26 ft,9,10
37,1,7:25.0,,Offensive rebound by D. Jordan,9,10
38,1,7:24.0,,D. Jordan misses 2-pt hook shot from 2 ft,9,10
39,1,7:24.0,Defensive rebound by M. Gasol,,9,10
40,1,7:20.0,Turnover by D. Brooks (discontinued dribble),,9,10
41,1,7:03.0,,Turnover by A. Rivers (traveling),9,10
42,1,6:52.0,M. Conley misses 3-pt jump shot from 24 ft,,9,10
43,1,6:48.0,,Defensive rebound by D. Jordan,9,10
44,1,6:39.0,,P. Beverley misses 3-pt jump shot from 25 ft,9,10
45,1,6:35.0,Defensive rebound by M. Gasol,,9,10
46,1,6:32.0,Personal foul by P. Beverley (drawn by M. Conley),,9,10
47,1,6:32.0,,LA Clippers full timeout,9,10
48,1,6:14.0,C. Parsons misses 2-pt layup from 3 ft (block by D. Jordan),,9,10
49,1,6:09.0,Offensive rebound by C. Parsons,,9,10
50,1,6:08.0,C. Parsons makes 2-pt jump shot from 8 ft,,11,10
51,1,5:52.0,,P. Beverley misses 3-pt jump shot from 24 ft,11,10
52,1,5:48.0,,Offensive rebound by P. Beverley,11,10
53,1,5:38.0,,B. Griffin misses 2-pt hook shot from 2 ft,11,10
54,1,5:33.0,,Offensive rebound by B. Griffin,11,10
55,1,5:33.0,,B. Griffin makes 2-pt layup at rim,11,12
56,1,5:25.0,M. Gasol makes 2-pt hook shot from 5 ft (assist by C. Parsons),,13,12
57,1,5:15.0,,Turnover by A. Rivers (step out of bounds),13,12
58,1,5:15.0,T. Evans enters the game for D. Brooks,,13,12
59,1,5:15.0,,W. Johnson enters the game for D. Gallinari,13,12
60,1,4:57.0,M. Conley makes 3-pt jump shot from 26 ft (assist by M. Gasol),,16,12
61,1,4:46.0,,B. Griffin makes 3-pt jump shot from 24 ft,16,15
62,1,4:31.0,M. Conley misses 2-pt jump shot from 19 ft,,16,15
63,1,4:29.0,Offensive rebound by J. Ennis,,16,15
64,1,4:24.0,J. Ennis makes 3-pt jump shot from 27 ft (assist by M. Conley),,19,15
65,1,4:10.0,,A. Rivers misses 2-pt jump shot from 11 ft,19,15
66,1,4:10.0,,Offensive rebound by D. Jordan,19,15
67,1,3:56.0,,A. Rivers makes 2-pt layup from 1 ft (assist by D. Jordan),19,17
68,1,3:49.0,M. Gasol makes 2-pt layup from 2 ft,,21,17
69,1,3:29.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by A. Rivers),21,20
70,1,3:05.0,T. Evans makes 2-pt layup from 3 ft,,23,20
71,1,2:38.0,,W. Johnson misses 3-pt jump shot from 25 ft,23,20
72,1,2:34.0,,Offensive rebound by P. Beverley,23,20
73,1,2:26.0,,B. Griffin makes 2-pt layup from 1 ft,23,22
74,1,2:17.0,Memphis full timeout,,23,22
75,1,2:17.0,,W. Reed enters the game for D. Jordan,23,22
76,1,2:17.0,,S. Thornwell enters the game for P. Beverley,23,22
77,1,2:17.0,,L. Williams enters the game for A. Rivers,23,22
78,1,2:17.0,M. Chalmers enters the game for J. Ennis,,23,22
79,1,2:17.0,D. Brooks enters the game for M. Conley,,23,22
80,1,2:05.0,M. Gasol misses 2-pt jump shot from 12 ft,,23,22
81,1,2:05.0,,Defensive rebound by B. Griffin,23,22
82,1,1:56.0,,Shooting foul by C. Parsons (drawn by S. Thornwell),23,22
83,1,1:56.0,,S. Thornwell makes free throw 1 of 2,23,23
84,1,1:56.0,B. Wright enters the game for M. Gasol,,23,23
85,1,1:56.0,,S. Thornwell misses free throw 2 of 2,23,23
86,1,1:51.0,Defensive rebound by C. Parsons,,23,23
87,1,1:34.0,D. Brooks misses 2-pt jump shot from 22 ft,,23,23
88,1,1:28.0,,Defensive rebound by S. Thornwell,23,23
89,1,1:28.0,,Personal foul by D. Brooks (drawn by S. Thornwell),23,23
90,1,1:28.0,,D. Gallinari enters the game for B. Griffin,23,23
91,1,1:28.0,,S. Thornwell misses free throw 1 of 2,23,23
92,1,1:28.0,,Offensive rebound by Team,23,23
93,1,1:28.0,,S. Thornwell misses free throw 2 of 2,23,23
94,1,1:28.0,Defensive rebound by M. Chalmers,,23,23
95,1,1:13.0,M. Chalmers misses 2-pt layup from 2 ft,,23,23
96,1,1:13.0,Offensive rebound by B. Wright,,23,23
97,1,1:13.0,Personal foul by W. Johnson (drawn by B. Wright),,23,23
98,1,1:13.0,,Turnover by W. Johnson (turnover),23,23
99,1,1:13.0,B. Wright makes free throw 2 of 2,,24,23
100,1,1:13.0,B. Wright makes free throw 1 of 2,,25,23
101,1,0:50.0,,W. Reed misses 2-pt hook shot from 6 ft (block by B. Wright),25,23
102,1,0:47.0,Defensive rebound by B. Wright,,25,23
103,1,0:39.0,C. Parsons makes 2-pt jump shot from 18 ft (assist by T. Evans),,27,23
104,1,0:35.0,,Personal foul by M. Chalmers (drawn by L. Williams),27,23
105,1,0:35.0,,L. Williams makes free throw 1 of 2,27,24
106,1,0:35.0,,L. Williams makes free throw 2 of 2,27,25
107,1,0:29.0,T. Evans misses 3-pt jump shot from 26 ft,,27,25
108,1,0:25.0,,Defensive rebound by L. Williams,27,25
109,1,0:04.0,,L. Williams misses 2-pt layup from 2 ft (block by B. Wright),27,25
110,1,0:04.0,,Offensive rebound by Team,27,25
111,1,0:02.0,,Turnover by L. Williams (bad pass; steal by C. Parsons),27,25
112,1,0:00.0,T. Evans misses 2-pt layup from 1 ft (block by S. Thornwell),,27,25
113,1,0:00.0,Offensive rebound by Team,,27,25
114,2,11:47.0,,D. Gallinari makes 2-pt jump shot from 18 ft (assist by W. Johnson),27,27
115,2,11:26.0,B. Wright makes 2-pt dunk from 1 ft (assist by C. Parsons),,29,27
116,2,11:11.0,,L. Williams misses 2-pt jump shot from 8 ft,29,27
117,2,11:06.0,Defensive rebound by B. Wright,,29,27
118,2,11:03.0,T. Evans misses 2-pt layup from 2 ft,,29,27
119,2,10:57.0,,Defensive rebound by W. Reed,29,27
120,2,10:50.0,,W. Reed misses 2-pt layup from 1 ft,29,27
