,QUARTER,TIME_REMAINING,TORONTO_ACTION,BOSTON_ACTION,TORONTO_SCORE,BOSTON_SCORE
0,1,11:46.0,,J. Brown misses 2-pt layup from 2 ft,0,0
1,1,11:45.0,,Offensive rebound by A. Baynes,0,0
2,1,11:44.0,,A. Baynes misses 2-pt layup from 7 ft,0,0
3,1,11:42.0,Defensive rebound by D. DeRozan,,0,0
4,1,11:28.0,S. Ibaka misses 2-pt jump shot from 16 ft,,0,0
5,1,11:26.0,,Defensive rebound by J. Tatum,0,0
6,1,11:23.0,,J. Tatum misses 2-pt jump shot from 18 ft,0,0
7,1,11:21.0,Defensive rebound by J. Valančiūnas,,0,0
8,1,11:01.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by D. DeRozan),,2,0
9,1,10:50.0,,Personal foul by K. Lowry (drawn by T. Rozier),2,0
10,1,10:40.0,,A. Baynes makes 2-pt jump shot from 18 ft (assist by J. Tatum),2,2
11,1,10:21.0,K. Lowry makes 3-pt jump shot from 30 ft (assist by D. DeRozan),,5,2
12,1,10:14.0,Personal foul by T. Rozier (drawn by K. Lowry),,5,2
13,1,10:14.0,,Turnover by T. Rozier (turnover),5,2
14,1,10:00.0,Personal foul by A. Baynes (drawn by J. Valančiūnas),,5,2
15,1,9:57.0,J. Valančiūnas misses 3-pt jump shot from 27 ft,,5,2
16,1,9:54.0,,Defensive rebound by T. Rozier,5,2
17,1,9:49.0,,T. Rozier makes 3-pt jump shot from 25 ft,5,5
18,1,9:39.0,K. Lowry makes 2-pt layup from 4 ft,,7,5
19,1,9:27.0,,Personal foul by O. Anunoby (drawn by J. Tatum),7,5
20,1,9:13.0,,A. Baynes makes 2-pt jump shot from 17 ft (assist by T. Rozier),7,7
21,1,8:56.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by D. DeRozan),,9,7
22,1,8:44.0,,A. Baynes makes 2-pt jump shot from 13 ft (assist by T. Rozier),9,9
23,1,8:22.0,,Offensive charge foul by S. Ibaka (drawn by A. Baynes),9,9
24,1,8:22.0,Turnover by S. Ibaka (offensive foul),,9,9
25,1,8:06.0,,J. Tatum misses 2-pt jump shot from 16 ft,9,9
26,1,8:03.0,Defensive rebound by S. Ibaka,,9,9
27,1,8:01.0,,Violation by T. Rozier (kicked ball),9,9
28,1,7:52.0,D. DeRozan makes 2-pt jump shot from 17 ft,,11,9
29,1,7:27.0,,A. Horford makes 2-pt hook shot from 4 ft (assist by J. Tatum),11,11
30,1,7:25.0,Turnover by K. Lowry (out of bounds lost ball),,11,11
31,1,7:14.0,,J. Tatum makes 2-pt jump shot from 13 ft,11,13
32,1,6:56.0,S. Ibaka makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,14,13
33,1,6:44.0,,J. Brown misses 2-pt jump shot from 15 ft,14,13
34,1,6:40.0,Defensive rebound by J. Valančiūnas,,14,13
35,1,6:34.0,D. DeRozan misses 3-pt jump shot from 23 ft,,14,13
36,1,6:33.0,J. Valančiūnas misses 2-pt layup from 1 ft,,14,13
37,1,6:33.0,Offensive rebound by J. Valančiūnas,,14,13
38,1,6:32.0,Offensive rebound by J. Valančiūnas,,14,13
39,1,6:32.0,J. Valančiūnas makes 2-pt layup from 1 ft,,16,13
40,1,6:28.0,,Boston full timeout,16,13
41,1,6:28.0,,M. Morris enters the game for A. Horford,16,13
42,1,6:11.0,,A. Baynes misses 2-pt hook shot from 4 ft,16,13
43,1,6:08.0,Defensive rebound by O. Anunoby,,16,13
44,1,5:57.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by S. Ibaka),,18,13
45,1,5:35.0,,A. Baynes makes 3-pt jump shot from 22 ft (assist by J. Tatum),18,16
46,1,5:18.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,21,16
47,1,4:59.0,,M. Morris misses 2-pt jump shot from 20 ft,21,16
48,1,4:58.0,Defensive rebound by J. Valančiūnas,,21,16
49,1,4:41.0,J. Valančiūnas misses 2-pt hook shot from 6 ft,,21,16
50,1,4:39.0,,Defensive rebound by M. Morris,21,16
51,1,4:31.0,,A. Baynes makes 3-pt jump shot from 24 ft (assist by T. Rozier),21,19
52,1,4:09.0,S. Ibaka makes 3-pt jump shot from 27 ft (assist by K. Lowry),,24,19
53,1,3:57.0,,J. Brown makes 2-pt dunk at rim (assist by A. Baynes),24,21
54,1,3:37.0,K. Lowry misses 3-pt jump shot from 27 ft,,24,21
55,1,3:34.0,,Defensive rebound by J. Brown,24,21
56,1,3:19.0,,Shooting foul by O. Anunoby (drawn by M. Morris),24,21
