,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CLEVELAND_ACTION,SACRAMENTO_SCORE,CLEVELAND_SCORE
0,1,11:36.0,G. Temple misses 3-pt jump shot from 23 ft,,0,0
1,1,11:33.0,,Defensive rebound by K. Love,0,0
2,1,11:21.0,,K. Love makes 2-pt layup at rim (assist by L. James),0,2
3,1,11:10.0,D. Fox makes 2-pt jump shot from 5 ft,,2,2
4,1,11:00.0,,J. Calderón misses 2-pt layup from 2 ft (block by D. Fox),2,2
5,1,10:56.0,Defensive rebound by J. Sampson,,2,2
6,1,10:41.0,Offensive foul by D. Fox (drawn by J. Calderón),,2,2
7,1,10:41.0,Turnover by D. Fox (offensive foul),,2,2
8,1,10:29.0,,K. Love misses 3-pt jump shot from 26 ft,2,2
9,1,10:25.0,Defensive rebound by J. Sampson,,2,2
10,1,10:18.0,G. Temple makes 2-pt layup from 2 ft (assist by Z. Randolph),,4,2
11,1,10:04.0,,K. Love misses 2-pt jump shot from 20 ft,4,2
12,1,10:03.0,Defensive rebound by J. Sampson,,4,2
13,1,9:57.0,Z. Randolph misses 2-pt jump shot from 9 ft,,4,2
14,1,9:54.0,,Defensive rebound by K. Love,4,2
15,1,9:47.0,,J. Crowder misses 2-pt layup from 1 ft,4,2
16,1,9:44.0,Defensive rebound by Z. Randolph,,4,2
17,1,9:41.0,Turnover by D. Fox (out of bounds lost ball),,4,2
18,1,9:29.0,,K. Love makes 2-pt layup from 1 ft (assist by L. James),4,4
19,1,9:12.0,G. Hill misses 3-pt jump shot from 26 ft,,4,4
20,1,9:08.0,,Defensive rebound by J. Crowder,4,4
21,1,8:59.0,,J. Crowder misses 3-pt jump shot from 23 ft,4,4
22,1,8:56.0,Defensive rebound by G. Hill,,4,4
23,1,8:40.0,G. Hill misses 2-pt jump shot from 14 ft,,4,4
24,1,8:34.0,,Defensive rebound by K. Love,4,4
25,1,8:23.0,,Turnover by L. James (bad pass; steal by Z. Randolph),4,4
26,1,8:17.0,G. Temple misses 3-pt jump shot from 23 ft,,4,4
27,1,8:14.0,,Defensive rebound by J. Smith,4,4
28,1,8:03.0,,J. Calderón misses 2-pt jump shot from 19 ft,4,4
29,1,7:59.0,Defensive rebound by Z. Randolph,,4,4
30,1,7:48.0,J. Sampson misses 2-pt layup from 1 ft,,4,4
31,1,7:40.0,Offensive rebound by Z. Randolph,,4,4
32,1,7:40.0,Z. Randolph makes 2-pt layup at rim,,6,4
33,1,7:22.0,,J. Crowder makes 2-pt layup from 1 ft (assist by J. Smith),6,6
34,1,7:02.0,Z. Randolph misses 2-pt jump shot from 19 ft,,6,6
35,1,6:59.0,,Defensive rebound by L. James,6,6
36,1,6:56.0,,Turnover by L. James (bad pass; steal by Z. Randolph),6,6
37,1,6:40.0,G. Temple misses 3-pt jump shot from 23 ft,,6,6
38,1,6:37.0,,Defensive rebound by K. Love,6,6
39,1,6:34.0,,Cleveland full timeout,6,6
40,1,6:21.0,,L. James misses 2-pt layup from 3 ft,6,6
41,1,6:18.0,Defensive rebound by G. Hill,,6,6
42,1,5:56.0,Z. Randolph misses 2-pt jump shot from 10 ft,,6,6
43,1,5:53.0,,Defensive rebound by K. Love,6,6
44,1,5:45.0,,L. James misses 2-pt jump shot from 7 ft,6,6
45,1,5:44.0,,K. Love misses 2-pt layup from 1 ft,6,6
46,1,5:44.0,Defensive rebound by G. Hill,,6,6
47,1,5:44.0,,Defensive rebound by K. Love,6,6
48,1,5:38.0,G. Hill makes 2-pt layup from 2 ft,,8,6
49,1,5:27.0,,J. Calderón misses 3-pt jump shot from 27 ft,8,6
50,1,5:27.0,Defensive rebound by Z. Randolph,,8,6
51,1,5:11.0,Z. Randolph makes 2-pt jump shot from 7 ft (assist by D. Fox),,10,6
52,1,4:54.0,,Personal foul by Z. Randolph (drawn by J. Smith),10,6
53,1,4:54.0,,D. Wade enters the game for J. Calderón,10,6
54,1,4:42.0,,K. Love makes 2-pt dunk from 1 ft (assist by L. James),10,8
55,1,4:14.0,G. Temple makes 3-pt jump shot from 22 ft,,13,8
56,1,4:01.0,,J. Smith makes 3-pt jump shot from 22 ft (assist by L. James),13,11
57,1,3:53.0,Turnover by D. Fox (bad pass; steal by K. Love),,13,11
58,1,3:48.0,,Turnover by K. Love (bad pass; steal by Z. Randolph),13,11
59,1,3:48.0,Z. Randolph misses 2-pt layup at rim,,13,11
60,1,3:48.0,Offensive rebound by Z. Randolph,,13,11
61,1,3:48.0,Z. Randolph misses 2-pt layup at rim,,13,11
62,1,3:48.0,,Defensive rebound by Team,13,11
63,1,3:48.0,Loose ball foul by Z. Randolph (drawn by K. Love),,13,11
64,1,3:48.0,B. Bogdanović enters the game for G. Hill,,13,11
65,1,3:48.0,K. Koufos enters the game for Z. Randolph,,13,11
66,1,3:39.0,,Personal foul by B. Bogdanović (drawn by D. Wade),13,11
67,1,3:35.0,,J. Crowder misses 3-pt jump shot from 26 ft,13,11
68,1,3:32.0,Defensive rebound by K. Koufos,,13,11
69,1,3:29.0,D. Fox makes 2-pt jump shot from 19 ft,,15,11
70,1,3:15.0,,Turnover by L. James (bad pass; steal by J. Sampson),15,11
71,1,3:07.0,D. Fox misses 3-pt jump shot from 22 ft,,15,11
72,1,3:06.0,Offensive rebound by K. Koufos,,15,11
73,1,3:06.0,Sacramento full timeout,,15,11
74,1,3:06.0,,K. Korver enters the game for L. James,15,11
75,1,3:06.0,,J. Green enters the game for J. Crowder,15,11
76,1,3:06.0,V. Carter enters the game for J. Sampson,,15,11
77,1,2:58.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,15,11
78,1,2:54.0,,Defensive rebound by J. Green,15,11
79,1,2:41.0,,K. Love misses 3-pt jump shot from 26 ft,15,11
80,1,2:38.0,Defensive rebound by B. Bogdanović,,15,11
81,1,2:33.0,K. Koufos makes 2-pt layup at rim (assist by B. Bogdanović),,17,11
82,1,2:18.0,,K. Love makes 2-pt jump shot from 20 ft (assist by J. Smith),17,13
83,1,1:54.0,D. Fox misses 2-pt jump shot from 20 ft,,17,13
84,1,1:51.0,,Defensive rebound by J. Smith,17,13
85,1,1:37.0,,J. Green makes 2-pt jump shot from 16 ft,17,15
86,1,1:23.0,V. Carter misses 3-pt jump shot from 29 ft,,17,15
87,1,1:18.0,Offensive rebound by B. Bogdanović,,17,15
88,1,1:13.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,17,15
89,1,1:10.0,,Defensive rebound by K. Love,17,15
90,1,1:04.0,,Shooting foul by B. Bogdanović (drawn by D. Wade),17,15
91,1,1:04.0,,D. Wade misses free throw 1 of 2,17,15
92,1,1:04.0,,Offensive rebound by Team,17,15
93,1,1:04.0,,C. Frye enters the game for K. Love,17,15
94,1,1:04.0,F. Mason enters the game for D. Fox,,17,15
95,1,1:04.0,B. Hield enters the game for G. Temple,,17,15
96,1,1:04.0,,D. Wade makes free throw 2 of 2,17,16
97,1,0:44.0,B. Hield makes 2-pt jump shot from 8 ft (assist by K. Koufos),,19,16
98,1,0:36.0,,D. Wade misses 2-pt layup from 2 ft,19,16
99,1,0:36.0,,Offensive rebound by D. Wade,19,16
100,1,0:32.0,,Turnover by D. Wade (bad pass; steal by B. Bogdanović),19,16
101,1,0:26.0,B. Bogdanović makes 3-pt jump shot from 25 ft,,22,16
102,1,0:04.0,,J. Green makes 3-pt jump shot from 23 ft (assist by J. Smith),22,19
103,1,0:00.0,B. Bogdanović misses 3-pt jump shot from 44 ft,,22,19
104,1,0:00.0,Offensive rebound by Team,,22,19
105,2,11:46.0,,Shooting foul by F. Mason (drawn by J. Green),22,19
106,2,11:46.0,,J. Green makes free throw 1 of 2,22,20
107,2,11:46.0,,J. Green makes free throw 2 of 2,22,21
108,2,11:29.0,K. Koufos makes 2-pt hook shot from 8 ft (assist by B. Bogdanović),,24,21
109,2,11:10.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by K. Korver),24,24
110,2,10:48.0,K. Koufos misses 2-pt hook shot from 11 ft,,24,24
111,2,10:45.0,Offensive rebound by K. Koufos,,24,24
112,2,10:44.0,K. Koufos misses 2-pt hook shot from 11 ft,,24,24
113,2,10:40.0,,Defensive rebound by L. James,24,24
114,2,10:35.0,,Turnover by L. James (bad pass; steal by B. Hield),24,24
115,2,10:30.0,B. Hield makes 2-pt jump shot from 15 ft,,26,24
116,2,10:13.0,,D. Wade makes 2-pt jump shot from 13 ft,26,26
117,2,9:54.0,V. Carter makes 3-pt jump shot from 24 ft (assist by F. Mason),,29,26
118,2,9:37.0,,Shooting foul by B. Bogdanović (drawn by L. James),29,26
119,2,9:37.0,,L. James misses free throw 1 of 2,29,26
120,2,9:37.0,,Offensive rebound by Team,29,26
121,2,9:37.0,J. Sampson enters the game for B. Bogdanović,,29,26
122,2,9:37.0,,L. James makes free throw 2 of 2,29,27
123,2,9:21.0,Def 3 sec tech foul by J. Green,,29,27
124,2,9:21.0,B. Hield makes technical free throw,,30,27
125,2,9:08.0,B. Hield misses 3-pt jump shot from 25 ft,,30,27
126,2,9:05.0,,Defensive rebound by L. James,30,27
127,2,9:01.0,,K. Korver misses 3-pt jump shot from 24 ft,30,27
128,2,9:01.0,,Offensive rebound by L. James,30,27
129,2,8:48.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by D. Wade),30,30
130,2,8:38.0,F. Mason makes 2-pt jump shot from 19 ft,,32,30
131,2,8:27.0,,Turnover by D. Wade (lost ball; steal by F. Mason),32,30
132,2,8:22.0,Turnover by B. Hield (bad pass),,32,30
133,2,8:05.0,,C. Frye misses 3-pt jump shot from 25 ft,32,30
134,2,8:01.0,Defensive rebound by J. Sampson,,32,30
135,2,7:53.0,K. Koufos misses 2-pt jump shot from 9 ft,,32,30
136,2,7:47.0,,Defensive rebound by L. James,32,30
137,2,7:41.0,,L. James makes 2-pt layup from 1 ft,32,32
138,2,7:41.0,,Shooting foul by B. Hield (drawn by L. James),32,32
139,2,7:41.0,,J. Smith enters the game for D. Wade,32,32
