,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BOSTON_ACTION,CHICAGO_SCORE,BOSTON_SCORE
0,1,11:34.0,J. Holiday misses 2-pt jump shot from 23 ft,,0,0
1,1,11:32.0,,Defensive rebound by J. Tatum,0,0
2,1,11:15.0,,J. Tatum makes 2-pt jump shot from 18 ft (assist by A. Baynes),0,2
3,1,10:47.0,K. Dunn misses 2-pt layup from 4 ft,,0,2
4,1,10:42.0,,Defensive rebound by A. Horford,0,2
5,1,10:38.0,,A. Horford makes 2-pt layup at rim,0,4
6,1,10:20.0,L. Markkanen makes 2-pt jump shot from 17 ft (assist by R. Lopez),,2,4
7,1,9:56.0,,Turnover by A. Baynes (bad pass; steal by J. Holiday),2,4
8,1,9:50.0,D. Valentine makes 3-pt jump shot from 22 ft (assist by L. Markkanen),,5,4
9,1,9:35.0,,J. Tatum misses 2-pt jump shot from 18 ft,5,4
10,1,9:33.0,Defensive rebound by J. Holiday,,5,4
11,1,9:24.0,Turnover by J. Holiday (bad pass; steal by K. Irving),,5,4
12,1,9:20.0,,K. Irving makes 2-pt layup at rim,5,6
13,1,9:06.0,K. Dunn misses 2-pt layup from 2 ft,,5,6
14,1,9:05.0,,Defensive rebound by A. Baynes,5,6
15,1,8:59.0,,A. Horford misses 2-pt hook shot from 7 ft,5,6
16,1,8:56.0,Defensive rebound by J. Holiday,,5,6
17,1,8:44.0,Shooting foul by J. Tatum (drawn by D. Valentine),,5,6
18,1,8:44.0,D. Valentine makes free throw 1 of 2,,6,6
19,1,8:44.0,D. Valentine makes free throw 2 of 2,,7,6
20,1,8:27.0,,A. Horford makes 2-pt jump shot from 10 ft (assist by K. Irving),7,8
21,1,8:10.0,D. Valentine misses 2-pt jump shot from 18 ft,,7,8
22,1,8:05.0,,Defensive rebound by K. Irving,7,8
23,1,7:58.0,,A. Baynes makes 2-pt hook shot from 5 ft (assist by J. Brown),7,10
24,1,7:41.0,R. Lopez misses 2-pt hook shot from 8 ft,,7,10
25,1,7:38.0,,Defensive rebound by A. Horford,7,10
26,1,7:25.0,,A. Baynes makes 2-pt layup from 1 ft (assist by K. Irving),7,12
27,1,7:08.0,R. Lopez makes 2-pt jump shot from 21 ft (assist by D. Valentine),,9,12
28,1,6:50.0,,K. Irving makes 2-pt layup from 1 ft,9,14
29,1,6:43.0,L. Markkanen makes 3-pt jump shot from 28 ft (assist by K. Dunn),,12,14
30,1,6:24.0,,J. Tatum makes 2-pt jump shot from 17 ft (assist by A. Horford),12,16
31,1,6:13.0,K. Dunn misses 2-pt layup from 2 ft,,12,16
32,1,6:13.0,Offensive rebound by K. Dunn,,12,16
33,1,6:10.0,K. Dunn misses 2-pt jump shot from 11 ft,,12,16
34,1,6:05.0,,Defensive rebound by A. Baynes,12,16
35,1,6:00.0,,Turnover by K. Irving (bad pass; steal by D. Valentine),12,16
36,1,5:49.0,,Boston full timeout,12,16
37,1,5:49.0,,S. Ojeleye enters the game for J. Tatum,12,16
38,1,5:49.0,,M. Smart enters the game for A. Baynes,12,16
39,1,5:42.0,L. Markkanen makes 2-pt hook shot from 10 ft (assist by K. Dunn),,14,16
40,1,5:28.0,,M. Smart misses 2-pt jump shot from 18 ft,14,16
41,1,5:26.0,Defensive rebound by R. Lopez,,14,16
42,1,5:06.0,J. Holiday makes 2-pt layup from 1 ft,,16,16
43,1,4:54.0,,K. Irving makes 2-pt jump shot from 14 ft,16,18
44,1,4:42.0,K. Dunn misses 2-pt jump shot from 7 ft,,16,18
45,1,4:40.0,Offensive rebound by R. Lopez,,16,18
46,1,4:39.0,N. Mirotić enters the game for L. Markkanen,,16,18
47,1,4:36.0,J. Holiday misses 3-pt jump shot from 23 ft,,16,18
48,1,4:33.0,,Defensive rebound by A. Horford,16,18
49,1,4:26.0,,J. Brown makes 2-pt layup at rim,16,20
50,1,3:58.0,J. Holiday makes 2-pt jump shot from 21 ft (assist by R. Lopez),,18,20
51,1,3:43.0,,K. Irving misses 3-pt jump shot from 26 ft,18,20
52,1,3:40.0,Defensive rebound by N. Mirotić,,18,20
53,1,3:28.0,J. Holiday makes 2-pt jump shot from 16 ft,,20,20
54,1,3:08.0,,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Horford),20,23
55,1,2:53.0,K. Dunn makes 2-pt jump shot from 20 ft (assist by R. Lopez),,22,23
