,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHARLOTTE_ACTION,PHILADELPHIA_SCORE,CHARLOTTE_SCORE
0,1,11:34.0,J. Redick misses 3-pt jump shot from 25 ft,,0,0
1,1,11:30.0,,Defensive rebound by D. Howard,0,0
2,1,11:21.0,,N. Batum makes 2-pt jump shot from 15 ft (assist by K. Walker),0,2
3,1,11:02.0,B. Simmons makes 2-pt dunk at rim,,2,2
4,1,10:51.0,,Shooting foul by J. Redick (drawn by M. Kidd-Gilchrist),2,2
5,1,10:51.0,,M. Kidd-Gilchrist makes free throw 1 of 2,2,3
6,1,10:51.0,,M. Kidd-Gilchrist makes free throw 2 of 2,2,4
7,1,10:31.0,J. Embiid misses 2-pt jump shot from 4 ft (block by D. Howard),,2,4
8,1,10:31.0,Offensive rebound by Team,,2,4
9,1,10:27.0,J. Embiid misses 3-pt jump shot from 24 ft,,2,4
10,1,10:25.0,,Defensive rebound by N. Batum,2,4
11,1,10:19.0,,M. Williams misses 3-pt jump shot from 26 ft,2,4
12,1,10:15.0,Defensive rebound by B. Simmons,,2,4
13,1,10:05.0,Shooting foul by K. Walker (drawn by J. Embiid),,2,4
14,1,10:05.0,J. Embiid makes free throw 1 of 2,,3,4
15,1,10:05.0,J. Embiid makes free throw 2 of 2,,4,4
16,1,9:49.0,,Turnover by D. Howard (out of bounds lost ball),4,4
17,1,9:37.0,J. Redick misses 2-pt jump shot from 20 ft,,4,4
18,1,9:33.0,,Defensive rebound by D. Howard,4,4
19,1,9:27.0,,N. Batum misses 3-pt jump shot from 26 ft,4,4
20,1,9:23.0,Defensive rebound by D. Šarić,,4,4
21,1,9:17.0,D. Šarić makes 3-pt jump shot from 24 ft (assist by R. Covington),,7,4
22,1,9:03.0,,Shooting foul by J. Redick (drawn by K. Walker),7,4
23,1,9:03.0,,K. Walker makes free throw 1 of 2,7,5
24,1,9:03.0,,K. Walker misses free throw 2 of 2,7,5
25,1,9:01.0,Defensive rebound by B. Simmons,,7,5
26,1,8:52.0,Turnover by J. Embiid (bad pass),,7,5
27,1,8:41.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),7,8
28,1,8:21.0,J. Embiid misses 2-pt layup from 7 ft (block by D. Howard),,7,8
29,1,8:18.0,,Defensive rebound by M. Kidd-Gilchrist,7,8
30,1,8:17.0,M. Belinelli enters the game for J. Redick,,7,8
31,1,8:15.0,,K. Walker misses 2-pt jump shot from 16 ft (block by R. Covington),7,8
32,1,8:14.0,Defensive rebound by Team,,7,8
33,1,8:04.0,M. Belinelli makes 2-pt jump shot from 18 ft,,9,8
34,1,7:48.0,,M. Williams misses 2-pt layup from 3 ft,9,8
35,1,7:43.0,,Offensive rebound by D. Howard,9,8
36,1,7:43.0,,D. Howard makes 2-pt dunk at rim,9,10
37,1,7:32.0,Personal foul by D. Howard (drawn by J. Embiid),,9,10
38,1,7:19.0,D. Šarić misses 3-pt jump shot from 27 ft,,9,10
39,1,7:15.0,,Defensive rebound by D. Howard,9,10
40,1,7:03.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by N. Batum),9,13
41,1,6:49.0,D. Šarić makes 2-pt dunk from 1 ft (assist by B. Simmons),,11,13
42,1,6:32.0,,D. Howard makes 2-pt layup from 3 ft (assist by K. Walker),11,15
43,1,6:20.0,B. Simmons makes 2-pt layup from 1 ft (assist by D. Šarić),,13,15
44,1,6:06.0,,D. Howard misses 2-pt jump shot from 15 ft,13,15
45,1,6:01.0,Defensive rebound by D. Šarić,,13,15
46,1,5:58.0,M. Belinelli misses 3-pt jump shot from 25 ft,,13,15
47,1,5:55.0,,Defensive rebound by D. Howard,13,15
48,1,5:50.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by N. Batum),13,17
49,1,5:50.0,Philadelphia full timeout,,13,17
50,1,5:50.0,A. Johnson enters the game for J. Embiid,,13,17
51,1,5:37.0,Turnover by D. Šarić (bad pass; steal by D. Howard),,13,17
52,1,5:36.0,,Shooting foul by A. Johnson (drawn by M. Kidd-Gilchrist),13,17
53,1,5:36.0,,M. Kidd-Gilchrist misses free throw 1 of 2,13,17
54,1,5:36.0,,Offensive rebound by Team,13,17
55,1,5:36.0,T. McConnell enters the game for R. Covington,,13,17
56,1,5:36.0,,M. Kidd-Gilchrist makes free throw 2 of 2,13,18
57,1,5:25.0,Offensive foul by A. Johnson (drawn by M. Williams),,13,18
58,1,5:25.0,Turnover by A. Johnson (offensive foul),,13,18
59,1,5:14.0,,Turnover by N. Batum (bad pass; steal by A. Johnson),13,18
60,1,5:03.0,T. McConnell misses 2-pt layup from 1 ft,,13,18
61,1,5:03.0,Offensive rebound by Team,,13,18
62,1,5:03.0,,F. Kaminsky enters the game for M. Williams,13,18
63,1,4:52.0,M. Belinelli makes 2-pt layup from 1 ft (assist by D. Šarić),,15,18
64,1,4:38.0,,F. Kaminsky makes 3-pt jump shot from 23 ft (assist by N. Batum),15,21
65,1,4:10.0,A. Johnson makes 3-pt jump shot from 25 ft (assist by T. McConnell),,18,21
66,1,3:57.0,,Turnover by K. Walker (bad pass; steal by T. McConnell),18,21
67,1,3:52.0,B. Simmons makes 2-pt dunk from 1 ft (assist by T. McConnell),,20,21
68,1,3:34.0,,D. Howard makes 2-pt hook shot from 3 ft (assist by K. Walker),20,23
69,1,3:20.0,Turnover by M. Belinelli (step out of bounds),,20,23
70,1,3:20.0,E. İlyasova enters the game for D. Šarić,,20,23
71,1,3:20.0,J. Redick enters the game for B. Simmons,,20,23
72,1,2:55.0,,D. Howard misses 2-pt hook shot from 7 ft,20,23
73,1,2:53.0,Defensive rebound by M. Belinelli,,20,23
74,1,2:48.0,T. McConnell makes 2-pt jump shot from 9 ft,,22,23
75,1,2:29.0,,Turnover by N. Batum (bad pass; steal by T. McConnell),22,23
76,1,2:23.0,E. İlyasova makes 2-pt layup from 1 ft (assist by T. McConnell),,24,23
77,1,2:17.0,,Charlotte full timeout,24,23
78,1,2:17.0,,C. Zeller enters the game for D. Howard,24,23
79,1,2:17.0,,J. Lamb enters the game for M. Kidd-Gilchrist,24,23
80,1,2:17.0,,M. Monk enters the game for K. Walker,24,23
81,1,2:17.0,J. Embiid enters the game for A. Johnson,,24,23
82,1,2:06.0,,M. Monk makes 2-pt layup from 1 ft,24,25
83,1,1:50.0,Turnover by J. Embiid (bad pass; steal by J. Lamb),,24,25
84,1,1:42.0,,F. Kaminsky makes 2-pt layup from 2 ft (assist by M. Monk),24,27
85,1,1:25.0,J. Redick makes 3-pt jump shot from 26 ft,,27,27
86,1,1:12.0,,M. Monk misses 3-pt jump shot from 25 ft,27,27
87,1,1:09.0,Defensive rebound by J. Embiid,,27,27
88,1,0:53.0,M. Belinelli misses 2-pt layup from 2 ft,,27,27
89,1,0:49.0,,Defensive rebound by F. Kaminsky,27,27
90,1,0:43.0,,C. Zeller makes 2-pt layup at rim (assist by M. Monk),27,29
91,1,0:31.0,M. Belinelli makes 2-pt jump shot from 21 ft (assist by E. İlyasova),,29,29
92,1,0:05.0,,M. Monk misses 2-pt jump shot from 17 ft,29,29
93,1,0:02.0,Defensive rebound by E. İlyasova,,29,29
94,1,0:00.0,J. Redick makes 3-pt jump shot from 23 ft (assist by M. Belinelli),,32,29
95,2,11:48.0,,T. Graham misses 2-pt layup from 3 ft,32,29
96,2,11:47.0,Defensive rebound by Team,,32,29
97,2,11:28.0,Turnover by E. İlyasova (bad pass; steal by F. Kaminsky),,32,29
98,2,11:25.0,Offensive charge foul by M. Monk (drawn by E. İlyasova),,32,29
99,2,11:25.0,,Turnover by M. Monk (offensive foul),32,29
100,2,11:23.0,D. Šarić enters the game for E. İlyasova,,32,29
101,2,11:23.0,Turnover by J. Embiid (turnover),,32,29
102,2,11:10.0,,T. Graham makes 3-pt jump shot from 23 ft (assist by C. Zeller),32,32
103,2,10:49.0,T. McConnell makes 2-pt layup from 1 ft,,34,32
104,2,10:38.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,34,32
105,2,10:34.0,Defensive rebound by J. Redick,,34,32
106,2,10:28.0,Shooting foul by T. Graham (drawn by J. Redick),,34,32
107,2,10:28.0,J. Redick makes free throw 1 of 3,,35,32
108,2,10:28.0,J. Redick misses free throw 2 of 3,,35,32
109,2,10:28.0,Offensive rebound by Team,,35,32
110,2,10:28.0,J. Redick makes free throw 3 of 3,,36,32
111,2,10:23.0,,Personal foul by T. McConnell (drawn by M. Monk),36,32
112,2,10:18.0,,J. Lamb makes 3-pt jump shot from 26 ft,36,35
113,2,10:01.0,R. Covington makes 3-pt jump shot from 23 ft (assist by T. McConnell),,39,35
114,2,9:46.0,,M. Monk misses 2-pt layup from 3 ft,39,35
115,2,9:42.0,,Offensive rebound by C. Zeller,39,35
116,2,9:42.0,,C. Zeller makes 2-pt layup at rim,39,37
117,2,9:29.0,D. Šarić misses 2-pt layup from 1 ft,,39,37
118,2,9:25.0,,Defensive rebound by J. Lamb,39,37
119,2,9:15.0,,T. Graham makes 2-pt jump shot from 8 ft (assist by J. Lamb),39,39
120,2,9:00.0,D. Šarić misses 3-pt jump shot from 26 ft,,39,39
121,2,8:56.0,,Defensive rebound by C. Zeller,39,39
122,2,8:45.0,,F. Kaminsky misses 2-pt layup from 3 ft,39,39
123,2,8:43.0,Defensive rebound by J. Embiid,,39,39
124,2,8:39.0,R. Covington misses 3-pt jump shot from 25 ft,,39,39
125,2,8:33.0,,Defensive rebound by M. Monk,39,39
126,2,8:29.0,,J. Lamb makes 3-pt jump shot from 23 ft (assist by T. Graham),39,42
127,2,8:09.0,Personal foul by T. Graham (drawn by J. Redick),,39,42
128,2,8:09.0,,M. Kidd-Gilchrist enters the game for T. Graham,39,42
129,2,8:09.0,B. Simmons enters the game for T. McConnell,,39,42
130,2,8:09.0,A. Johnson enters the game for J. Redick,,39,42
131,2,8:09.0,M. Belinelli enters the game for J. Embiid,,39,42
132,2,8:04.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),,42,42
133,2,7:44.0,,F. Kaminsky makes 2-pt jump shot from 10 ft,42,44
134,2,7:31.0,D. Šarić makes 2-pt layup at rim (assist by M. Belinelli),,44,44
135,2,7:10.0,,Shooting foul by D. Šarić (drawn by M. Monk),44,44
136,2,7:10.0,,M. Monk makes free throw 1 of 2,44,45
137,2,7:10.0,,M. Monk makes free throw 2 of 2,44,46
138,2,6:53.0,Shooting foul by F. Kaminsky (drawn by D. Šarić),,44,46
139,2,6:53.0,,Charlotte full timeout,44,46
140,2,6:53.0,,K. Walker enters the game for M. Monk,44,46
141,2,6:53.0,D. Šarić misses free throw 1 of 2,,44,46
142,2,6:53.0,Offensive rebound by Team,,44,46
143,2,6:53.0,D. Šarić makes free throw 2 of 2,,45,46
144,2,6:40.0,,J. Lamb misses 2-pt jump shot from 12 ft,45,46
145,2,6:37.0,Defensive rebound by A. Johnson,,45,46
146,2,6:23.0,Turnover by M. Belinelli (lost ball; steal by J. Lamb),,45,46
147,2,6:15.0,,F. Kaminsky misses 2-pt jump shot from 9 ft,45,46
148,2,6:10.0,Defensive rebound by D. Šarić,,45,46
149,2,6:02.0,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Šarić),,48,46
150,2,5:38.0,,F. Kaminsky misses 2-pt layup from 2 ft,48,46
151,2,5:35.0,Defensive rebound by A. Johnson,,48,46
152,2,5:26.0,R. Covington misses 3-pt jump shot from 26 ft,,48,46
153,2,5:25.0,,Defensive rebound by C. Zeller,48,46
154,2,5:25.0,,Personal foul by A. Johnson (drawn by C. Zeller),48,46
155,2,5:25.0,,M. Williams enters the game for J. Lamb,48,46
156,2,5:25.0,,N. Batum enters the game for F. Kaminsky,48,46
157,2,5:25.0,E. İlyasova enters the game for A. Johnson,,48,46
158,2,5:11.0,,K. Walker misses 3-pt jump shot from 25 ft,48,46
159,2,5:07.0,Defensive rebound by M. Belinelli,,48,46
160,2,5:02.0,B. Simmons makes 2-pt layup from 1 ft,,50,46
161,2,4:46.0,,C. Zeller makes 2-pt layup from 1 ft (assist by M. Kidd-Gilchrist),50,48
162,2,4:35.0,,D. Howard enters the game for C. Zeller,50,48
163,2,4:17.0,R. Covington makes 2-pt layup from 4 ft (assist by B. Simmons),,52,48
164,2,4:01.0,,M. Williams misses 2-pt layup from 2 ft,52,48
165,2,3:58.0,,Offensive rebound by M. Kidd-Gilchrist,52,48
166,2,3:55.0,,M. Kidd-Gilchrist misses 2-pt layup from 3 ft (block by R. Covington),52,48
167,2,3:52.0,,Offensive rebound by N. Batum,52,48
168,2,3:52.0,,M. Williams misses 3-pt jump shot from 25 ft,52,48
169,2,3:52.0,Defensive rebound by D. Šarić,,52,48
170,2,3:52.0,,Technical foul by M. Kidd-Gilchrist,52,48
171,2,3:52.0,M. Belinelli makes technical free throw,,53,48
172,2,3:52.0,,Technical foul by M. Kidd-Gilchrist,53,48
173,2,3:52.0,M. Belinelli makes technical free throw,,54,48
174,2,3:52.0,,T. Graham enters the game for M. Kidd-Gilchrist,54,48
175,2,3:52.0,J. Redick enters the game for D. Šarić,,54,48
176,2,3:52.0,J. Embiid enters the game for M. Belinelli,,54,48
177,2,3:52.0,T. McConnell enters the game for R. Covington,,54,48
178,2,3:35.0,J. Redick makes 2-pt jump shot from 22 ft (assist by J. Embiid),,56,48
179,2,3:19.0,,D. Howard makes 2-pt hook shot from 1 ft,56,50
180,2,2:57.0,J. Embiid makes 2-pt jump shot from 18 ft,,58,50
181,2,2:46.0,,Personal foul by E. İlyasova (drawn by K. Walker),58,50
182,2,2:46.0,Philadelphia full timeout,,58,50
183,2,2:35.0,,M. Williams misses 3-pt jump shot from 26 ft,58,50
184,2,2:30.0,Defensive rebound by J. Redick,,58,50
185,2,2:20.0,B. Simmons makes 2-pt layup from 1 ft,,60,50
186,2,2:01.0,,D. Howard misses 2-pt jump shot from 5 ft,60,50
187,2,2:01.0,Defensive rebound by B. Simmons,,60,50
188,2,2:00.0,,Technical foul by D. Howard,60,50
189,2,2:00.0,J. Redick makes technical free throw,,61,50
190,2,2:00.0,,D. Bacon enters the game for T. Graham,61,50
191,2,1:45.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by T. McConnell),,64,50
192,2,1:27.0,,K. Walker misses 2-pt layup from 2 ft (block by J. Embiid),64,50
193,2,1:27.0,Defensive rebound by T. McConnell,,64,50
194,2,1:21.0,Turnover by J. Redick (bad pass; steal by M. Williams),,64,50
195,2,1:16.0,,K. Walker misses 3-pt jump shot from 26 ft,64,50
196,2,1:12.0,,Offensive rebound by M. Williams,64,50
197,2,1:12.0,,M. Williams makes 2-pt layup at rim,64,52
198,2,1:00.0,B. Simmons makes 2-pt layup from 1 ft,,66,52
199,2,0:45.0,,Personal foul by E. İlyasova (drawn by K. Walker),66,52
200,2,0:45.0,,K. Walker makes free throw 1 of 2,66,53
201,2,0:45.0,,K. Walker misses free throw 2 of 2,66,53
202,2,0:42.0,Defensive rebound by B. Simmons,,66,53
203,2,0:32.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),,69,53
204,2,0:08.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by M. Williams),69,56
205,2,0:03.0,T. McConnell makes 2-pt layup from 2 ft (assist by B. Simmons),,71,56
206,2,0:00.0,,D. Howard makes 3-pt jump shot from 29 ft (assist by N. Batum),71,59
207,3,11:47.0,,D. Howard makes 2-pt layup from 1 ft (assist by N. Batum),71,61
208,3,11:47.0,,Shooting foul by J. Embiid (drawn by D. Howard),71,61
209,3,11:47.0,,D. Howard misses free throw 1 of 1,71,61
210,3,11:44.0,Defensive rebound by J. Embiid,,71,61
211,3,11:30.0,Turnover by J. Redick (traveling),,71,61
