,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MILWAUKEE_ACTION,LA CLIPPERS_SCORE,MILWAUKEE_SCORE
0,1,11:34.0,,J. Terry makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),0,3
1,1,11:13.0,D. Jordan makes 2-pt layup from 1 ft (assist by M. Teodosić),,2,3
2,1,10:53.0,,Turnover by G. Antetokounmpo (lost ball; steal by W. Johnson),2,3
3,1,10:39.0,T. Harris makes 2-pt layup at rim,,4,3
4,1,10:39.0,Shooting foul by J. Henson (drawn by T. Harris),,4,3
5,1,10:39.0,T. Harris makes free throw 1 of 1,,5,3
6,1,10:22.0,,J. Henson makes 2-pt hook shot from 5 ft (assist by K. Middleton),5,5
7,1,9:59.0,W. Johnson misses 3-pt jump shot from 23 ft,,5,5
8,1,9:56.0,,Defensive rebound by K. Middleton,5,5
9,1,9:51.0,,K. Middleton makes 2-pt hook shot from 6 ft,5,7
10,1,9:36.0,W. Johnson misses 2-pt layup from 3 ft,,5,7
11,1,9:35.0,Offensive rebound by D. Jordan,,5,7
12,1,9:33.0,D. Jordan makes 2-pt dunk from 1 ft,,7,7
13,1,9:14.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,7,7
14,1,9:11.0,Defensive rebound by A. Rivers,,7,7
15,1,9:00.0,A. Rivers misses 3-pt jump shot from 26 ft,,7,7
16,1,8:56.0,,Defensive rebound by E. Bledsoe,7,7
17,1,8:34.0,,E. Bledsoe misses 2-pt jump shot from 16 ft,7,7
18,1,8:32.0,,Offensive rebound by E. Bledsoe,7,7
19,1,8:28.0,,G. Antetokounmpo misses 3-pt jump shot from 23 ft,7,7
20,1,8:23.0,Defensive rebound by D. Jordan,,7,7
21,1,8:09.0,T. Harris misses 3-pt jump shot from 26 ft,,7,7
22,1,8:05.0,,Defensive rebound by J. Henson,7,7
23,1,8:01.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by J. Terry),7,9
24,1,7:43.0,A. Rivers makes 2-pt layup from 1 ft (assist by T. Harris),,9,9
25,1,7:25.0,,K. Middleton misses 3-pt jump shot from 26 ft,9,9
26,1,7:21.0,Defensive rebound by A. Rivers,,9,9
27,1,7:14.0,Turnover by M. Teodosić (bad pass; steal by K. Middleton),,9,9
28,1,7:09.0,,Shooting foul by D. Jordan (drawn by G. Antetokounmpo),9,9
29,1,7:09.0,,G. Antetokounmpo makes free throw 1 of 2,9,10
30,1,7:09.0,,G. Antetokounmpo makes free throw 2 of 2,9,11
31,1,6:50.0,T. Harris misses 2-pt hook shot from 3 ft,,9,11
32,1,6:45.0,Offensive rebound by D. Jordan,,9,11
33,1,6:45.0,D. Jordan makes 2-pt layup at rim,,11,11
34,1,6:44.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),11,13
35,1,6:35.0,T. Harris makes 2-pt layup at rim (assist by M. Teodosić),,13,13
36,1,6:14.0,,K. Middleton makes 2-pt jump shot from 11 ft (assist by J. Terry),13,15
37,1,6:04.0,A. Rivers misses 2-pt layup at rim (block by G. Antetokounmpo),,13,15
38,1,6:00.0,,Defensive rebound by J. Terry,13,15
39,1,5:56.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,13,15
40,1,5:54.0,Defensive rebound by W. Johnson,,13,15
41,1,5:42.0,D. Jordan misses 2-pt dunk from 1 ft,,13,15
42,1,5:39.0,Offensive rebound by D. Jordan,,13,15
43,1,5:38.0,D. Jordan makes 2-pt dunk from 1 ft,,15,15
44,1,5:21.0,,K. Middleton misses 2-pt jump shot from 15 ft,15,15
45,1,5:18.0,Defensive rebound by D. Jordan,,15,15
46,1,5:14.0,D. Jordan misses 2-pt dunk from 2 ft,,15,15
47,1,5:11.0,Offensive rebound by W. Johnson,,15,15
48,1,5:09.0,W. Johnson makes 3-pt jump shot from 23 ft,,18,15
49,1,5:05.0,,Milwaukee full timeout,18,15
50,1,5:05.0,,J. Parker enters the game for G. Antetokounmpo,18,15
51,1,5:05.0,,T. Snell enters the game for J. Terry,18,15
52,1,5:05.0,L. Williams enters the game for M. Teodosić,,18,15
53,1,4:55.0,,T. Snell misses 3-pt jump shot from 22 ft,18,15
54,1,4:52.0,Defensive rebound by D. Jordan,,18,15
55,1,4:47.0,D. Jordan makes 2-pt layup from 1 ft (assist by T. Harris),,20,15
56,1,4:31.0,,J. Parker makes 2-pt jump shot from 15 ft (assist by K. Middleton),20,17
57,1,4:18.0,Shooting foul by E. Bledsoe (drawn by D. Jordan),,20,17
58,1,4:18.0,D. Jordan misses free throw 1 of 2,,20,17
59,1,4:18.0,Offensive rebound by Team,,20,17
60,1,4:18.0,D. Jordan misses free throw 2 of 2,,20,17
61,1,4:14.0,,Defensive rebound by J. Henson,20,17
62,1,3:57.0,,J. Henson makes 2-pt dunk at rim (assist by K. Middleton),20,19
63,1,3:47.0,T. Harris makes 3-pt jump shot from 26 ft (assist by L. Williams),,23,19
64,1,3:38.0,,J. Parker makes 2-pt dunk from 1 ft (assist by J. Henson),23,21
65,1,3:24.0,W. Johnson misses 3-pt jump shot from 23 ft,,23,21
66,1,3:22.0,Offensive rebound by D. Jordan,,23,21
67,1,3:22.0,Shooting foul by K. Middleton (drawn by W. Johnson),,23,21
68,1,3:22.0,W. Johnson makes free throw 1 of 2,,24,21
69,1,3:22.0,,B. Jennings enters the game for E. Bledsoe,24,21
70,1,3:22.0,,T. Zeller enters the game for J. Henson,24,21
71,1,3:22.0,W. Johnson makes free throw 2 of 2,,25,21
72,1,3:06.0,,K. Middleton misses 2-pt jump shot from 17 ft,25,21
73,1,3:03.0,Defensive rebound by D. Jordan,,25,21
74,1,3:01.0,Turnover by D. Jordan (bad pass; steal by B. Jennings),,25,21
75,1,2:54.0,,K. Middleton makes 3-pt jump shot from 22 ft (assist by B. Jennings),25,24
76,1,2:49.0,L. Williams makes 2-pt layup at rim,,27,24
77,1,2:43.0,,J. Parker misses 3-pt jump shot from 22 ft,27,24
78,1,2:40.0,Defensive rebound by T. Harris,,27,24
79,1,2:22.0,A. Rivers makes 3-pt jump shot from 26 ft (assist by T. Harris),,30,24
80,1,2:02.0,,T. Zeller misses 2-pt layup from 3 ft (block by A. Rivers),30,24
81,1,1:58.0,Defensive rebound by L. Williams,,30,24
