,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW YORK_ACTION,BROOKLYN_SCORE,NEW YORK_SCORE
0,1,11:46.0,,K. Porziņģis makes 2-pt jump shot from 9 ft (assist by J. Jack),0,2
1,1,11:26.0,R. Hollis-Jefferson misses 3-pt jump shot from 23 ft,,0,2
2,1,11:24.0,,Defensive rebound by E. Freedom,0,2
3,1,11:15.0,,Shooting foul by D. Russell (drawn by C. Lee),0,2
4,1,11:15.0,,C. Lee makes free throw 1 of 2,0,3
5,1,11:15.0,,C. Lee makes free throw 2 of 2,0,4
6,1,11:07.0,D. Carroll misses 3-pt jump shot from 25 ft,,0,4
7,1,11:06.0,,Defensive rebound by Team,0,4
8,1,10:48.0,,K. Porziņģis makes 2-pt jump shot from 20 ft,0,6
9,1,10:22.0,D. Russell misses 3-pt jump shot from 25 ft,,0,6
10,1,10:17.0,,Defensive rebound by T. Hardaway,0,6
11,1,10:14.0,,Turnover by T. Hardaway (bad pass),0,6
12,1,10:03.0,Turnover by D. Russell (bad pass),,0,6
13,1,9:46.0,,K. Porziņģis makes 2-pt jump shot from 14 ft,0,8
14,1,9:31.0,Turnover by C. LeVert (bad pass; steal by C. Lee),,0,8
15,1,9:22.0,,E. Freedom misses 2-pt layup from 2 ft (block by T. Mozgov),0,8
16,1,9:18.0,Defensive rebound by T. Mozgov,,0,8
17,1,9:15.0,C. LeVert misses 2-pt jump shot from 15 ft,,0,8
18,1,9:11.0,,Defensive rebound by K. Porziņģis,0,8
19,1,9:00.0,,C. Lee misses 3-pt jump shot from 22 ft,0,8
20,1,8:54.0,,Offensive rebound by K. Porziņģis,0,8
21,1,8:54.0,,K. Porziņģis misses 2-pt layup at rim,0,8
22,1,8:54.0,Defensive rebound by D. Russell,,0,8
23,1,8:50.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Russell),,2,8
24,1,8:41.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,2,8
25,1,8:41.0,Defensive rebound by C. LeVert,,2,8
26,1,8:28.0,D. Russell makes 2-pt jump shot from 20 ft,,4,8
27,1,8:18.0,,Personal foul by D. Russell (drawn by J. Jack),4,8
28,1,8:06.0,,J. Jack misses 2-pt jump shot from 18 ft,4,8
29,1,8:02.0,Defensive rebound by D. Russell,,4,8
30,1,7:58.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,4,8
31,1,7:53.0,Offensive rebound by T. Mozgov,,4,8
32,1,7:53.0,T. Mozgov makes 2-pt layup at rim,,6,8
33,1,7:45.0,,K. Porziņģis misses 2-pt hook shot from 2 ft,6,8
34,1,7:42.0,Defensive rebound by T. Mozgov,,6,8
35,1,7:37.0,Shooting foul by J. Jack (drawn by R. Hollis-Jefferson),,6,8
36,1,7:37.0,R. Hollis-Jefferson makes free throw 1 of 2,,7,8
37,1,7:37.0,,K. O'Quinn enters the game for E. Freedom,7,8
38,1,7:37.0,R. Hollis-Jefferson makes free throw 2 of 2,,8,8
39,1,7:23.0,,T. Hardaway misses 2-pt jump shot from 17 ft,8,8
40,1,7:20.0,Defensive rebound by T. Mozgov,,8,8
41,1,7:10.0,T. Mozgov makes 2-pt layup from 13 ft,,10,8
42,1,6:54.0,,C. Lee makes 2-pt jump shot from 15 ft,10,10
43,1,6:34.0,T. Mozgov misses 3-pt jump shot from 23 ft,,10,10
44,1,6:31.0,,Defensive rebound by J. Jack,10,10
45,1,6:18.0,,K. O'Quinn misses 2-pt jump shot from 18 ft,10,10
46,1,6:15.0,,Offensive rebound by J. Jack,10,10
47,1,6:13.0,,J. Jack makes 2-pt jump shot from 15 ft,10,12
48,1,5:55.0,D. Russell makes 3-pt jump shot from 25 ft,,13,12
49,1,5:55.0,,New York full timeout,13,12
50,1,5:55.0,A. Crabbe enters the game for R. Hollis-Jefferson,,13,12
51,1,5:55.0,Q. Acy enters the game for T. Mozgov,,13,12
52,1,5:55.0,S. Dinwiddie enters the game for C. LeVert,,13,12
53,1,5:55.0,T. Booker enters the game for D. Russell,,13,12
54,1,5:44.0,,T. Hardaway misses 3-pt jump shot from 26 ft,13,12
55,1,5:40.0,Defensive rebound by Q. Acy,,13,12
