,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
0,1,11:42.0,,M. Morris makes 2-pt jump shot from 7 ft,0,2
1,1,11:25.0,K. Love misses 2-pt jump shot from 21 ft,,0,2
2,1,11:25.0,,Defensive rebound by M. Morris,0,2
3,1,11:09.0,,M. Morris misses 2-pt jump shot from 12 ft,0,2
4,1,11:04.0,,Offensive rebound by M. Gortat,0,2
5,1,11:03.0,,K. Oubre misses 3-pt jump shot from 24 ft,0,2
6,1,10:59.0,Defensive rebound by J. Smith,,0,2
7,1,10:52.0,L. James makes 2-pt jump shot from 3 ft,,2,2
8,1,10:37.0,,Turnover by B. Beal (bad pass; steal by J. Smith),2,2
9,1,10:29.0,J. Smith makes 2-pt layup from 2 ft,,4,2
10,1,10:22.0,,J. Wall makes 2-pt layup from 1 ft,4,4
11,1,10:06.0,J. Calderón makes 2-pt layup from 1 ft,,6,4
12,1,9:54.0,,Shooting foul by J. Crowder (drawn by M. Gortat),6,4
13,1,9:54.0,,M. Gortat misses free throw 1 of 2,6,4
14,1,9:54.0,,Offensive rebound by Team,6,4
15,1,9:54.0,,M. Gortat misses free throw 2 of 2,6,4
16,1,9:52.0,Defensive rebound by K. Love,,6,4
17,1,9:36.0,J. Crowder makes 3-pt jump shot from 28 ft (assist by J. Calderón),,9,4
18,1,9:19.0,,Shooting foul by J. Crowder (drawn by K. Oubre),9,4
19,1,9:19.0,,K. Oubre makes free throw 1 of 2,9,5
20,1,9:19.0,,K. Oubre makes free throw 2 of 2,9,6
21,1,9:05.0,Personal foul by K. Oubre (drawn by J. Crowder),,9,6
22,1,9:01.0,J. Smith misses 3-pt jump shot from 26 ft,,9,6
23,1,8:58.0,,Defensive rebound by M. Morris,9,6
24,1,8:36.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by K. Oubre),9,9
25,1,8:29.0,J. Smith misses 3-pt jump shot from 25 ft,,9,9
26,1,8:26.0,,Defensive rebound by K. Oubre,9,9
27,1,8:17.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by K. Oubre),9,12
28,1,7:49.0,K. Love misses 2-pt hook shot from 11 ft (block by J. Wall),,9,12
29,1,7:49.0,,Defensive rebound by J. Wall,9,12
30,1,7:48.0,,Personal foul by J. Smith (drawn by J. Wall),9,12
31,1,7:48.0,Turnover by J. Smith (turnover),,9,12
32,1,7:41.0,,Offensive foul by K. Oubre (drawn by J. Smith),9,12
33,1,7:41.0,,Turnover by K. Oubre (offensive foul),9,12
34,1,7:41.0,Technical foul by J. Smith,,9,12
35,1,7:41.0,,B. Beal misses technical free throw,9,12
36,1,7:41.0,Defensive rebound by Team,,9,12
37,1,7:41.0,,T. Satoranský enters the game for K. Oubre,9,12
38,1,7:29.0,J. Crowder makes 2-pt layup from 2 ft (assist by L. James),,11,12
39,1,7:24.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),11,15
40,1,7:08.0,J. Calderón makes 3-pt jump shot from 25 ft (assist by L. James),,14,15
41,1,6:52.0,,B. Beal misses 3-pt jump shot from 26 ft,14,15
42,1,6:49.0,Defensive rebound by J. Calderón,,14,15
43,1,6:48.0,,Washington full timeout,14,15
44,1,6:40.0,L. James misses 2-pt jump shot from 2 ft,,14,15
45,1,6:33.0,Offensive rebound by L. James,,14,15
46,1,6:33.0,L. James makes 2-pt layup at rim,,16,15
47,1,6:27.0,,J. Wall misses 2-pt layup at rim,16,15
48,1,6:25.0,Defensive rebound by K. Love,,16,15
49,1,6:11.0,Turnover by L. James (traveling),,16,15
50,1,5:56.0,,M. Morris misses 2-pt dunk from 4 ft,16,15
51,1,5:53.0,Defensive rebound by L. James,,16,15
52,1,5:35.0,K. Love misses 3-pt jump shot from 25 ft,,16,15
53,1,5:32.0,,Defensive rebound by M. Gortat,16,15
54,1,5:26.0,,M. Gortat misses 2-pt hook shot from 6 ft,16,15
55,1,5:21.0,,Offensive rebound by M. Morris,16,15
56,1,5:21.0,,M. Morris makes 2-pt layup at rim,16,17
57,1,5:04.0,K. Love makes 2-pt jump shot from 19 ft,,18,17
58,1,4:36.0,,J. Wall misses 2-pt layup at rim,18,17
59,1,4:34.0,Defensive rebound by J. Calderón,,18,17
60,1,4:28.0,J. Smith makes 3-pt jump shot from 23 ft (assist by J. Calderón),,21,17
61,1,4:06.0,,B. Beal misses 2-pt jump shot from 16 ft,21,17
62,1,4:02.0,,Offensive rebound by M. Morris,21,17
63,1,4:02.0,,M. Morris misses 2-pt layup at rim,21,17
64,1,4:01.0,Defensive rebound by K. Love,,21,17
65,1,3:43.0,J. Calderón misses 2-pt jump shot from 12 ft,,21,17
66,1,3:39.0,,Defensive rebound by B. Beal,21,17
67,1,3:35.0,,B. Beal misses 3-pt jump shot from 26 ft,21,17
68,1,3:32.0,,Offensive rebound by M. Gortat,21,17
69,1,3:31.0,,M. Gortat makes 2-pt jump shot from 8 ft,21,19
70,1,3:28.0,Cleveland full timeout,,21,19
71,1,3:28.0,,J. Meeks enters the game for J. Wall,21,19
72,1,3:28.0,,I. Mahinmi enters the game for M. Gortat,21,19
73,1,3:28.0,T. Thompson enters the game for J. Smith,,21,19
74,1,3:28.0,J. Green enters the game for L. James,,21,19
75,1,3:28.0,C. Osman enters the game for J. Crowder,,21,19
76,1,3:07.0,Personal foul by M. Morris (drawn by T. Thompson),,21,19
77,1,3:02.0,K. Love misses 2-pt jump shot from 14 ft,,21,19
78,1,2:57.0,,Defensive rebound by J. Meeks,21,19
79,1,2:36.0,,B. Beal misses 3-pt jump shot from 23 ft (block by J. Green),21,19
80,1,2:33.0,Defensive rebound by K. Love,,21,19
81,1,2:26.0,Personal block foul by M. Morris (drawn by K. Love),,21,19
82,1,2:26.0,,M. Scott enters the game for M. Morris,21,19
83,1,2:26.0,K. Korver enters the game for J. Calderón,,21,19
84,1,2:20.0,K. Love makes 2-pt hook shot from 8 ft,,23,19
85,1,2:05.0,,Shooting foul by K. Korver (drawn by I. Mahinmi),23,19
86,1,2:05.0,,Technical foul by M. Morris,23,19
87,1,2:05.0,K. Korver makes technical free throw,,24,19
88,1,2:05.0,,I. Mahinmi makes free throw 1 of 2,24,20
89,1,2:05.0,,I. Mahinmi misses free throw 2 of 2,24,20
90,1,2:05.0,,Offensive rebound by Team,24,20
91,1,2:05.0,,Technical foul by Team,24,20
92,1,2:05.0,K. Korver makes technical free throw,,25,20
93,1,1:58.0,,I. Mahinmi misses 2-pt jump shot from 14 ft,25,20
94,1,1:55.0,Defensive rebound by K. Love,,25,20
95,1,1:33.0,K. Love misses 2-pt jump shot from 14 ft,,25,20
96,1,1:31.0,,Defensive rebound by T. Satoranský,25,20
97,1,1:25.0,,J. Meeks misses 2-pt layup from 3 ft,25,20
98,1,1:25.0,Defensive rebound by J. Green,,25,20
99,1,1:21.0,Personal foul by M. Scott (drawn by K. Love),,25,20
100,1,1:02.0,T. Thompson makes 2-pt dunk from 2 ft (assist by J. Green),,27,20
101,1,0:39.0,,B. Beal misses 2-pt jump shot from 15 ft,27,20
102,1,0:36.0,Defensive rebound by C. Osman,,27,20
103,1,0:30.0,C. Osman misses 2-pt jump shot from 16 ft,,27,20
104,1,0:28.0,,Defensive rebound by M. Scott,27,20
105,1,0:05.0,,J. Meeks makes 3-pt jump shot from 25 ft (assist by M. Scott),27,23
106,1,0:00.0,J. Green misses 3-pt jump shot from 31 ft,,27,23
107,1,0:00.0,Offensive rebound by Team,,27,23
108,2,11:44.0,K. Korver misses 2-pt layup from 3 ft (block by I. Mahinmi),,27,23
109,2,11:42.0,,Defensive rebound by T. Satoranský,27,23
110,2,11:41.0,,Turnover by M. Scott (out of bounds lost ball),27,23
111,2,11:23.0,Personal foul by I. Mahinmi (drawn by T. Thompson),,27,23
112,2,11:18.0,Shooting foul by B. Beal (drawn by J. Green),,27,23
113,2,11:18.0,J. Green makes free throw 1 of 2,,28,23
114,2,11:18.0,J. Green makes free throw 2 of 2,,29,23
115,2,11:03.0,,B. Beal makes 2-pt jump shot from 9 ft,29,25
116,2,10:45.0,L. James misses 3-pt jump shot from 27 ft,,29,25
117,2,10:42.0,,Defensive rebound by J. Meeks,29,25
118,2,10:33.0,,B. Beal makes 3-pt jump shot from 25 ft,29,28
119,2,10:13.0,L. James makes 2-pt jump shot from 16 ft,,31,28
120,2,9:58.0,,Shooting foul by C. Osman (drawn by B. Beal),31,28
121,2,9:58.0,,B. Beal makes free throw 1 of 2,31,29
122,2,9:58.0,C. Frye enters the game for T. Thompson,,31,29
123,2,9:58.0,,B. Beal makes free throw 2 of 2,31,30
124,2,9:46.0,L. James misses 2-pt jump shot from 8 ft,,31,30
125,2,9:46.0,Offensive rebound by Team,,31,30
126,2,9:46.0,,Loose ball foul by I. Mahinmi (drawn by C. Osman),31,30
127,2,9:42.0,K. Korver makes 3-pt jump shot from 26 ft (assist by L. James),,34,30
128,2,9:22.0,,Turnover by I. Mahinmi (lost ball; steal by K. Korver),34,30
129,2,9:15.0,C. Osman makes 2-pt layup from 2 ft (assist by L. James),,36,30
130,2,9:15.0,,Washington full timeout,36,30
131,2,9:00.0,,M. Scott misses 2-pt layup from 5 ft (block by J. Green),36,30
132,2,9:00.0,,Offensive rebound by Team,36,30
133,2,8:56.0,,I. Mahinmi makes 2-pt layup from 1 ft (assist by J. Meeks),36,32
134,2,8:43.0,C. Frye makes 2-pt jump shot from 22 ft (assist by K. Korver),,38,32
135,2,8:20.0,,T. Satoranský misses 2-pt layup at rim,38,32
136,2,8:18.0,,Offensive rebound by M. Scott,38,32
137,2,8:18.0,,M. Scott misses 2-pt layup at rim,38,32
138,2,8:15.0,,Offensive rebound by I. Mahinmi,38,32
139,2,8:13.0,,I. Mahinmi makes 2-pt layup at rim,38,34
140,2,8:13.0,,M. Morris enters the game for I. Mahinmi,38,34
141,2,8:10.0,K. Korver makes 2-pt layup from 1 ft (assist by L. James),,40,34
142,2,7:57.0,,B. Beal makes 2-pt jump shot from 13 ft,40,36
143,2,7:29.0,J. Green makes 3-pt jump shot from 25 ft (assist by L. James),,43,36
144,2,7:18.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by B. Beal),43,39
145,2,7:01.0,C. Osman makes 3-pt jump shot from 24 ft (assist by C. Frye),,46,39
146,2,6:36.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by B. Beal),46,42
147,2,6:16.0,Shooting foul by M. Morris (drawn by J. Green),,46,42
148,2,6:16.0,J. Green misses free throw 1 of 2,,46,42
149,2,6:16.0,Offensive rebound by Team,,46,42
150,2,6:16.0,,J. Wall enters the game for J. Meeks,46,42
151,2,6:16.0,,M. Gortat enters the game for T. Satoranský,46,42
152,2,6:16.0,,K. Oubre enters the game for M. Morris,46,42
153,2,6:16.0,J. Smith enters the game for C. Osman,,46,42
154,2,6:16.0,J. Green makes free throw 2 of 2,,47,42
155,2,5:54.0,,M. Gortat makes 2-pt hook shot from 5 ft (assist by B. Beal),47,44
156,2,5:42.0,C. Frye makes 3-pt jump shot from 26 ft (assist by L. James),,50,44
157,2,5:26.0,,J. Wall makes 3-pt jump shot from 25 ft (assist by M. Scott),50,47
158,2,5:06.0,J. Green misses 2-pt jump shot from 2 ft,,50,47
159,2,5:01.0,Offensive rebound by L. James,,50,47
160,2,5:01.0,L. James misses 2-pt layup at rim,,50,47
161,2,5:00.0,,Defensive rebound by B. Beal,50,47
162,2,4:56.0,,K. Oubre makes 2-pt dunk at rim (assist by M. Scott),50,49
163,2,4:56.0,Cleveland full timeout,,50,49
164,2,4:56.0,J. Calderón enters the game for C. Frye,,50,49
165,2,4:56.0,J. Crowder enters the game for K. Korver,,50,49
166,2,4:56.0,K. Love enters the game for J. Green,,50,49
167,2,4:37.0,L. James misses 2-pt jump shot from 13 ft,,50,49
168,2,4:32.0,,Defensive rebound by J. Wall,50,49
169,2,4:29.0,,B. Beal misses 3-pt jump shot from 24 ft,50,49
170,2,4:29.0,Defensive rebound by J. Smith,,50,49
171,2,4:14.0,,T. Satoranský enters the game for B. Beal,50,49
172,2,4:12.0,K. Love misses 2-pt layup from 3 ft (block by J. Wall),,50,49
173,2,4:09.0,,Defensive rebound by J. Wall,50,49
174,2,4:05.0,,J. Wall misses 2-pt layup at rim,50,49
175,2,4:03.0,Defensive rebound by J. Crowder,,50,49
176,2,3:54.0,Turnover by L. James (lost ball; steal by M. Scott),,50,49
177,2,3:47.0,,J. Wall misses 2-pt layup from 1 ft,50,49
178,2,3:44.0,Defensive rebound by K. Love,,50,49
179,2,3:38.0,K. Love makes 2-pt layup from 1 ft (assist by J. Crowder),,52,49
180,2,3:22.0,,M. Gortat misses 2-pt dunk from 2 ft,52,49
181,2,3:22.0,,Offensive rebound by M. Gortat,52,49
182,2,3:22.0,,Shooting foul by J. Crowder (drawn by M. Gortat),52,49
