,QUARTER,TIME_REMAINING,BOSTON_ACTION,PORTLAND_ACTION,BOSTON_SCORE,PORTLAND_SCORE
0,1,11:42.0,,A. Aminu misses 2-pt layup from 2 ft,0,0
1,1,11:40.0,Defensive rebound by A. Baynes,,0,0
2,1,11:19.0,A. Baynes makes 2-pt jump shot from 22 ft (assist by T. Rozier),,2,0
3,1,11:01.0,,C. McCollum misses 2-pt jump shot from 19 ft,2,0
4,1,10:57.0,Defensive rebound by T. Rozier,,2,0
5,1,10:42.0,M. Morris misses 2-pt jump shot from 17 ft,,2,0
6,1,10:39.0,,Defensive rebound by A. Aminu,2,0
7,1,10:31.0,,M. Harkless makes 3-pt jump shot from 22 ft (assist by C. McCollum),2,3
8,1,10:16.0,J. Tatum misses 2-pt jump shot from 13 ft,,2,3
9,1,10:14.0,Offensive rebound by J. Tatum,,2,3
10,1,10:09.0,M. Morris makes 3-pt jump shot from 24 ft (assist by J. Tatum),,5,3
11,1,9:48.0,,M. Harkless misses 2-pt jump shot from 4 ft,5,3
12,1,9:47.0,,Offensive rebound by M. Harkless,5,3
13,1,9:46.0,,M. Harkless makes 2-pt hook shot from 5 ft,5,5
14,1,9:30.0,T. Rozier misses 2-pt jump shot from 18 ft,,5,5
15,1,9:28.0,,Defensive rebound by M. Harkless,5,5
16,1,9:21.0,,C. McCollum misses 3-pt jump shot from 25 ft,5,5
17,1,9:19.0,Defensive rebound by T. Rozier,,5,5
18,1,9:09.0,M. Morris makes 3-pt jump shot from 24 ft (assist by A. Baynes),,8,5
19,1,8:51.0,,J. Nurkić misses 2-pt hook shot from 5 ft,8,5
20,1,8:49.0,Defensive rebound by A. Horford,,8,5
21,1,8:33.0,T. Rozier makes 2-pt layup at rim (assist by A. Baynes),,10,5
22,1,8:15.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),10,7
23,1,7:57.0,Offensive foul by A. Horford (drawn by D. Lillard),,10,7
24,1,7:57.0,Turnover by A. Horford (offensive foul),,10,7
25,1,7:42.0,,A. Aminu misses 3-pt jump shot from 22 ft,10,7
26,1,7:39.0,Defensive rebound by A. Horford,,10,7
27,1,7:31.0,Turnover by A. Horford (lost ball; steal by A. Aminu),,10,7
28,1,7:27.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by M. Harkless),10,9
29,1,7:04.0,J. Tatum misses 2-pt layup from 2 ft (block by J. Nurkić),,10,9
30,1,7:03.0,,Defensive rebound by C. McCollum,10,9
31,1,6:54.0,,D. Lillard makes 3-pt jump shot from 26 ft,10,12
32,1,6:41.0,T. Rozier misses 2-pt jump shot from 14 ft,,10,12
33,1,6:40.0,,Defensive rebound by A. Aminu,10,12
34,1,6:31.0,,Turnover by C. McCollum (lost ball; steal by J. Tatum),10,12
35,1,6:23.0,A. Horford makes 2-pt jump shot from 22 ft,,12,12
36,1,6:04.0,,J. Nurkić makes 2-pt layup at rim (assist by D. Lillard),12,14
37,1,5:40.0,T. Rozier misses 3-pt jump shot from 24 ft,,12,14
38,1,5:38.0,,Defensive rebound by C. McCollum,12,14
39,1,5:35.0,,C. McCollum makes 2-pt layup at rim,12,16
40,1,5:34.0,Boston full timeout,,12,16
41,1,5:34.0,G. Monroe enters the game for A. Baynes,,12,16
42,1,5:34.0,S. Larkin enters the game for J. Tatum,,12,16
43,1,5:09.0,Turnover by G. Monroe (bad pass; steal by A. Aminu),,12,16
44,1,4:59.0,,D. Lillard misses 3-pt jump shot from 24 ft,12,16
45,1,4:57.0,Defensive rebound by G. Monroe,,12,16
46,1,4:45.0,A. Horford misses 2-pt hook shot from 5 ft,,12,16
47,1,4:44.0,,Defensive rebound by A. Aminu,12,16
48,1,4:31.0,,C. McCollum makes 2-pt jump shot from 4 ft,12,18
49,1,4:07.0,Turnover by M. Morris (traveling),,12,18
50,1,4:07.0,,P. Connaughton enters the game for C. McCollum,12,18
51,1,4:07.0,,E. Turner enters the game for M. Harkless,12,18
52,1,3:51.0,,E. Turner misses 3-pt jump shot from 22 ft,12,18
53,1,3:49.0,Defensive rebound by S. Larkin,,12,18
54,1,3:45.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by S. Larkin),,15,18
55,1,3:37.0,,Personal take foul by M. Morris (drawn by E. Turner),15,18
56,1,3:37.0,,E. Davis enters the game for J. Nurkić,15,18
57,1,3:37.0,A. Nader enters the game for M. Morris,,15,18
58,1,3:29.0,,D. Lillard makes 3-pt jump shot from 24 ft,15,21
59,1,3:09.0,Shooting foul by E. Davis (drawn by G. Monroe),,15,21
60,1,3:09.0,G. Monroe makes free throw 1 of 2,,16,21
61,1,3:09.0,G. Monroe makes free throw 2 of 2,,17,21
62,1,2:58.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by E. Turner),17,24
63,1,2:30.0,A. Nader makes 2-pt jump shot from 21 ft,,19,24
64,1,2:15.0,,D. Lillard misses 3-pt jump shot from 26 ft,19,24
65,1,2:14.0,Defensive rebound by G. Monroe,,19,24
66,1,2:02.0,A. Horford misses 2-pt hook shot from 8 ft,,19,24
67,1,2:00.0,,Defensive rebound by E. Davis,19,24
68,1,1:43.0,,A. Aminu makes 2-pt jump shot from 9 ft,19,26
69,1,1:25.0,Turnover by G. Monroe (turnover),,19,26
70,1,1:25.0,,Portland full timeout,19,26
71,1,1:25.0,,Z. Collins enters the game for A. Aminu,19,26
72,1,1:25.0,G. Yabusele enters the game for T. Rozier,,19,26
73,1,1:25.0,J. Tatum enters the game for A. Horford,,19,26
74,1,1:08.0,,E. Turner misses 2-pt jump shot from 16 ft,19,26
75,1,1:05.0,Defensive rebound by G. Monroe,,19,26
76,1,0:47.0,G. Yabusele makes 2-pt layup at rim (assist by G. Monroe),,21,26
77,1,0:35.0,,D. Lillard misses 2-pt jump shot from 19 ft,21,26
78,1,0:30.0,Defensive rebound by A. Nader,,21,26
79,1,0:23.0,G. Monroe makes 2-pt hook shot from 6 ft (assist by S. Larkin),,23,26
80,1,0:06.0,,Personal foul by S. Larkin (drawn by D. Lillard),23,26
81,1,0:06.0,,C. McCollum enters the game for E. Davis,23,26
82,1,0:06.0,T. Rozier enters the game for A. Nader,,23,26
83,1,0:00.0,,Z. Collins misses 3-pt jump shot from 26 ft,23,26
84,1,0:00.0,,Offensive rebound by Team,23,26
85,2,11:44.0,G. Monroe makes 2-pt layup from 1 ft,,25,26
86,2,11:27.0,,C. McCollum misses 2-pt layup from 1 ft (block by G. Monroe),25,26
87,2,11:27.0,,Offensive rebound by E. Davis,25,26
88,2,11:27.0,,Shooting foul by G. Yabusele (drawn by E. Davis),25,26
89,2,11:27.0,,E. Davis makes free throw 1 of 2,25,27
90,2,11:27.0,,E. Davis makes free throw 2 of 2,25,28
91,2,11:03.0,S. Larkin misses 2-pt layup from 2 ft,,25,28
92,2,11:00.0,,Defensive rebound by C. McCollum,25,28
93,2,10:57.0,,E. Turner makes 2-pt jump shot from 11 ft (assist by C. McCollum),25,30
94,2,10:38.0,G. Monroe misses 2-pt hook shot from 1 ft,,25,30
95,2,10:37.0,,Defensive rebound by E. Davis,25,30
96,2,10:28.0,,Turnover by P. Connaughton (lost ball; steal by A. Nader),25,30
97,2,10:25.0,A. Nader misses 2-pt layup from 1 ft (block by Z. Collins),,25,30
98,2,10:25.0,Offensive rebound by Team,,25,30
