,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHOENIX_ACTION,BROOKLYN_SCORE,PHOENIX_SCORE
0,1,11:33.0,,M. Chriss misses 2-pt jump shot from 17 ft,0,0
1,1,11:29.0,Defensive rebound by A. Crabbe,,0,0
2,1,11:20.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by D. Russell),,3,0
3,1,11:08.0,,M. James makes 3-pt jump shot from 22 ft (assist by T. Warren),3,3
4,1,10:51.0,A. Crabbe misses 2-pt jump shot from 22 ft,,3,3
5,1,10:49.0,,Defensive rebound by T. Chandler,3,3
6,1,10:41.0,,Shooting foul by A. Crabbe (drawn by D. Booker),3,3
7,1,10:41.0,,D. Booker makes free throw 1 of 3,3,4
8,1,10:41.0,,D. Booker makes free throw 2 of 3,3,5
9,1,10:27.0,D. Russell misses 3-pt jump shot from 22 ft,,3,5
10,1,10:23.0,Offensive rebound by D. Carroll,,3,5
11,1,10:22.0,Turnover by D. Carroll (lost ball; steal by M. James),,3,5
12,1,10:13.0,,Turnover by T. Chandler (bad pass; steal by A. Crabbe),3,5
13,1,9:58.0,Shooting block foul by T. Warren (drawn by D. Russell),,3,5
14,1,9:58.0,D. Russell makes free throw 1 of 2,,4,5
15,1,9:58.0,D. Russell makes free throw 2 of 2,,5,5
16,1,9:47.0,,M. Chriss misses 2-pt layup from 6 ft,5,5
17,1,9:45.0,Defensive rebound by R. Hollis-Jefferson,,5,5
18,1,9:42.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,5,5
19,1,9:42.0,,Defensive rebound by M. Chriss,5,5
20,1,9:33.0,,D. Booker makes 3-pt jump shot from 25 ft,5,8
21,1,9:12.0,A. Crabbe misses 3-pt jump shot from 24 ft,,5,8
22,1,9:10.0,,Defensive rebound by T. Chandler,5,8
23,1,9:01.0,,M. James misses 2-pt jump shot from 9 ft,5,8
24,1,8:58.0,Defensive rebound by T. Mozgov,,5,8
25,1,8:49.0,D. Russell makes 2-pt jump shot from 10 ft,,7,8
26,1,8:31.0,,T. Warren misses 2-pt jump shot from 14 ft,7,8
27,1,8:30.0,Defensive rebound by Team,,7,8
28,1,8:22.0,Personal foul by D. Booker (drawn by A. Crabbe),,7,8
29,1,8:16.0,Turnover by T. Mozgov (traveling),,7,8
30,1,8:00.0,,D. Booker misses 3-pt jump shot from 24 ft,7,8
31,1,7:57.0,Defensive rebound by A. Crabbe,,7,8
32,1,7:54.0,D. Carroll misses 3-pt jump shot from 25 ft,,7,8
33,1,7:49.0,,Defensive rebound by M. James,7,8
34,1,7:46.0,,D. Booker makes 2-pt jump shot from 18 ft (assist by M. James),7,10
35,1,7:45.0,Brooklyn full timeout,,7,10
36,1,7:45.0,C. LeVert enters the game for D. Carroll,,7,10
37,1,7:38.0,D. Russell misses 2-pt jump shot from 20 ft,,7,10
