,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
0,1,11:47.0,,E. Fournier makes 2-pt jump shot from 11 ft (assist by M. Hezonja),0,2
1,1,11:30.0,I. Thomas misses 3-pt jump shot from 23 ft,,0,2
2,1,11:27.0,,Defensive rebound by M. Hezonja,0,2
3,1,11:22.0,,Personal foul by I. Thomas (drawn by B. Biyombo),0,2
4,1,11:05.0,,B. Biyombo misses 2-pt jump shot from 8 ft,0,2
5,1,11:05.0,,Offensive rebound by E. Payton,0,2
6,1,11:05.0,,Turnover by Team (shot clock),0,2
7,1,10:56.0,J. Crowder makes 2-pt layup from 2 ft (assist by I. Thomas),,2,2
8,1,10:48.0,,M. Hezonja misses 3-pt jump shot from 25 ft,2,2
9,1,10:48.0,,Offensive rebound by A. Gordon,2,2
10,1,10:43.0,,A. Gordon makes 2-pt layup from 2 ft,2,4
11,1,10:33.0,Shooting foul by E. Fournier (drawn by J. Smith),,2,4
12,1,10:33.0,J. Smith makes free throw 1 of 2,,3,4
13,1,10:33.0,J. Smith makes free throw 2 of 2,,4,4
14,1,10:20.0,,M. Hezonja makes 2-pt dunk at rim (assist by E. Payton),4,6
15,1,9:54.0,J. Crowder misses 3-pt jump shot from 24 ft,,4,6
16,1,9:50.0,,Defensive rebound by M. Hezonja,4,6
17,1,9:36.0,,B. Biyombo makes 2-pt jump shot from 9 ft,4,8
18,1,9:17.0,K. Love misses 3-pt jump shot from 23 ft,,4,8
19,1,9:14.0,,Defensive rebound by M. Hezonja,4,8
20,1,9:08.0,,E. Payton makes 2-pt layup from 2 ft,4,10
21,1,9:08.0,Cleveland full timeout,,4,10
22,1,8:58.0,Shooting foul by E. Payton (drawn by I. Thomas),,4,10
23,1,8:58.0,I. Thomas misses free throw 1 of 2,,4,10
24,1,8:58.0,Offensive rebound by Team,,4,10
25,1,8:58.0,I. Thomas makes free throw 2 of 2,,5,10
26,1,8:43.0,,A. Gordon misses 3-pt jump shot from 24 ft,5,10
27,1,8:38.0,,Offensive rebound by B. Biyombo,5,10
28,1,8:37.0,,A. Gordon makes 2-pt layup from 3 ft,5,12
29,1,8:27.0,J. Crowder misses 2-pt layup from 3 ft,,5,12
30,1,8:22.0,,Defensive rebound by E. Payton,5,12
31,1,8:21.0,,Shooting foul by K. Love (drawn by E. Payton),5,12
32,1,8:21.0,,E. Payton makes free throw 1 of 2,5,13
33,1,8:21.0,,E. Payton misses free throw 2 of 2,5,13
34,1,8:18.0,Defensive rebound by K. Love,,5,13
35,1,8:03.0,I. Thomas misses 2-pt layup from 2 ft,,5,13
36,1,8:01.0,,Defensive rebound by M. Hezonja,5,13
37,1,7:59.0,,Turnover by M. Hezonja (lost ball; steal by L. James),5,13
38,1,7:55.0,L. James makes 2-pt layup from 1 ft (assist by I. Thomas),,7,13
39,1,7:40.0,,M. Hezonja misses 2-pt layup from 2 ft,7,13
