,QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,A. Wiggins makes 2-pt jump shot from 8 ft,0,2
1,1,11:25.0,R. Rubio makes 2-pt jump shot from 18 ft,,2,2
2,1,11:04.0,,A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Towns),2,5
3,1,10:38.0,R. Rubio misses 2-pt jump shot from 19 ft,,2,5
4,1,10:37.0,,Defensive rebound by Team,2,5
5,1,10:25.0,,T. Jones makes 2-pt layup from 2 ft (assist by T. Gibson),2,7
6,1,10:09.0,J. Ingles misses 3-pt jump shot from 24 ft,,2,7
7,1,10:05.0,,Defensive rebound by A. Wiggins,2,7
8,1,9:59.0,,A. Wiggins makes 2-pt layup at rim,2,9
9,1,9:59.0,Utah full timeout,,2,9
10,1,9:45.0,D. Favors misses 3-pt jump shot from 23 ft,,2,9
11,1,9:41.0,,Defensive rebound by N. Bjelica,2,9
12,1,9:25.0,,A. Wiggins misses 2-pt jump shot from 17 ft,2,9
13,1,9:21.0,Defensive rebound by R. Rubio,,2,9
14,1,9:13.0,D. Mitchell makes 3-pt jump shot from 27 ft (assist by R. Rubio),,5,9
15,1,8:56.0,,N. Bjelica misses 2-pt layup from 3 ft (block by D. Favors),5,9
16,1,8:53.0,,Offensive rebound by N. Bjelica,5,9
17,1,8:52.0,,T. Jones misses 3-pt jump shot from 26 ft,5,9
18,1,8:51.0,Defensive rebound by R. Rubio,,5,9
19,1,8:45.0,D. Favors makes 2-pt dunk at rim (assist by J. Ingles),,7,9
20,1,8:45.0,,Minnesota full timeout,7,9
21,1,8:31.0,,A. Wiggins misses 2-pt jump shot from 6 ft,7,9
22,1,8:26.0,,Offensive rebound by A. Wiggins,7,9
23,1,8:26.0,,A. Wiggins makes 2-pt layup at rim,7,11
24,1,8:15.0,Turnover by R. Gobert (bad pass; steal by A. Wiggins),,7,11
25,1,8:06.0,,T. Gibson makes 2-pt dunk from 3 ft (assist by A. Wiggins),7,13
26,1,7:47.0,Turnover by R. Gobert (bad pass; steal by T. Jones),,7,13
27,1,7:40.0,,Turnover by K. Towns (bad pass; steal by D. Mitchell),7,13
28,1,7:37.0,D. Favors makes 2-pt layup from 5 ft (assist by D. Mitchell),,9,13
29,1,7:37.0,Shooting foul by K. Towns (drawn by D. Favors),,9,13
30,1,7:37.0,D. Favors misses free throw 1 of 1,,9,13
31,1,7:37.0,,Defensive rebound by T. Gibson,9,13
32,1,7:21.0,,A. Wiggins misses 2-pt jump shot from 12 ft,9,13
33,1,7:17.0,Defensive rebound by D. Mitchell,,9,13
34,1,7:07.0,R. Rubio makes 2-pt jump shot from 8 ft,,11,13
35,1,6:46.0,,N. Bjelica misses 2-pt jump shot from 5 ft,11,13
36,1,6:43.0,Defensive rebound by R. Gobert,,11,13
37,1,6:37.0,D. Mitchell misses 2-pt layup at rim,,11,13
38,1,6:35.0,,Defensive rebound by T. Gibson,11,13
39,1,6:24.0,,A. Wiggins makes 2-pt jump shot from 12 ft,11,15
40,1,6:05.0,R. Rubio misses 2-pt jump shot from 8 ft,,11,15
41,1,6:03.0,,Defensive rebound by K. Towns,11,15
42,1,5:45.0,,T. Gibson makes 2-pt layup from 1 ft (assist by T. Jones),11,17
43,1,5:29.0,D. Favors makes 2-pt layup from 2 ft (assist by R. Rubio),,13,17
44,1,5:17.0,,Personal foul by D. Favors (drawn by K. Towns),13,17
45,1,5:17.0,,J. Crawford enters the game for N. Bjelica,13,17
46,1,5:17.0,J. Crowder enters the game for J. Ingles,,13,17
47,1,5:17.0,R. O'Neale enters the game for D. Favors,,13,17
48,1,5:05.0,,A. Wiggins misses 2-pt layup from 2 ft,13,17
49,1,5:05.0,Defensive rebound by R. Gobert,,13,17
50,1,4:59.0,R. O'Neale misses 3-pt jump shot from 25 ft,,13,17
51,1,4:58.0,Offensive rebound by Team,,13,17
52,1,4:44.0,J. Crowder makes 3-pt jump shot from 22 ft (assist by R. O'Neale),,16,17
53,1,4:36.0,,Personal foul by J. Crowder (drawn by T. Gibson),16,17
54,1,4:36.0,,G. Dieng enters the game for K. Towns,16,17
55,1,4:26.0,,G. Dieng misses 2-pt jump shot from 18 ft,16,17
56,1,4:26.0,Defensive rebound by R. Gobert,,16,17
57,1,4:16.0,,Offensive charge foul by D. Mitchell (drawn by A. Wiggins),16,17
58,1,4:16.0,Turnover by D. Mitchell (offensive foul),,16,17
59,1,3:54.0,,J. Crawford makes 3-pt jump shot from 28 ft,16,20
60,1,3:41.0,R. Rubio misses 2-pt jump shot from 15 ft,,16,20
61,1,3:38.0,,Defensive rebound by G. Dieng,16,20
62,1,3:36.0,,Turnover by G. Dieng (lost ball; steal by R. Rubio),16,20
63,1,3:32.0,D. Mitchell misses 3-pt jump shot from 24 ft,,16,20
64,1,3:32.0,,Defensive rebound by A. Wiggins,16,20
65,1,3:32.0,,Personal foul by J. Crowder (drawn by A. Wiggins),16,20
66,1,3:32.0,D. Exum enters the game for R. Rubio,,16,20
67,1,3:17.0,,Turnover by G. Dieng (bad pass; steal by J. Crowder),16,20
68,1,3:09.0,R. O'Neale makes 2-pt dunk from 1 ft (assist by D. Mitchell),,18,20
69,1,2:51.0,,A. Wiggins misses 2-pt jump shot from 18 ft,18,20
70,1,2:48.0,Defensive rebound by D. Exum,,18,20
71,1,2:38.0,D. Exum makes 2-pt jump shot from 1 ft,,20,20
72,1,2:18.0,,A. Wiggins misses 2-pt layup from 1 ft (block by R. Gobert),20,20
73,1,2:16.0,Defensive rebound by R. O'Neale,,20,20
74,1,2:14.0,Turnover by R. O'Neale (out of bounds lost ball),,20,20
75,1,2:14.0,D. Favors enters the game for R. Gobert,,20,20
76,1,2:00.0,,J. Crawford misses 3-pt jump shot from 26 ft,20,20
77,1,1:57.0,Defensive rebound by D. Exum,,20,20
78,1,1:51.0,D. Exum misses 2-pt layup from 2 ft,,20,20
79,1,1:47.0,Offensive rebound by D. Favors,,20,20
80,1,1:37.0,D. Mitchell makes 2-pt jump shot from 10 ft (assist by D. Exum),,22,20
81,1,1:15.0,,J. Crawford makes 2-pt layup at rim,22,22
82,1,1:02.0,D. Favors makes 2-pt dunk from 2 ft (assist by D. Exum),,24,22
83,1,0:40.0,,T. Gibson makes 2-pt jump shot from 9 ft (assist by A. Wiggins),24,24
84,1,0:32.0,D. Exum makes 2-pt layup from 1 ft,,26,24
